,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position,player
0,0,0,1,0,0.3,395,0.0,0.0,0.0,0.23,7,0,0,0.0,0.0,2022-08-06T14:00:00Z,7,15,0,0,0,0,1,0,2367,0,0,2,0.0,1,0,0,0,50,False,0,3,602
1,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,18,0,0,0.0,0.0,2022-08-14T13:00:00Z,0,19,0,0,0,0,2,0,2542,0,0,1,0.0,0,-356,73,429,50,True,0,3,602
2,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,23,0,0,0.0,0.0,2022-08-20T14:00:00Z,0,8,0,0,0,0,3,0,2509,0,1,1,0.0,0,-320,218,538,49,False,0,3,602
3,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,38,0,0,0.0,0.0,2022-08-28T15:30:00Z,0,18,0,0,0,0,4,0,2291,0,2,0,0.0,0,-344,80,424,49,True,0,3,602
4,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,49,0,0,0.0,0.0,2022-08-31T18:30:00Z,0,13,0,0,0,0,5,0,2065,0,0,6,0.0,0,-305,42,347,49,False,0,3,602
5,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,58,0,0,0.0,0.0,2022-09-03T14:00:00Z,0,3,0,0,0,0,6,0,1667,0,3,2,0.0,0,-395,1,396,49,True,0,3,602
6,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,78,0,0,0.0,0.0,2022-09-16T19:00:00Z,0,9,0,0,0,0,8,0,1449,0,3,2,0.0,0,-45,0,45,49,True,0,3,602
7,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,86,0,0,0.0,0.0,2022-10-03T19:00:00Z,0,10,0,0,0,0,9,0,1384,0,0,4,0.0,0,-71,0,71,49,False,0,3,602
8,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,99,0,0,0.0,0.0,2022-10-10T19:00:00Z,0,2,0,0,0,0,10,0,1324,0,1,1,0.0,0,-58,0,58,49,True,0,3,602
9,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,110,0,0,0.0,0.0,2022-10-15T14:00:00Z,0,20,0,0,0,0,11,0,1293,0,0,1,0.0,0,-33,0,33,49,False,0,3,602
10,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,114,0,0,0.0,0.0,2022-10-18T18:30:00Z,0,5,0,0,0,0,12,0,1271,0,0,0,0.0,0,-19,0,19,49,False,0,3,602
11,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,126,0,0,0.0,0.0,2022-10-22T11:30:00Z,0,12,0,0,0,0,13,0,1261,0,0,1,0.0,0,-14,0,14,49,True,0,3,602
12,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,131,0,0,0.0,0.0,2022-10-30T14:00:00Z,0,1,0,0,0,0,14,0,1237,0,0,5,0.0,0,-24,0,24,49,False,0,3,602
13,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,146,0,0,0.0,0.0,2022-11-05T15:00:00Z,0,4,0,0,0,0,15,0,1221,0,2,2,0.0,0,-15,0,15,49,True,0,3,602
14,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,157,0,0,0.0,0.0,2022-11-12T15:00:00Z,0,7,0,0,0,0,16,0,1210,0,0,1,0.0,0,-12,0,12,49,True,0,3,602
15,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,169,0,0,0.0,0.0,2022-12-27T20:00:00Z,0,14,0,0,0,0,17,0,1184,0,0,3,0.0,0,-25,0,25,49,False,0,3,602
16,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,177,0,0,0.0,0.0,2023-01-01T16:30:00Z,0,6,0,0,0,0,18,0,1177,0,1,1,0.0,0,-8,0,8,49,True,0,3,602
17,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,190,0,0,0.0,0.0,2023-01-04T19:30:00Z,0,17,0,0,0,0,19,0,1176,0,1,0,0.0,0,-1,0,1,49,False,0,3,602
18,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,198,0,0,0.0,0.0,2023-01-14T15:00:00Z,0,10,0,0,0,0,20,0,1171,0,0,2,0.0,0,-5,0,5,49,True,0,3,602
19,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,202,0,0,0.0,0.0,2023-01-21T15:00:00Z,0,3,0,0,0,0,21,0,1162,0,1,1,0.0,0,-9,0,9,49,False,0,3,602
20,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,218,0,0,0.0,0.0,2023-02-05T14:00:00Z,0,11,0,0,0,0,22,0,1152,0,0,1,0.0,0,-10,0,10,49,True,0,3,602
21,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,224,0,0,0.0,0.0,2023-02-11T15:00:00Z,0,9,0,0,0,0,23,0,1146,0,0,2,0.0,0,-6,0,6,49,False,0,3,602
22,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,238,0,0,0.0,0.0,2023-02-18T15:00:00Z,0,13,0,0,0,0,24,0,1141,0,1,1,0.0,0,-5,0,5,49,True,0,3,602
23,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,250,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,19,0,0,0,0,25,0,1137,0,0,4,0.0,0,-4,0,4,49,False,0,3,602
24,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,258,0,0,0.0,0.0,2023-03-05T14:00:00Z,0,8,0,0,0,0,26,0,1133,0,2,2,0.0,0,-4,0,4,49,True,0,3,602
25,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,269,0,0,0.0,0.0,2023-03-11T15:00:00Z,0,18,0,0,0,0,27,0,1131,0,1,3,0.0,0,-2,0,2,49,False,0,3,602
26,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,278,0,0,0.0,0.0,2023-03-17T20:00:00Z,0,15,0,0,0,0,28,0,1131,0,2,1,0.0,0,0,0,0,49,True,0,3,602
27,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,289,0,0,0.0,0.0,2023-04-01T14:00:00Z,0,20,0,0,0,0,29,0,1128,0,1,1,0.0,0,-3,0,3,49,True,0,3,602
28,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,2023-04-04T18:45:00Z,0,11,0,0,0,0,29,0,1128,0,1,2,0.0,0,-3,0,3,49,False,0,3,602
29,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,291,0,0,0.0,0.0,2023-04-08T14:00:00Z,0,2,0,0,0,0,30,0,1126,0,0,2,0.0,0,-2,0,2,49,False,0,3,602
30,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,306,0,0,0.0,0.0,2023-04-16T15:30:00Z,0,14,0,0,0,0,31,0,1124,0,2,0,0.0,0,-2,0,2,49,True,0,3,602
31,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,318,0,0,0.0,0.0,2023-04-22T14:00:00Z,0,12,0,0,0,0,32,0,1122,0,2,3,0.0,0,-1,0,1,49,False,0,3,602
32,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,324,0,0,0.0,0.0,2023-04-26T18:30:00Z,0,5,0,0,0,0,33,0,1122,0,1,3,0.0,0,-1,0,1,49,True,0,3,602
33,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,333,0,0,0.0,0.0,2023-04-29T14:00:00Z,0,4,0,0,0,0,34,0,1122,0,1,2,0.0,0,0,0,0,49,False,0,3,602
34,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,347,0,0,0.0,0.0,2023-05-08T19:00:00Z,0,17,0,0,0,0,35,0,1122,0,3,4,0.0,0,0,0,0,49,True,0,3,602
35,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,354,0,0,0.0,0.0,2023-05-13T14:00:00Z,0,6,0,0,0,0,36,0,1122,0,2,2,0.0,0,0,0,0,49,False,0,3,602
36,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,367,0,0,0.0,0.0,2023-05-20T16:30:00Z,0,1,0,0,0,0,37,0,1121,0,0,1,0.0,0,-1,0,1,49,True,0,3,602
37,0,0,0,0,0.0,395,0.0,0.0,0.0,0.0,375,0,0,0.0,0.0,2023-05-28T15:30:00Z,0,7,0,0,0,0,38,0,1120,0,1,1,0.0,0,-1,0,1,49,False,0,3,602
38,0,0,7,0,1.2,602,0.00,0.03,0.03,1.52,26,2,0,1.1,3.0,2023-08-25T19:00:00Z,69,7,0,0,0,0,3,0,555513,1,0,3,7.0,1,-11313,24068,35381,40,False,0,3,602
39,0,0,5,0,4.3,602,0.03,0.03,0.00,0.20,38,1,0,0.9,2.4,2023-09-01T19:00:00Z,19,19,0,0,0,0,4,0,529397,0,2,1,2.0,1,-28769,19364,48133,40,True,0,3,602
40,0,0,17,0,47.5,602,0.37,0.40,0.03,0.98,44,1,0,7.7,24.8,2023-09-16T14:00:00Z,90,10,0,0,0,0,5,0,513034,1,0,1,5.0,2,-20411,18604,39015,40,False,0,3,602
41,1,0,14,0,3.2,602,0.01,0.06,0.05,0.59,58,1,0,1.5,8.2,2023-09-23T14:00:00Z,84,20,0,0,0,0,6,0,514736,1,1,1,4.0,5,349,28383,28034,40,True,0,3,602
42,0,0,10,0,0.4,602,0.00,0.00,0.00,2.90,63,1,0,2.6,25.8,2023-09-30T14:00:00Z,90,9,0,0,0,0,7,0,735317,1,2,1,0.0,1,201353,220822,19469,40,False,1,3,602
43,0,0,13,0,18.7,602,0.11,0.11,0.00,0.98,15,1,0,2.8,9.0,2023-10-03T18:30:00Z,61,6,0,0,0,0,7,0,735317,1,2,1,0.0,2,201353,220822,19469,40,True,0,3,602
44,0,0,0,0,0.0,602,0.00,0.00,0.00,0.00,77,0,0,0.0,0.0,2023-10-07T11:30:00Z,0,18,0,0,0,0,8,0,689637,0,1,0,0.0,0,-29981,104077,134058,40,True,0,3,602
45,0,0,5,0,14.8,602,0.01,0.01,0.00,0.49,88,1,0,2.0,5.6,2023-10-21T14:00:00Z,35,16,0,0,0,0,9,0,676373,0,2,2,0.0,1,-16466,34260,50726,40,False,0,3,602
