,Unnamed: 0,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position
0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566,0.0,0.0,108,0.0,0,0,0.0,5997.0,0.0,0.0,2017-11-05T12:00:00Z,05 Nov 12:00,0.0,0.0,0,0.0,0.0,6,0,0.0,0,0,0.0,0,11,0,0,0.0,0.0,0.0,0,1,0.0,0,0,0,0,40,True,0.0,0,,,,,,1
1,1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566,0.0,0.0,111,0.0,0,0,0.0,6563.0,0.0,0.0,2017-11-18T12:30:00Z,18 Nov 12:30,0.0,0.0,0,0.0,0.0,1,0,0.0,0,0,0.0,0,12,0,1480,0.0,0.0,0.0,0,2,0.0,0,992,1237,245,40,False,0.0,0,,,,,,1
2,2,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566,0.0,0.0,128,0.0,0,0,0.0,7132.0,0.0,0.0,2017-11-25T15:00:00Z,25 Nov 15:00,0.0,0.0,0,0.0,0.0,19,0,0.0,0,0,0.0,0,13,0,2341,0.0,0.0,0.0,1,1,0.0,0,562,876,314,40,True,0.0,0,,,,,,1
3,3,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566,0.0,0.0,132,0.0,0,0,0.0,7702.0,0.0,0.0,2017-11-28T19:45:00Z,28 Nov 19:45,0.0,0.0,0,0.0,0.0,9,0,0.0,0,0,0.0,0,14,0,2656,0.0,0.0,0.0,1,2,0.0,0,151,326,175,40,False,0.0,0,,,,,,1
4,4,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566,0.0,0.0,149,0.0,0,0,0.0,8273.0,0.0,0.0,2017-12-02T15:00:00Z,02 Dec 15:00,0.0,0.0,0,0.0,0.0,18,0,0.0,0,0,0.0,0,15,0,2937,0.0,0.0,0.0,1,1,0.0,0,118,283,165,40,False,0.0,0,,,,,,1
5,5,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566,0.0,0.0,158,0.0,0,0,0.0,8847.0,0.0,0.0,2017-12-09T15:00:00Z,09 Dec 15:00,0.0,0.0,0,0.0,0.0,15,0,0.0,0,0,0.0,0,16,0,3219,0.0,0.0,0.0,1,5,0.0,0,64,282,218,40,True,0.0,0,,,,,,1
6,6,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566,0.0,0.0,169,0.0,0,0,0.0,9424.0,0.0,0.0,2017-12-13T20:00:00Z,13 Dec 20:00,0.0,0.0,0,0.0,0.0,3,0,0.0,0,0,0.0,0,17,0,3397,0.0,0.0,0.0,0,2,0.0,0,55,217,162,40,True,0.0,0,,,,,,1
7,7,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566,0.0,0.0,177,0.0,0,0,0.0,10002.0,0.0,0.0,2017-12-16T17:30:00Z,16 Dec 17:30,0.0,0.0,0,0.0,0.0,11,0,0.0,0,0,0.0,0,18,0,3581,0.0,0.0,0.0,1,4,0.0,0,74,206,132,40,False,0.0,0,,,,,,1
8,8,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566,0.0,0.0,183,0.0,0,0,0.0,10582.0,0.0,0.0,2017-12-23T17:30:00Z,23 Dec 17:30,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0,0.0,0,19,0,3844,0.0,0.0,0.0,3,0,0.0,0,95,292,197,40,False,0.0,0,,,,,,1
9,9,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566,0.0,0.0,198,0.0,0,0,0.0,11167.0,0.0,0.0,2017-12-26T12:30:00Z,26 Dec 12:30,0.0,0.0,0,0.0,0.0,14,0,0.0,0,0,0.0,0,20,0,3979,0.0,0.0,0.0,2,5,0.0,0,47,178,131,40,True,0.0,0,,,,,,1
10,10,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566,0.0,0.0,219,0.0,0,0,0.0,12335.0,0.0,0.0,2018-01-02T19:45:00Z,02 Jan 19:45,0.0,0.0,0,0.0,0.0,16,0,0.0,0,0,0.0,0,22,0,4192,0.0,0.0,0.0,2,0,0.0,0,-66,204,270,40,False,0.0,0,,,,,,1
11,11,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566,0.0,0.0,208,0.0,0,0,0.0,12334.0,0.0,0.0,2018-01-04T20:00:00Z,04 Jan 20:00,0.0,0.0,0,0.0,0.0,20,0,0.0,0,0,0.0,0,22,0,4192,0.0,0.0,0.0,1,1,0.0,0,-66,204,270,40,True,0.0,0,,,,,,1
12,12,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566,0.0,0.0,228,0.0,0,0,0.0,12931.0,0.0,0.0,2018-01-13T17:30:00Z,13 Jan 17:30,0.0,0.0,0,0.0,0.0,7,0,0.0,0,0,0.0,0,23,0,4581,0.0,0.0,0.0,0,4,0.0,0,232,517,285,40,True,0.0,0,,,,,,1
13,13,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566,0.0,0.0,237,0.0,0,0,0.0,13529.0,0.0,0.0,2018-01-21T16:00:00Z,21 Jan 16:00,0.0,0.0,0,0.0,0.0,14,0,0.0,0,0,0.0,0,24,0,4742,0.0,0.0,0.0,1,1,0.0,0,60,261,201,40,False,0.0,0,,,,,,1
14,14,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,566,0.0,0.0,250,0.0,0,0,0.0,14132.0,0.0,0.0,2018-01-31T20:00:00Z,31 Jan 20:00,0.0,0.0,0,0.0,0.0,12,0,0.0,0,0,0.0,0,25,0,4966,0.0,0.0,0.0,0,2,0.0,0,76,261,185,40,True,0.0,0,,,,,,1
