,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position
0,0,0,0,0,0,0.0,695,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,2023-09-03T15:30:00Z,0,1,0,0,0,0,4,0,141,0,1,3,0.0,0,102,111,9,40,False,0,1
1,1,0,0,0,0,0.0,695,0.0,0.0,0.0,0.0,45,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,5,0,0,0,0,5,0,1395,0,3,1,0.0,0,672,830,158,40,True,0,1
2,2,0,0,0,0,0.0,695,0.0,0.0,0.0,0.0,54,0,0,0.0,0.0,2023-09-23T19:00:00Z,0,6,0,0,0,0,6,0,1644,0,1,0,0.0,0,169,300,131,40,False,0,1
3,3,0,0,0,0,0.0,695,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,8,0,0,0,0,7,0,1963,0,1,0,0.0,0,210,392,182,40,True,0,1
4,4,0,0,0,0,0.0,695,0.0,0.0,0.0,0.0,78,0,0,0.0,0.0,2023-10-07T14:00:00Z,0,4,0,0,0,0,8,0,2545,0,1,2,0.0,0,399,628,229,40,True,0,1
5,5,0,0,0,0,0.0,695,0.0,0.0,0.0,0.0,89,0,0,0.0,0.0,2023-10-21T19:00:00Z,0,17,0,0,0,0,9,0,2865,0,2,1,0.0,0,233,407,174,40,False,0,1
6,6,0,0,0,0,0.0,695,0.0,0.0,0.0,0.0,98,0,0,0.0,0.0,2023-10-29T15:30:00Z,0,13,0,0,0,0,10,0,3138,0,3,0,0.0,0,200,388,188,40,True,0,1
7,7,0,0,0,0,0.0,695,0.0,0.0,0.0,0.0,104,0,0,0.0,0.0,2023-11-04T12:30:00Z,0,10,0,0,0,0,11,0,3369,0,1,0,0.0,0,167,338,171,40,False,0,1
8,8,0,0,0,0,0.0,695,0.0,0.0,0.0,0.0,118,0,0,0.0,0.0,2023-11-11T15:00:00Z,0,12,0,0,0,0,12,0,3424,0,0,1,0.0,0,7,217,210,40,True,0,1
9,9,0,0,0,0,0.0,695,0.0,0.0,0.0,0.0,123,0,0,0.0,0.0,2023-11-26T16:30:00Z,0,9,0,0,0,0,13,0,4543,0,3,0,0.0,0,825,1161,336,40,False,0,1
10,10,0,0,0,0,0.0,695,0.0,0.0,0.0,0.0,138,0,0,0.0,0.0,2023-12-02T20:00:00Z,0,15,0,0,0,0,14,0,4375,0,0,1,0.0,0,-109,409,518,40,False,0,1
11,11,0,0,0,0,0.0,695,0.0,0.0,0.0,0.0,150,0,0,0.0,0.0,2023-12-06T20:15:00Z,0,7,0,0,0,0,15,0,4393,0,1,2,0.0,0,-8,218,226,40,True,0,1
12,12,0,0,0,0,0.0,695,0.0,0.0,0.0,0.0,157,0,0,0.0,0.0,2023-12-09T15:00:00Z,0,3,0,0,0,0,16,0,4310,0,3,0,0.0,0,-129,180,309,40,True,0,1
13,13,0,0,0,0,0.0,695,0.0,0.0,0.0,0.0,166,0,0,0.0,0.0,2023-12-17T16:30:00Z,0,11,0,0,0,0,17,0,4456,0,0,0,0.0,0,37,254,217,40,False,0,1
14,14,0,0,0,0,0.0,695,0.0,0.0,0.0,0.0,179,0,0,0.0,0.0,2023-12-23T12:30:00Z,0,19,0,0,0,0,18,0,4580,0,0,2,0.0,0,48,196,148,40,False,0,1
15,15,0,0,0,0,0.0,695,0.0,0.0,0.0,0.0,188,0,0,0.0,0.0,2023-12-26T20:00:00Z,0,2,0,0,0,0,19,0,4671,0,2,3,0.0,0,52,203,151,40,True,0,1
16,16,0,0,0,0,0.0,529,0.0,0.0,0.0,0.0,199,0,0,0.0,0.0,2024-01-02T19:30:00Z,0,5,0,0,0,0,20,0,8524,0,0,0,0.0,0,-99,97,196,43,True,0,1
17,17,0,0,0,0,0.0,529,0.0,0.0,0.0,0.0,181,0,0,0.0,0.0,2023-12-28T20:15:00Z,0,1,0,0,0,0,19,0,8593,0,2,0,0.0,0,-75,47,122,44,False,0,1
18,18,0,0,0,0,0.0,529,0.0,0.0,0.0,0.0,179,0,0,0.0,0.0,2023-12-23T12:30:00Z,0,14,0,0,0,0,18,0,8634,0,0,2,0.0,0,-170,49,219,44,True,0,1
19,19,0,0,0,0,0.0,529,0.0,0.0,0.0,0.0,170,0,0,0.0,0.0,2023-12-17T14:00:00Z,0,20,0,0,0,0,17,0,8771,0,0,3,0.0,0,-203,93,296,44,True,0,1
20,20,0,0,0,0,0.0,529,0.0,0.0,0.0,0.0,155,0,0,0.0,0.0,2023-12-10T14:00:00Z,0,10,0,0,0,0,16,0,8938,0,0,5,0.0,0,-122,102,224,44,False,0,1
21,21,0,0,0,0,0.0,529,0.0,0.0,0.0,0.0,148,0,0,0.0,0.0,2023-12-07T20:15:00Z,0,18,0,0,0,0,15,0,9033,0,2,1,0.0,0,-114,114,228,44,False,0,1
22,22,0,0,0,0,0.0,529,0.0,0.0,0.0,0.0,140,0,0,0.0,0.0,2023-12-03T14:00:00Z,0,8,0,0,0,0,14,0,9126,0,1,1,0.0,0,-76,146,222,44,True,0,1
23,23,0,0,0,0,0.0,529,0.0,0.0,0.0,0.0,122,0,0,0.0,0.0,2023-11-25T15:00:00Z,0,6,0,0,0,0,13,0,9148,0,2,1,0.0,0,-175,242,417,44,False,0,1
24,24,0,0,0,0,0.0,529,0.0,0.0,0.0,0.0,119,0,0,0.0,0.0,2023-11-12T14:00:00Z,0,16,0,0,0,0,12,0,9245,0,2,3,0.0,0,-265,185,450,44,True,0,1
