,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position
0,0,0,0,0,0,0.0,702,0.0,0.0,0.0,0.0,34,0,0,0.0,0.0,2023-09-02T14:00:00Z,0,6,0,0,0,0,4,0,0,0,5,2,0.0,0,0,0,0,40,False,0,2
1,1,0,0,0,0,0.0,702,0.0,0.0,0.0,0.0,48,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,17,0,0,0,0,5,0,4263,0,1,2,0.0,0,2060,2348,288,40,True,0,2
2,2,0,0,0,0,0.0,702,0.0,0.0,0.0,0.0,51,0,0,0.0,0.0,2023-09-24T13:00:00Z,0,1,0,0,0,0,6,0,5339,0,2,2,0.0,0,471,980,509,40,False,0,2
3,3,0,0,0,0,0.0,702,0.0,0.0,0.0,0.0,68,0,0,0.0,0.0,2023-09-30T16:30:00Z,0,11,0,0,0,0,7,0,6553,0,1,2,0.0,0,698,1356,658,40,True,0,2
4,4,0,0,0,0,0.0,702,0.0,0.0,0.0,0.0,77,0,0,0.0,0.0,2023-10-07T11:30:00Z,0,12,0,0,0,0,8,0,7319,0,1,0,0.0,0,295,1104,809,40,False,0,2
5,5,0,0,0,0,0.0,702,0.0,0.0,0.0,0.0,90,0,0,0.0,0.0,2023-10-23T19:00:00Z,0,10,0,0,0,0,9,0,8183,0,0,2,0.0,0,343,998,655,40,True,0,2
6,6,0,0,0,0,0.0,702,0.0,0.0,0.0,0.0,96,0,0,0.0,0.0,2023-10-27T19:00:00Z,0,8,0,0,0,0,10,0,8942,0,2,1,0.0,0,388,1049,661,40,False,0,2
7,7,0,0,0,0,0.0,702,0.0,0.0,0.0,0.0,110,0,0,0.0,0.0,2023-11-06T20:00:00Z,0,7,0,0,0,0,11,0,9414,0,4,1,0.0,0,192,889,697,40,True,0,2
8,8,0,0,0,0,0.0,702,0.0,0.0,0.0,0.0,120,0,0,0.0,0.0,2023-11-11T12:30:00Z,0,20,0,0,0,0,12,0,10376,0,1,2,0.0,0,614,1185,571,40,False,0,2
9,9,0,0,0,0,0.0,702,0.0,0.0,0.0,0.0,130,0,0,0.0,0.0,2023-11-26T14:00:00Z,0,2,0,0,0,0,13,0,10183,0,2,1,0.0,0,-333,621,954,40,True,0,2
10,10,0,0,0,0,0.0,702,0.0,0.0,0.0,0.0,137,0,0,0.0,0.0,2023-12-03T16:30:00Z,0,13,0,0,0,0,14,0,9260,0,3,3,0.0,0,-917,73,990,40,False,0,2
11,11,0,0,0,0,0.0,702,0.0,0.0,0.0,0.0,148,0,0,0.0,0.0,2023-12-07T20:15:00Z,0,19,0,0,0,0,15,0,8807,0,2,1,0.0,0,-486,37,523,40,True,0,2
12,12,0,0,0,0,0.0,702,0.0,0.0,0.0,0.0,159,0,0,0.0,0.0,2023-12-10T16:30:00Z,0,15,0,0,0,0,16,0,8472,0,1,4,0.0,0,-344,34,378,40,True,0,2
