,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position,player
0,0,0,0,0,0.0,737,0.0,0.0,0.0,0.0,213,0,0,0.0,0.0,2023-02-04T15:00:00Z,0,5,0,0,0,0,22,0,0,0,0,1,0.0,0,0,0,0,40,False,0,2,103
1,0,0,0,0,0.0,737,0.0,0.0,0.0,0.0,222,0,0,0.0,0.0,2023-02-11T17:30:00Z,0,15,0,0,0,0,23,0,402,0,1,1,0.0,0,259,285,26,40,True,0,2,103
2,0,0,0,0,0.0,737,0.0,0.0,0.0,0.0,240,0,0,0.0,0.0,2023-02-18T15:00:00Z,0,20,0,0,0,0,24,0,682,0,1,0,0.0,0,152,234,82,40,False,0,2,103
3,0,0,0,0,0.0,737,0.0,0.0,0.0,0.0,241,0,0,0.0,0.0,2023-02-25T17:30:00Z,0,13,0,0,0,0,25,0,1385,0,4,1,0.0,0,236,380,144,40,True,0,2,103
4,0,0,0,0,0.0,737,0.0,0.0,0.0,0.0,251,0,0,0.0,0.0,2023-03-04T15:00:00Z,0,1,0,0,0,0,26,0,1452,0,2,3,0.0,0,267,375,108,40,False,0,2,103
5,0,0,0,0,0.0,737,0.0,0.0,0.0,0.0,261,0,0,0.0,0.0,2023-03-11T12:30:00Z,0,12,0,0,0,0,27,0,1695,0,0,1,0.0,0,107,339,232,40,True,0,2,103
6,0,0,0,0,0.0,737,0.0,0.0,0.0,0.0,272,0,0,0.0,0.0,2023-03-18T15:00:00Z,0,2,0,0,0,0,28,0,2004,0,0,3,0.0,0,100,277,177,40,False,0,2,103
7,0,0,0,0,0.0,737,0.0,0.0,0.0,0.0,282,0,0,0.0,0.0,2023-04-01T14:00:00Z,0,9,0,0,0,0,29,0,2121,0,1,2,0.0,0,70,302,232,40,True,0,2,103
8,0,0,0,0,0.0,737,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2023-04-04T18:45:00Z,0,5,0,0,0,0,29,0,2121,0,2,0,0.0,0,70,302,232,40,True,0,2,103
9,0,0,0,0,0.0,737,0.0,0.0,0.0,0.0,295,0,0,0.0,0.0,2023-04-08T14:00:00Z,0,10,0,0,0,0,30,0,2187,0,1,0,0.0,0,3,183,180,40,False,0,2,103
10,0,0,0,0,0.0,737,0.0,0.0,0.0,0.0,308,0,0,0.0,0.0,2023-04-15T14:15:00Z,0,18,0,0,0,0,31,0,2404,0,3,2,0.0,0,106,240,134,40,False,0,2,103
11,0,0,0,0,0.0,737,0.0,0.0,0.0,0.0,312,0,0,0.0,0.0,2023-04-23T13:00:00Z,0,19,0,0,0,0,32,0,2739,0,4,0,0.0,0,122,248,126,40,True,0,2,103
12,0,0,0,0,0.0,737,0.0,0.0,0.0,0.0,330,0,0,0.0,0.0,2023-04-27T18:45:00Z,0,17,0,0,0,0,33,0,2735,0,1,0,0.0,0,108,236,128,40,False,0,2,103
13,0,0,0,0,0.0,737,0.0,0.0,0.0,0.0,332,0,0,0.0,0.0,2023-04-30T13:00:00Z,0,11,0,0,0,0,34,0,3029,0,1,4,0.0,0,164,330,166,40,True,0,2,103
