,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position
0,0,0,2,28,0,3.3,326,0.09,1.14,1.05,4.1,4,4,1,9.1,37.8,2023-08-12T14:00:00Z,90,5,0,0,0,0,1,0,106504,1,1,4,50.0,8,0,0,0,55,False,0,4
1,1,0,0,6,0,13.1,326,0.15,0.31,0.16,2.09,26,3,0,2.8,3.2,2023-08-25T19:00:00Z,90,7,0,0,0,0,3,0,135030,1,0,3,12.0,2,6396,21274,14878,55,False,0,4
2,2,1,0,21,0,14.3,326,0.13,0.28,0.15,1.06,38,2,0,5.3,22.4,2023-09-01T19:00:00Z,90,19,0,0,0,0,4,0,135852,1,2,1,16.0,5,-1009,17879,18888,55,True,0,4
3,3,0,0,0,0,2.1,326,0.0,0.09,0.09,0.93,44,1,0,0.6,0.0,2023-09-16T14:00:00Z,73,10,0,0,0,0,5,0,186790,1,0,1,6.0,2,47471,72843,25372,55,False,0,4
4,4,0,3,25,0,12.3,326,0.08,1.12,1.04,0.59,58,1,1,11.2,38.2,2023-09-23T14:00:00Z,90,20,0,0,0,0,6,0,212836,1,1,1,61.0,9,25351,53106,27755,55,True,0,4
5,5,0,2,25,0,1.8,326,0.02,0.31,0.29,2.77,63,1,1,6.4,31.8,2023-09-30T14:00:00Z,77,9,0,0,0,0,7,0,897829,1,2,1,30.0,8,643163,672468,29305,56,False,0,4
6,6,0,0,4,0,22.6,326,0.03,0.4,0.37,1.04,15,2,0,6.0,4.4,2023-10-03T18:30:00Z,90,6,0,0,0,0,7,0,897829,1,2,1,33.0,2,643163,672468,29305,56,True,0,4
7,7,0,0,1,0,13.9,326,0.07,0.27,0.2,1.99,77,1,0,5.0,3.2,2023-10-07T11:30:00Z,90,18,0,0,0,0,8,0,699071,1,1,0,33.0,1,-154739,80196,234935,56,True,1,4
8,8,0,0,4,0,2.4,326,0.03,0.21,0.18,2.97,88,2,0,1.3,0.0,2023-10-21T14:00:00Z,81,16,0,0,0,0,9,0,664513,1,2,2,11.0,2,-49827,53493,103320,56,False,0,4
9,9,0,0,0,0,0.1,326,0.0,0.0,0.0,1.97,92,3,0,0.0,0.0,2023-10-29T14:00:00Z,75,2,0,0,0,0,10,0,518199,1,1,3,0.0,2,-143696,12416,156112,55,False,0,4
10,10,0,0,2,1,10.8,326,0.01,0.23,0.22,2.75,105,0,0,3.6,3.4,2023-11-05T16:30:00Z,74,11,0,0,0,0,11,0,406081,1,1,1,22.0,2,-114035,5852,119887,54,True,0,4
11,11,0,0,3,0,11.6,326,0.01,0.16,0.15,2.12,118,1,0,5.2,8.6,2023-11-11T15:00:00Z,90,14,0,0,0,0,12,0,370881,1,0,1,32.0,2,-37483,16816,54299,54,False,0,4
12,12,1,0,13,1,11.6,326,0.01,0.08,0.07,0.53,125,0,0,2.9,13.8,2023-11-25T15:00:00Z,73,8,0,0,0,0,13,0,350063,1,1,2,4.0,5,-22067,18233,40300,53,True,0,4
13,13,0,0,7,0,0.4,326,0.0,0.0,0.0,1.68,133,2,0,1.2,11.6,2023-12-02T15:00:00Z,60,4,0,0,0,0,14,0,341792,1,1,3,0.0,2,-10737,17383,28120,53,False,0,4
14,14,0,0,5,0,0.2,326,0.0,0.0,0.0,0.71,146,1,0,0.7,6.4,2023-12-05T20:15:00Z,29,1,0,0,0,0,15,0,312488,0,4,3,0.0,1,-29314,5645,34959,53,True,0,4
15,15,0,0,2,0,0.0,326,0.0,0.0,0.0,0.07,156,0,0,0.0,0.0,2023-12-10T14:00:00Z,18,13,0,0,0,0,16,0,287671,0,2,1,0.0,1,-24835,6071,30906,52,True,0,4
16,16,0,0,-1,0,0.5,326,0.0,0.0,0.0,0.4,175,0,0,0.1,0.2,2023-12-23T15:00:00Z,10,15,0,0,0,0,18,0,246223,0,0,1,0.0,1,-17976,7474,25450,51,True,0,4
17,17,2,0,19,0,1.8,326,0.0,0.0,0.0,0.13,190,0,0,0.6,0.2,2023-12-26T15:00:00Z,19,17,0,0,0,0,19,0,237604,0,3,2,4.0,7,-10941,12742,23683,51,False,0,4
18,18,0,0,0,0,0.0,433,0.0,0.0,0.0,0.0,194,0,0,0.0,0.0,2024-01-01T20:00:00Z,0,11,0,0,0,0,20,0,446504,0,2,4,0.0,0,-104501,2458,106959,78,False,0,4
19,19,0,0,3,0,0.3,433,0.0,0.26,0.26,1.01,189,1,0,0.8,0.0,2023-12-26T12:30:00Z,35,16,0,0,0,0,19,0,552287,0,3,1,10.0,1,-12258,29287,41545,79,True,0,4
20,20,0,0,1,0,14.8,433,0.0,0.76,0.76,1.88,175,1,0,7.9,6.8,2023-12-23T15:00:00Z,90,12,0,0,0,0,18,0,603271,1,0,1,57.0,2,184932,191523,6591,78,False,0,4
21,21,0,0,-2,1,11.1,433,0.03,0.31,0.28,0.29,168,0,0,6.1,3.2,2023-12-16T15:00:00Z,90,10,0,0,0,0,17,0,377948,1,0,3,47.0,2,29705,38431,8726,78,True,0,4
22,22,1,0,12,0,20.8,433,0.05,0.19,0.14,1.58,159,1,0,6.5,23.0,2023-12-10T16:30:00Z,26,18,0,0,0,0,16,0,342979,0,1,4,21.0,4,-19549,245,19794,78,False,0,4
23,23,0,0,0,0,0.0,433,0.0,0.0,0.0,0.0,144,0,0,0.0,0.0,2023-12-07T19:30:00Z,0,9,0,0,0,0,15,0,362257,0,0,3,0.0,0,-30189,374,30563,78,False,0,4
24,24,0,0,0,0,0.0,433,0.0,0.0,0.0,0.0,138,0,0,0.0,0.0,2023-12-02T20:00:00Z,0,14,0,0,0,0,14,0,391002,0,0,1,0.0,0,-81506,618,82124,78,True,0,4
25,25,0,0,0,0,0.0,433,0.0,0.0,0.0,0.0,127,0,0,0.0,0.0,2023-11-25T15:00:00Z,0,7,0,0,0,0,13,0,466186,0,1,4,0.0,0,-136281,3816,140097,79,True,0,4
26,26,0,0,0,0,0.0,433,0.0,0.0,0.0,0.0,113,0,0,0.0,0.0,2023-11-11T17:30:00Z,0,3,0,0,0,0,12,0,610678,0,0,2,0.0,0,35018,105455,70437,79,False,0,4
27,27,0,0,8,1,1.1,433,0.01,0.1,0.09,0.53,107,0,0,0.6,2.4,2023-11-04T17:30:00Z,61,1,0,0,0,0,11,0,569861,1,0,1,2.0,2,65723,94474,28751,78,True,0,4
28,28,0,3,47,0,5.3,433,0.0,1.62,1.62,0.98,100,2,2,13.4,67.0,2023-10-28T16:30:00Z,90,20,0,0,0,0,10,0,499204,1,2,2,62.0,13,41261,68587,27326,78,False,0,4
29,29,0,0,23,1,1.4,433,0.01,0.75,0.74,0.39,87,0,1,5.7,29.2,2023-10-21T14:00:00Z,69,8,0,0,0,0,9,0,452959,1,0,4,26.0,6,13068,45375,32307,78,True,0,4
30,30,0,0,1,0,0.0,433,0.0,0.0,0.0,0.08,79,1,0,0.0,0.0,2023-10-08T13:00:00Z,4,19,0,0,0,0,8,0,427047,0,2,2,0.0,1,-147159,2612,149771,78,False,0,4
31,31,0,0,0,0,0.0,433,0.0,0.0,0.0,0.0,66,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,6,0,0,0,0,7,0,577943,0,0,2,0.0,0,-479,74213,74692,78,True,0,4
32,32,0,0,20,1,3.0,433,0.01,1.18,1.17,0.73,60,0,1,14.7,43.2,2023-09-24T15:30:00Z,69,17,0,0,0,0,6,0,579080,1,8,0,101.0,6,71481,101298,29817,78,False,0,4
33,33,0,0,23,1,4.7,433,0.08,1.06,0.98,0.54,46,0,1,7.5,33.0,2023-09-16T16:30:00Z,90,4,0,0,0,0,5,0,498144,1,0,1,37.0,5,-49753,14777,64530,78,True,1,4
34,34,0,1,27,0,0.5,433,0.0,0.45,0.45,0.18,33,2,1,5.3,33.2,2023-09-02T16:30:00Z,32,5,0,0,0,0,4,0,536178,0,1,3,19.0,6,-95206,5122,100328,79,False,0,4
35,35,0,0,0,0,0.0,433,0.0,0.1,0.1,0.56,29,2,0,0.3,0.0,2023-08-27T15:30:00Z,18,11,0,0,0,0,3,0,623141,0,2,1,8.0,1,-120597,12100,132697,79,True,0,4
36,36,0,0,3,0,11.3,433,0.0,0.0,0.0,0.28,16,0,0,1.4,3.0,2023-08-19T19:00:00Z,24,13,0,0,0,0,2,0,725447,0,0,1,0.0,1,-104732,26713,131445,80,False,0,4
