,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position,player
0,0,22.0,0.0,0.0,0,18,1,3.0,13.0,20.0,1.0,0.0,433,0.0,0.0,2,2.0,0,0,4.6,433.0,18.0,0.0,2016-08-13T14:00:00Z,13 Aug 15:00,0.0,0.0,90,0.0,2.0,5,0,0.0,0,0,3.0,0,1,0,98602,2.0,1.0,0.0,1,0,8.0,5,0,0,0,50,False,0.0,1,,,,,,2,551
1,0,28.0,0.0,0.0,0,11,0,6.0,14.0,1.0,0.0,0.0,433,0.0,0.0,18,0.0,2,0,3.4,958.0,15.8,0.0,2016-08-20T14:00:00Z,20 Aug 15:00,0.0,0.0,90,0.0,0.0,6,0,0.0,0,0,8.0,0,2,0,105459,2.0,1.0,0.0,2,1,17.0,1,205,3617,3412,50,True,0.0,0,,,,,,2,551
2,0,34.0,0.0,0.0,0,19,1,2.0,22.0,5.3,0.0,0.0,433,0.0,0.0,30,1.0,0,0,2.1,1498.0,3.2,0.0,2016-08-28T12:30:00Z,28 Aug 13:30,0.0,0.0,90,0.0,1.0,12,0,0.0,0,0,5.0,0,3,0,99360,0.0,0.0,1.0,0,0,12.0,6,-7290,1232,8522,50,True,0.0,0,,,,,,2,551
3,0,31.0,0.0,0.0,0,12,0,8.0,18.0,25.5,0.0,0.0,433,0.0,0.0,32,0.0,1,0,4.5,2048.0,17.6,2.0,2016-09-10T14:00:00Z,10 Sep 15:00,0.0,0.0,90,0.0,1.0,2,0,0.0,0,0,2.0,0,4,0,94854,1.0,0.0,0.0,0,1,2.0,2,-5670,2166,7836,50,False,0.0,0,,,,,,2,551
4,0,19.0,0.0,0.0,0,11,0,7.0,12.0,0.3,0.0,0.0,433,0.0,0.0,46,0.0,2,0,3.1,2629.0,30.8,0.0,2016-09-17T14:00:00Z,17 Sep 15:00,0.0,0.0,90,0.0,0.0,20,0,0.0,0,0,4.0,0,5,0,91433,0.0,2.0,0.0,2,4,0.0,0,-3826,657,4483,50,True,0.0,1,,,,,,2,551
5,0,19.0,0.0,0.0,0,10,0,7.0,10.0,4.9,0.0,0.0,433,0.0,0.0,56,1.0,1,0,3.0,3213.0,24.8,0.0,2016-09-24T14:00:00Z,24 Sep 15:00,0.0,0.0,90,0.0,1.0,14,0,0.0,0,0,1.0,0,6,0,84604,0.0,2.0,0.0,1,1,0.0,1,-7137,830,7967,50,False,0.0,1,,,,,,2,551
6,0,31.0,0.0,0.0,1,22,0,6.0,23.0,19.4,0.0,0.0,433,0.0,0.0,66,0.0,1,0,4.7,3799.0,25.2,1.0,2016-10-01T14:00:00Z,01 Oct 15:00,0.0,0.0,90,0.0,2.0,15,0,0.0,0,0,4.0,0,7,0,80811,1.0,4.0,0.0,1,1,2.0,3,-3989,517,4506,50,False,0.0,0,,,,,,2,551
7,0,22.0,0.0,0.0,0,10,0,5.0,7.0,1.8,0.0,0.0,433,0.0,0.0,80,0.0,1,0,2.4,4388.0,14.0,0.0,2016-10-15T14:00:00Z,15 Oct 15:00,0.0,0.0,90,1.0,0.0,17,0,0.0,0,0,2.0,0,8,0,77310,2.0,3.0,1.0,1,1,8.0,2,-3726,389,4115,49,True,0.0,0,,,,,,2,551
8,0,27.0,0.0,0.0,0,8,0,5.0,19.0,15.3,0.0,0.0,433,0.0,0.0,87,1.0,2,0,3.6,4980.0,18.6,0.0,2016-10-22T16:30:00Z,22 Oct 17:30,0.0,0.0,90,0.0,1.0,9,0,0.0,0,0,2.0,0,9,0,74937,0.0,0.0,0.0,1,2,2.0,1,-2555,478,3033,49,False,0.0,0,,,,,,2,551
9,0,25.0,0.0,0.0,0,8,0,2.0,18.0,1.1,0.0,0.0,433,0.0,0.0,100,1.0,4,0,1.1,5574.0,10.2,0.0,2016-10-29T14:00:00Z,29 Oct 15:00,0.0,0.0,90,0.0,0.0,10,0,0.0,0,0,3.0,0,10,0,72359,0.0,2.0,0.0,4,0,0.0,-1,-2685,201,2886,49,True,0.0,1,,,,,,2,551
