,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position
0,0,0,0,-2,0,0.0,699,346,1,0,0.1,0.0,2021-05-08T14:00:00Z,25,6,0,0,0,0,35,0,0,2,0,4.0,1,0,0,0,45,True,0,,,,,,4
1,1,0,1,29,1,10.8,699,351,0,1,11.5,44.2,2021-05-16T18:00:00Z,90,7,0,0,0,0,36,0,172,1,0,60.0,7,121,145,24,45,False,0,,,,,,4
2,2,0,0,3,0,2.6,699,365,1,0,1.0,7.0,2021-05-19T17:00:00Z,90,14,0,0,0,0,37,0,9059,0,1,0.0,2,8504,8922,418,45,False,0,,,,,,4
3,3,0,0,8,1,1.7,699,376,0,0,0.5,1.2,2021-05-23T15:00:00Z,78,4,0,0,0,0,38,0,13484,0,1,2.0,2,4258,6876,2618,45,True,0,,,,,,4
4,4,0,0,0,0,0.0,483,7,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,8,0,0,0,0,1,0,2004,1,0,0.0,0,0,0,0,50,True,0,0.0,0.0,0.0,0.0,0.0,4
5,5,0,0,0,0,0.0,483,17,0,0,0.0,0.0,2023-08-18T18:45:00Z,0,16,0,0,0,0,2,0,1682,1,2,0.0,0,-393,39,432,50,False,0,0.0,0.0,0.0,0.0,0.0,4
6,6,0,0,0,0,0.0,483,30,0,0,0.0,0.0,2023-08-27T13:00:00Z,0,13,0,0,0,0,3,0,1456,2,1,0.0,0,-246,37,283,49,True,0,0.0,0.0,0.0,0.0,0.0,4
7,7,0,0,0,0,0.0,483,40,0,0,0.0,0.0,2023-09-02T11:30:00Z,0,9,0,0,0,0,4,0,1344,2,2,0.0,0,-136,64,200,49,True,0,0.0,0.0,0.0,0.0,0.0,4
8,8,0,0,0,0,0.0,483,48,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,18,0,0,0,0,5,0,1250,1,2,0.0,0,-121,80,201,49,False,0,0.0,0.0,0.0,0.0,0.0,4
9,9,0,0,0,0,0.0,483,60,0,0,0.0,0.0,2023-09-24T15:30:00Z,0,15,0,0,0,0,6,0,1197,8,0,0.0,0,-69,36,105,49,True,0,0.0,0.0,0.0,0.0,0.0,4
10,10,0,0,0,0,0.0,483,69,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,19,0,0,0,0,7,0,1160,0,2,0.0,0,-51,58,109,49,False,0,0.0,0.0,0.0,0.0,0.0,4
11,11,0,0,0,0,0.0,483,76,0,0,0.0,0.0,2023-10-07T14:00:00Z,0,10,0,0,0,0,8,0,1211,1,3,0.0,0,32,142,110,48,False,0,0.0,0.0,0.0,0.0,0.0,4
12,12,0,0,0,0,0.0,483,89,0,0,0.0,0.0,2023-10-21T19:00:00Z,0,14,0,0,0,0,9,0,1178,2,1,0.0,0,-54,74,128,48,True,0,0.0,0.0,0.0,0.0,0.0,4
13,13,0,0,0,0,0.0,483,91,0,0,0.0,0.0,2023-10-28T14:00:00Z,0,1,0,0,0,0,10,0,1205,0,5,0.0,0,14,96,82,48,False,0,0.0,0.0,0.0,0.0,0.0,4
14,14,0,0,0,0,0.0,483,109,0,0,0.0,0.0,2023-11-04T15:00:00Z,0,20,0,0,0,0,11,0,1203,1,2,0.0,0,-6,134,140,48,True,0,0.0,0.0,0.0,0.0,0.0,4
15,15,0,0,0,0,0.0,483,114,0,0,0.0,0.0,2023-11-12T14:00:00Z,0,5,0,0,0,0,12,0,1203,1,1,0.0,0,-10,89,99,48,False,0,0.0,0.0,0.0,0.0,0.0,4
16,16,0,0,0,0,0.0,483,129,0,0,0.0,0.0,2023-11-25T15:00:00Z,0,3,0,0,0,0,13,0,1168,3,1,0.0,0,-45,58,103,48,True,0,0.0,0.0,0.0,0.0,0.0,4
17,17,0,0,0,0,0.0,483,134,0,0,0.0,0.0,2023-12-02T15:00:00Z,0,6,0,0,0,0,14,0,1181,0,5,0.0,0,10,65,55,48,False,0,0.0,0.0,0.0,0.0,0.0,4
18,18,0,0,0,0,0.0,483,147,0,0,0.0,0.0,2023-12-06T19:30:00Z,0,11,0,0,0,0,15,0,1191,2,0,0.0,0,1,50,49,48,True,0,0.0,0.0,0.0,0.0,0.0,4
19,19,0,0,0,0,0.0,483,158,0,0,0.0,0.0,2023-12-09T15:00:00Z,0,4,0,0,0,0,16,0,1218,0,1,0.0,0,25,77,52,48,True,0,0.0,0.0,0.0,0.0,0.0,4
20,20,0,0,0,0,0.0,483,165,0,0,0.0,0.0,2023-12-16T15:00:00Z,0,7,0,0,0,0,17,0,1323,0,2,0.0,0,97,170,73,48,False,0,0.0,0.0,0.0,0.0,0.0,4
21,21,0,0,0,0,0.0,483,171,0,0,0.0,0.0,2023-12-22T20:00:00Z,0,2,0,0,0,0,18,0,1359,1,1,0.0,0,29,135,106,48,False,0,0.0,0.0,0.0,0.0,0.0,4
22,22,0,0,0,0,0.0,483,190,0,0,0.0,0.0,2023-12-26T15:00:00Z,0,12,0,0,0,0,19,0,1318,3,2,0.0,0,-41,84,125,48,True,0,0.0,0.0,0.0,0.0,0.0,4
23,23,0,0,3,0,0.3,641,198,1,0,0.3,0.2,2023-12-31T14:00:00Z,8,3,0,0,0,0,20,0,7065,1,3,2.0,1,146,349,203,54,True,0,0.0,0.0,0.0,0.19,0.0,4
