,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position,player
0,0,0,19,0,3.3,495,15,2,1,6.3,36.2,2020-09-19T16:30:00Z,23,6,0,0,0,0,2,0,247988,3,1,23.0,6,23767,51212,27445,70,True,0,,,,,,3,522
1,0,0,3,0,0.1,495,19,1,0,0.2,0.0,2020-09-26T11:30:00Z,1,3,0,0,0,0,3,0,308691,3,2,2.0,1,27384,72384,45000,70,False,0,,,,,,3,522
2,0,0,4,0,0.8,495,35,1,0,0.9,2.6,2020-10-04T15:30:00Z,22,17,0,0,0,0,4,0,249660,6,1,6.0,1,-60916,11478,72394,70,True,0,,,,,,3,522
3,0,0,5,0,12.3,495,45,0,0,1.5,2.8,2020-10-17T19:00:00Z,14,14,0,0,0,0,5,0,207093,4,1,0.0,1,-49922,9351,59273,69,False,0,,,,,,3,522
4,0,0,0,0,0.0,495,55,0,0,0.0,0.0,2020-10-24T16:30:00Z,0,5,0,0,0,0,6,0,183400,0,0,0.0,0,-27208,4019,31227,69,True,0,,,,,,3,522
5,0,0,2,0,4.9,495,64,0,0,1.3,0.4,2020-11-01T16:30:00Z,15,1,0,0,0,0,7,0,162321,1,0,8.0,1,-23132,2058,25190,68,True,0,,,,,,3,522
6,0,0,0,0,0.0,495,73,0,0,0.0,0.0,2020-11-07T12:30:00Z,0,7,0,0,0,0,8,0,149345,3,1,0.0,0,-14044,1459,15503,68,False,0,,,,,,3,522
7,0,0,4,0,0.7,495,84,0,0,0.3,2.2,2020-11-21T20:00:00Z,11,18,0,0,0,0,9,0,137728,0,1,0.0,1,-12766,2013,14779,67,True,0,,,,,,3,522
8,0,0,12,0,3.9,495,96,2,0,3.0,16.0,2020-11-29T14:00:00Z,90,16,0,0,0,0,10,0,134348,3,2,10.0,2,-4259,1923,6182,67,False,0,,,,,,3,522
9,0,0,3,0,2.9,495,108,1,0,0.4,0.8,2020-12-05T17:30:00Z,45,19,0,0,0,0,11,0,133134,3,1,0.0,1,-2125,2923,5048,67,False,0,,,,,,3,522
10,0,0,0,0,0.0,495,115,0,0,0.0,0.0,2020-12-12T17:30:00Z,0,12,0,0,0,0,12,0,129051,0,0,0.0,0,-4393,1117,5510,67,True,0,,,,,,3,522
11,0,0,2,0,0.1,495,124,1,0,0.0,0.0,2020-12-17T20:00:00Z,10,15,0,0,0,0,13,0,127187,3,2,0.0,1,-2262,1413,3675,67,False,0,,,,,,3,522
12,0,0,8,0,10.3,495,134,1,0,2.3,12.2,2020-12-20T16:30:00Z,19,10,0,0,0,0,14,0,124747,2,6,0.0,1,-2649,773,3422,67,True,0,,,,,,3,522
13,0,0,0,0,0.0,495,143,0,0,0.0,0.0,2020-12-26T12:30:00Z,0,9,0,0,0,0,15,0,121786,2,2,0.0,0,-3376,1046,4422,66,False,0,,,,,,3,522
14,0,0,0,0,0.0,495,154,0,0,0.0,0.0,2020-12-29T20:00:00Z,0,20,0,0,0,0,16,0,120225,0,1,0.0,0,-1794,324,2118,66,True,0,,,,,,3,522
15,0,0,0,0,0.0,495,164,0,0,0.0,0.0,2021-01-01T20:00:00Z,0,2,0,0,0,0,17,0,118615,1,2,0.0,0,-1827,440,2267,66,True,0,,,,,,3,522
16,0,0,0,0,0.0,495,379,0,0,0.0,0.0,2021-01-12T20:15:00Z,0,4,0,0,0,0,18,0,116663,1,0,0.0,0,-2569,953,3522,66,False,0,,,,,,3,522
17,0,0,0,0,0.0,495,184,0,0,0.0,0.0,2021-01-17T16:30:00Z,0,11,0,0,0,0,19,0,115422,0,0,0.0,0,-1151,220,1371,66,False,0,,,,,,3,522
18,0,0,0,0,0.0,495,171,0,0,0.0,0.0,2021-01-20T20:15:00Z,0,8,0,0,0,0,19,0,115422,2,1,0.0,0,-1151,220,1371,66,False,0,,,,,,3,522
19,0,0,5,0,0.8,495,192,0,0,1.3,2.4,2021-01-27T20:15:00Z,7,15,0,0,0,0,20,0,113797,2,1,10.0,1,-1903,329,2232,66,True,0,,,,,,3,522
20,0,0,0,0,0.0,495,199,0,0,0.0,0.0,2021-01-30T17:30:00Z,0,1,0,0,0,0,21,0,112987,0,0,0.0,0,-971,130,1101,66,False,0,,,,,,3,522
21,0,0,-1,0,2.1,495,213,0,0,0.4,0.0,2021-02-02T20:15:00Z,45,16,0,0,0,0,22,0,112270,0,9,2.0,0,-840,146,986,66,True,1,,,,,,3,522
22,0,0,0,0,0.0,495,224,0,0,0.0,0.0,2021-02-06T20:00:00Z,0,7,0,0,0,0,23,0,111232,3,3,0.0,0,-1201,214,1415,66,True,0,,,,,,3,522
23,0,0,3,0,1.1,495,237,0,0,0.6,0.4,2021-02-14T14:00:00Z,11,18,0,0,0,0,24,0,110377,1,1,4.0,1,-1074,283,1357,66,False,0,,,,,,3,522
24,0,0,0,0,0.0,495,245,0,0,0.0,0.0,2021-02-21T19:00:00Z,0,14,0,0,0,0,25,0,109385,1,3,0.0,0,-1121,100,1221,66,True,0,,,,,,3,522
25,0,0,0,0,0.0,495,249,0,0,0.0,0.0,2021-02-28T16:30:00Z,0,5,0,0,0,0,26,0,108058,0,0,0.0,0,-1340,29,1369,66,False,0,,,,,,3,522
26,0,0,0,0,0.0,495,281,0,0,0.0,0.0,2021-03-03T20:15:00Z,0,6,0,0,0,0,26,0,108058,0,0,0.0,0,-1340,29,1369,66,False,0,,,,,,3,522
27,0,0,0,0,0.0,495,264,0,0,0.0,0.0,2021-03-07T16:30:00Z,0,12,0,0,0,0,27,0,107686,2,0,0.0,0,-550,130,680,66,False,0,,,,,,3,522
28,0,0,0,0,0.0,495,275,0,0,0.0,0.0,2021-03-14T19:15:00Z,0,19,0,0,0,0,28,0,106980,0,1,0.0,0,-726,19,745,66,True,0,,,,,,3,522
29,0,0,3,0,0.0,495,295,0,0,0.0,0.0,2021-04-04T18:30:00Z,8,3,0,0,0,0,30,0,106690,1,2,0.0,1,-113,173,286,66,True,0,,,,,,3,522
30,0,0,0,0,0.0,495,306,0,0,0.0,0.0,2021-04-11T15:30:00Z,0,17,0,0,0,0,31,0,106646,3,1,0.0,0,-129,102,231,66,False,0,,,,,,3,522
31,1,0,18,0,10.3,495,315,0,0,3.1,19.0,2021-04-18T15:00:00Z,6,4,0,0,0,0,32,0,106556,1,3,2.0,4,-192,118,310,66,True,0,,,,,,3,522
32,0,0,4,0,0.3,495,322,0,0,0.1,1.0,2021-04-25T13:00:00Z,1,10,0,0,0,0,33,0,106575,0,0,0.0,1,-39,152,191,66,False,0,,,,,,3,522
33,0,0,0,0,0.0,495,340,0,0,0.0,0.0,2021-05-09T13:05:00Z,0,2,0,0,0,0,35,0,107043,3,1,0.0,0,456,682,226,66,False,0,,,,,,3,522
34,0,0,12,0,1.8,495,352,2,0,1.2,10.4,2021-05-11T17:00:00Z,90,9,0,0,0,0,35,0,107043,2,1,0.0,2,456,682,226,66,True,0,,,,,,3,522
35,0,0,0,0,0.0,495,334,0,0,0.0,0.0,2021-05-13T19:15:00Z,0,11,0,0,0,0,35,0,107043,4,2,0.0,0,456,682,226,66,True,0,,,,,,3,522
36,0,0,3,0,0.0,495,364,0,0,0.0,0.4,2021-05-18T17:00:00Z,3,8,0,0,0,0,37,0,106873,1,1,0.0,1,69,300,231,66,True,0,,,,,,3,522
37,1,0,24,0,2.7,495,378,1,0,1.6,10.2,2021-05-23T15:00:00Z,90,20,0,0,0,0,38,0,108351,2,1,3.0,5,1349,1749,400,66,False,0,,,,,,3,522
38,0,0,0,0,0.0,282,6,0,0,0.0,0.0,2021-08-14T11:30:00Z,0,10,0,0,0,0,1,0,10131,1,5,0.0,0,0,0,0,60,True,0,,,,,,3,522
39,0,0,0,0,0.0,282,19,0,0,0.0,0.0,2021-08-22T13:00:00Z,0,16,0,0,0,0,2,0,10076,1,1,0.0,0,-2665,524,3189,59,False,0,,,,,,3,522
40,0,0,0,0,0.0,282,30,0,0,0.0,0.0,2021-08-29T15:30:00Z,0,20,0,0,0,0,3,0,9584,1,0,0.0,0,-1490,574,2064,59,False,0,,,,,,3,522
41,0,0,2,0,0.3,282,38,0,0,0.0,0.0,2021-09-11T14:00:00Z,5,14,0,0,0,0,4,0,9514,1,4,0.0,1,-1188,1036,2224,58,True,0,,,,,,3,522
42,0,0,0,0,0.0,282,49,0,0,0.0,0.0,2021-09-19T13:00:00Z,0,19,0,0,0,0,5,0,9583,2,1,0.0,0,-579,557,1136,58,False,0,,,,,,3,522
43,0,0,0,0,0.0,282,58,0,0,0.0,0.0,2021-09-25T11:30:00Z,0,2,0,0,0,0,6,0,9471,1,0,0.0,0,-542,404,946,58,True,0,,,,,,3,522
44,0,0,0,0,0.0,282,67,0,0,0.0,0.0,2021-10-02T11:30:00Z,0,8,0,0,0,0,7,0,9394,1,1,0.0,0,-407,232,639,57,True,0,,,,,,3,522
45,0,0,0,0,0.0,282,75,0,0,0.0,0.0,2021-10-16T14:00:00Z,0,9,0,0,0,0,8,0,9528,2,4,0.0,0,-264,342,606,57,False,0,,,,,,3,522
46,0,0,0,0,0.0,282,88,0,0,0.0,0.0,2021-10-24T15:30:00Z,0,11,0,0,0,0,9,0,9567,5,0,0.0,0,-205,236,441,57,True,0,,,,,,3,522
47,0,0,0,0,0.0,282,98,0,0,0.0,0.0,2021-10-30T16:30:00Z,0,17,0,0,0,0,10,0,9806,3,0,0.0,0,-150,409,559,57,False,0,,,,,,3,522
48,0,0,1,0,0.0,282,108,0,0,0.0,0.0,2021-11-06T12:30:00Z,10,12,0,0,0,0,11,0,10001,2,0,0.0,1,-93,293,386,57,True,0,,,,,,3,522
49,0,1,26,0,34.3,282,119,2,1,12.0,50.8,2021-11-20T15:00:00Z,45,18,0,0,0,0,12,0,11789,1,4,35.0,7,1267,1682,415,57,False,0,,,,,,3,522
50,0,0,4,0,0.0,282,125,0,0,0.2,2.0,2021-11-28T16:30:00Z,1,6,0,0,0,0,13,0,24305,1,1,0.0,1,11079,12438,1359,57,False,0,,,,,,3,522
51,0,0,2,0,0.0,282,134,0,0,0.0,0.0,2021-12-02T20:15:00Z,1,1,0,0,0,0,14,0,26961,2,3,0.0,1,2450,5187,2737,57,True,0,,,,,,3,522
52,0,0,4,0,0.8,282,144,0,0,0.5,4.4,2021-12-05T14:00:00Z,4,7,0,0,0,0,15,0,27156,0,1,0.0,1,-193,4078,4271,57,True,0,,,,,,3,522
53,0,0,5,0,0.0,282,160,0,0,0.3,3.2,2021-12-11T17:30:00Z,2,15,0,0,0,0,16,0,25149,1,0,0.0,1,-2375,2566,4941,57,False,0,,,,,,3,522
54,0,0,0,0,0.0,282,186,0,0,0.0,0.0,2021-12-27T20:00:00Z,0,14,0,0,0,0,19,0,19483,1,1,0.0,0,-963,543,1506,57,False,0,,,,,,3,522
55,0,0,0,0,0.0,282,198,0,0,0.0,0.0,2021-12-30T20:15:00Z,0,5,0,0,0,0,20,0,19743,1,3,0.0,0,-173,543,716,57,True,0,,,,,,3,522
56,0,0,0,0,0.0,282,208,0,0,0.0,0.0,2022-01-03T17:30:00Z,0,20,0,0,0,0,21,0,18418,1,0,0.0,0,-1050,350,1400,57,True,0,,,,,,3,522
