,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position,player
0,0,0,0,0,0.0,689,222,0,0,0.0,0.0,2022-01-22T15:00:00Z,0,3,0,0,0,0,23,0,125,2,1,0.0,0,91,115,24,55,False,0,,,,,,3,742
1,0,0,3,0,14.8,689,236,0,0,5.7,4.6,2022-02-10T19:45:00Z,28,1,0,0,0,0,24,0,263,1,0,38.0,1,54,119,65,55,True,0,,,,,,3,742
2,0,0,0,0,0.0,689,249,0,0,0.0,0.0,2022-02-13T14:00:00Z,0,17,0,0,0,0,25,0,345,2,0,0.0,0,52,95,43,55,False,0,,,,,,3,742
3,0,0,0,0,0.0,689,260,0,0,0.0,0.0,2022-02-20T16:30:00Z,0,9,0,0,0,0,26,0,436,1,2,0.0,0,33,107,74,55,True,0,,,,,,3,742
4,0,0,0,0,0.0,689,191,0,0,0.0,0.0,2022-02-24T19:45:00Z,0,1,0,0,0,0,26,0,436,1,2,0.0,0,33,107,74,55,False,0,,,,,,3,742
5,0,0,0,0,0.0,689,270,0,0,0.0,0.0,2022-02-27T14:00:00Z,0,19,0,0,0,0,27,0,439,0,1,0.0,0,-22,44,66,55,False,0,,,,,,3,742
6,0,0,-2,0,0.3,689,280,0,0,3.4,1.0,2022-03-05T15:00:00Z,11,7,0,0,0,0,28,0,467,2,0,33.0,1,-24,49,73,55,True,0,,,,,,3,742
7,1,0,12,0,10.3,689,190,0,0,3.0,17.2,2022-03-10T19:30:00Z,8,18,0,0,0,0,28,0,467,0,4,2.0,4,-24,49,73,55,True,0,,,,,,3,742
8,0,0,0,0,0.0,689,286,0,0,0.0,0.0,2022-03-13T14:00:00Z,0,8,0,0,0,0,29,0,515,1,0,0.0,0,3,66,63,55,False,0,,,,,,3,742
9,0,0,5,0,4.0,689,300,0,0,0.9,5.0,2022-03-18T20:00:00Z,1,10,0,0,0,0,30,0,746,3,2,0.0,1,84,133,49,55,True,0,,,,,,3,742
10,0,0,2,0,0.0,689,310,0,0,0.0,0.0,2022-04-02T14:00:00Z,1,2,0,0,0,0,31,0,640,1,2,0.0,1,-69,20,89,55,True,0,,,,,,3,742
11,0,0,0,0,0.0,689,317,0,0,0.0,0.0,2022-04-08T19:00:00Z,0,14,0,0,0,0,32,0,662,0,1,0.0,0,-7,27,34,55,False,0,,,,,,3,742
12,0,0,0,0,0.0,689,334,0,0,0.0,0.0,2022-04-24T13:00:00Z,0,5,0,0,0,0,34,0,690,0,1,0.0,0,-1,30,31,55,False,0,,,,,,3,742
13,0,0,0,0,0.0,689,350,0,0,0.0,0.0,2022-04-30T14:00:00Z,0,4,0,0,0,0,35,0,718,3,0,0.0,0,-3,27,30,55,True,0,,,,,,3,742
14,2,2,32,0,28.4,689,355,0,0,7.4,43.4,2022-05-07T14:00:00Z,19,6,0,0,0,0,36,0,773,2,2,2.0,9,23,57,34,55,False,0,,,,,,3,742
15,0,0,8,0,4.8,689,330,5,0,3.6,15.0,2022-05-11T19:15:00Z,90,12,0,0,0,0,36,0,773,5,1,16.0,2,23,57,34,55,True,0,,,,,,3,742
16,0,0,7,0,20.8,689,370,0,0,6.1,13.2,2022-05-15T13:00:00Z,45,15,0,0,0,0,37,0,2441,1,1,27.0,1,1085,1241,156,55,True,0,,,,,,3,742
17,0,0,0,0,0.0,689,378,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,11,0,0,0,0,38,0,1523,1,3,0.0,0,-396,107,503,55,False,0,,,,,,3,742
18,0,0,0,0,0.0,490,5,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,11,0,0,0,0,1,0,309,1,2,0.0,0,0,0,0,50,False,0,0.0,0.0,0.0,0.0,0.0,3,742
19,0,0,0,0,0.0,490,20,0,0,0.0,0.0,2022-08-13T14:00:00Z,0,9,0,0,0,0,2,0,290,0,0,0.0,0,-45,28,73,50,True,0,0.0,0.0,0.0,0.0,0.0,3,742
20,0,0,0,0,0.0,490,29,0,0,0.0,0.0,2022-08-20T11:30:00Z,0,18,0,0,0,0,3,0,307,0,1,0.0,0,1,52,51,50,False,0,0.0,0.0,0.0,0.0,0.0,3,742
21,0,0,0,0,0.0,490,40,0,0,0.0,0.0,2022-08-28T13:00:00Z,0,15,0,0,0,0,4,0,323,1,1,0.0,0,4,58,54,50,True,0,0.0,0.0,0.0,0.0,0.0,3,742
22,0,0,0,0,0.0,490,42,0,0,0.0,0.0,2022-08-31T18:30:00Z,0,3,0,0,0,0,5,0,309,0,0,0.0,0,-23,30,53,50,False,0,0.0,0.0,0.0,0.0,0.0,3,742
23,0,0,0,0,0.0,490,60,0,0,0.0,0.0,2022-09-03T14:00:00Z,0,17,0,0,0,0,6,0,305,0,1,0.0,0,-16,26,42,50,True,0,0.0,0.0,0.0,0.0,0.0,3,742
