,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position
0,0,0,0,9,1,15.5,479,1,0,0,2.5,5.4,2021-08-13T19:00:00Z,79,1,0,0,0,0,1,0,4896,0,2,4.0,3,0,0,0,50,True,0,,,,,,3
1,1,0,0,6,1,12.8,479,13,0,0,5.4,14.4,2021-08-21T14:00:00Z,69,7,0,0,0,0,2,0,7330,0,0,27.0,3,607,1633,1026,50,False,0,,,,,,3
2,2,0,0,0,0,0.0,479,21,0,0,0.0,0.0,2021-08-28T14:00:00Z,0,2,0,0,0,0,3,0,7524,1,1,0.0,0,-216,958,1174,50,False,0,,,,,,3
3,3,0,0,4,0,0.3,479,32,1,0,0.3,2.2,2021-09-11T14:00:00Z,15,4,0,0,0,0,4,0,5785,1,0,0.0,1,-1816,346,2162,50,True,0,,,,,,3
4,4,0,0,3,0,0.0,479,50,0,0,1.9,1.0,2021-09-18T11:30:00Z,22,20,0,0,0,0,5,0,5718,2,0,18.0,1,-365,491,856,49,False,0,,,,,,3
5,5,0,0,2,0,0.5,479,52,3,0,0.9,0.6,2021-09-25T16:30:00Z,67,11,0,0,0,0,6,0,5447,3,3,8.0,1,-382,371,753,49,True,1,,,,,,3
6,6,0,0,7,0,0.9,479,69,1,0,1.1,10.0,2021-10-03T13:00:00Z,81,19,0,0,0,0,7,0,5747,2,1,0.0,2,112,599,487,49,False,0,,,,,,3
7,7,0,0,4,0,1.0,479,73,1,0,0.3,1.8,2021-10-16T16:30:00Z,66,6,0,0,0,0,8,0,6163,1,0,0.0,2,276,781,505,49,True,0,,,,,,3
8,8,0,0,19,0,19.4,479,82,2,0,3.2,9.0,2021-10-24T13:00:00Z,75,9,0,0,0,0,9,0,6581,2,1,4.0,2,290,728,438,49,True,0,,,,,,3
9,9,0,0,4,0,3.4,479,92,3,0,1.2,1.0,2021-10-30T14:00:00Z,57,5,0,0,0,0,10,0,7003,1,3,8.0,1,254,918,664,49,False,0,,,,,,3
10,10,0,0,0,0,0.0,479,102,0,0,0.0,0.0,2021-11-06T15:00:00Z,0,15,0,0,0,0,11,0,6927,2,1,0.0,0,-141,402,543,49,True,0,,,,,,3
11,11,1,0,9,0,1.1,479,116,1,0,0.6,0.0,2021-11-20T15:00:00Z,31,14,0,0,0,0,12,0,6720,3,3,6.0,4,-302,361,663,49,False,0,,,,,,3
12,12,1,0,13,1,2.0,479,122,0,0,1.0,4.4,2021-11-28T14:00:00Z,90,8,0,0,0,0,13,0,7230,0,1,4.0,5,362,759,397,49,True,1,,,,,,3
13,13,0,0,3,0,0.6,479,140,1,0,0.4,3.2,2021-12-02T19:30:00Z,55,17,0,0,0,0,14,0,8964,0,2,0.0,1,1592,1938,346,49,False,0,,,,,,3
14,14,0,0,3,0,0.2,479,143,1,0,0.2,1.4,2021-12-05T14:00:00Z,21,10,0,0,0,0,15,0,9034,2,2,0.0,1,96,849,753,49,False,0,,,,,,3
15,15,0,0,-1,0,0.7,479,152,0,0,1.7,0.0,2021-12-10T20:00:00Z,13,18,0,0,0,0,16,0,9014,1,2,18.0,0,-132,721,853,49,True,1,,,,,,3
16,16,0,0,5,0,12.8,479,182,0,0,1.9,5.8,2021-12-26T20:00:00Z,45,4,0,0,0,0,19,0,7653,0,2,0.0,1,-220,192,412,49,False,0,,,,,,3
17,17,0,0,6,0,0.4,479,192,1,0,4.4,9.0,2021-12-29T20:15:00Z,74,12,0,0,0,0,20,0,7493,1,0,35.0,2,-112,128,240,49,True,0,,,,,,3
18,18,0,0,8,0,1.0,479,202,1,0,2.0,12.4,2022-01-02T14:00:00Z,79,2,0,0,0,0,21,0,8002,1,2,7.0,1,174,546,372,49,True,1,,,,,,3
19,19,0,0,0,0,0.0,479,176,0,0,0.0,0.0,2022-01-11T19:45:00Z,0,16,0,0,0,0,21,0,8002,1,4,0.0,0,174,546,372,49,False,0,,,,,,3
20,20,0,0,0,0,0.0,479,214,0,0,0.0,0.0,2022-01-16T14:00:00Z,0,11,0,0,0,0,22,0,6453,0,3,0.0,0,-1042,27,1069,49,False,0,,,,,,3
21,21,0,0,0,0,0.0,479,162,0,0,0.0,0.0,2022-01-19T20:00:00Z,0,13,0,0,0,0,22,0,6453,3,1,0.0,0,-1042,27,1069,49,True,0,,,,,,3
22,22,0,0,0,0,0.0,479,222,0,0,0.0,0.0,2022-01-22T15:00:00Z,0,20,0,0,0,0,23,0,6223,2,1,0.0,0,-452,32,484,49,True,0,,,,,,3
23,23,0,0,8,0,0.6,479,238,2,0,4.7,11.4,2022-02-09T19:45:00Z,69,12,0,0,0,0,24,0,6103,0,2,35.0,2,-167,42,209,49,False,0,,,,,,3
24,24,0,0,0,0,0.0,479,241,0,0,0.0,0.0,2022-02-12T15:00:00Z,0,7,0,0,0,0,25,0,6059,0,0,0.0,0,-59,63,122,49,True,0,,,,,,3
25,25,0,0,0,0,0.0,479,251,0,0,0.0,0.0,2022-02-19T15:00:00Z,0,1,0,0,0,0,26,0,5967,1,2,0.0,0,-102,40,142,49,False,0,,,,,,3
26,26,0,0,0,0,0.0,479,262,0,0,0.0,0.0,2022-02-26T15:00:00Z,0,14,0,0,0,0,27,0,5931,2,0,0.0,0,-88,44,132,49,True,0,,,,,,3
27,27,0,0,2,0,0.3,479,277,1,0,0.0,0.0,2022-03-05T15:00:00Z,31,15,0,0,0,0,28,0,5849,3,1,0.0,1,-101,18,119,49,False,0,,,,,,3
28,28,0,0,3,0,0.0,479,282,0,0,0.0,0.0,2022-03-12T15:00:00Z,1,5,0,0,0,0,29,0,5785,0,2,0.0,1,-59,48,107,49,True,0,,,,,,3
29,29,0,0,0,0,0.0,479,293,0,0,0.0,0.0,2022-03-20T14:00:00Z,0,9,0,0,0,0,30,0,5807,1,2,0.0,0,-28,33,61,49,False,0,,,,,,3
30,30,0,0,0,0,0.0,479,303,0,0,0.0,0.0,2022-04-02T14:00:00Z,0,6,0,0,0,0,31,0,5747,4,1,0.0,0,-53,28,81,49,False,0,,,,,,3
31,31,0,0,0,0,0.0,479,313,0,0,0.0,0.0,2022-04-10T13:00:00Z,0,19,0,0,0,0,32,0,5706,0,2,0.0,0,-52,3,55,49,True,0,,,,,,3
32,32,0,0,0,0,0.0,479,328,0,0,0.0,0.0,2022-04-16T14:00:00Z,0,18,0,0,0,0,33,0,5607,2,1,0.0,0,-95,10,105,49,False,0,,,,,,3
33,33,0,0,0,0,0.0,479,332,0,0,0.0,0.0,2022-04-23T16:30:00Z,0,17,0,0,0,0,34,0,5536,0,0,0.0,0,-71,6,77,49,True,0,,,,,,3
34,34,0,0,0,0,0.0,479,344,0,0,0.0,0.0,2022-05-02T19:00:00Z,0,13,0,0,0,0,35,0,5482,0,3,0.0,0,-58,2,60,49,False,0,,,,,,3
35,35,0,0,0,0,0.0,479,352,0,0,0.0,0.0,2022-05-07T14:00:00Z,0,16,0,0,0,0,36,0,5418,0,3,0.0,0,-63,12,75,49,True,0,,,,,,3
36,36,0,0,0,0,0.0,479,362,0,0,0.0,0.0,2022-05-15T15:30:00Z,0,8,0,0,0,0,37,0,5380,3,2,0.0,0,-40,7,47,49,False,0,,,,,,3
37,37,0,0,0,0,0.0,479,372,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,10,0,0,0,0,38,0,5347,2,1,0.0,0,-33,9,42,49,True,0,,,,,,3
38,38,0,0,0,0,0.0,93,6,0,0,0.0,0.0,2022-08-07T13:00:00Z,0,10,0,0,0,0,1,0,2931,2,2,0.0,0,0,0,0,50,False,0,0.0,0.0,0.0,0.0,0.0,3
39,39,0,0,3,0,0.7,93,13,0,0,0.1,0.0,2022-08-13T16:30:00Z,10,14,0,0,0,0,2,0,3306,0,4,0.0,1,-379,159,538,50,True,0,0.0,0.0,0.0,0.18,0.0,3
40,40,0,0,0,0,0.0,93,24,0,0,0.0,0.0,2022-08-20T14:00:00Z,0,9,0,0,0,0,3,0,3788,2,3,0.0,0,-43,555,598,50,False,0,0.0,0.0,0.0,0.0,0.0,3
41,41,0,0,0,0,0.0,93,33,0,0,0.0,0.0,2022-08-27T14:00:00Z,0,8,0,0,0,0,4,0,3659,1,1,0.0,0,-446,246,692,49,True,0,0.0,0.0,0.0,0.0,0.0,3
