,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position
0,0,0,0,0,0,0.0,215,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2023-08-13T15:30:00Z,0,11,0,0,0,0,1,0,6837,0,1,1,0.0,0,0,0,0,40,True,0,1
1,1,0,0,0,0,0.0,215,0.0,0.0,0.0,0.0,19,0,0,0.0,0.0,2023-08-20T15:30:00Z,0,19,0,0,0,0,2,0,5353,0,1,3,0.0,0,-1404,0,1404,40,False,0,1
2,2,0,0,0,0,0.0,215,0.0,0.0,0.0,0.0,26,0,0,0.0,0.0,2023-08-25T19:00:00Z,0,12,0,0,0,0,3,0,4820,0,0,3,0.0,0,-580,0,580,40,True,0,1
3,3,0,0,0,0,0.0,215,0.0,0.0,0.0,0.0,35,0,0,0.0,0.0,2023-09-02T14:00:00Z,0,16,0,0,0,0,4,0,4348,0,1,0,0.0,0,-486,0,486,40,True,0,1
4,4,0,0,0,0,0.0,215,0.0,0.0,0.0,0.0,42,0,0,0.0,0.0,2023-09-17T13:00:00Z,0,3,0,0,0,0,5,0,4121,0,0,0,0.0,0,-259,0,259,40,False,0,1
5,5,0,0,0,0,0.0,215,0.0,0.0,0.0,0.0,55,0,0,0.0,0.0,2023-09-24T13:00:00Z,0,2,0,0,0,0,6,0,3945,0,1,0,0.0,0,-181,0,181,40,True,0,1
6,6,0,0,0,0,0.0,215,0.0,0.0,0.0,0.0,64,0,0,0.0,0.0,2023-10-02T19:00:00Z,0,10,0,0,0,0,7,0,3767,0,2,0,0.0,0,-179,0,179,40,False,0,1
7,7,0,0,0,0,0.0,215,0.0,0.0,0.0,0.0,73,0,0,0.0,0.0,2023-10-07T14:00:00Z,0,6,0,0,0,0,8,0,3558,0,4,1,0.0,0,-197,0,197,40,False,0,1
8,8,0,0,0,0,0.0,215,0.0,0.0,0.0,0.0,84,0,0,0.0,0.0,2023-10-21T16:30:00Z,0,1,0,0,0,0,9,0,3468,0,2,2,0.0,0,-110,0,110,40,True,0,1
9,9,0,0,0,0,0.0,215,0.0,0.0,0.0,0.0,95,0,0,0.0,0.0,2023-10-28T11:30:00Z,0,4,0,0,0,0,10,0,3348,0,2,0,0.0,0,-119,0,119,40,True,0,1
10,10,0,0,0,0,0.0,215,0.0,0.0,0.0,0.0,110,0,0,0.0,0.0,2023-11-06T20:00:00Z,0,18,0,0,0,0,11,0,3267,0,4,1,0.0,0,-85,0,85,40,False,0,1
11,11,0,0,0,0,0.0,215,0.0,0.0,0.0,0.0,115,0,0,0.0,0.0,2023-11-12T16:30:00Z,0,13,0,0,0,0,12,0,3197,0,4,4,0.0,0,-67,0,67,40,True,0,1
12,12,0,0,0,0,0.0,215,0.0,0.0,0.0,0.0,127,0,0,0.0,0.0,2023-11-25T15:00:00Z,0,15,0,0,0,0,13,0,3108,0,1,4,0.0,0,-87,0,87,40,False,0,1
13,13,0,0,0,0,0.0,215,0.0,0.0,0.0,0.0,135,0,0,0.0,0.0,2023-12-03T14:00:00Z,0,5,0,0,0,0,14,0,3047,0,2,3,0.0,0,-68,0,68,40,True,0,1
14,14,0,0,0,0,0.0,215,0.0,0.0,0.0,0.0,150,0,0,0.0,0.0,2023-12-06T20:15:00Z,0,14,0,0,0,0,15,0,3007,0,1,2,0.0,0,-42,0,42,40,False,0,1
15,15,0,0,0,0,0.0,215,0.0,0.0,0.0,0.0,154,0,0,0.0,0.0,2023-12-10T14:00:00Z,0,9,0,0,0,0,16,0,2958,0,0,2,0.0,0,-49,0,49,40,False,0,1
16,16,0,0,0,0,0.0,215,0.0,0.0,0.0,0.0,165,0,0,0.0,0.0,2023-12-16T15:00:00Z,0,17,0,0,0,0,17,0,2904,0,0,2,0.0,0,-47,0,47,40,True,0,1
17,17,0,0,0,0,0.0,215,0.0,0.0,0.0,0.0,180,0,0,0.0,0.0,2023-12-24T13:00:00Z,0,20,0,0,0,0,18,0,2874,0,1,2,0.0,0,-33,0,33,40,False,0,1
18,18,0,0,0,0,0.0,215,0.0,0.0,0.0,0.0,186,0,0,0.0,0.0,2023-12-27T19:30:00Z,0,8,0,0,0,0,19,0,2851,0,1,2,0.0,0,-26,0,26,40,True,0,1
19,19,0,0,6,0,17.5,259,0.11,0.2,0.09,1.95,200,3,0,2.3,0.0,2023-12-30T15:00:00Z,73,20,0,0,0,0,20,0,75396,1,0,3,6.0,1,19242,24592,5350,54,False,1,1
20,20,1,0,22,0,24.9,259,0.13,0.13,0.0,2.6,187,3,0,5.5,28.4,2023-12-27T20:15:00Z,90,13,0,0,0,0,19,0,54535,1,3,1,2.0,5,2454,7881,5427,54,True,0,1
21,21,0,0,9,0,36.5,259,0.2,0.26,0.06,1.34,178,2,0,5.6,11.8,2023-12-23T15:00:00Z,90,18,0,0,0,0,18,0,51863,1,1,2,8.0,2,5883,10899,5016,54,False,0,1
22,22,1,0,20,1,15.7,259,0.22,0.29,0.07,0.77,164,0,0,5.2,27.2,2023-12-16T17:30:00Z,90,6,0,0,0,0,17,0,46899,1,2,0,9.0,6,16108,19172,3064,54,False,0,1
23,23,0,0,11,1,21.9,259,0.28,0.37,0.09,0.93,154,0,0,4.7,16.4,2023-12-10T14:00:00Z,90,7,0,0,0,0,16,0,28571,1,0,2,9.0,3,19017,19854,837,54,True,0,1
24,24,1,3,50,1,57.9,259,0.28,0.49,0.21,1.58,144,0,1,15.0,62.8,2023-12-07T19:30:00Z,90,15,0,0,0,0,15,0,8319,1,0,3,29.0,14,936,1534,598,54,True,0,1
25,25,0,0,16,1,3.3,259,0.03,0.21,0.18,0.71,139,0,1,7.4,36.8,2023-12-02T17:30:00Z,90,16,0,0,0,0,14,0,7240,1,1,0,34.0,8,201,733,532,54,False,0,1
26,26,0,0,7,0,16.5,259,0.1,0.44,0.34,1.22,123,2,0,6.4,9.0,2023-11-26T16:30:00Z,72,14,0,0,0,0,13,0,6935,1,3,0,38.0,2,-668,264,932,54,True,0,1
27,27,0,0,7,0,13.6,259,0.08,0.12,0.04,2.24,116,2,0,4.7,14.6,2023-11-11T15:00:00Z,90,8,0,0,0,0,12,0,7558,1,3,2,19.0,2,-60,806,866,54,False,0,1
28,28,0,0,3,0,15.7,259,0.11,0.16,0.05,0.53,103,1,0,2.9,10.0,2023-11-04T15:00:00Z,90,5,0,0,0,0,11,0,7557,1,1,1,3.0,2,425,996,571,54,True,0,1
29,29,0,0,13,1,48.4,259,0.19,0.29,0.1,0.66,99,0,0,8.8,28.8,2023-10-29T13:00:00Z,90,19,0,0,0,0,10,0,6952,1,1,0,11.0,3,-1155,169,1324,54,False,0,1
30,30,0,0,9,0,14.0,259,0.06,0.08,0.02,0.52,85,0,0,2.4,8.0,2023-10-21T11:30:00Z,45,11,0,0,0,0,9,0,8017,1,0,2,2.0,1,-2068,382,2450,54,False,0,1
31,31,0,0,17,1,81.7,259,0.67,0.86,0.19,0.72,75,0,0,14.0,27.2,2023-10-07T14:00:00Z,90,3,0,0,0,0,8,0,10042,1,0,3,31.0,3,-117,2083,2200,54,True,0,1
32,32,0,0,14,0,33.2,259,0.75,0.87,0.12,0.89,63,2,0,6.2,16.6,2023-09-30T14:00:00Z,83,12,0,0,0,0,7,0,10247,1,2,1,12.0,2,4506,5549,1043,54,True,0,1
33,33,1,0,23,0,26.1,259,0.29,0.39,0.1,1.04,52,1,0,6.1,22.8,2023-09-23T16:30:00Z,90,4,0,0,0,0,6,0,5091,1,3,1,12.0,5,477,706,229,54,False,0,1
