,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position,player
0,0,0,0,0,0.0,95,1,0,0,0.0,0.0,2021-08-13T19:00:00Z,0,1,0,0,0,0,1,0,3289,0,2,0.0,0,0,0,0,55,True,0,,,,,,4,118
1,0,0,0,0,0.0,95,13,0,0,0.0,0.0,2021-08-21T14:00:00Z,0,7,0,0,0,0,2,0,3436,0,0,0.0,0,-416,544,960,55,False,0,,,,,,4,118
2,0,0,0,0,0.0,95,21,0,0,0.0,0.0,2021-08-28T14:00:00Z,0,2,0,0,0,0,3,0,3138,1,1,0.0,0,-487,364,851,54,False,0,,,,,,4,118
3,0,0,0,0,0.0,95,32,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,4,0,0,0,0,4,0,2374,1,0,0.0,0,-842,351,1193,54,True,0,,,,,,4,118
4,0,0,0,0,0.0,95,50,0,0,0.0,0.0,2021-09-18T11:30:00Z,0,20,0,0,0,0,5,0,1874,2,0,0.0,0,-541,0,541,54,False,0,,,,,,4,118
5,0,0,0,0,0.0,95,52,0,0,0.0,0.0,2021-09-25T16:30:00Z,0,11,0,0,0,0,6,0,1604,3,3,0.0,0,-286,0,286,54,True,0,,,,,,4,118
6,0,0,0,0,0.0,95,69,0,0,0.0,0.0,2021-10-03T13:00:00Z,0,19,0,0,0,0,7,0,1455,2,1,0.0,0,-150,0,150,54,False,0,,,,,,4,118
7,0,0,0,0,0.0,95,73,0,0,0.0,0.0,2021-10-16T16:30:00Z,0,6,0,0,0,0,8,0,1370,1,0,0.0,0,-91,0,91,54,True,0,,,,,,4,118
8,0,0,0,0,0.0,95,82,0,0,0.0,0.0,2021-10-24T13:00:00Z,0,9,0,0,0,0,9,0,1320,2,1,0.0,0,-50,0,50,54,True,0,,,,,,4,118
9,0,0,0,0,0.0,95,92,0,0,0.0,0.0,2021-10-30T14:00:00Z,0,5,0,0,0,0,10,0,1273,1,3,0.0,0,-49,0,49,54,False,0,,,,,,4,118
10,0,0,0,0,0.0,95,102,0,0,0.0,0.0,2021-11-06T15:00:00Z,0,15,0,0,0,0,11,0,1240,2,1,0.0,0,-35,0,35,54,True,0,,,,,,4,118
11,0,0,0,0,0.0,95,116,0,0,0.0,0.0,2021-11-20T15:00:00Z,0,14,0,0,0,0,12,0,1207,3,3,0.0,0,-32,0,32,54,False,0,,,,,,4,118
12,0,0,0,0,0.0,95,122,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,8,0,0,0,0,13,0,1186,0,1,0.0,0,-22,0,22,54,True,0,,,,,,4,118
13,0,0,0,0,0.0,95,140,0,0,0.0,0.0,2021-12-02T19:30:00Z,0,17,0,0,0,0,14,0,1179,0,2,0.0,0,-8,0,8,54,False,0,,,,,,4,118
14,0,0,0,0,0.0,95,143,0,0,0.0,0.0,2021-12-05T14:00:00Z,0,10,0,0,0,0,15,0,1167,2,2,0.0,0,-13,0,13,54,False,0,,,,,,4,118
15,0,0,0,0,0.0,95,152,0,0,0.0,0.0,2021-12-10T20:00:00Z,0,18,0,0,0,0,16,0,1147,1,2,0.0,0,-20,0,20,54,True,0,,,,,,4,118
16,0,0,0,0,0.0,95,182,0,0,0.0,0.0,2021-12-26T20:00:00Z,0,4,0,0,0,0,19,0,1121,0,2,0.0,0,-8,0,8,54,False,0,,,,,,4,118
17,0,0,0,0,0.0,95,192,0,0,0.0,0.0,2021-12-29T20:15:00Z,0,12,0,0,0,0,20,0,1120,1,0,0.0,0,-2,0,2,54,True,0,,,,,,4,118
18,0,0,0,0,0.0,95,202,0,0,0.0,0.0,2022-01-02T14:00:00Z,0,2,0,0,0,0,21,0,1116,1,2,0.0,0,-3,0,3,54,True,0,,,,,,4,118
19,0,0,0,0,0.0,95,176,0,0,0.0,0.0,2022-01-11T19:45:00Z,0,16,0,0,0,0,21,0,1116,1,4,0.0,0,-3,0,3,54,False,0,,,,,,4,118
20,0,0,0,0,0.0,95,214,0,0,0.0,0.0,2022-01-16T14:00:00Z,0,11,0,0,0,0,22,0,1104,0,3,0.0,0,-12,0,12,54,False,0,,,,,,4,118
21,0,0,0,0,0.0,95,162,0,0,0.0,0.0,2022-01-19T20:00:00Z,0,13,0,0,0,0,22,0,1104,3,1,0.0,0,-12,0,12,54,True,0,,,,,,4,118
22,0,0,0,0,0.0,95,222,0,0,0.0,0.0,2022-01-22T15:00:00Z,0,20,0,0,0,0,23,0,1101,2,1,0.0,0,-4,0,4,54,True,0,,,,,,4,118
23,0,0,0,0,0.0,95,238,0,0,0.0,0.0,2022-02-09T19:45:00Z,0,12,0,0,0,0,24,0,1091,0,2,0.0,0,-10,0,10,54,False,0,,,,,,4,118
24,0,0,0,0,0.0,95,241,0,0,0.0,0.0,2022-02-12T15:00:00Z,0,7,0,0,0,0,25,0,1090,0,0,0.0,0,-1,0,1,54,True,0,,,,,,4,118
25,0,0,0,0,0.0,95,251,0,0,0.0,0.0,2022-02-19T15:00:00Z,0,1,0,0,0,0,26,0,1085,1,2,0.0,0,-5,0,5,54,False,0,,,,,,4,118
26,0,0,0,0,0.0,95,262,0,0,0.0,0.0,2022-02-26T15:00:00Z,0,14,0,0,0,0,27,0,1080,2,0,0.0,0,-4,0,4,54,True,0,,,,,,4,118
27,0,0,0,0,0.0,95,277,0,0,0.0,0.0,2022-03-05T15:00:00Z,0,15,0,0,0,0,28,0,1080,3,1,0.0,0,-1,0,1,54,False,0,,,,,,4,118
28,0,0,0,0,0.0,95,282,0,0,0.0,0.0,2022-03-12T15:00:00Z,0,5,0,0,0,0,29,0,1078,0,2,0.0,0,-2,0,2,54,True,0,,,,,,4,118
29,0,0,0,0,0.0,95,293,0,0,0.0,0.0,2022-03-20T14:00:00Z,0,9,0,0,0,0,30,0,1073,1,2,0.0,0,-3,0,3,54,False,0,,,,,,4,118
30,0,0,0,0,0.0,95,303,0,0,0.0,0.0,2022-04-02T14:00:00Z,0,6,0,0,0,0,31,0,1073,4,1,0.0,0,-2,0,2,54,False,0,,,,,,4,118
31,0,0,0,0,0.0,95,313,0,0,0.0,0.0,2022-04-10T13:00:00Z,0,19,0,0,0,0,32,0,1072,0,2,0.0,0,-1,0,1,54,True,0,,,,,,4,118
32,0,0,0,0,0.0,95,328,0,0,0.0,0.0,2022-04-16T14:00:00Z,0,18,0,0,0,0,33,0,1069,2,1,0.0,0,-3,0,3,54,False,0,,,,,,4,118
33,0,0,0,0,0.0,95,332,0,0,0.0,0.0,2022-04-23T16:30:00Z,0,17,0,0,0,0,34,0,1064,0,0,0.0,0,-5,0,5,54,True,0,,,,,,4,118
34,0,0,0,0,0.0,95,344,0,0,0.0,0.0,2022-05-02T19:00:00Z,0,13,0,0,0,0,35,0,1064,0,3,0.0,0,0,0,0,54,False,0,,,,,,4,118
35,0,0,0,0,0.0,95,352,0,0,0.0,0.0,2022-05-07T14:00:00Z,0,16,0,0,0,0,36,0,1063,0,3,0.0,0,-1,0,1,54,True,0,,,,,,4,118
36,0,0,0,0,0.0,95,362,0,0,0.0,0.0,2022-05-15T15:30:00Z,0,8,0,0,0,0,37,0,1063,3,2,0.0,0,0,0,0,54,False,0,,,,,,4,118
37,0,0,0,0,0.0,95,372,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,10,0,0,0,0,38,0,1059,2,1,0.0,0,-4,0,4,54,True,0,,,,,,4,118
38,1,0,11,0,0.0,541,6,0,0,1.0,0.0,2022-08-07T13:00:00Z,6,10,0,0,0,0,1,0,30446,2,2,10.0,4,0,0,0,45,False,0,0.0,0.03,0.03,0.1,0.0,4,118
39,0,0,0,0,0.0,541,13,0,0,0.0,0.0,2022-08-13T16:30:00Z,0,14,0,0,0,0,2,0,164064,0,4,0.0,0,73115,89300,16185,45,True,0,0.0,0.0,0.0,0.0,0.0,4,118
40,0,0,0,0,0.0,541,24,0,0,0.0,0.0,2022-08-20T14:00:00Z,0,9,0,0,0,0,3,0,280598,2,3,0.0,0,88667,138804,50137,45,False,0,0.0,0.0,0.0,0.0,0.0,4,118
41,0,0,0,0,0.0,541,33,0,0,0.0,0.0,2022-08-27T14:00:00Z,0,8,0,0,0,0,4,0,259686,1,1,0.0,0,-20319,23957,44276,45,True,0,0.0,0.0,0.0,0.0,0.0,4,118
42,0,0,0,0,0.0,541,43,0,0,0.0,0.0,2022-08-30T18:30:00Z,0,7,0,0,0,0,5,0,242433,1,1,0.0,0,-21617,14256,35873,45,False,0,0.0,0.0,0.0,0.0,0.0,4,118
43,0,0,0,0,0.0,541,52,0,0,0.0,0.0,2022-09-03T14:00:00Z,0,11,0,0,0,0,6,0,191926,2,5,0.0,0,-50742,5364,56106,45,True,0,0.0,0.0,0.0,0.0,0.0,4,118
44,0,0,0,0,0.0,541,72,0,0,0.0,0.0,2022-09-18T11:00:00Z,0,1,0,0,0,0,8,0,120066,3,0,0.0,0,-24685,0,24685,45,True,0,0.0,0.0,0.0,0.0,0.0,4,118
45,0,0,0,0,0.0,541,82,0,0,0.0,0.0,2022-10-01T14:00:00Z,0,3,0,0,0,0,9,0,111089,0,0,0.0,0,-17029,0,17029,45,False,0,0.0,0.0,0.0,0.0,0.0,4,118
46,0,0,0,0,0.0,541,98,0,0,0.0,0.0,2022-10-08T14:00:00Z,0,15,0,0,0,0,10,0,99811,1,5,0.0,0,-11445,0,11445,45,False,0,0.0,0.0,0.0,0.0,0.0,4,118
47,0,0,0,0,0.0,541,102,0,0,0.0,0.0,2022-10-14T19:00:00Z,0,5,0,0,0,0,11,0,92963,0,2,0.0,0,-6994,0,6994,45,True,0,0.0,0.0,0.0,0.0,0.0,4,118
48,0,0,0,0,0.0,541,113,0,0,0.0,0.0,2022-10-19T18:30:00Z,0,6,0,0,0,0,12,0,83440,0,0,0.0,0,-6677,0,6677,45,True,0,0.0,0.0,0.0,0.0,0.0,4,118
49,0,0,0,0,0.0,541,121,0,0,0.0,0.0,2022-10-23T13:00:00Z,0,2,0,0,0,0,13,0,82992,0,4,0.0,0,-3903,0,3903,45,False,0,0.0,0.0,0.0,0.0,0.0,4,118
50,0,0,0,0,0.0,541,133,0,0,0.0,0.0,2022-10-29T14:00:00Z,0,20,0,0,0,0,14,0,78472,1,1,0.0,0,-4545,0,4545,45,True,0,0.0,0.0,0.0,0.0,0.0,4,118
51,0,0,0,0,0.0,541,146,0,0,0.0,0.0,2022-11-05T15:00:00Z,0,16,0,0,0,0,15,0,74793,2,2,0.0,0,-3651,0,3651,45,False,0,0.0,0.0,0.0,0.0,0.0,4,118
52,0,0,0,0,0.0,541,155,0,0,0.0,0.0,2022-11-12T12:30:00Z,0,13,0,0,0,0,16,0,72504,2,1,0.0,0,-2355,0,2355,45,False,0,0.0,0.0,0.0,0.0,0.0,4,118
53,0,0,0,0,0.0,541,163,0,0,0.0,0.0,2022-12-26T12:30:00Z,0,18,0,0,0,0,17,0,65828,2,2,0.0,0,-6701,0,6701,45,True,0,0.0,0.0,0.0,0.0,0.0,4,118
54,0,0,0,0,0.0,541,179,0,0,0.0,0.0,2022-12-30T19:45:00Z,0,19,0,0,0,0,18,0,64783,2,0,0.0,0,-1077,0,1077,45,False,0,0.0,0.0,0.0,0.0,0.0,4,118
55,0,0,0,0,0.0,541,183,0,0,0.0,0.0,2023-01-02T17:30:00Z,0,12,0,0,0,0,19,0,64088,1,3,0.0,0,-706,0,706,45,True,0,0.0,0.0,0.0,0.0,0.0,4,118
56,0,0,0,0,0.0,541,192,0,0,0.0,0.0,2023-01-14T17:30:00Z,0,3,0,0,0,0,20,0,62994,0,2,0.0,0,-1070,0,1070,45,True,0,0.0,0.0,0.0,0.0,0.0,4,118
57,0,0,0,0,0.0,541,205,0,0,0.0,0.0,2023-01-22T14:00:00Z,0,11,0,0,0,0,21,0,62123,0,0,0.0,0,-902,0,902,45,False,0,0.0,0.0,0.0,0.0,0.0,4,118
58,0,0,0,0,0.0,541,212,0,0,0.0,0.0,2023-02-04T15:00:00Z,0,17,0,0,0,0,22,0,60927,0,3,0.0,0,-1174,0,1174,45,True,0,0.0,0.0,0.0,0.0,0.0,4,118
59,0,0,0,0,0.0,541,221,0,0,0.0,0.0,2023-02-11T15:00:00Z,0,1,0,0,0,0,23,0,60411,1,1,0.0,0,-558,0,558,45,False,0,0.0,0.0,0.0,0.0,0.0,4,118
