,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position
0,0,0,0,0,0,0.0,478,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,8,0,0,0,0,1,0,3900,0,1,0,0.0,0,0,0,0,45,True,0,3
1,1,0,0,0,0,0.0,478,0.0,0.0,0.0,0.0,17,0,0,0.0,0.0,2023-08-18T18:45:00Z,0,16,0,0,0,0,2,0,3261,0,1,2,0.0,0,-738,76,814,45,False,0,3
2,2,0,0,0,0,0.0,478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,2023-08-27T13:00:00Z,0,13,0,0,0,0,3,0,2934,0,2,1,0.0,0,-423,203,626,44,True,0,3
3,3,0,0,0,0,0.0,478,0.0,0.0,0.0,0.0,40,0,0,0.0,0.0,2023-09-02T11:30:00Z,0,9,0,0,0,0,4,0,3072,0,2,2,0.0,0,-93,335,428,44,True,0,3
4,4,0,0,0,0,0.0,478,0.0,0.0,0.0,0.0,48,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,18,0,0,0,0,5,0,3710,0,1,2,0.0,0,236,625,389,44,False,0,3
5,5,0,0,0,0,0.0,478,0.0,0.0,0.0,0.0,60,0,0,0.0,0.0,2023-09-24T15:30:00Z,0,15,0,0,0,0,6,0,3944,0,8,0,0.0,0,127,399,272,44,True,0,3
6,6,0,0,0,0,0.0,478,0.0,0.0,0.0,0.0,69,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,19,0,0,0,0,7,0,4203,0,0,2,0.0,0,105,477,372,44,False,0,3
7,7,0,0,0,0,0.0,478,0.0,0.0,0.0,0.0,76,0,0,0.0,0.0,2023-10-07T14:00:00Z,0,10,0,0,0,0,8,0,4341,0,1,3,0.0,0,40,392,352,44,False,0,3
8,8,0,0,0,0,0.0,478,0.0,0.0,0.0,0.0,89,0,0,0.0,0.0,2023-10-21T19:00:00Z,0,14,0,0,0,0,9,0,4456,0,2,1,0.0,0,4,300,296,44,True,0,3
9,9,0,0,0,0,0.0,478,0.0,0.0,0.0,0.0,91,0,0,0.0,0.0,2023-10-28T14:00:00Z,0,1,0,0,0,0,10,0,4517,0,0,5,0.0,0,16,323,307,44,False,0,3
10,10,0,0,0,0,0.0,478,0.0,0.0,0.0,0.0,109,0,0,0.0,0.0,2023-11-04T15:00:00Z,0,20,0,0,0,0,11,0,4667,0,1,2,0.0,0,70,347,277,44,True,0,3
11,11,0,0,0,0,0.0,478,0.0,0.0,0.0,0.0,114,0,0,0.0,0.0,2023-11-12T14:00:00Z,0,5,0,0,0,0,12,0,4553,0,1,1,0.0,0,-117,163,280,44,False,0,3
12,12,0,0,0,0,0.0,478,0.0,0.0,0.0,0.0,129,0,0,0.0,0.0,2023-11-25T15:00:00Z,0,3,0,0,0,0,13,0,4581,0,3,1,0.0,0,-34,190,224,44,True,0,3
13,13,0,0,0,0,0.0,478,0.0,0.0,0.0,0.0,134,0,0,0.0,0.0,2023-12-02T15:00:00Z,0,6,0,0,0,0,14,0,4601,0,0,5,0.0,0,-10,160,170,44,False,0,3
14,14,0,0,0,0,0.0,478,0.0,0.0,0.0,0.0,147,0,0,0.0,0.0,2023-12-06T19:30:00Z,0,11,0,0,0,0,15,0,4599,0,2,0,0.0,0,-34,93,127,44,True,0,3
15,15,0,0,0,0,0.0,478,0.0,0.0,0.0,0.0,158,0,0,0.0,0.0,2023-12-09T15:00:00Z,0,4,0,0,0,0,16,0,4581,0,0,1,0.0,0,-49,92,141,44,True,0,3
16,16,0,0,0,0,0.0,478,0.0,0.0,0.0,0.0,165,0,0,0.0,0.0,2023-12-16T15:00:00Z,0,7,0,0,0,0,17,0,4441,0,0,2,0.0,0,-146,88,234,44,False,0,3
17,17,0,0,0,0,0.0,478,0.0,0.0,0.0,0.0,171,0,0,0.0,0.0,2023-12-22T20:00:00Z,0,2,0,0,0,0,18,0,4347,0,1,1,0.0,0,-121,46,167,44,False,0,3
18,18,0,0,0,0,0.0,478,0.0,0.0,0.0,0.0,190,0,0,0.0,0.0,2023-12-26T15:00:00Z,0,12,0,0,0,0,19,0,4311,0,3,2,0.0,0,-52,48,100,44,True,0,3
19,19,0,0,0,0,0.0,636,0.0,0.0,0.0,0.0,197,0,0,0.0,0.0,2023-12-30T17:30:00Z,0,14,0,0,0,0,20,0,4681,0,1,2,0.0,0,-83,24,107,40,True,0,3
20,20,0,0,0,0,0.0,636,0.0,0.0,0.0,0.0,189,0,0,0.0,0.0,2023-12-26T12:30:00Z,0,15,0,0,0,0,19,0,4734,0,3,1,0.0,0,16,64,48,40,False,0,3
21,21,0,0,0,0,0.0,636,0.0,0.0,0.0,0.0,177,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,3,0,0,0,0,18,0,4699,0,3,2,0.0,0,-80,34,114,40,True,0,3
22,22,0,0,0,0,0.0,636,0.0,0.0,0.0,0.0,169,0,0,0.0,0.0,2023-12-15T20:00:00Z,0,18,0,0,0,0,17,0,4732,0,2,0,0.0,0,-5,81,86,40,True,0,3
23,23,0,0,0,0,0.0,636,0.0,0.0,0.0,0.0,160,0,0,0.0,0.0,2023-12-09T15:00:00Z,0,20,0,0,0,0,16,0,4680,0,1,1,0.0,0,-53,31,84,40,False,0,3
24,24,0,0,0,0,0.0,636,0.0,0.0,0.0,0.0,145,0,0,0.0,0.0,2023-12-06T19:30:00Z,0,10,0,0,0,0,15,0,4690,0,0,5,0.0,0,-67,39,106,40,False,0,3
25,25,0,0,0,0,0.0,636,0.0,0.0,0.0,0.0,139,0,0,0.0,0.0,2023-12-02T17:30:00Z,0,9,0,0,0,0,14,0,4730,0,1,0,0.0,0,3,95,92,40,True,0,3
26,26,0,0,0,0,0.0,636,0.0,0.0,0.0,0.0,128,0,0,0.0,0.0,2023-11-25T15:00:00Z,0,5,0,0,0,0,13,0,4685,0,3,2,0.0,0,-49,57,106,40,True,0,3
27,27,0,0,0,0,0.0,636,0.0,0.0,0.0,0.0,119,0,0,0.0,0.0,2023-11-12T14:00:00Z,0,19,0,0,0,0,12,0,4673,0,2,3,0.0,0,-68,59,127,40,False,0,3
28,28,0,0,0,0,0.0,636,0.0,0.0,0.0,0.0,108,0,0,0.0,0.0,2023-11-05T14:00:00Z,0,2,0,0,0,0,11,0,4701,0,0,2,0.0,0,-21,89,110,40,True,0,3
29,29,0,0,0,0,0.0,636,0.0,0.0,0.0,0.0,97,0,0,0.0,0.0,2023-10-29T14:00:00Z,0,11,0,0,0,0,10,0,4671,0,0,3,0.0,0,-64,92,156,40,False,0,3
30,30,0,0,0,0,0.0,636,0.0,0.0,0.0,0.0,88,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,12,0,0,0,0,9,0,4711,0,2,2,0.0,0,-34,91,125,40,True,0,3
31,31,0,0,0,0,0.0,636,0.0,0.0,0.0,0.0,74,0,0,0.0,0.0,2023-10-07T16:30:00Z,0,8,0,0,0,0,8,0,4658,0,0,0,0.0,0,-117,80,197,40,False,0,3
