,Unnamed: 0,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position
0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,409,0.0,0.0,5,0.0,0,0,0.0,409.0,0.0,0.0,2018-08-12T12:30:00Z,12 Aug 13:30,0.0,0.0,0,0.0,0.0,12,0,0.0,0,0,0.0,0,1,0,46623,0.0,0.0,0.0,0,4,0.0,0,0,0,0,45,False,0.0,0,,,,,,2
1,1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,409,0.0,0.0,20,0.0,0,0,0.0,934.0,0.0,0.0,2018-08-18T14:00:00Z,18 Aug 15:00,0.0,0.0,0,0.0,0.0,2,0,0.0,0,0,0.0,0,2,0,43284,0.0,0.0,0.0,2,1,0.0,0,-5382,526,5908,45,True,0.0,0,,,,,,2
2,2,0,17.0,0.0,0.0,0,-1,0,10.0,12.0,0.2,0.0,0.0,409,1.0,0.0,21,2.0,3,0,0.8,1461.0,6.2,0.0,2018-08-25T14:00:00Z,25 Aug 15:00,0.0,0.0,90,0.0,0.0,1,1,0.0,0,0,2.0,0,3,0,35248,0.0,1.0,0.0,1,3,2.0,-2,-8383,243,8626,44,False,0.0,1,,,,,,2
3,3,0,44.0,0.0,0.0,0,19,0,7.0,38.0,0.4,0.0,0.0,409,0.0,0.0,40,0.0,1,0,2.3,1992.0,21.0,0.0,2018-09-01T14:00:00Z,01 Sep 15:00,0.0,0.0,90,0.0,0.0,20,0,0.0,0,0,8.0,0,4,0,33025,0.0,2.0,0.0,1,0,2.0,2,-3001,835,3836,44,True,0.0,0,,,,,,2
4,4,0,19.0,0.0,0.0,0,12,0,7.0,16.0,0.2,0.0,0.0,409,0.0,0.0,43,0.0,1,0,4.4,2529.0,26.8,0.0,2018-09-16T15:00:00Z,16 Sep 16:00,0.0,0.0,90,0.0,0.0,8,0,0.0,0,0,4.0,0,5,0,30498,0.0,1.0,0.0,3,1,17.0,2,-2774,276,3050,44,False,0.0,0,,,,,,2
5,5,0,19.0,0.0,0.0,0,24,1,11.0,18.0,0.1,0.0,0.0,409,0.0,0.0,60,0.0,0,0,2.5,3066.0,24.6,0.0,2018-09-23T12:30:00Z,23 Sep 13:30,0.0,0.0,90,0.0,0.0,6,0,0.0,0,0,3.0,0,6,0,29416,0.0,0.0,0.0,0,0,0.0,6,-1273,452,1725,43,True,0.0,0,,,,,,2
6,6,0,25.0,0.0,0.0,0,12,0,8.0,24.0,10.3,1.0,0.0,409,0.0,0.0,69,0.0,1,0,3.9,3604.0,27.0,1.0,2018-09-29T11:30:00Z,29 Sep 12:30,0.0,0.0,90,0.0,0.0,14,0,0.0,0,0,2.0,0,7,0,31129,0.0,0.0,0.0,1,3,2.0,2,1208,2245,1037,43,True,0.0,0,,,,,,2
7,7,0,46.0,0.0,0.0,0,13,0,5.0,41.0,0.6,0.0,0.0,409,0.0,0.0,71,0.0,1,0,1.3,4143.0,12.8,0.0,2018-10-05T19:00:00Z,05 Oct 20:00,0.0,0.0,90,0.0,0.0,3,0,0.0,0,0,4.0,0,8,0,33543,0.0,0.0,0.0,0,1,0.0,2,1991,2872,881,43,False,0.0,0,,,,,,2
8,8,0,30.0,0.0,0.0,0,26,0,8.0,29.0,10.5,0.0,0.0,409,0.0,0.0,89,1.0,1,0,5.0,4685.0,33.8,1.0,2018-10-20T14:00:00Z,20 Oct 15:00,0.0,0.0,90,0.0,0.0,17,0,0.0,0,0,9.0,0,9,0,33796,0.0,4.0,1.0,1,0,6.0,2,87,1778,1691,43,True,0.0,0,,,,,,2
9,9,0,19.0,0.0,0.0,0,11,0,7.0,14.0,0.1,0.0,0.0,409,0.0,0.0,95,0.0,1,0,1.6,5231.0,15.4,0.0,2018-10-27T16:30:00Z,27 Oct 17:30,0.0,0.0,90,0.0,0.0,11,0,0.0,0,0,5.0,0,10,0,34474,1.0,1.0,0.0,1,1,0.0,2,549,1635,1086,43,False,0.0,0,,,,,,2
