,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position
0,0,0,0,0,0,0.0,338,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,5,0,0,0,0,1,0,1663,0,1,4,0.0,0,0,0,0,40,False,0,1
1,1,0,0,0,0,0.0,338,0.0,0.0,0.0,0.0,26,0,0,0.0,0.0,2023-08-25T19:00:00Z,0,7,0,0,0,0,3,0,1366,0,0,3,0.0,0,-102,0,102,40,False,0,1
2,2,0,0,0,0,0.0,338,0.0,0.0,0.0,0.0,38,0,0,0.0,0.0,2023-09-01T19:00:00Z,0,19,0,0,0,0,4,0,1285,0,2,1,0.0,0,-80,0,80,40,True,0,1
3,3,0,0,0,0,0.0,338,0.0,0.0,0.0,0.0,44,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,10,0,0,0,0,5,0,1210,0,0,1,0.0,0,-81,0,81,40,False,0,1
4,4,0,0,0,0,0.0,338,0.0,0.0,0.0,0.0,58,0,0,0.0,0.0,2023-09-23T14:00:00Z,0,20,0,0,0,0,6,0,1166,0,1,1,0.0,0,-45,0,45,40,True,0,1
5,5,0,0,0,0,0.0,338,0.0,0.0,0.0,0.0,63,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,9,0,0,0,0,7,0,1126,0,2,1,0.0,0,-39,0,39,40,False,0,1
6,6,0,0,0,0,0.0,338,0.0,0.0,0.0,0.0,15,0,0,0.0,0.0,2023-10-03T18:30:00Z,0,6,0,0,0,0,7,0,1126,0,2,1,0.0,0,-39,0,39,40,True,0,1
7,7,0,0,0,0,0.0,338,0.0,0.0,0.0,0.0,77,0,0,0.0,0.0,2023-10-07T11:30:00Z,0,18,0,0,0,0,8,0,1082,0,1,0,0.0,0,-45,0,45,40,True,0,1
8,8,0,0,0,0,0.0,338,0.0,0.0,0.0,0.0,88,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,16,0,0,0,0,9,0,1051,0,2,2,0.0,0,-31,0,31,40,False,0,1
9,9,0,0,0,0,0.0,338,0.0,0.0,0.0,0.0,92,0,0,0.0,0.0,2023-10-29T14:00:00Z,0,2,0,0,0,0,10,0,1015,0,1,3,0.0,0,-39,0,39,40,False,0,1
10,10,0,0,0,0,0.0,338,0.0,0.0,0.0,0.0,105,0,0,0.0,0.0,2023-11-05T16:30:00Z,0,11,0,0,0,0,11,0,999,0,1,1,0.0,0,-16,0,16,40,True,0,1
11,11,0,0,0,0,0.0,338,0.0,0.0,0.0,0.0,118,0,0,0.0,0.0,2023-11-11T15:00:00Z,0,14,0,0,0,0,12,0,983,0,0,1,0.0,0,-14,0,14,40,False,0,1
12,12,0,0,0,0,0.0,338,0.0,0.0,0.0,0.0,125,0,0,0.0,0.0,2023-11-25T15:00:00Z,0,8,0,0,0,0,13,0,964,0,1,2,0.0,0,-21,0,21,40,True,0,1
13,13,0,0,0,0,0.0,338,0.0,0.0,0.0,0.0,133,0,0,0.0,0.0,2023-12-02T15:00:00Z,0,4,0,0,0,0,14,0,956,0,1,3,0.0,0,-9,0,9,40,False,0,1
14,14,0,0,0,0,0.0,338,0.0,0.0,0.0,0.0,146,0,0,0.0,0.0,2023-12-05T20:15:00Z,0,1,0,0,0,0,15,0,942,0,4,3,0.0,0,-14,0,14,40,True,0,1
15,15,0,0,0,0,0.0,338,0.0,0.0,0.0,0.0,156,0,0,0.0,0.0,2023-12-10T14:00:00Z,0,13,0,0,0,0,16,0,935,0,2,1,0.0,0,-7,0,7,40,True,0,1
16,16,0,0,0,0,0.0,338,0.0,0.0,0.0,0.0,175,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,15,0,0,0,0,18,0,905,0,0,1,0.0,0,-14,0,14,40,True,0,1
17,17,0,0,0,0,0.0,338,0.0,0.0,0.0,0.0,190,0,0,0.0,0.0,2023-12-26T15:00:00Z,0,17,0,0,0,0,19,0,898,0,3,2,0.0,0,-7,0,7,40,False,0,1
18,18,0,0,0,0,0.0,445,0.0,0.0,0.0,0.0,197,0,0,0.0,0.0,2023-12-30T17:30:00Z,0,14,0,0,0,0,20,0,2295,0,1,2,0.0,0,-69,5,74,44,True,0,1
19,19,0,0,0,0,0.0,445,0.0,0.0,0.0,0.0,189,0,0,0.0,0.0,2023-12-26T12:30:00Z,0,15,0,0,0,0,19,0,2364,0,3,1,0.0,0,-36,17,53,44,False,0,1
20,20,0,0,0,0,0.0,445,0.0,0.0,0.0,0.0,177,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,3,0,0,0,0,18,0,2397,0,3,2,0.0,0,-59,26,85,44,True,0,1
21,21,0,0,0,0,0.0,445,0.0,0.0,0.0,0.0,169,0,0,0.0,0.0,2023-12-15T20:00:00Z,0,18,0,0,0,0,17,0,2436,0,2,0,0.0,0,53,118,65,44,True,0,1
22,22,0,0,5,0,0.0,445,0.0,0.03,0.03,0.03,160,0,0,1.0,5.4,2023-12-09T15:00:00Z,12,20,0,0,0,0,16,0,2311,0,1,1,5.0,1,15,56,41,44,False,0,1
23,23,0,0,16,0,0.7,445,0.0,0.0,0.0,2.19,145,4,0,1.3,12.0,2023-12-06T19:30:00Z,75,10,0,0,0,0,15,0,2258,1,0,5,0.0,0,14,50,36,44,False,0,1
24,24,0,0,4,0,10.6,445,0.0,0.08,0.08,0.24,139,1,0,2.6,8.4,2023-12-02T17:30:00Z,45,9,0,0,0,0,14,0,2216,0,1,0,7.0,0,-45,30,75,44,True,1,1
25,25,0,0,0,0,0.0,445,0.0,0.0,0.0,0.0,128,0,0,0.0,0.0,2023-11-25T15:00:00Z,0,5,0,0,0,0,13,0,2251,0,3,2,0.0,0,-25,61,86,44,True,0,1
26,26,0,0,0,0,0.0,445,0.0,0.0,0.0,0.0,119,0,0,0.0,0.0,2023-11-12T14:00:00Z,0,19,0,0,0,0,12,0,2267,0,2,3,0.0,0,-93,18,111,44,False,0,1
27,27,0,0,0,0,0.0,445,0.0,0.0,0.0,0.0,108,0,0,0.0,0.0,2023-11-05T14:00:00Z,0,2,0,0,0,0,11,0,2351,0,0,2,0.0,0,-110,19,129,44,True,0,1
