,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,position,player
0,0,0,0,0,0.0,595,66,0,0,0.0,0.0,2020-10-31T12:30:00Z,0,15,0,0,0,0,7,0,0,1,0,0.0,0,0,0,0,40,False,0,,,,,,1,220
1,0,0,0,0,0.0,595,75,0,0,0.0,0.0,2020-11-08T16:30:00Z,0,11,0,0,0,0,8,0,1664,1,1,0.0,0,953,1073,120,40,True,0,,,,,,1,220
2,0,0,0,0,0.0,595,87,0,0,0.0,0.0,2020-11-21T17:30:00Z,0,17,0,0,0,0,9,0,3988,0,2,0.0,0,1481,1961,480,40,False,0,,,,,,1,220
3,0,0,0,0,0.0,595,95,0,0,0.0,0.0,2020-11-28T15:00:00Z,0,4,0,0,0,0,10,0,4336,0,5,0.0,0,472,988,516,40,True,0,,,,,,1,220
4,0,0,0,0,0.0,595,104,0,0,0.0,0.0,2020-12-05T15:00:00Z,0,8,0,0,0,0,11,0,5127,0,2,0.0,0,448,944,496,40,True,0,,,,,,1,220
5,0,0,0,0,0.0,595,115,0,0,0.0,0.0,2020-12-12T17:30:00Z,0,13,0,0,0,0,12,0,6002,0,0,0.0,0,706,1039,333,40,False,0,,,,,,1,220
6,0,0,0,0,0.0,595,128,0,0,0.0,0.0,2020-12-15T20:00:00Z,0,18,0,0,0,0,13,0,6133,1,1,0.0,0,100,500,400,40,True,0,,,,,,1,220
7,0,0,0,0,0.0,595,136,0,0,0.0,0.0,2020-12-19T15:00:00Z,0,16,0,0,0,0,14,0,6818,1,0,0.0,0,495,798,303,40,False,0,,,,,,1,220
8,0,0,0,0,0.0,595,145,0,0,0.0,0.0,2020-12-26T20:00:00Z,0,14,0,0,0,0,15,0,7408,0,2,0.0,0,282,801,519,40,True,0,,,,,,1,220
9,0,0,0,0,0.0,595,161,0,0,0.0,0.0,2021-01-03T16:30:00Z,0,5,0,0,0,0,17,0,8096,3,1,0.0,0,263,747,484,40,False,0,,,,,,1,220
10,0,0,0,0,0.0,595,178,0,0,0.0,0.0,2021-01-13T18:00:00Z,0,3,0,0,0,0,18,0,13114,0,1,0.0,0,363,1550,1187,40,True,0,,,,,,1,220
11,0,0,0,0,0.0,595,185,0,0,0.0,0.0,2021-01-17T19:15:00Z,0,6,0,0,0,0,19,0,8687,0,4,0.0,0,-129,573,702,40,True,0,,,,,,1,220
12,0,0,0,0,0.0,595,380,0,0,0.0,0.0,2021-01-20T18:00:00Z,0,2,0,0,0,0,19,0,8687,0,2,0.0,0,-129,573,702,40,True,0,,,,,,1,220
13,0,0,0,0,0.0,595,193,0,0,0.0,0.0,2021-01-26T20:15:00Z,0,18,0,0,0,0,20,0,8478,5,0,0.0,0,-308,448,756,40,False,0,,,,,,1,220
14,0,0,0,0,0.0,595,205,0,0,0.0,0.0,2021-01-30T15:00:00Z,0,15,0,0,0,0,21,0,8126,0,1,0.0,0,-415,169,584,40,True,0,,,,,,1,220
15,0,0,0,0,0.0,595,210,0,0,0.0,0.0,2021-02-03T18:00:00Z,0,4,0,0,0,0,22,0,8088,2,0,0.0,0,-125,200,325,40,False,0,,,,,,1,220
16,0,0,0,0,0.0,595,223,0,0,0.0,0.0,2021-02-07T16:30:00Z,0,11,0,0,0,0,23,0,7976,4,1,0.0,0,-199,192,391,40,False,0,,,,,,1,220
17,0,0,0,0,0.0,595,235,0,0,0.0,0.0,2021-02-13T17:30:00Z,0,17,0,0,0,0,24,0,7404,0,3,0.0,0,-598,184,782,40,True,0,,,,,,1,220
18,0,0,0,0,0.0,595,153,0,0,0.0,0.0,2021-02-17T20:15:00Z,0,7,0,0,0,0,24,0,7404,3,1,0.0,0,-598,184,782,40,False,0,,,,,,1,220
19,0,0,0,0,0.0,595,239,0,0,0.0,0.0,2021-02-21T16:30:00Z,0,1,0,0,0,0,25,0,7175,1,0,0.0,0,-359,97,456,40,False,0,,,,,,1,220
20,0,0,0,0,0.0,595,254,0,0,0.0,0.0,2021-02-27T12:30:00Z,0,19,0,0,0,0,26,0,6784,1,2,0.0,0,-443,111,554,40,True,0,,,,,,1,220
21,0,0,0,0,0.0,595,284,0,0,0.0,0.0,2021-03-02T20:00:00Z,0,20,0,0,0,0,26,0,6784,1,4,0.0,0,-443,111,554,40,True,0,,,,,,1,220
22,0,0,0,0,0.0,595,264,0,0,0.0,0.0,2021-03-07T16:30:00Z,0,13,0,0,0,0,27,0,6512,2,0,0.0,0,-339,43,382,40,True,0,,,,,,1,220
23,0,0,0,0,0.0,595,325,0,0,0.0,0.0,2021-03-10T18:00:00Z,0,16,0,0,0,0,27,0,6512,2,5,0.0,0,-339,43,382,40,True,0,,,,,,1,220
24,0,0,0,0,0.0,595,272,0,0,0.0,0.0,2021-03-13T20:00:00Z,0,8,0,0,0,0,28,0,6360,3,0,0.0,0,-174,29,203,40,False,0,,,,,,1,220
25,0,0,0,0,0.0,595,294,0,0,0.0,0.0,2021-04-03T16:30:00Z,0,9,0,0,0,0,30,0,6248,2,0,0.0,0,-94,50,144,40,False,0,,,,,,1,220
26,0,0,0,0,0.0,595,304,0,0,0.0,0.0,2021-04-10T11:30:00Z,0,10,0,0,0,0,31,0,6210,2,1,0.0,0,-69,33,102,40,True,0,,,,,,1,220
27,0,0,0,0,0.0,595,310,0,0,0.0,0.0,2021-04-21T19:15:00Z,0,2,0,0,0,0,32,0,6189,2,1,0.0,0,-44,24,68,40,False,0,,,,,,1,220
28,0,0,0,0,0.0,595,332,0,0,0.0,0.0,2021-05-01T11:30:00Z,0,6,0,0,0,0,34,0,6175,2,0,0.0,0,-25,37,62,40,False,0,,,,,,1,220
29,0,0,0,0,0.0,595,345,0,0,0.0,0.0,2021-05-08T16:30:00Z,0,5,0,0,0,0,35,0,6180,2,1,0.0,0,-18,45,63,40,True,0,,,,,,1,220
30,0,0,0,0,0.0,595,356,0,0,0.0,0.0,2021-05-14T19:00:00Z,0,14,0,0,0,0,36,0,6164,4,3,0.0,0,-35,24,59,40,False,0,,,,,,1,220
31,0,0,0,0,0.0,595,359,0,0,0.0,0.0,2021-05-18T18:00:00Z,0,3,0,0,0,0,37,0,6181,2,3,0.0,0,8,59,51,40,False,0,,,,,,1,220
32,0,0,0,0,0.0,595,375,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,7,0,0,0,0,38,0,6182,0,5,0.0,0,-11,79,90,40,True,0,,,,,,1,220
33,0,0,14,0,8.3,220,12,1,0,2.9,21.0,2023-08-21T19:00:00Z,90,1,0,0,0,0,2,0,257659,1,0,0.0,2,100984,113569,12585,45,True,0,1.0,0.00,0.02,0.02,2.00,1,220
34,0,3,38,0,51.0,220,23,1,1,14.4,74.0,2023-08-26T14:00:00Z,90,4,0,0,0,0,3,0,280497,1,1,19.0,11,16538,39131,22593,45,False,0,1.0,0.05,0.13,0.18,0.97,1,220
35,0,0,15,0,1.3,220,36,2,0,3.2,24.6,2023-09-03T13:00:00Z,90,20,0,0,0,0,4,0,673883,2,3,6.0,1,329830,355490,25660,46,True,0,1.0,0.00,0.01,0.01,1.34,1,220
36,0,0,16,0,11.0,220,41,3,0,2.7,14.2,2023-09-16T14:00:00Z,90,2,0,0,0,0,5,0,787004,1,3,2.0,1,97146,142868,45722,46,False,0,1.0,0.00,0.19,0.19,3.21,1,220
37,0,0,26,1,0.8,220,56,0,0,1.7,12.4,2023-09-23T14:00:00Z,90,10,0,0,0,0,6,0,838462,0,0,4.0,6,46014,85685,39671,46,True,0,1.0,0.06,0.01,0.07,0.59,1,220
38,0,3,40,1,14.1,220,65,0,1,10.4,60.8,2023-09-30T14:00:00Z,90,14,0,0,0,0,7,0,922779,1,0,29.0,15,76239,119420,43181,47,False,0,1.0,0.45,0.05,0.50,1.69,1,220
39,0,0,30,1,16.3,220,74,0,0,4.6,29.6,2023-10-07T16:30:00Z,90,16,0,0,0,0,8,0,1571154,0,0,0.0,6,587920,640692,52772,48,True,0,1.0,0.00,0.09,0.09,1.18,1,220
40,0,0,13,0,1.0,220,87,4,0,1.4,13.2,2023-10-21T14:00:00Z,90,15,0,0,0,0,9,0,1787003,0,4,0.0,0,239168,291865,52697,49,False,0,1.0,0.00,0.01,0.01,2.39,1,220
41,1,0,14,0,10.6,220,96,2,0,5.3,33.2,2023-10-27T19:00:00Z,90,18,0,0,0,0,10,0,1829116,2,1,9.0,3,42382,150020,107638,49,True,1,1.0,0.07,0.03,0.10,1.12,1,220
42,0,0,24,1,0.3,220,102,0,0,4.4,26.8,2023-11-04T15:00:00Z,90,6,0,0,0,0,11,0,2133339,2,0,17.0,5,280524,314030,33506,50,False,1,1.0,0.06,0.00,0.06,1.12,1,220
43,0,0,19,0,2.1,220,116,3,0,3.6,32.2,2023-11-11T15:00:00Z,90,9,0,0,0,0,12,0,2372850,3,2,2.0,1,231584,261625,30041,51,True,0,1.0,0.00,0.02,0.02,1.60,1,220
44,0,0,10,0,8.6,220,125,2,0,4.2,12.6,2023-11-25T15:00:00Z,90,12,0,0,0,0,13,0,2585503,1,2,21.0,1,187391,232739,45348,52,False,0,1.0,0.06,0.02,0.08,0.83,1,220
45,0,0,17,0,18.0,220,140,1,0,4.7,23.2,2023-12-03T14:00:00Z,90,19,0,0,0,0,14,0,2469189,1,1,6.0,2,-90141,38707,128848,52,False,0,1.0,0.03,0.13,0.16,1.26,1,220
46,0,0,10,0,1.0,220,143,2,0,1.9,15.8,2023-12-06T19:30:00Z,90,3,0,0,0,0,15,0,2418502,2,0,2.0,1,-57040,35266,92306,52,True,0,1.0,0.00,0.00,0.00,1.74,1,220
47,0,0,2,0,0.2,220,153,2,0,3.7,17.4,2023-12-09T12:30:00Z,90,11,0,0,0,0,16,0,2224683,2,1,19.0,0,-189778,22456,212234,51,True,1,1.0,0.21,0.00,0.21,1.25,1,220
48,0,0,4,0,0.1,220,167,2,0,0.8,7.8,2023-12-16T15:00:00Z,90,13,0,0,0,0,17,0,2049285,2,2,0.0,0,-168111,25203,193314,50,False,1,1.0,0.00,0.00,0.00,1.61,1,220
49,0,0,19,0,14.0,220,172,1,0,3.8,23.6,2023-12-21T20:00:00Z,90,5,0,0,0,0,18,0,1972010,1,1,0.0,2,-89413,23450,112863,50,True,0,1.0,0.00,0.01,0.01,1.14,1,220
50,0,0,12,0,3.6,220,186,2,0,4.0,19.8,2023-12-27T19:30:00Z,90,7,0,0,0,0,19,0,1916762,1,2,17.0,1,-64280,17000,81280,49,False,0,1.0,0.02,0.01,0.03,2.74,1,220
51,0,0,11,0,5.8,220,192,1,0,2.7,16.8,2023-12-30T15:00:00Z,90,4,0,0,0,0,20,0,1857656,1,3,4.0,2,-62402,30363,92765,49,True,0,1.0,0.10,0.10,0.20,1.40,1,220
