,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position,player
0,0,0,0,0,0.0,544,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2022-08-07T13:00:00Z,0,14,0,0,0,0,1,0,13447,0,2,1,0.0,0,0,0,0,40,False,0,2,173
1,0,0,0,0,0.0,544,0.0,0.0,0.0,0.0,14,0,0,0.0,0.0,2022-08-13T14:00:00Z,0,15,0,0,0,0,2,0,24072,0,0,0,0.0,0,2151,4090,1939,40,True,0,2,173
2,0,0,0,0,0.0,544,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,2022-08-21T13:00:00Z,0,19,0,0,0,0,3,0,29179,0,2,0,0.0,0,1400,4900,3500,40,False,0,2,173
3,0,0,3,0,0.0,544,0.0,0.0,0.0,0.02,34,0,0,0.0,0.2,2022-08-27T14:00:00Z,2,11,0,0,0,0,4,0,31901,0,0,1,0.0,1,448,3721,3273,40,True,0,2,173
4,0,0,0,0,0.0,544,0.0,0.0,0.0,0.0,44,0,0,0.0,0.0,2022-08-30T18:30:00Z,0,9,0,0,0,0,5,0,34473,0,1,2,0.0,0,586,3457,2871,40,False,0,2,173
5,0,0,0,0,0.0,544,0.0,0.0,0.0,0.0,53,0,0,0.0,0.0,2022-09-04T13:00:00Z,0,10,0,0,0,0,6,0,34989,0,2,5,0.0,0,-886,2315,3201,40,True,0,2,173
6,0,0,0,0,0.0,544,0.0,0.0,0.0,0.0,87,0,0,0.0,0.0,2022-10-01T14:00:00Z,0,12,0,0,0,0,9,0,35694,0,3,3,0.0,0,-415,927,1342,40,False,0,2,173
7,0,0,0,0,0.0,544,0.0,0.0,0.0,0.0,93,0,0,0.0,0.0,2022-10-08T16:30:00Z,0,18,0,0,0,0,10,0,36302,0,1,0,0.0,0,-33,1420,1453,40,True,0,2,173
8,0,0,0,0,0.0,544,0.0,0.0,0.0,0.0,102,0,0,0.0,0.0,2022-10-14T19:00:00Z,0,4,0,0,0,0,11,0,36152,0,0,2,0.0,0,-485,775,1260,40,False,0,2,173
9,0,0,0,0,0.0,544,0.0,0.0,0.0,0.0,114,0,0,0.0,0.0,2022-10-18T18:30:00Z,0,16,0,0,0,0,12,0,34198,0,0,0,0.0,0,-1541,223,1764,40,True,0,2,173
10,0,0,0,0,0.0,544,0.0,0.0,0.0,0.0,125,0,0,0.0,0.0,2022-10-22T14:00:00Z,0,13,0,0,0,0,13,0,34837,0,1,3,0.0,0,-206,716,922,40,False,0,2,173
11,0,0,0,0,0.0,544,0.0,0.0,0.0,0.0,134,0,0,0.0,0.0,2022-10-29T14:00:00Z,0,6,0,0,0,0,14,0,34557,0,1,4,0.0,0,-573,570,1143,40,True,0,2,173
12,0,0,0,0,0.0,544,0.0,0.0,0.0,0.0,150,0,0,0.0,0.0,2022-11-05T15:00:00Z,0,20,0,0,0,0,15,0,34100,0,3,2,0.0,0,-685,483,1168,40,False,0,2,173
13,0,0,0,0,0.0,544,0.0,0.0,0.0,0.0,152,0,0,0.0,0.0,2022-11-13T14:00:00Z,0,2,0,0,0,0,16,0,34003,0,2,1,0.0,0,-385,508,893,40,True,0,2,173
14,0,0,0,0,0.0,544,0.0,0.0,0.0,0.0,170,0,0,0.0,0.0,2022-12-26T15:00:00Z,0,17,0,0,0,0,17,0,33067,0,3,1,0.0,0,-1354,1089,2443,40,False,0,2,173
15,0,0,0,0,0.0,544,0.0,0.0,0.0,0.0,172,0,0,0.0,0.0,2022-12-31T17:30:00Z,0,1,0,0,0,0,18,0,32946,0,4,2,0.0,0,-260,208,468,40,True,0,2,173
16,0,0,0,0,0.0,544,0.0,0.0,0.0,0.0,186,0,0,0.0,0.0,2023-01-03T19:45:00Z,0,8,0,0,0,0,19,0,32803,0,4,1,0.0,0,-239,156,395,40,False,0,2,173
17,0,0,0,0,0.0,544,0.0,0.0,0.0,0.0,193,0,0,0.0,0.0,2023-01-14T15:00:00Z,0,12,0,0,0,0,20,0,32759,0,0,3,0.0,0,-243,385,628,40,True,0,2,173
18,0,0,11,0,3.6,544,0.02,0.57,0.55,1.22,206,2,0,2.7,13.0,2023-01-21T15:00:00Z,77,10,0,0,0,0,21,0,32688,1,2,2,10.0,1,-230,278,508,40,False,0,2,173
19,0,0,0,0,0.0,544,0.0,0.0,0.0,0.0,213,0,0,0.0,0.0,2023-02-04T15:00:00Z,0,3,0,0,0,0,22,0,33027,0,0,1,0.0,0,71,761,690,40,True,0,2,173
20,0,0,0,0,0.0,544,0.0,0.0,0.0,0.0,223,0,0,0.0,0.0,2023-02-11T15:00:00Z,0,7,0,0,0,0,23,0,32963,0,1,1,0.0,0,-212,280,492,40,False,0,2,173
21,0,0,0,0,0.0,544,0.0,0.0,0.0,0.0,233,0,0,0.0,0.0,2023-02-18T15:00:00Z,0,9,0,0,0,0,24,0,32864,0,1,0,0.0,0,-226,189,415,40,True,0,2,173
22,0,0,0,0,0.0,544,0.0,0.0,0.0,0.0,254,0,0,0.0,0.0,2023-03-04T15:00:00Z,0,19,0,0,0,0,26,0,32620,0,0,4,0.0,0,-125,195,320,40,True,0,2,173
23,0,0,3,0,0.1,544,0.0,0.0,0.0,0.0,265,0,0,0.3,2.4,2023-03-11T15:00:00Z,2,11,0,0,0,0,27,0,32549,0,2,2,0.0,1,-191,294,485,40,False,0,2,173
24,0,0,0,0,0.0,544,0.0,0.0,0.0,0.0,73,0,0,0.0,0.0,2023-03-15T19:30:00Z,0,7,0,0,0,0,27,0,32549,0,0,1,0.0,0,-191,294,485,40,True,0,2,173
25,0,0,0,0,0.0,544,0.0,0.0,0.0,0.0,283,0,0,0.0,0.0,2023-04-01T14:00:00Z,0,4,0,0,0,0,29,0,32526,0,3,3,0.0,0,-62,283,345,40,True,0,2,173
26,0,0,0,0,0.0,544,0.0,0.0,0.0,0.0,62,0,0,0.0,0.0,2023-04-04T18:45:00Z,0,3,0,0,0,0,29,0,32526,0,2,0,0.0,0,-62,283,345,40,False,0,2,173
27,0,0,0,0,0.0,544,0.0,0.0,0.0,0.0,299,0,0,0.0,0.0,2023-04-08T14:00:00Z,0,18,0,0,0,0,30,0,32478,0,1,2,0.0,0,-120,149,269,40,False,0,2,173
28,0,0,3,0,0.0,544,0.0,0.0,0.0,0.02,302,0,0,0.0,0.2,2023-04-15T14:00:00Z,4,6,0,0,0,0,31,0,32486,0,2,1,0.0,1,-74,162,236,40,False,0,2,173
29,0,0,0,0,0.0,544,0.0,0.0,0.0,0.0,324,0,0,0.0,0.0,2023-04-26T18:30:00Z,0,16,0,0,0,0,33,0,32678,0,1,3,0.0,0,71,225,154,40,False,0,2,173
30,0,0,0,0,0.0,544,0.0,0.0,0.0,0.0,334,0,0,0.0,0.0,2023-04-29T14:00:00Z,0,20,0,0,0,0,34,0,32943,0,0,6,0.0,0,118,408,290,40,True,0,2,173
31,0,0,0,0,0.0,544,0.0,0.0,0.0,0.0,274,0,0,0.0,0.0,2023-05-04T19:00:00Z,0,14,0,0,0,0,34,0,32943,0,0,1,0.0,0,118,408,290,40,True,0,2,173
32,0,0,0,0,0.0,544,0.0,0.0,0.0,0.0,342,0,0,0.0,0.0,2023-05-08T16:30:00Z,0,8,0,0,0,0,35,0,32961,0,5,1,0.0,0,-18,352,370,40,True,0,2,173
33,0,0,0,0,0.0,544,0.0,0.0,0.0,0.0,351,0,0,0.0,0.0,2023-05-14T15:30:00Z,0,1,0,0,0,0,36,0,33115,0,3,0,0.0,0,55,354,299,40,False,0,2,173
34,0,0,19,0,1.1,544,0.01,0.01,0.0,3.16,248,4,0,3.9,37.8,2023-05-18T18:30:00Z,90,15,0,0,0,0,36,0,33115,1,1,4,0.0,-1,55,354,299,40,False,1,2,173
35,0,0,2,0,0.0,544,0.0,0.0,0.0,0.0,362,0,0,0.0,0.0,2023-05-21T13:00:00Z,1,17,0,0,0,0,37,0,33482,0,1,3,0.0,1,230,608,378,40,True,0,2,173
36,0,0,10,0,0.7,544,0.0,0.0,0.0,1.78,314,1,0,1.0,9.2,2023-05-24T19:00:00Z,90,13,0,0,0,0,37,0,33482,1,1,1,0.0,1,230,608,378,40,True,1,2,173
37,0,0,3,0,0.0,544,0.01,0.01,0.0,0.52,372,0,0,0.0,0.0,2023-05-28T15:30:00Z,25,2,0,0,0,0,38,0,33986,0,1,2,0.0,1,349,587,238,40,False,0,2,173
38,0,0,19,0,15.3,173,0.02,0.02,0.00,2.51,25,3,0,5.1,35.4,2023-08-27T13:00:00Z,90,2,0,0,0,0,3,0,19989,1,3,1,0.0,1,-1232,388,1620,45,True,0,2,173
39,0,0,17,0,0.3,173,0.00,0.04,0.04,2.27,34,5,0,4.1,29.6,2023-09-02T14:00:00Z,90,18,0,0,0,0,4,0,20241,1,5,2,11.0,0,-422,987,1409,45,True,0,2,173
40,0,0,0,0,0.0,173,0.00,0.00,0.00,0.00,47,0,0,0.0,0.0,2023-09-18T18:45:00Z,0,16,0,0,0,0,5,0,19578,0,1,1,0.0,0,-1360,578,1938,45,False,0,2,173
41,0,0,0,0,0.0,173,0.00,0.00,0.00,0.00,54,0,0,0.0,0.0,2023-09-23T19:00:00Z,0,14,0,0,0,0,6,0,19065,0,1,0,0.0,0,-761,367,1128,44,True,0,2,173
42,0,0,0,0,0.0,173,0.00,0.00,0.00,0.00,66,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,15,0,0,0,0,7,0,18711,0,0,2,0.0,0,-522,549,1071,44,False,0,2,173
43,0,0,0,0,0.0,173,0.00,0.00,0.00,0.00,15,0,0,0.0,0.0,2023-10-03T18:30:00Z,0,12,0,0,0,0,7,0,18711,0,2,1,0.0,0,-522,549,1071,44,False,0,2,173
44,0,0,4,0,0.3,173,0.00,0.00,0.00,1.26,73,3,0,0.4,3.8,2023-10-07T14:00:00Z,45,7,0,0,0,0,8,0,18008,0,4,1,0.0,0,-745,204,949,44,True,0,2,173
45,0,0,18,0,1.3,173,0.01,0.01,0.00,3.24,83,3,0,3.6,34.6,2023-10-21T14:00:00Z,90,4,0,0,0,0,9,0,17612,1,0,3,0.0,1,-549,208,757,44,False,0,2,173
46,1,1,26,0,11.0,173,0.01,0.01,0.00,1.08,93,2,0,5.8,44.6,2023-10-28T14:00:00Z,90,3,0,0,0,0,10,0,17602,1,1,2,2.0,5,-89,471,560,44,False,0,2,173
47,0,0,12,0,15.8,173,0.06,0.14,0.08,1.32,102,2,0,6.0,22.8,2023-11-04T15:00:00Z,90,8,0,0,0,0,11,0,18519,1,2,0,21.0,1,697,1228,531,44,True,0,2,173
48,0,0,10,0,1.6,173,0.01,0.04,0.03,2.03,111,3,0,2.3,10.2,2023-11-11T15:00:00Z,90,1,0,0,0,0,12,0,18239,1,1,3,11.0,1,-333,635,968,44,False,0,2,173
49,0,0,8,0,10.4,173,0.01,0.08,0.07,1.03,122,2,0,5.0,19.0,2023-11-25T15:00:00Z,90,19,1,0,0,0,13,0,19049,1,2,1,21.0,-1,612,1392,780,44,True,0,2,173
50,1,0,31,1,12.0,173,0.18,0.20,0.02,0.36,134,0,0,4.2,23.8,2023-12-02T15:00:00Z,82,17,0,0,0,0,14,0,19990,1,0,5,6.0,8,782,1841,1059,44,True,1,2,173
51,0,0,12,0,0.9,173,0.01,0.01,0.00,0.83,149,1,0,2.4,17.4,2023-12-05T19:30:00Z,90,20,0,0,0,0,15,0,20734,1,0,1,6.0,2,643,1718,1075,44,False,0,2,173
52,0,0,9,0,0.7,173,0.01,0.01,0.00,2.72,152,1,0,3.1,25.8,2023-12-09T15:00:00Z,90,5,0,0,0,0,16,0,20106,1,1,1,4.0,1,-655,706,1361,44,False,1,2,173
53,0,0,13,0,3.3,173,0.02,0.02,0.00,1.34,164,2,0,2.1,17.4,2023-12-16T17:30:00Z,90,9,0,0,0,0,17,0,19223,1,2,0,0.0,1,-1016,379,1395,44,True,0,2,173
54,0,0,21,1,0.5,173,0.00,0.06,0.06,1.38,173,0,0,2.4,16.2,2023-12-23T15:00:00Z,90,10,0,0,0,0,18,0,19699,1,2,0,7.0,6,403,955,552,44,False,0,2,173
55,0,0,7,0,10.3,173,0.01,0.02,0.01,1.69,185,2,0,3.5,16.2,2023-12-26T17:30:00Z,90,11,0,0,0,0,19,0,19876,1,2,0,8.0,0,75,830,755,44,True,1,2,173
56,1,0,20,0,13.5,173,0.11,0.15,0.04,3.15,191,3,0,4.3,22.6,2023-12-30T15:00:00Z,90,2,0,0,0,0,20,0,19827,1,2,3,7.0,4,-155,766,921,44,False,0,2,173
57,0,0,13,0,11.0,173,0.03,0.03,0.00,0.85,205,1,0,3.1,14.4,2024-01-12T19:45:00Z,90,12,0,0,0,0,21,0,29133,1,1,1,6.0,2,7862,9756,1894,44,True,0,2,173
