,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position
0,0,0,0,0,0,0.0,583,189,0,0,0.0,0.0,2019-12-26T12:30:00Z,0,4,0,0,0,0,19,0,0,1,2,0.0,0,0,0,0,40,True,0,,,,,,2
1,1,0,0,0,0,0.0,583,197,0,0,0.0,0.0,2019-12-28T17:30:00Z,0,14,0,0,0,0,20,0,264,2,2,0.0,0,129,150,21,40,False,0,,,,,,2
2,2,0,0,0,0,0.0,583,208,0,0,0.0,0.0,2020-01-01T15:00:00Z,0,16,0,0,0,0,21,0,622,0,1,0.0,0,128,210,82,40,False,0,,,,,,2
3,3,0,0,20,0,0.3,583,219,1,0,2.6,26.0,2020-01-11T17:30:00Z,90,10,0,0,0,0,22,0,1077,1,0,0.0,2,126,249,123,40,True,0,,,,,,2
4,4,0,0,23,1,1.9,583,229,0,0,4.0,31.2,2020-01-18T12:30:00Z,90,18,0,0,0,0,23,0,31844,0,0,7.0,5,28524,31784,3260,40,False,1,,,,,,2
5,5,0,0,0,0,0.0,583,240,0,0,0.0,0.0,2020-01-22T19:30:00Z,0,14,0,0,0,0,24,0,111826,1,2,0.0,0,64571,69139,4568,40,True,0,,,,,,2
6,6,0,0,23,1,1.3,583,248,0,0,3.1,27.8,2020-02-02T16:30:00Z,90,11,0,0,0,0,25,0,110857,0,2,2.0,6,12772,27890,15118,40,True,0,,,,,,2
7,7,0,0,0,0,0.0,583,252,0,0,0.0,0.0,2020-02-16T14:00:00Z,0,2,0,0,0,0,26,0,181867,3,2,0.0,0,68650,74632,5982,41,False,0,,,,,,2
8,8,0,0,8,0,2.0,583,263,2,0,0.6,3.6,2020-02-22T12:30:00Z,90,6,0,0,0,0,27,0,182628,1,2,0.0,1,1959,18209,16250,41,False,0,,,,,,2
9,9,0,0,9,0,0.3,583,278,3,0,1.6,16.0,2020-03-01T14:00:00Z,75,20,0,0,0,0,28,0,184150,3,2,0.0,1,1798,12124,10326,41,True,0,,,,,,2
10,10,0,0,17,0,11.4,583,282,1,0,5.2,29.8,2020-03-07T17:30:00Z,90,5,0,0,0,0,29,0,186882,1,1,11.0,2,1711,13368,11657,41,False,0,,,,,,2
11,11,0,0,0,0,0.0,583,298,0,0,0.0,0.0,2020-06-19T19:15:00Z,0,12,0,0,0,0,39,0,106010,1,1,0.0,0,-77168,16557,93725,41,True,0,,,,,,2
12,12,0,0,0,0,0.0,583,309,0,0,0.0,0.0,2020-06-23T19:15:00Z,0,19,0,0,0,0,40,0,95789,0,2,0.0,0,-13777,410,14187,41,True,0,,,,,,2
