,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position,player
0,0,2,30,1,0.2,64,0.0,0.24,0.24,0.66,2,0,1,5.9,42.0,2022-08-06T14:00:00Z,90,2,0,0,0,0,1,0,3496,1,0,2,17.0,10,0,0,0,50,True,0,3,294
1,0,0,8,0,0.0,64,0.0,0.0,0.0,1.75,17,4,0,0.7,7.0,2022-08-13T14:00:00Z,90,13,1,0,0,0,2,0,132873,1,0,4,0.0,0,67096,79355,12259,50,False,0,3,294
2,0,0,13,0,2.3,64,0.01,0.09,0.08,1.32,21,3,0,1.6,8.4,2022-08-20T16:30:00Z,90,1,0,0,0,0,3,0,106121,1,3,0,5.0,2,-23920,12600,36520,50,True,0,3,294
3,0,0,8,0,0.3,64,0.06,0.12,0.06,3.32,36,9,0,1.0,4.0,2022-08-27T14:00:00Z,90,12,0,0,0,0,4,0,88836,1,0,9,6.0,2,-19906,2878,22784,50,False,0,3,294
4,0,0,13,1,4.8,64,0.27,0.3,0.03,1.51,42,0,0,1.8,10.6,2022-08-31T18:30:00Z,90,20,0,0,0,0,5,0,79649,1,0,0,3.0,3,-10415,2135,12550,50,True,0,3,294
5,0,0,13,0,7.5,64,0.03,0.03,0.0,1.9,58,2,0,2.0,10.4,2022-09-03T14:00:00Z,90,16,0,0,0,0,6,0,76528,1,3,2,2.0,2,-4403,4489,8892,50,False,0,3,294
6,0,0,7,0,2.6,64,0.0,0.0,0.0,1.92,77,1,0,2.2,19.0,2022-09-17T14:00:00Z,90,15,0,0,0,0,8,0,71101,1,1,1,0.0,2,-484,2563,3047,50,False,0,3,294
7,0,0,9,1,4.8,64,0.06,0.23,0.17,0.87,82,0,0,5.6,11.4,2022-10-01T14:00:00Z,90,4,0,0,0,0,9,0,67911,1,0,0,40.0,2,-3583,2344,5927,50,True,1,3,294
8,0,0,13,0,12.4,64,0.05,0.05,0.0,1.08,92,1,0,2.6,12.0,2022-10-08T14:00:00Z,90,10,0,0,0,0,10,0,64003,1,1,2,2.0,2,-4103,1801,5904,50,True,0,3,294
9,0,0,23,0,0.6,64,0.0,0.36,0.36,2.13,103,2,1,8.6,47.8,2022-10-15T14:00:00Z,90,9,0,0,0,0,11,0,61376,1,2,2,38.0,7,-2889,979,3868,50,False,0,3,294
10,0,0,7,0,6.2,64,0.05,0.08,0.03,1.03,112,1,0,1.9,7.8,2022-10-19T18:30:00Z,90,17,0,0,0,0,12,0,70249,1,1,0,5.0,2,5347,7478,2131,49,True,0,3,294
11,0,0,7,0,13.8,64,0.11,0.18,0.07,1.9,129,2,0,2.5,5.4,2022-10-24T19:00:00Z,90,19,0,0,0,0,13,0,65233,1,0,2,6.0,1,-2047,1959,4006,49,False,1,3,294
12,0,0,6,0,11.0,64,0.02,0.04,0.02,2.09,132,3,0,2.8,14.2,2022-10-29T14:00:00Z,90,18,0,0,0,0,14,0,62068,1,3,2,3.0,2,-3305,1366,4671,49,True,0,3,294
13,0,0,10,0,10.5,64,0.05,0.19,0.14,2.16,144,4,0,5.9,12.0,2022-11-05T15:00:00Z,90,11,0,0,0,0,15,0,59201,1,3,4,36.0,1,-2982,1304,4286,49,False,1,3,294
14,0,0,14,1,12.7,64,0.07,0.07,0.0,0.83,151,0,0,2.7,12.4,2022-11-12T15:00:00Z,90,8,0,0,0,0,16,0,56621,1,0,3,2.0,3,-2746,974,3720,48,True,0,3,294
15,0,0,8,0,14.0,64,0.15,0.18,0.03,1.74,164,2,0,2.2,3.4,2022-12-27T17:30:00Z,90,6,0,0,0,0,17,0,49777,1,0,2,5.0,2,-6985,579,7564,48,False,0,3,294
16,0,0,8,0,5.3,64,0.09,0.09,0.0,1.49,171,2,0,2.8,22.6,2022-12-31T15:00:00Z,90,7,0,0,0,0,18,0,49010,1,2,0,0.0,2,-853,569,1422,48,True,0,3,294
17,0,0,13,0,3.4,64,0.05,0.05,0.0,1.67,189,2,0,1.5,10.0,2023-01-03T20:00:00Z,83,14,0,0,0,0,19,0,48261,1,0,3,2.0,2,-766,265,1031,48,False,0,3,294
18,0,0,12,0,4.3,64,0.03,0.03,0.0,1.47,192,2,0,1.8,13.8,2023-01-14T17:30:00Z,90,4,0,0,0,0,20,0,47360,1,0,2,0.0,2,-943,188,1131,48,False,0,3,294
19,0,0,12,0,2.4,64,0.03,0.03,0.0,1.77,202,1,0,2.3,21.0,2023-01-21T15:00:00Z,90,16,0,0,0,0,21,0,47095,1,1,1,0.0,2,-327,641,968,48,True,0,3,294
20,0,0,17,0,22.2,64,0.02,0.1,0.08,2.61,213,1,0,5.9,33.2,2023-02-04T15:00:00Z,90,5,0,0,0,0,22,0,45872,1,0,1,4.0,2,-1242,190,1432,48,False,0,3,294
21,0,0,19,0,11.7,64,0.02,0.02,0.0,1.27,222,1,0,4.0,26.2,2023-02-11T17:30:00Z,90,15,0,0,0,0,23,0,45365,1,1,1,2.0,2,-557,99,656,48,True,0,3,294
22,0,0,6,0,0.3,64,0.0,0.0,0.0,0.75,240,0,0,1.1,10.4,2023-02-18T15:00:00Z,45,20,0,0,0,0,24,0,44982,1,1,0,0.0,1,-400,84,484,48,False,0,3,294
23,0,0,28,0,3.5,64,0.03,0.29,0.26,2.38,241,4,1,6.7,34.8,2023-02-25T17:30:00Z,90,13,0,0,0,0,25,0,43987,1,4,1,29.0,7,-923,15,938,48,True,0,3,294
24,0,0,0,0,0.0,64,0.0,0.0,0.0,0.0,251,0,0,0.0,0.0,2023-03-04T15:00:00Z,0,1,0,0,0,0,26,0,44672,0,2,3,0.0,0,500,865,365,47,False,0,3,294
25,0,0,9,1,1.1,64,0.0,0.0,0.0,1.67,261,0,0,1.1,9.4,2023-03-11T12:30:00Z,80,12,0,0,0,0,27,0,43653,1,0,1,0.0,3,-989,146,1135,47,True,0,3,294
26,0,0,16,0,4.9,64,0.03,0.07,0.04,3.2,272,3,0,3.4,22.6,2023-03-18T15:00:00Z,90,2,0,0,0,0,28,0,45120,1,0,3,6.0,1,1025,1416,391,47,False,1,3,294
27,0,0,5,0,25.4,64,0.36,0.74,0.38,0.84,282,1,0,4.4,9.8,2023-04-01T14:00:00Z,90,9,0,0,0,0,29,0,43969,1,1,2,9.0,1,-810,303,1113,47,True,1,3,294
28,0,0,20,0,28.3,64,0.49,0.56,0.07,2.76,62,2,0,5.3,16.4,2023-04-04T18:45:00Z,90,5,0,0,0,0,29,0,43969,1,2,0,8.0,2,-810,303,1113,47,True,0,3,294
