,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position,player
0,0,0,0,0,0.0,688,301,0,0,0.0,0.0,2021-04-10T16:30:00Z,0,5,0,0,0,0,31,0,0,4,1,0.0,0,0,0,0,45,True,0,,,,,,3,309
1,0,0,0,0,0.0,688,323,0,0,0.0,0.0,2021-04-26T19:00:00Z,0,9,0,0,0,0,33,0,49,1,2,0.0,0,8,12,4,45,False,0,,,,,,3,309
2,0,0,0,0,0.0,688,332,0,0,0.0,0.0,2021-05-01T11:30:00Z,0,12,0,0,0,0,34,0,99,2,0,0.0,0,42,59,17,45,True,0,,,,,,3,309
3,0,0,0,0,0.0,688,346,0,0,0.0,0.0,2021-05-08T14:00:00Z,0,15,0,0,0,0,35,0,95,2,0,0.0,0,-13,38,51,45,False,0,,,,,,3,309
4,0,0,0,0,0.0,688,317,0,0,0.0,0.0,2021-05-11T19:15:00Z,0,16,0,0,0,0,35,0,95,1,3,0.0,0,-13,38,51,45,False,0,,,,,,3,309
5,0,0,0,0,0.0,688,355,0,0,0.0,0.0,2021-05-16T11:00:00Z,0,2,0,0,0,0,36,0,110,2,3,0.0,0,3,22,19,45,True,0,,,,,,3,309
6,0,0,0,0,0.0,688,362,0,0,0.0,0.0,2021-05-19T18:00:00Z,0,1,0,0,0,0,37,0,104,3,1,0.0,0,-1,18,19,45,True,0,,,,,,3,309
7,0,0,0,0,0.0,688,374,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,11,0,0,0,0,38,0,151,0,2,0.0,0,39,66,27,45,False,0,,,,,,3,309
8,0,0,3,0,5.0,541,3,0,0,0.6,1.0,2021-08-14T14:00:00Z,13,6,0,0,0,0,1,0,0,0,3,0.0,1,0,0,0,45,False,0,,,,,,3,309
9,0,0,0,0,0.0,541,13,0,0,0.0,0.0,2021-08-21T14:00:00Z,0,3,0,0,0,0,2,0,684,0,0,0.0,0,247,326,79,45,True,0,,,,,,3,309
10,0,0,0,0,0.0,541,28,0,0,0.0,0.0,2021-08-28T14:00:00Z,0,19,0,0,0,0,3,0,856,2,2,0.0,0,3,194,191,45,False,0,,,,,,3,309
11,0,0,0,0,0.0,541,34,0,0,0.0,0.0,2021-09-11T11:30:00Z,0,17,0,0,0,0,4,0,1332,0,3,0.0,0,195,501,306,45,True,0,,,,,,3,309
12,0,0,0,0,0.0,541,44,0,0,0.0,0.0,2021-09-18T14:00:00Z,0,11,0,0,0,0,5,0,1653,0,3,0.0,0,178,441,263,45,False,0,,,,,,3,309
13,0,0,0,0,0.0,541,54,0,0,0.0,0.0,2021-09-27T19:00:00Z,0,4,0,0,0,0,6,0,1642,1,1,0.0,0,-113,186,299,45,True,0,,,,,,3,309
14,0,0,0,0,0.0,541,64,0,0,0.0,0.0,2021-10-03T13:00:00Z,0,9,0,0,0,0,7,0,1708,2,2,0.0,0,-13,154,167,45,True,0,,,,,,3,309
15,0,0,0,0,0.0,541,71,0,0,0.0,0.0,2021-10-18T19:00:00Z,0,1,0,0,0,0,8,0,1791,2,2,0.0,0,-18,113,131,45,False,0,,,,,,3,309
16,0,0,0,0,0.0,541,85,0,0,0.0,0.0,2021-10-23T14:00:00Z,0,14,0,0,0,0,9,0,1807,1,1,0.0,0,-31,84,115,45,True,0,,,,,,3,309
17,0,0,0,0,0.0,541,95,0,0,0.0,0.0,2021-10-30T14:00:00Z,0,12,0,0,0,0,10,0,2076,2,0,0.0,0,201,424,223,45,False,0,,,,,,3,309
18,0,0,0,0,0.0,541,105,0,0,0.0,0.0,2021-11-06T15:00:00Z,0,20,0,0,0,0,11,0,1855,0,2,0.0,0,-275,52,327,45,True,0,,,,,,3,309
19,0,0,0,0,0.0,541,112,0,0,0.0,0.0,2021-11-20T15:00:00Z,0,5,0,0,0,0,12,0,1843,3,3,0.0,0,-78,85,163,45,False,0,,,,,,3,309
20,0,0,0,0,0.0,541,126,0,0,0.0,0.0,2021-11-27T15:00:00Z,0,2,0,0,0,0,13,0,1912,2,1,0.0,0,38,138,100,45,True,0,,,,,,3,309
21,0,0,0,0,0.0,541,133,0,0,0.0,0.0,2021-11-30T20:15:00Z,0,10,0,0,0,0,14,0,1886,0,1,0.0,0,-48,59,107,45,False,0,,,,,,3,309
22,0,0,0,0,0.0,541,144,0,0,0.0,0.0,2021-12-05T14:00:00Z,0,13,0,0,0,0,15,0,1827,0,1,0.0,0,-71,36,107,45,False,0,,,,,,3,309
23,0,0,0,0,0.0,541,156,0,0,0.0,0.0,2021-12-12T16:30:00Z,0,8,0,0,0,0,16,0,1808,1,3,0.0,0,-42,26,68,45,True,0,,,,,,3,309
24,0,0,0,0,0.0,541,165,0,0,0.0,0.0,2021-12-15T19:30:00Z,0,16,0,0,0,0,17,0,1808,2,2,0.0,0,-25,26,51,45,True,0,,,,,,3,309
25,0,0,0,0,0.0,541,188,0,0,0.0,0.0,2021-12-26T15:00:00Z,0,17,0,0,0,0,19,0,2005,0,3,0.0,0,80,145,65,44,False,0,,,,,,3,309
26,0,0,0,0,0.0,541,194,0,0,0.0,0.0,2021-12-28T15:00:00Z,0,15,0,0,0,0,20,0,1972,0,3,0.0,0,-3,64,67,44,True,0,,,,,,3,309
27,0,0,0,0,0.0,541,204,0,0,0.0,0.0,2022-01-01T17:30:00Z,0,19,0,0,0,0,21,0,1983,3,2,0.0,0,20,130,110,44,True,0,,,,,,3,309
28,0,0,0,0,0.0,541,212,0,0,0.0,0.0,2022-01-14T20:00:00Z,0,4,0,0,0,0,22,0,1966,1,1,0.0,0,-54,75,129,44,False,0,,,,,,3,309
29,0,0,0,0,0.0,541,224,0,0,0.0,0.0,2022-01-23T14:00:00Z,0,11,0,0,0,0,23,0,1928,3,1,0.0,0,-38,29,67,44,True,0,,,,,,3,309
