,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position,player
0,0,0,0,0,0.0,668,370,0,0,0.0,0.0,2020-07-20T19:15:00Z,0,20,0,0,0,0,46,0,0,0,2,0.0,0,0,0,0,45,False,0,,,,,,4,310
1,0,0,0,0,0.0,668,374,0,0,0.0,0.0,2020-07-26T15:00:00Z,0,17,0,0,0,0,47,0,34,1,1,0.0,0,24,30,6,45,True,0,,,,,,4,310
2,0,0,0,0,0.0,634,83,0,0,0.0,0.0,2022-10-01T14:00:00Z,0,6,0,0,0,0,9,0,0,2,1,0.0,0,0,0,0,45,True,0,0.0,0.0,0.0,0.0,0.0,4,310
3,0,0,0,0,0.0,634,95,0,0,0.0,0.0,2022-10-09T13:00:00Z,0,11,0,0,0,0,10,0,5656,1,2,0.0,0,4196,4837,641,45,True,0,0.0,0.0,0.0,0.0,0.0,4,310
4,0,0,0,0,0.0,634,105,0,0,0.0,0.0,2022-10-15T11:30:00Z,0,10,0,0,0,0,11,0,8356,0,0,0.0,0,1776,3155,1379,45,False,0,0.0,0.0,0.0,0.0,0.0,4,310
5,0,0,0,0,0.0,634,115,0,0,0.0,0.0,2022-10-18T19:15:00Z,0,20,0,0,0,0,12,0,9639,1,2,0.0,0,160,1801,1641,45,True,0,0.0,0.0,0.0,0.0,0.0,4,310
6,0,0,0,0,0.0,634,123,0,0,0.0,0.0,2022-10-22T14:00:00Z,0,8,0,0,0,0,13,0,11359,0,3,0.0,0,1671,3228,1557,45,False,0,0.0,0.0,0.0,0.0,0.0,4,310
7,0,0,0,0,0.0,634,135,0,0,0.0,0.0,2022-10-29T14:00:00Z,0,17,0,0,0,0,14,0,11273,0,1,0.0,0,-690,2095,2785,45,True,0,0.0,0.0,0.0,0.0,0.0,4,310
8,0,0,0,0,0.0,634,149,0,0,0.0,0.0,2022-11-06T14:00:00Z,0,19,0,0,0,0,15,0,12500,2,1,0.0,0,494,2571,2077,45,False,0,0.0,0.0,0.0,0.0,0.0,4,310
9,0,0,0,0,0.0,634,157,0,0,0.0,0.0,2022-11-12T15:00:00Z,0,16,0,0,0,0,16,0,15511,0,1,0.0,0,2335,4283,1948,45,False,0,0.0,0.0,0.0,0.0,0.0,4,310
10,0,0,0,0,0.0,634,165,0,0,0.0,0.0,2022-12-26T15:00:00Z,0,9,0,0,0,0,17,0,17792,3,0,0.0,0,1516,6164,4648,45,True,0,0.0,0.0,0.0,0.0,0.0,4,310
11,0,0,0,0,0.0,634,171,0,0,0.0,0.0,2022-12-31T15:00:00Z,0,3,0,0,0,0,18,0,17994,2,0,0.0,0,-103,1445,1548,45,False,0,0.0,0.0,0.0,0.0,0.0,4,310
12,0,0,0,0,0.0,634,185,0,0,0.0,0.0,2023-01-04T20:00:00Z,0,18,0,0,0,0,19,0,17505,4,0,0.0,0,-660,788,1448,45,True,0,0.0,0.0,0.0,0.0,0.0,4,310
13,0,0,0,0,0.0,634,194,0,0,0.0,0.0,2023-01-15T14:00:00Z,0,6,0,0,0,0,20,0,17473,0,1,0.0,0,-527,1321,1848,45,False,0,0.0,0.0,0.0,0.0,0.0,4,310
14,0,0,0,0,0.0,634,63,0,0,0.0,0.0,2023-01-18T20:00:00Z,0,14,0,0,0,0,20,0,17473,1,1,0.0,0,-527,1321,1848,45,True,0,0.0,0.0,0.0,0.0,0.0,4,310
15,0,0,0,0,0.0,634,203,0,0,0.0,0.0,2023-01-21T17:30:00Z,0,15,0,0,0,0,21,0,15111,0,0,0.0,0,-2204,81,2285,45,True,0,0.0,0.0,0.0,0.0,0.0,4,310
16,0,0,0,0,0.0,634,216,0,0,0.0,0.0,2023-02-04T15:00:00Z,0,14,0,0,0,0,22,0,13222,1,2,0.0,0,-1882,0,1882,45,False,0,0.0,0.0,0.0,0.0,0.0,4,310
17,0,0,0,0,0.0,634,223,0,0,0.0,0.0,2023-02-11T15:00:00Z,0,5,0,0,0,0,23,0,12463,1,1,0.0,0,-806,0,806,45,True,0,0.0,0.0,0.0,0.0,0.0,4,310
18,0,0,0,0,0.0,634,232,0,0,0.0,0.0,2023-02-18T15:00:00Z,0,4,0,0,0,0,24,0,11869,1,1,0.0,0,-591,0,591,45,False,0,0.0,0.0,0.0,0.0,0.0,4,310
19,0,0,0,0,0.0,634,242,0,0,0.0,0.0,2023-02-25T19:45:00Z,0,12,0,0,0,0,25,0,11337,0,0,0.0,0,-473,0,473,45,True,0,0.0,0.0,0.0,0.0,0.0,4,310
20,0,0,0,0,0.0,634,252,0,0,0.0,0.0,2023-03-04T15:00:00Z,0,2,0,0,0,0,26,0,11054,0,1,0.0,0,-359,0,359,45,False,0,0.0,0.0,0.0,0.0,0.0,4,310
21,0,0,0,0,0.0,634,262,0,0,0.0,0.0,2023-03-11T17:30:00Z,0,13,0,0,0,0,27,0,10758,1,0,0.0,0,-300,0,300,45,True,0,0.0,0.0,0.0,0.0,0.0,4,310
22,0,0,0,0,0.0,634,73,0,0,0.0,0.0,2023-03-15T19:30:00Z,0,5,0,0,0,0,27,0,10758,0,1,0.0,0,-300,0,300,45,False,0,0.0,0.0,0.0,0.0,0.0,4,310
23,0,0,0,0,0.0,634,271,0,0,0.0,0.0,2023-03-19T14:00:00Z,0,1,0,0,0,0,28,0,10518,1,4,0.0,0,-224,0,224,45,False,0,0.0,0.0,0.0,0.0,0.0,4,310
24,0,0,0,0,0.0,634,285,0,0,0.0,0.0,2023-04-01T14:00:00Z,0,10,0,0,0,0,29,0,10326,1,2,0.0,0,-208,0,208,45,True,0,0.0,0.0,0.0,0.0,0.0,4,310
25,0,0,0,0,0.0,634,294,0,0,0.0,0.0,2023-04-09T13:00:00Z,0,11,0,0,0,0,30,0,10209,5,1,0.0,0,-128,0,128,45,False,0,0.0,0.0,0.0,0.0,0.0,4,310
26,0,0,0,0,0.0,634,307,0,0,0.0,0.0,2023-04-15T14:00:00Z,0,17,0,0,0,0,31,0,10064,2,0,0.0,0,-144,0,144,45,False,0,0.0,0.0,0.0,0.0,0.0,4,310
27,0,0,0,0,0.0,634,315,0,0,0.0,0.0,2023-04-22T14:00:00Z,0,8,0,0,0,0,32,0,9958,0,0,0.0,0,-103,0,103,45,True,0,0.0,0.0,0.0,0.0,0.0,4,310
28,0,0,0,0,0.0,634,327,0,0,0.0,0.0,2023-04-25T18:30:00Z,0,20,0,0,0,0,33,0,9899,0,2,0.0,0,-65,0,65,45,False,0,0.0,0.0,0.0,0.0,0.0,4,310
29,0,0,0,0,0.0,634,335,0,0,0.0,0.0,2023-04-29T11:30:00Z,0,19,0,0,0,0,34,0,9829,3,4,0.0,0,-71,0,71,45,True,0,0.0,0.0,0.0,0.0,0.0,4,310
30,0,0,0,0,0.0,634,348,0,0,0.0,0.0,2023-05-06T14:00:00Z,0,18,0,0,0,0,35,0,9739,0,1,0.0,0,-89,0,89,45,False,0,0.0,0.0,0.0,0.0,0.0,4,310
31,0,0,0,0,0.0,634,355,0,0,0.0,0.0,2023-05-13T14:00:00Z,0,3,0,0,0,0,36,0,9684,0,2,0.0,0,-54,0,54,45,True,0,0.0,0.0,0.0,0.0,0.0,4,310
32,0,0,0,0,0.0,634,363,0,0,0.0,0.0,2023-05-20T14:00:00Z,0,9,0,0,0,0,37,0,9625,2,2,0.0,0,-58,0,58,45,False,0,0.0,0.0,0.0,0.0,0.0,4,310
33,0,0,0,0,0.0,634,375,0,0,0.0,0.0,2023-05-28T15:30:00Z,0,16,0,0,0,0,38,0,9580,1,1,0.0,0,-46,0,46,45,True,0,0.0,0.0,0.0,0.0,0.0,4,310
34,0,0,0,0,0.0,310,14,0,0,0.0,0.0,2023-08-19T14:00:00Z,0,3,0,0,0,0,2,0,21793,1,3,0.0,0,-3543,1075,4618,50,True,0,0.00,0.00,0.00,0.00,0.0,4,310
35,0,0,0,0,0.0,310,29,0,0,0.0,0.0,2023-08-27T15:30:00Z,0,15,0,0,0,0,3,0,19065,2,1,0.0,0,-3794,586,4380,49,False,0,0.00,0.00,0.00,0.00,0.0,4,310
36,0,0,0,0,0.0,310,37,0,0,0.0,0.0,2023-09-03T13:00:00Z,0,2,0,0,0,0,4,0,14906,0,3,0.0,0,-4266,46,4312,49,True,0,0.00,0.00,0.00,0.00,0.0,4,310
37,0,0,0,0,0.0,310,50,0,0,0.0,0.0,2023-09-16T11:30:00Z,0,20,0,0,0,0,5,0,12730,3,1,0.0,0,-2352,63,2415,48,False,0,0.00,0.00,0.00,0.00,0.0,4,310
38,0,0,0,0,0.0,310,57,0,0,0.0,0.0,2023-09-24T13:00:00Z,0,19,0,0,0,0,6,0,11870,1,3,0.0,0,-962,37,999,48,True,0,0.00,0.00,0.00,0.00,0.0,4,310
39,0,0,0,0,0.0,310,68,0,0,0.0,0.0,2023-09-30T16:30:00Z,0,18,0,0,0,0,7,0,11092,1,2,0.0,0,-788,37,825,48,False,0,0.00,0.00,0.00,0.00,0.0,4,310
40,0,0,0,0,0.0,310,72,0,0,0.0,0.0,2023-10-08T13:00:00Z,0,5,0,0,0,0,8,0,10733,2,2,0.0,0,-408,31,439,48,False,0,0.00,0.00,0.00,0.00,0.0,4,310
41,0,0,0,0,0.0,310,85,0,0,0.0,0.0,2023-10-21T11:30:00Z,0,9,0,0,0,0,9,0,10402,0,2,0.0,0,-347,47,394,48,True,0,0.00,0.00,0.00,0.00,0.0,4,310
42,0,0,0,0,0.0,310,97,0,0,0.0,0.0,2023-10-29T14:00:00Z,0,16,0,0,0,0,10,0,10207,0,3,0.0,0,-225,20,245,48,True,0,0.00,0.00,0.00,0.00,0.0,4,310
43,0,0,0,0,0.0,310,105,0,0,0.0,0.0,2023-11-05T16:30:00Z,0,12,0,0,0,0,11,0,10015,1,1,0.0,0,-206,26,232,48,False,0,0.00,0.00,0.00,0.00,0.0,4,310
44,0,0,0,0,0.0,310,117,0,0,0.0,0.0,2023-11-12T14:00:00Z,0,4,0,0,0,0,12,0,9854,0,3,0.0,0,-167,20,187,48,True,0,0.00,0.00,0.00,0.00,0.0,4,310
45,0,0,0,0,0.0,310,126,0,0,0.0,0.0,2023-11-25T12:30:00Z,0,13,0,0,0,0,13,0,9717,1,1,0.0,0,-147,37,184,48,False,0,0.00,0.00,0.00,0.00,0.0,4,310
46,0,0,0,0,0.0,310,136,0,0,0.0,0.0,2023-12-03T14:00:00Z,0,10,0,0,0,0,14,0,9657,3,4,0.0,0,-76,20,96,48,True,0,0.00,0.00,0.00,0.00,0.0,4,310
47,0,0,0,0,0.0,310,147,0,0,0.0,0.0,2023-12-06T19:30:00Z,0,17,0,0,0,0,15,0,9620,2,0,0.0,0,-43,6,49,48,False,0,0.00,0.00,0.00,0.00,0.0,4,310
48,0,0,0,0,0.0,310,153,0,0,0.0,0.0,2023-12-09T12:30:00Z,0,8,0,0,0,0,16,0,9563,2,1,0.0,0,-62,8,70,48,False,0,0.00,0.00,0.00,0.00,0.0,4,310
49,0,0,0,0,0.0,310,166,0,0,0.0,0.0,2023-12-17T16:30:00Z,0,14,0,0,0,0,17,0,9501,0,0,0.0,0,-66,27,93,48,True,0,0.00,0.00,0.00,0.00,0.0,4,310
50,0,0,0,0,0.0,310,174,0,0,0.0,0.0,2023-12-23T17:30:00Z,0,1,0,0,0,0,18,0,9471,1,1,0.0,0,-39,16,55,48,True,0,0.00,0.00,0.00,0.00,0.0,4,310
51,0,0,0,0,0.0,310,185,0,0,0.0,0.0,2023-12-26T17:30:00Z,0,6,0,0,0,0,19,0,9445,2,0,0.0,0,-27,15,42,48,False,0,0.00,0.00,0.00,0.00,0.0,4,310
52,0,0,0,0,0.0,310,194,0,0,0.0,0.0,2024-01-01T20:00:00Z,0,15,0,0,0,0,20,0,9419,2,4,0.0,0,-34,17,51,48,True,0,0.00,0.00,0.00,0.00,0.0,4,310
