,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position
0,0,0,0,7,0,1.5,616,0.0,0.0,0.0,0.07,1,0,0,0.9,5.4,2023-08-11T19:00:00Z,11,6,0,0,0,0,1,0,249939,0,3,0,2.0,1,0,0,0,50,False,0,2
1,1,0,0,24,1,1.5,616,0.01,0.01,0.0,0.29,16,0,0,1.4,12.6,2023-08-19T19:00:00Z,90,15,0,0,0,0,2,0,307221,1,0,1,0.0,6,1846,37224,35378,50,True,0,2
2,2,0,0,14,0,29.8,616,0.04,0.04,0.0,0.73,30,1,0,4.5,15.4,2023-08-27T13:00:00Z,90,17,0,0,0,0,3,0,505315,1,2,1,0.0,2,163007,191775,28768,50,False,0,2
3,3,0,0,0,0,0.0,616,0.0,0.0,0.0,0.0,39,0,0,0.0,0.0,2023-09-02T14:00:00Z,0,10,0,0,0,0,4,0,640038,0,1,5,0.0,0,106736,145061,38325,51,True,0,2
4,4,0,0,15,0,30.2,616,0.36,0.44,0.08,0.94,49,1,0,5.8,12.4,2023-09-16T14:00:00Z,90,19,0,0,0,0,5,0,572972,1,3,1,15.0,1,-73539,21981,95520,51,False,1,2
5,5,0,1,29,1,4.1,616,0.02,0.02,0.0,1.03,59,0,0,2.9,24.6,2023-09-23T14:00:00Z,90,16,0,0,0,0,6,0,542895,1,0,2,0.0,7,-37149,23193,60342,51,True,0,2
6,6,0,0,0,0,0.0,616,0.0,0.0,0.0,0.0,70,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,20,0,0,0,0,7,0,544129,0,1,2,0.0,0,-4719,26669,31388,51,False,0,2
7,7,0,0,9,0,2.2,616,0.03,0.13,0.1,0.41,71,1,0,2.8,15.8,2023-10-08T15:30:00Z,90,1,0,0,0,0,8,0,473591,1,0,1,10.0,2,-69947,9460,79407,50,False,0,2
8,8,0,0,17,0,7.3,616,0.03,0.06,0.03,0.83,86,1,0,3.8,23.6,2023-10-21T14:00:00Z,90,5,0,0,0,0,9,0,467479,1,1,2,7.0,2,-14963,16552,31515,50,True,0,2
9,9,0,0,30,1,24.3,616,0.02,0.02,0.0,1.03,98,0,0,3.6,12.0,2023-10-29T15:30:00Z,90,14,0,0,0,0,10,0,444257,1,3,0,0.0,6,-24887,14235,39122,50,False,0,2
