,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position,player
0,0,0,0,0,0.0,517,2,0,0,0.0,0.0,2020-09-12T11:30:00Z,0,1,0,0,0,0,1,0,7610,3,0,0.0,0,0,0,0,45,True,0,,,,,,2,367
1,1,0,22,0,33.6,517,13,4,0,7.4,38.6,2020-09-19T14:00:00Z,90,10,0,0,0,0,2,0,8838,3,4,2.0,2,-1114,671,1785,45,False,1,,,,,,2,367
2,0,0,7,0,33.9,517,22,2,0,5.0,14.4,2020-09-28T16:45:00Z,38,2,0,0,0,0,3,0,13207,3,0,2.0,0,2116,4511,2395,45,True,0,,,,,,2,367
3,0,0,0,0,0.0,517,38,0,0,0.0,0.0,2020-10-04T13:00:00Z,0,20,0,0,0,0,4,0,9957,0,1,0.0,0,-2929,425,3354,45,False,0,,,,,,2,367
4,0,0,0,0,0.0,517,46,0,0,0.0,0.0,2020-10-18T11:00:00Z,0,15,0,0,0,0,5,0,7689,1,1,0.0,0,-2393,57,2450,44,False,0,,,,,,2,367
5,0,0,0,0,0.0,517,53,0,0,0.0,0.0,2020-10-24T14:00:00Z,0,6,0,0,0,0,6,0,6781,2,1,0.0,0,-1031,52,1083,44,True,0,,,,,,2,367
6,0,0,0,0,0.0,517,61,0,0,0.0,0.0,2020-11-02T17:30:00Z,0,18,0,0,0,0,7,0,6043,0,2,0.0,0,-793,61,854,44,True,0,,,,,,2,367
7,0,0,0,0,0.0,517,78,0,0,0.0,0.0,2020-11-07T20:00:00Z,0,19,0,0,0,0,8,0,5422,0,1,0.0,0,-623,23,646,44,False,0,,,,,,2,367
8,0,0,0,0,0.0,517,81,0,0,0.0,0.0,2020-11-22T12:00:00Z,0,7,0,0,0,0,9,0,5092,3,2,0.0,0,-339,84,423,43,True,0,,,,,,2,367
9,0,0,0,0,0.0,517,94,0,0,0.0,0.0,2020-11-30T17:30:00Z,0,9,0,0,0,0,10,0,4898,2,1,0.0,0,-216,41,257,43,False,0,,,,,,2,367
