,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position
0,0,0,0,2,0,0.3,688,0.0,0.0,0.0,0.02,192,0,0,0.1,0.2,2023-01-14T17:30:00Z,8,3,0,0,0,0,20,0,215,0,0,2,0.0,1,193,207,14,50,True,0,3
1,1,0,0,0,0,0.0,688,0.0,0.0,0.0,0.0,205,0,0,0.0,0.0,2023-01-22T14:00:00Z,0,11,0,0,0,0,21,0,270,0,0,0,0.0,0,25,84,59,50,False,0,3
2,2,0,0,1,0,0.5,688,0.0,0.0,0.0,0.11,212,0,0,0.7,2.0,2023-02-04T15:00:00Z,16,17,0,0,0,0,22,0,308,0,0,3,4.0,1,-32,53,85,50,True,0,3
3,3,0,0,-1,0,0.0,688,0.0,0.0,0.0,0.0,221,0,0,0.0,0.0,2023-02-11T15:00:00Z,1,1,0,0,0,0,23,0,325,0,1,1,0.0,0,-11,35,46,50,False,1,3
4,4,0,0,2,0,5.0,688,0.02,0.18,0.16,0.82,232,1,0,1.8,0.2,2023-02-18T15:00:00Z,27,7,0,0,0,0,24,0,356,0,1,1,13.0,1,-13,34,47,50,True,0,3
5,5,1,0,18,0,10.5,688,0.09,0.09,0.0,0.29,253,1,0,3.7,20.0,2023-03-06T20:00:00Z,13,9,0,0,0,0,26,0,360,0,2,3,6.0,4,-3,23,26,49,True,0,3
6,6,0,0,2,0,0.5,688,0.01,0.35,0.34,0.03,263,0,0,1.9,0.0,2023-03-11T15:00:00Z,28,8,0,0,0,0,27,0,503,0,0,1,19.0,1,126,163,37,49,False,0,3
7,7,0,0,10,1,21.5,688,0.03,0.09,0.06,0.43,69,0,0,4.2,8.6,2023-03-15T19:30:00Z,64,17,0,0,0,0,27,0,503,1,2,0,12.0,3,126,163,37,49,False,0,3
8,8,0,0,1,0,0.3,688,0.0,0.0,0.0,0.42,273,0,0,0.1,0.0,2023-03-18T15:00:00Z,29,10,0,0,0,0,28,0,722,0,1,1,2.0,1,120,169,49,49,True,0,3
9,9,0,0,0,0,0.0,688,0.0,0.0,0.0,0.0,283,0,0,0.0,0.0,2023-04-01T14:00:00Z,0,5,0,0,0,0,29,0,594,0,3,3,0.0,0,-50,51,101,49,False,0,3
10,10,0,0,1,0,10.6,688,0.0,0.39,0.39,0.22,247,0,0,4.4,8.2,2023-04-05T19:00:00Z,28,14,0,0,0,0,29,0,594,0,0,1,25.0,1,-50,51,101,49,False,0,3
11,11,0,0,7,0,11.8,688,0.0,0.0,0.0,1.18,292,2,0,2.9,5.0,2023-04-08T14:00:00Z,90,15,0,0,0,0,30,0,568,1,2,1,12.0,2,-36,29,65,49,True,0,3
12,12,0,0,5,0,0.1,688,0.0,0.0,0.0,0.42,310,1,0,0.4,2.0,2023-04-15T14:00:00Z,60,20,0,0,0,0,31,0,660,1,0,2,2.0,2,76,131,55,49,False,0,3
13,13,0,0,-1,1,12.5,688,0.03,1.0,0.97,0.65,313,0,0,4.5,4.6,2023-04-22T14:00:00Z,76,2,0,0,0,0,32,0,740,1,1,1,28.0,2,47,100,53,49,True,1,3
14,14,0,0,3,0,0.0,688,0.0,0.0,0.0,0.16,328,0,0,0.0,0.0,2023-04-26T18:45:00Z,7,6,0,0,0,0,33,0,696,0,2,0,0.0,1,-31,45,76,49,False,0,3
15,15,0,0,4,0,2.5,688,0.1,0.15,0.05,0.75,333,1,0,2.9,3.6,2023-04-29T14:00:00Z,76,16,0,0,0,0,34,0,712,1,1,2,23.0,2,16,90,74,49,True,0,3
16,16,0,0,3,0,0.2,688,0.0,0.0,0.0,0.37,344,0,0,0.4,2.2,2023-05-06T16:30:00Z,18,12,0,0,0,0,35,0,673,0,0,1,2.0,1,-54,33,87,49,False,0,3
17,17,0,0,11,1,31.8,688,0.32,0.42,0.1,0.22,353,0,0,8.8,11.4,2023-05-14T13:00:00Z,85,19,0,0,0,0,36,0,667,1,0,2,45.0,3,-20,39,59,49,True,0,3
18,18,0,0,5,0,2.3,688,0.04,0.04,0.0,1.02,368,1,0,1.9,4.2,2023-05-20T11:30:00Z,77,18,0,0,0,0,37,0,787,1,3,1,12.0,2,95,159,64,49,False,0,3
