,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position,player
0,1,49.0,0.0,0.0,1,25,0,5.0,38.0,41.8,2.0,0.0,384,0.0,0.0,3,2.0,1,0,8.8,384.0,38.4,3.0,2016-08-13T14:00:00Z,13 Aug 15:00,0.0,0.0,90,0.0,2.0,6,0,0.0,0,0,5.0,0,1,0,543814,1.0,1.0,1.0,1,1,8.0,6,0,0,0,55,False,0.0,0,,,,,,2,369
1,0,40.0,0.0,0.0,2,28,1,9.0,29.0,2.7,3.0,0.0,384,0.0,0.0,16,0.0,0,0,2.5,909.0,19.8,0.0,2016-08-20T14:00:00Z,20 Aug 15:00,0.0,0.0,90,0.0,0.0,5,0,0.0,0,0,3.0,0,2,0,757594,1.0,2.0,0.0,0,1,2.0,7,67541,78450,10909,55,True,0.0,1,,,,,,2,369
2,0,6.0,0.0,0.0,0,3,0,2.0,5.0,0.1,0.0,0.0,384,0.0,0.0,27,0.0,0,0,0.7,1449.0,7.2,0.0,2016-08-27T11:30:00Z,27 Aug 12:30,0.0,0.0,27,0.0,0.0,9,0,0.0,0,0,4.0,0,3,0,876475,2.0,0.0,0.0,1,1,0.0,1,53068,75995,22927,56,True,0.0,0,,,,,,2,369
3,1,37.0,1.0,0.0,2,35,1,5.0,26.0,13.0,0.0,0.0,384,0.0,0.0,37,3.0,0,0,4.1,1999.0,23.6,1.0,2016-09-10T14:00:00Z,10 Sep 15:00,0.0,0.0,90,0.0,0.0,14,0,0.0,0,0,6.0,0,4,0,816775,1.0,1.0,0.0,4,0,4.0,11,-72325,34989,107314,56,False,0.0,0,,,,,,2,369
4,0,62.0,0.0,0.0,2,33,1,2.0,56.0,19.4,1.0,0.0,384,0.0,0.0,49,1.0,0,0,5.1,2580.0,22.0,1.0,2016-09-18T15:30:00Z,18 Sep 16:30,0.0,0.0,90,0.0,1.0,15,0,0.0,0,0,5.0,0,5,0,1042817,1.0,3.0,0.0,0,1,10.0,8,194751,199913,5162,57,True,0.0,0,,,,,,2,369
5,0,50.0,0.0,0.0,0,12,0,2.0,44.0,13.3,0.0,0.0,384,0.0,0.0,55,1.0,1,0,2.4,3164.0,10.2,1.0,2016-09-24T14:00:00Z,24 Sep 15:00,0.0,0.0,90,0.0,0.0,12,0,0.0,0,0,7.0,0,6,0,1271422,0.0,1.0,0.0,2,1,0.0,1,195801,208244,12443,58,False,0.0,1,,,,,,2,369
6,0,37.0,0.0,0.0,0,29,1,2.0,31.0,11.8,2.0,0.0,384,0.0,0.0,68,0.0,0,0,2.8,3750.0,16.2,1.0,2016-10-02T13:15:00Z,02 Oct 14:15,0.0,0.0,90,0.0,0.0,10,0,0.0,0,0,3.0,0,7,0,1347918,0.0,1.0,0.0,0,2,0.0,6,57308,83784,26476,59,True,0.0,0,,,,,,2,369
7,0,44.0,0.0,0.0,0,18,0,9.0,43.0,18.1,1.0,0.0,384,0.0,0.0,80,0.0,1,0,4.5,4339.0,22.6,1.0,2016-10-15T14:00:00Z,15 Oct 15:00,0.0,0.0,90,0.0,1.0,19,0,0.0,0,0,4.0,0,8,0,1452008,2.0,0.0,0.0,1,1,4.0,2,81366,89386,8020,60,False,0.0,0,,,,,,2,369
8,0,54.0,0.0,0.0,0,28,1,8.0,47.0,4.3,0.0,0.0,384,0.0,0.0,82,0.0,0,0,2.4,4931.0,14.0,0.0,2016-10-22T11:30:00Z,22 Oct 12:30,0.0,0.0,90,0.0,0.0,2,0,0.0,0,0,9.0,0,9,0,1516608,0.0,0.0,1.0,0,0,6.0,6,54625,65184,10559,61,False,0.0,0,,,,,,2,369
9,0,50.0,0.0,0.0,1,23,0,10.0,38.0,37.8,0.0,0.0,384,0.0,0.0,98,1.0,1,0,7.2,5525.0,32.6,3.0,2016-10-29T14:00:00Z,29 Oct 15:00,0.0,0.0,90,0.0,1.0,8,0,0.0,0,0,7.0,0,10,0,1564263,1.0,3.0,0.0,1,1,2.0,3,38161,45842,7681,61,True,0.0,0,,,,,,2,369
