,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position,player
0,0,28.0,0.0,0.0,0,10,0,1.0,22.0,14.3,1.0,0.0,47,0.0,0.0,9,0.0,3,0,2.5,47.0,7.0,1.0,2016-08-14T12:30:00Z,14 Aug 13:30,0.0,0.0,80,0.0,0.0,11,0,0.0,0,0,5.0,0,1,0,15331,3.0,2.0,0.0,3,1,4.0,2,0,0,0,45,True,0.0,0,,,,,,3,77
1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,47,0.0,0.0,20,0.0,0,0,0.0,572.0,0.0,0.0,2016-08-21T15:00:00Z,21 Aug 16:00,0.0,0.0,0,0.0,0.0,20,0,0.0,0,0,0.0,0,2,0,17821,0.0,0.0,0.0,0,1,0.0,0,544,1453,909,45,False,0.0,0,,,,,,3,77
2,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,47,0.0,0.0,22,0.0,0,0,0.0,1112.0,0.0,0.0,2016-08-27T14:00:00Z,27 Aug 15:00,0.0,0.0,0,0.0,0.0,5,0,0.0,0,0,0.0,0,3,0,16978,0.0,0.0,0.0,1,1,0.0,0,-1313,789,2102,45,False,0.0,0,,,,,,3,77
3,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,47,0.0,0.0,32,0.0,0,0,0.0,1662.0,0.0,0.0,2016-09-10T14:00:00Z,10 Sep 15:00,0.0,0.0,0,0.0,0.0,19,0,0.0,0,0,0.0,0,4,0,14925,0.0,0.0,0.0,0,1,0.0,0,-2253,330,2583,45,True,0.0,0,,,,,,3,77
4,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,47,0.0,0.0,45,0.0,0,0,0.0,2243.0,0.0,0.0,2016-09-17T14:00:00Z,17 Sep 15:00,0.0,0.0,0,0.0,0.0,10,0,0.0,0,0,0.0,0,5,0,13908,0.0,0.0,0.0,0,4,0.0,0,-1271,376,1647,44,False,0.0,0,,,,,,3,77
5,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,47,0.0,0.0,52,0.0,0,0,0.0,2827.0,0.0,0.0,2016-09-24T14:00:00Z,24 Sep 15:00,0.0,0.0,0,0.0,0.0,6,0,0.0,0,0,0.0,0,6,0,12980,0.0,0.0,0.0,0,1,0.0,0,-1466,278,1744,44,True,0.0,0,,,,,,3,77
6,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,47,0.0,0.0,69,0.0,0,0,0.0,3413.0,0.0,0.0,2016-10-01T14:00:00Z,01 Oct 15:00,0.0,0.0,0,0.0,0.0,18,0,0.0,0,0,0.0,0,7,0,12413,0.0,0.0,0.0,2,2,0.0,0,-749,240,989,44,False,0.0,0,,,,,,3,77
7,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,47,0.0,0.0,72,0.0,0,0,0.0,4002.0,0.0,0.0,2016-10-15T14:00:00Z,15 Oct 15:00,0.0,0.0,0,0.0,0.0,7,0,0.0,0,0,0.0,0,8,0,15603,0.0,0.0,0.0,1,6,0.0,0,1112,2200,1088,43,True,0.0,0,,,,,,3,77
8,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,47,0.0,0.0,82,0.0,0,0,0.0,4594.0,0.0,0.0,2016-10-22T11:30:00Z,22 Oct 12:30,0.0,0.0,0,0.0,0.0,17,0,0.0,0,0,0.0,0,9,0,15079,0.0,0.0,0.0,0,0,0.0,0,-1501,224,1725,43,True,0.0,0,,,,,,3,77
9,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,47,0.0,0.0,94,0.0,0,0,0.0,5188.0,0.0,0.0,2016-10-29T14:00:00Z,29 Oct 15:00,0.0,0.0,0,0.0,0.0,12,0,0.0,0,0,0.0,0,10,0,14814,0.0,0.0,0.0,0,2,0.0,0,-1139,85,1224,43,False,0.0,0,,,,,,3,77
10,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,47,0.0,0.0,102,0.0,0,0,0.0,5786.0,0.0,0.0,2016-11-05T15:00:00Z,05 Nov 15:00,0.0,0.0,0,0.0,0.0,15,0,0.0,0,0,0.0,0,11,0,14697,0.0,0.0,0.0,2,1,0.0,0,-1110,109,1219,43,True,0.0,0,,,,,,3,77
11,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,47,0.0,0.0,116,0.0,0,0,0.0,6385.0,0.0,0.0,2016-11-19T15:00:00Z,19 Nov 15:00,0.0,0.0,0,0.0,0.0,14,0,0.0,0,0,0.0,0,12,0,16079,0.0,0.0,0.0,1,0,0.0,0,-218,818,1036,42,False,0.0,0,,,,,,3,77
12,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,47,0.0,0.0,121,0.0,0,0,0.0,6986.0,0.0,0.0,2016-11-27T14:15:00Z,27 Nov 14:15,0.0,0.0,0,0.0,0.0,1,0,0.0,0,0,0.0,0,13,0,18895,0.0,0.0,0.0,1,3,0.0,0,1902,2975,1073,42,False,0.0,0,,,,,,3,77
13,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,47,0.0,0.0,131,0.0,0,0,0.0,7590.0,0.0,0.0,2016-12-04T13:30:00Z,04 Dec 13:30,0.0,0.0,0,0.0,0.0,9,0,0.0,0,0,0.0,0,14,0,20229,0.0,0.0,0.0,3,4,0.0,0,421,1665,1244,42,True,0.0,0,,,,,,3,77
