,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position,player
0,0,0,7,0,0.8,524,0.0,0.02,0.02,1.21,7,1,0,2.1,12.4,2022-08-06T14:00:00Z,74,15,0,0,0,0,1,0,4256,1,0,2,8.0,1,0,0,0,50,False,1,3,604
1,0,0,9,1,2.0,524,0.01,0.01,0.0,2.29,18,0,0,1.6,13.8,2022-08-14T13:00:00Z,90,19,0,0,0,0,2,0,4639,1,0,1,0.0,3,-337,182,519,50,True,0,3,604
2,0,0,4,0,11.4,524,0.05,0.12,0.07,1.51,23,1,0,1.8,2.4,2022-08-20T14:00:00Z,90,8,0,0,0,0,3,0,6212,1,1,1,4.0,2,831,1602,771,50,False,0,3,604
3,0,0,12,0,15.8,524,0.05,0.07,0.02,1.56,38,1,0,3.4,8.8,2022-08-28T15:30:00Z,74,18,0,0,0,0,4,0,5641,1,2,0,9.0,1,-803,323,1126,50,True,1,3,604
4,0,0,12,0,21.3,524,0.03,0.03,0.0,3.32,49,6,0,3.6,15.0,2022-08-31T18:30:00Z,90,13,0,0,0,0,5,0,5476,1,0,6,0.0,2,-494,245,739,50,False,0,3,604
5,0,0,0,0,0.0,524,0.0,0.0,0.0,0.0,58,0,0,0.0,0.0,2022-09-03T14:00:00Z,0,3,0,0,0,0,6,0,6093,0,3,2,0.0,0,232,834,602,50,True,0,3,604
6,0,0,23,0,0.8,524,0.0,0.16,0.16,0.43,78,0,1,5.8,40.4,2022-09-16T19:00:00Z,20,9,0,0,0,0,8,0,5663,0,3,2,17.0,6,-127,127,254,49,True,0,3,604
7,0,0,6,0,0.3,524,0.0,0.01,0.01,0.92,86,3,0,1.6,7.2,2022-10-03T19:00:00Z,45,10,0,0,0,0,9,0,6672,1,0,4,8.0,1,737,1198,461,49,False,0,3,604
8,0,0,3,0,0.0,524,0.0,0.0,0.0,0.0,99,0,0,0.0,0.0,2022-10-10T19:00:00Z,1,2,0,0,0,0,10,0,6234,0,1,1,0.0,1,-446,282,728,49,True,0,3,604
9,0,0,0,0,0.0,524,0.0,0.0,0.0,0.0,110,0,0,0.0,0.0,2022-10-15T14:00:00Z,0,20,0,0,0,0,11,0,6011,0,0,1,0.0,0,-310,156,466,49,False,0,3,604
10,0,0,0,0,0.0,524,0.0,0.0,0.0,0.0,114,0,0,0.0,0.0,2022-10-18T18:30:00Z,0,5,0,0,0,0,12,0,5354,0,0,0,0.0,0,-512,54,566,49,False,0,3,604
11,0,0,0,0,0.0,524,0.0,0.0,0.0,0.0,126,0,0,0.0,0.0,2022-10-22T11:30:00Z,0,12,0,0,0,0,13,0,5169,0,0,1,0.0,0,-365,96,461,49,True,0,3,604
12,0,0,3,0,0.1,524,0.0,0.0,0.0,0.22,131,0,0,0.5,5.0,2022-10-30T14:00:00Z,9,1,0,0,0,0,14,0,4676,0,0,5,0.0,1,-486,13,499,49,False,0,3,604
13,0,0,2,0,1.8,524,0.04,0.1,0.06,0.47,146,1,0,0.2,0.0,2022-11-05T15:00:00Z,24,4,0,0,0,0,15,0,4515,0,2,2,1.0,1,-192,28,220,49,True,0,3,604
14,0,0,3,0,0.0,524,0.0,0.0,0.0,0.26,157,0,0,0.0,0.0,2022-11-12T15:00:00Z,4,7,0,0,0,0,16,0,4467,0,0,1,0.0,1,-90,63,153,48,True,0,3,604
15,0,0,2,0,1.3,524,0.01,0.01,0.0,1.94,169,1,0,0.4,2.6,2022-12-27T20:00:00Z,37,14,0,0,0,0,17,0,4389,0,0,3,0.0,1,-153,142,295,48,False,0,3,604
16,0,0,0,0,0.0,524,0.0,0.0,0.0,0.0,177,0,0,0.0,0.0,2023-01-01T16:30:00Z,0,6,0,0,0,0,18,0,4366,0,1,1,0.0,0,-48,35,83,48,True,0,3,604
17,0,0,0,0,0.0,524,0.0,0.0,0.0,0.0,190,0,0,0.0,0.0,2023-01-04T19:30:00Z,0,17,0,0,0,0,19,0,4339,0,1,0,0.0,0,-44,20,64,48,False,0,3,604
18,0,0,2,0,0.8,524,0.0,0.0,0.0,0.0,198,0,0,0.1,0.2,2023-01-14T15:00:00Z,20,10,0,0,0,0,20,0,4284,0,0,2,0.0,1,-78,22,100,48,True,0,3,604
19,0,0,0,0,0.0,524,0.0,0.0,0.0,0.0,202,0,0,0.0,0.0,2023-01-21T15:00:00Z,0,3,0,0,0,0,21,0,4270,0,1,1,0.0,0,-43,28,71,48,False,0,3,604
20,0,0,0,0,0.0,524,0.0,0.0,0.0,0.0,218,0,0,0.0,0.0,2023-02-05T14:00:00Z,0,11,0,0,0,0,22,0,4216,0,0,1,0.0,0,-83,33,116,48,True,0,3,604
21,0,0,0,0,0.0,524,0.0,0.0,0.0,0.0,224,0,0,0.0,0.0,2023-02-11T15:00:00Z,0,9,0,0,0,0,23,0,4198,0,0,2,0.0,0,-30,40,70,48,False,0,3,604
22,0,0,0,0,0.0,524,0.0,0.0,0.0,0.0,238,0,0,0.0,0.0,2023-02-18T15:00:00Z,0,13,0,0,0,0,24,0,4167,0,1,1,0.0,0,-42,14,56,48,True,0,3,604
23,0,0,0,0,0.0,524,0.0,0.0,0.0,0.0,250,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,19,0,0,0,0,25,0,4152,0,0,4,0.0,0,-33,20,53,48,False,0,3,604
24,0,0,0,0,0.0,524,0.0,0.0,0.0,0.0,258,0,0,0.0,0.0,2023-03-05T14:00:00Z,0,8,0,0,0,0,26,0,4129,0,2,2,0.0,0,-29,13,42,48,True,0,3,604
25,0,0,0,0,0.0,524,0.0,0.0,0.0,0.0,269,0,0,0.0,0.0,2023-03-11T15:00:00Z,0,18,0,0,0,0,27,0,4111,0,1,3,0.0,0,-32,8,40,48,False,0,3,604
26,0,0,0,0,0.0,524,0.0,0.0,0.0,0.0,278,0,0,0.0,0.0,2023-03-17T20:00:00Z,0,15,0,0,0,0,28,0,4140,0,2,1,0.0,0,11,27,16,48,True,0,3,604
27,0,0,0,0,0.0,524,0.0,0.0,0.0,0.0,289,0,0,0.0,0.0,2023-04-01T14:00:00Z,0,20,0,0,0,0,29,0,4083,0,1,1,0.0,0,-59,4,63,47,True,0,3,604
28,0,0,0,0,0.0,524,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,2023-04-04T18:45:00Z,0,11,0,0,0,0,29,0,4083,0,1,2,0.0,0,-59,4,63,47,False,0,3,604
29,0,0,0,0,0.0,524,0.0,0.0,0.0,0.0,291,0,0,0.0,0.0,2023-04-08T14:00:00Z,0,2,0,0,0,0,30,0,4054,0,0,2,0.0,0,-35,0,35,47,False,0,3,604
30,0,0,0,0,0.0,524,0.0,0.0,0.0,0.0,306,0,0,0.0,0.0,2023-04-16T15:30:00Z,0,14,0,0,0,0,31,0,4026,0,2,0,0.0,0,-29,0,29,47,True,0,3,604
31,0,0,0,0,0.0,524,0.0,0.0,0.0,0.0,318,0,0,0.0,0.0,2023-04-22T14:00:00Z,0,12,0,0,0,0,32,0,4000,0,2,3,0.0,0,-24,0,24,47,False,0,3,604
32,0,0,0,0,0.0,524,0.0,0.0,0.0,0.0,324,0,0,0.0,0.0,2023-04-26T18:30:00Z,0,5,0,0,0,0,33,0,3994,0,1,3,0.0,0,-10,0,10,47,True,0,3,604
33,0,0,0,0,0.0,524,0.0,0.0,0.0,0.0,333,0,0,0.0,0.0,2023-04-29T14:00:00Z,0,4,0,0,0,0,34,0,3979,0,1,2,0.0,0,-14,0,14,47,False,0,3,604
34,0,0,0,0,0.0,524,0.0,0.0,0.0,0.0,347,0,0,0.0,0.0,2023-05-08T19:00:00Z,0,17,0,0,0,0,35,0,3957,0,3,4,0.0,0,-22,0,22,47,True,0,3,604
35,0,0,0,0,0.0,524,0.0,0.0,0.0,0.0,354,0,0,0.0,0.0,2023-05-13T14:00:00Z,0,6,0,0,0,0,36,0,3934,0,2,2,0.0,0,-22,0,22,47,False,0,3,604
36,0,0,0,0,0.0,524,0.0,0.0,0.0,0.0,367,0,0,0.0,0.0,2023-05-20T16:30:00Z,0,1,0,0,0,0,37,0,3922,0,0,1,0.0,0,-13,0,13,47,True,0,3,604
37,0,0,0,0,0.0,524,0.0,0.0,0.0,0.0,375,0,0,0.0,0.0,2023-05-28T15:30:00Z,0,7,0,0,0,0,38,0,3915,0,1,1,0.0,0,-8,0,8,47,False,0,3,604
38,0,0,0,0,0.0,604,0.00,0.00,0.00,0.00,17,0,0,0.0,0.0,2023-08-18T18:45:00Z,0,17,0,0,0,0,2,0,14544,0,1,2,0.0,0,2329,3926,1597,45,True,0,3,604
39,0,0,9,0,0.5,604,0.01,0.01,0.00,2.91,28,3,0,1.3,12.6,2023-08-26T14:00:00Z,90,14,0,0,0,0,3,0,9643,1,2,3,0.0,0,-4563,151,4714,45,False,1,3,604
40,0,0,13,1,0.1,604,0.00,0.00,0.00,1.54,35,0,0,0.6,5.8,2023-09-02T14:00:00Z,72,7,0,0,0,0,4,0,9792,1,1,0,0.0,5,-506,641,1147,45,False,1,3,604
41,0,0,12,0,11.5,604,0.01,0.04,0.03,0.56,47,1,0,2.8,15.8,2023-09-18T18:45:00Z,90,6,0,0,0,0,5,0,12901,1,1,1,1.0,2,1623,2324,701,45,True,0,3,604
42,0,0,13,0,2.4,604,0.01,0.01,0.00,0.78,59,2,0,1.5,10.4,2023-09-23T14:00:00Z,74,13,0,0,0,0,6,0,13357,1,0,2,2.0,1,294,1353,1059,45,False,0,3,604
43,0,0,0,0,0.0,604,0.00,0.00,0.00,0.00,67,0,0,0.0,0.0,2023-10-01T13:00:00Z,0,4,0,0,0,0,7,0,14204,0,1,1,0.0,0,517,1609,1092,45,True,0,3,604
44,0,0,0,0,0.0,604,0.00,0.00,0.00,0.00,74,0,0,0.0,0.0,2023-10-07T16:30:00Z,0,8,0,0,0,0,8,0,12485,0,0,0,0.0,0,-1668,392,2060,45,False,0,3,604
45,0,0,3,0,0.6,604,0.00,0.00,0.00,0.59,88,1,0,0.2,1.6,2023-10-21T14:00:00Z,2,12,0,0,0,0,9,0,11163,0,2,2,0.0,1,-1422,70,1492,45,True,0,3,604
46,0,0,10,0,3.4,604,0.00,0.00,0.00,2.44,97,2,0,1.5,11.6,2023-10-29T14:00:00Z,68,11,0,0,0,0,10,0,11076,1,0,3,0.0,1,-258,265,523,45,False,0,3,604
47,0,2,41,1,10.7,604,0.08,0.14,0.06,1.26,108,0,1,6.9,48.8,2023-11-05T14:00:00Z,85,2,0,0,0,0,11,0,11198,1,0,2,9.0,14,-66,363,429,45,True,0,3,604
48,1,0,21,0,11.4,604,0.08,0.08,0.00,1.14,119,2,0,3.9,25.8,2023-11-12T14:00:00Z,75,19,0,0,0,0,12,0,22968,1,2,3,2.0,4,10263,10928,665,45,False,0,3,604
49,0,0,8,0,6.3,604,0.07,0.09,0.02,1.46,128,3,0,1.5,6.0,2023-11-25T15:00:00Z,89,5,0,0,0,0,13,0,46065,1,3,2,3.0,1,20285,22482,2197,45,True,0,3,604
