,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position
0,0,0,0,0,0,0.0,659,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2023-08-13T15:30:00Z,0,11,0,0,0,0,1,0,0,0,1,1,0.0,0,0,0,0,40,True,0,1
1,1,0,0,0,0,0.0,659,0.0,0.0,0.0,0.0,19,0,0,0.0,0.0,2023-08-20T15:30:00Z,0,19,0,0,0,0,2,0,1124,0,1,3,0.0,0,310,353,43,40,False,0,1
2,2,0,0,0,0,0.0,659,0.0,0.0,0.0,0.0,26,0,0,0.0,0.0,2023-08-25T19:00:00Z,0,12,0,0,0,0,3,0,1909,0,0,3,0.0,0,246,425,179,40,True,0,1
3,3,0,0,0,0,0.0,659,0.0,0.0,0.0,0.0,35,0,0,0.0,0.0,2023-09-02T14:00:00Z,0,16,0,0,0,0,4,0,2030,0,1,0,0.0,0,-108,125,233,40,True,0,1
4,4,0,0,0,0,0.0,659,0.0,0.0,0.0,0.0,42,0,0,0.0,0.0,2023-09-17T13:00:00Z,0,3,0,0,0,0,5,0,2317,0,0,0,0.0,0,7,136,129,40,False,0,1
5,5,0,0,0,0,0.0,659,0.0,0.0,0.0,0.0,55,0,0,0.0,0.0,2023-09-24T13:00:00Z,0,2,0,0,0,0,6,0,2414,0,1,0,0.0,0,-16,73,89,40,True,0,1
6,6,0,0,0,0,0.0,659,0.0,0.0,0.0,0.0,64,0,0,0.0,0.0,2023-10-02T19:00:00Z,0,10,0,0,0,0,7,0,2455,0,2,0,0.0,0,4,105,101,40,False,0,1
7,7,0,0,0,0,0.0,659,0.0,0.0,0.0,0.0,73,0,0,0.0,0.0,2023-10-07T14:00:00Z,0,6,0,0,0,0,8,0,2554,0,4,1,0.0,0,21,134,113,40,False,0,1
8,8,0,0,0,0,0.0,659,0.0,0.0,0.0,0.0,84,0,0,0.0,0.0,2023-10-21T16:30:00Z,0,1,0,0,0,0,9,0,2617,0,2,2,0.0,0,-27,56,83,40,True,0,1
9,9,0,0,0,0,0.0,659,0.0,0.0,0.0,0.0,95,0,0,0.0,0.0,2023-10-28T11:30:00Z,0,4,0,0,0,0,10,0,2622,0,2,0,0.0,0,-26,60,86,40,True,0,1
10,10,0,0,0,0,0.0,659,0.0,0.0,0.0,0.0,110,0,0,0.0,0.0,2023-11-06T20:00:00Z,0,18,0,0,0,0,11,0,2642,0,4,1,0.0,0,-29,32,61,40,False,0,1
11,11,0,0,0,0,0.0,659,0.0,0.0,0.0,0.0,115,0,0,0.0,0.0,2023-11-12T16:30:00Z,0,13,0,0,0,0,12,0,2656,0,4,4,0.0,0,-17,31,48,40,True,0,1
12,12,0,0,0,0,0.0,659,0.0,0.0,0.0,0.0,127,0,0,0.0,0.0,2023-11-25T15:00:00Z,0,15,0,0,0,0,13,0,2696,0,1,4,0.0,0,-9,49,58,40,False,0,1
13,13,0,0,0,0,0.0,659,0.0,0.0,0.0,0.0,135,0,0,0.0,0.0,2023-12-03T14:00:00Z,0,5,0,0,0,0,14,0,2699,0,2,3,0.0,0,-28,29,57,40,True,0,1
14,14,0,0,0,0,0.0,659,0.0,0.0,0.0,0.0,150,0,0,0.0,0.0,2023-12-06T20:15:00Z,0,14,0,0,0,0,15,0,2691,0,1,2,0.0,0,-31,16,47,40,False,0,1
15,15,0,0,0,0,0.0,659,0.0,0.0,0.0,0.0,154,0,0,0.0,0.0,2023-12-10T14:00:00Z,0,9,0,0,0,0,16,0,2705,0,0,2,0.0,0,-14,30,44,40,False,0,1
16,16,0,0,0,0,0.0,659,0.0,0.0,0.0,0.0,165,0,0,0.0,0.0,2023-12-16T15:00:00Z,0,17,0,0,0,0,17,0,2746,0,0,2,0.0,0,-15,44,59,40,True,0,1
17,17,0,0,0,0,0.0,659,0.0,0.0,0.0,0.0,180,0,0,0.0,0.0,2023-12-24T13:00:00Z,0,20,0,0,0,0,18,0,2750,0,1,2,0.0,0,-35,28,63,40,False,0,1
18,18,0,0,0,0,0.0,659,0.0,0.0,0.0,0.0,186,0,0,0.0,0.0,2023-12-27T19:30:00Z,0,8,0,0,0,0,19,0,2785,0,1,2,0.0,0,-6,33,39,40,True,0,1
19,19,0,0,0,0,0.0,269,0.0,0.0,0.0,0.0,193,0,0,0.0,0.0,2023-12-31T14:00:00Z,0,1,0,0,0,0,20,0,362,0,1,2,0.0,0,-1,0,1,50,True,0,1
20,20,0,0,0,0,0.0,269,0.0,0.0,0.0,0.0,182,0,0,0.0,0.0,2023-12-26T15:00:00Z,0,3,0,0,0,0,19,0,363,0,0,3,0.0,0,-1,0,1,50,False,0,1
21,21,0,0,0,0,0.0,269,0.0,0.0,0.0,0.0,173,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,6,0,0,0,0,18,0,364,0,2,0,0.0,0,-3,0,3,50,True,0,1
22,22,0,0,0,0,0.0,269,0.0,0.0,0.0,0.0,168,0,0,0.0,0.0,2023-12-16T15:00:00Z,0,15,0,0,0,0,17,0,367,0,0,3,0.0,0,-3,0,3,50,False,0,1
23,23,0,0,0,0,0.0,269,0.0,0.0,0.0,0.0,155,0,0,0.0,0.0,2023-12-10T14:00:00Z,0,19,0,0,0,0,16,0,370,0,0,5,0.0,0,-2,0,2,50,True,0,1
24,24,0,0,0,0,0.0,269,0.0,0.0,0.0,0.0,145,0,0,0.0,0.0,2023-12-06T19:30:00Z,0,16,0,0,0,0,15,0,372,0,0,5,0.0,0,-2,0,2,50,True,0,1
25,25,0,0,0,0,0.0,269,0.0,0.0,0.0,0.0,136,0,0,0.0,0.0,2023-12-03T14:00:00Z,0,11,0,0,0,0,14,0,374,0,3,4,0.0,0,-2,0,2,50,False,0,1
26,26,0,0,0,0,0.0,269,0.0,0.0,0.0,0.0,124,0,0,0.0,0.0,2023-11-27T20:00:00Z,0,20,0,0,0,0,13,0,376,0,2,3,0.0,0,-6,0,6,50,True,0,1
27,27,0,0,0,0,0.0,269,0.0,0.0,0.0,0.0,112,0,0,0.0,0.0,2023-11-12T14:00:00Z,0,2,0,0,0,0,12,0,382,0,1,3,0.0,0,-7,0,7,50,False,0,1
28,28,0,0,0,0,0.0,269,0.0,0.0,0.0,0.0,104,0,0,0.0,0.0,2023-11-04T12:30:00Z,0,14,0,0,0,0,11,0,389,0,1,0,0.0,0,-5,0,5,50,True,0,1
29,29,0,0,0,0,0.0,269,0.0,0.0,0.0,0.0,94,0,0,0.0,0.0,2023-10-29T14:00:00Z,0,5,0,0,0,0,10,0,394,0,1,1,0.0,0,-11,0,11,50,False,0,1
30,30,0,0,0,0,0.0,269,0.0,0.0,0.0,0.0,90,0,0,0.0,0.0,2023-10-23T19:00:00Z,0,18,0,0,0,0,9,0,403,0,0,2,0.0,0,-8,0,8,50,False,0,1
31,31,0,0,0,0,0.0,269,0.0,0.0,0.0,0.0,76,0,0,0.0,0.0,2023-10-07T14:00:00Z,0,17,0,0,0,0,8,0,412,0,1,3,0.0,0,-15,0,15,50,True,0,1
32,32,0,0,0,0,0.0,269,0.0,0.0,0.0,0.0,64,0,0,0.0,0.0,2023-10-02T19:00:00Z,0,7,0,0,0,0,7,0,427,0,2,0,0.0,0,-16,0,16,50,True,0,1
33,33,0,0,0,0,0.0,269,0.0,0.0,0.0,0.0,56,0,0,0.0,0.0,2023-09-23T14:00:00Z,0,8,0,0,0,0,6,0,443,0,0,0,0.0,0,-15,0,15,50,False,0,1
34,34,0,0,0,0,0.0,269,0.0,0.0,0.0,0.0,44,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,12,0,0,0,0,5,0,456,0,0,1,0.0,0,-54,0,54,50,True,0,1
35,35,0,0,0,0,0.0,269,0.0,0.0,0.0,0.0,39,0,0,0.0,0.0,2023-09-02T14:00:00Z,0,13,0,0,0,0,4,0,511,0,1,5,0.0,0,-76,0,76,50,False,0,1
36,36,0,0,0,0,0.0,269,0.0,0.0,0.0,0.0,21,0,0,0.0,0.0,2023-08-26T14:00:00Z,0,1,0,0,0,0,3,0,585,0,2,2,0.0,0,-178,0,178,50,False,0,1
37,37,0,0,0,0,0.0,269,0.0,0.0,0.0,0.0,13,0,0,0.0,0.0,2023-08-19T14:00:00Z,0,4,0,0,0,0,2,0,736,0,3,0,0.0,0,-596,0,596,50,True,0,1
