,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position
0,0,0,0,6,0,0.7,315,0.0,0.0,0.0,2.34,4,2,0,1.4,13.2,2023-08-12T14:00:00Z,75,5,0,0,0,0,1,0,64219,1,1,4,0.0,0,0,0,0,40,False,1,2
1,1,0,0,5,0,0.1,315,0.0,0.0,0.0,0.08,26,0,0,0.2,1.4,2023-08-25T19:00:00Z,13,7,0,0,0,0,3,0,60414,0,0,3,0.0,1,-3726,2019,5745,40,False,0,2
2,2,0,1,24,0,0.4,315,0.0,0.21,0.21,1.06,38,2,1,7.4,50.4,2023-09-01T19:00:00Z,90,19,0,0,0,0,4,0,57230,1,2,1,23.0,8,-4049,1481,5530,40,True,0,2
3,3,0,0,13,0,0.2,315,0.0,0.0,0.0,0.98,44,1,0,1.6,16.0,2023-09-16T14:00:00Z,90,10,0,0,0,0,5,0,129160,1,0,1,0.0,2,62565,77306,14741,40,False,0,2
4,4,0,0,0,0,0.0,315,0.0,0.0,0.0,0.0,58,0,0,0.0,0.0,2023-09-23T14:00:00Z,0,20,0,0,0,0,6,0,172447,0,1,1,0.0,0,42487,55273,12786,40,True,0,2
5,5,0,0,9,0,0.1,315,0.0,0.05,0.05,0.65,63,0,0,2.8,23.6,2023-09-30T14:00:00Z,45,9,0,0,0,0,7,0,200939,0,2,1,4.0,1,24843,42296,17453,40,False,0,2
6,6,0,0,0,0,0.0,315,0.0,0.0,0.0,0.0,15,0,0,0.0,0.0,2023-10-03T18:30:00Z,0,6,0,0,0,0,7,0,200939,0,2,1,0.0,0,24843,42296,17453,40,True,0,2
7,7,0,0,11,0,0.3,315,0.0,0.0,0.0,1.96,77,1,0,0.9,8.6,2023-10-07T11:30:00Z,58,18,0,0,0,0,8,0,189022,1,1,0,0.0,1,-7952,16322,24274,40,True,0,2
8,8,0,0,0,0,0.0,315,0.0,0.0,0.0,0.0,88,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,16,0,0,0,0,9,0,161608,0,2,2,0.0,0,-27416,1491,28907,40,False,0,2
9,9,0,0,0,0,0.0,315,0.0,0.0,0.0,0.0,92,0,0,0.0,0.0,2023-10-29T14:00:00Z,0,2,0,0,0,0,10,0,136119,0,1,3,0.0,0,-25683,169,25852,40,False,0,2
10,10,0,0,0,0,0.0,315,0.0,0.0,0.0,0.0,105,0,0,0.0,0.0,2023-11-05T16:30:00Z,0,11,0,0,0,0,11,0,118417,0,1,1,0.0,0,-18135,128,18263,40,True,0,2
11,11,0,0,0,0,0.0,315,0.0,0.0,0.0,0.0,118,0,0,0.0,0.0,2023-11-11T15:00:00Z,0,14,0,0,0,0,12,0,105933,0,0,1,0.0,0,-12153,95,12248,40,False,0,2
12,12,0,0,0,0,0.0,315,0.0,0.0,0.0,0.0,125,0,0,0.0,0.0,2023-11-25T15:00:00Z,0,8,0,0,0,0,13,0,96837,0,1,2,0.0,0,-9271,272,9543,40,True,0,2
13,13,0,0,0,0,0.0,315,0.0,0.0,0.0,0.0,133,0,0,0.0,0.0,2023-12-02T15:00:00Z,0,4,0,0,0,0,14,0,91485,0,1,3,0.0,0,-6061,153,6214,40,False,0,2
14,14,0,0,0,0,0.0,315,0.0,0.0,0.0,0.0,146,0,0,0.0,0.0,2023-12-05T20:15:00Z,0,1,0,0,0,0,15,0,87287,0,4,3,0.0,0,-4353,79,4432,40,True,0,2
