,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position
0,0,0,0,1,0,0.3,562,0.0,0.0,0.0,0.76,4,1,0,0.3,2.2,2022-08-06T11:30:00Z,24,12,0,0,0,0,1,0,0,0,2,2,0.0,1,0,0,0,50,True,0,3
1,1,0,0,0,0,0.0,562,0.0,0.0,0.0,0.0,20,0,0,0.0,0.0,2022-08-13T14:00:00Z,0,20,0,0,0,0,2,0,1191,0,0,0,0.0,0,558,900,342,50,False,0,3
2,2,0,0,0,0,0.0,562,0.0,0.0,0.0,0.0,24,0,0,0.0,0.0,2022-08-20T14:00:00Z,0,4,0,0,0,0,3,0,744,0,2,3,0.0,0,-451,52,503,50,True,0,3
3,3,0,0,0,0,0.0,562,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,2022-08-27T16:30:00Z,0,1,0,0,0,0,4,0,620,0,1,2,0.0,0,-154,22,176,50,False,0,3
4,4,0,0,0,0,0.0,562,0.0,0.0,0.0,0.0,44,0,0,0.0,0.0,2022-08-30T18:30:00Z,0,5,0,0,0,0,5,0,585,0,1,2,0.0,0,-48,17,65,50,True,0,3
5,5,0,0,0,0,0.0,562,0.0,0.0,0.0,0.0,59,0,0,0.0,0.0,2022-09-03T14:00:00Z,0,18,0,0,0,0,6,0,547,0,1,2,0.0,0,-55,19,74,50,False,0,3
6,6,0,0,0,0,0.0,562,0.0,0.0,0.0,0.0,78,0,0,0.0,0.0,2022-09-16T19:00:00Z,0,16,0,0,0,0,8,0,536,0,3,2,0.0,0,-9,21,30,49,False,0,3
7,7,0,0,0,0,0.0,562,0.0,0.0,0.0,0.0,84,0,0,0.0,0.0,2022-10-01T14:00:00Z,0,15,0,0,0,0,9,0,528,0,4,1,0.0,0,-15,27,42,49,True,0,3
8,8,0,0,0,0,0.0,562,0.0,0.0,0.0,0.0,100,0,0,0.0,0.0,2022-10-09T13:00:00Z,0,19,0,0,0,0,10,0,514,0,1,3,0.0,0,-16,8,24,49,False,0,3
9,9,0,0,0,0,0.0,562,0.0,0.0,0.0,0.0,103,0,0,0.0,0.0,2022-10-15T14:00:00Z,0,3,0,0,0,0,11,0,519,0,2,2,0.0,0,2,24,22,49,True,0,3
10,10,0,0,0,0,0.0,562,0.0,0.0,0.0,0.0,116,0,0,0.0,0.0,2022-10-20T18:30:00Z,0,2,0,0,0,0,12,0,506,0,0,3,0.0,0,-11,7,18,49,True,0,3
11,11,0,0,0,0,0.0,562,0.0,0.0,0.0,0.0,124,0,0,0.0,0.0,2022-10-23T13:00:00Z,0,11,0,0,0,0,13,0,515,0,3,2,0.0,0,3,11,8,49,False,0,3
12,12,0,0,0,0,0.0,562,0.0,0.0,0.0,0.0,136,0,0,0.0,0.0,2022-10-29T16:30:00Z,0,8,0,0,0,0,14,0,526,0,0,0,0.0,0,6,18,12,49,True,0,3
