,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position,player
0,0,57.0,0.0,0.0,0,15,0,3.0,48.0,14.6,0.0,0.0,299,0.0,0.0,7,0.0,1,0,2.7,299.0,8.6,1.0,2016-08-13T14:00:00Z,13 Aug 15:00,0.0,0.0,90,0.0,0.0,18,0,0.0,0,0,9.0,0,1,0,28863,0.0,0.0,0.0,1,1,4.0,2,0,0,0,45,True,0.0,0,,,,,,2,428
1,0,61.0,0.0,0.0,0,23,0,3.0,50.0,33.8,0.0,0.0,299,0.0,0.0,11,0.0,2,0,5.8,824.0,24.0,2.0,2016-08-19T19:00:00Z,19 Aug 20:00,0.0,0.0,90,0.0,1.0,11,0,0.0,0,0,4.0,0,2,0,30529,2.0,5.0,0.0,0,2,0.0,1,-731,1379,2110,45,False,0.0,0,,,,,,2,428
2,0,40.0,0.0,0.0,0,15,0,5.0,29.0,7.9,1.0,0.0,299,0.0,0.0,26,1.0,1,0,2.9,1364.0,17.8,0.0,2016-08-27T14:00:00Z,27 Aug 15:00,0.0,0.0,90,0.0,1.0,15,0,0.0,0,0,4.0,0,3,0,36151,0.0,2.0,1.0,1,1,3.0,2,3538,6916,3378,45,True,0.0,0,,,,,,2,428
3,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,299,0.0,0.0,31,0.0,0,0,0.0,1914.0,0.0,0.0,2016-09-10T14:00:00Z,10 Sep 15:00,0.0,0.0,0,0.0,0.0,1,0,0.0,0,0,0.0,0,4,0,33201,0.0,0.0,0.0,1,2,0.0,0,-3568,2441,6009,45,False,0.0,0,,,,,,2,428
4,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,299,0.0,0.0,48,0.0,0,0,0.0,2495.0,0.0,0.0,2016-09-18T13:15:00Z,18 Sep 14:15,0.0,0.0,0,0.0,0.0,16,0,0.0,0,0,0.0,0,5,0,31006,0.0,0.0,0.0,0,1,0.0,0,-2337,755,3092,45,True,0.0,0,,,,,,2,428
5,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,299,0.0,0.0,59,0.0,0,0,0.0,3079.0,0.0,0.0,2016-09-25T15:00:00Z,25 Sep 16:00,0.0,0.0,0,0.0,0.0,20,0,0.0,0,0,0.0,0,6,0,26901,0.0,0.0,0.0,3,0,0.0,0,-4209,340,4549,45,False,0.0,0,,,,,,2,428
6,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,299,0.0,0.0,64,0.0,0,0,0.0,3665.0,0.0,0.0,2016-10-02T13:15:00Z,02 Oct 14:15,0.0,0.0,0,0.0,0.0,8,0,0.0,0,0,0.0,0,7,0,24418,0.0,0.0,0.0,0,0,0.0,0,-2547,239,2786,44,False,0.0,0,,,,,,2,428
7,0,7.0,0.0,0.0,0,6,0,0.0,7.0,25.3,0.0,0.0,299,0.0,0.0,78,0.0,0,0,3.3,4254.0,5.4,2.0,2016-10-16T15:00:00Z,16 Oct 16:00,0.0,0.0,13,0.0,1.0,3,0,0.0,0,0,0.0,0,8,0,23002,0.0,0.0,0.0,1,3,2.0,1,-1508,962,2470,44,True,0.0,0,,,,,,2,428
8,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,299,0.0,0.0,88,0.0,0,0,0.0,4846.0,0.0,0.0,2016-10-23T12:30:00Z,23 Oct 13:30,0.0,0.0,0,0.0,0.0,10,0,0.0,0,0,0.0,0,9,0,20503,0.0,0.0,0.0,1,1,0.0,0,-2515,72,2587,44,False,0.0,0,,,,,,2,428
9,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,299,0.0,0.0,95,0.0,0,0,0.0,5440.0,0.0,0.0,2016-10-30T16:00:00Z,30 Oct 16:00,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0,0.0,0,10,0,18482,0.0,0.0,0.0,2,0,0.0,0,-2029,25,2054,43,True,0.0,0,,,,,,2,428
