,Unnamed: 0,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position
0,0,0,2.0,0.0,0.0,0,3,0,0.0,2.0,2.3,0.0,0.0,546,0.0,0.0,25,0.0,0,0,0.2,1611.0,0.0,0.0,2016-08-27T14:00:00Z,27 Aug 15:00,0.0,0.0,5,0.0,0.0,8,0,0.0,0,0,1.0,0,3,0,0,0.0,0.0,0.0,1,2,0.0,1,0,0,0,45,False,0.0,0,,,,,,4
1,1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,546,0.0,0.0,39,0.0,0,0,0.0,2161.0,0.0,0.0,2016-09-11T15:00:00Z,11 Sep 16:00,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0,0.0,0,4,0,2530,0.0,0.0,0.0,2,2,0.0,0,1503,2272,769,45,True,0.0,0,,,,,,4
2,2,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,546,0.0,0.0,48,0.0,0,0,0.0,2742.0,0.0,0.0,2016-09-18T13:15:00Z,18 Sep 14:15,0.0,0.0,0,0.0,0.0,13,0,0.0,0,0,0.0,0,5,0,2920,0.0,0.0,0.0,0,1,0.0,0,126,529,403,45,False,0.0,0,,,,,,4
3,3,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,546,0.0,0.0,58,0.0,0,0,0.0,3326.0,0.0,0.0,2016-09-24T14:00:00Z,24 Sep 15:00,0.0,0.0,0,0.0,0.0,10,0,0.0,0,0,0.0,0,6,0,3128,0.0,0.0,0.0,3,1,0.0,0,43,508,465,45,True,0.0,0,,,,,,4
4,4,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,546,0.0,0.0,67,0.0,0,0,0.0,3912.0,0.0,0.0,2016-10-01T11:30:00Z,01 Oct 12:30,0.0,0.0,0,0.0,0.0,9,0,0.0,0,0,0.0,0,7,0,3323,0.0,0.0,0.0,2,1,0.0,0,75,421,346,45,True,0.0,0,,,,,,4
5,5,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,546,0.0,0.0,71,0.0,0,0,0.0,4501.0,0.0,0.0,2016-10-15T14:00:00Z,15 Oct 15:00,0.0,0.0,0,0.0,0.0,1,0,0.0,0,0,0.0,0,8,0,3449,0.0,0.0,0.0,2,3,0.0,0,-28,290,318,45,False,0.0,0,,,,,,4
6,6,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,546,0.0,0.0,89,0.0,0,0,0.0,5093.0,0.0,0.0,2016-10-22T14:00:00Z,22 Oct 15:00,0.0,0.0,0,0.0,0.0,18,0,0.0,0,0,0.0,0,9,0,3553,0.0,0.0,0.0,0,0,0.0,0,12,232,220,45,True,0.0,0,,,,,,4
7,7,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,546,0.0,0.0,96,0.0,0,0,0.0,5687.0,0.0,0.0,2016-10-31T20:00:00Z,31 Oct 20:00,0.0,0.0,0,0.0,0.0,14,0,0.0,0,0,0.0,0,10,0,3562,0.0,0.0,0.0,1,3,0.0,0,-54,177,231,45,False,0.0,0,,,,,,4
8,8,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,546,0.0,0.0,109,0.0,0,0,0.0,6285.0,0.0,0.0,2016-11-06T15:00:00Z,06 Nov 15:00,0.0,0.0,0,0.0,0.0,11,0,0.0,0,0,0.0,0,11,0,3598,0.0,0.0,0.0,3,1,0.0,0,-18,230,248,45,True,0.0,0,,,,,,4
9,9,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,546,0.0,0.0,112,0.0,0,0,0.0,6884.0,0.0,0.0,2016-11-19T15:00:00Z,19 Nov 15:00,0.0,0.0,0,0.0,0.0,6,0,0.0,0,0,0.0,0,12,0,3736,0.0,0.0,0.0,1,1,0.0,0,43,296,253,45,False,0.0,0,,,,,,4
