,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position
0,0,0,0,0,0,0.0,450,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,17,0,0,0,0,1,0,41722,0,1,4,0.0,0,0,0,0,45,True,0,3
1,1,0,0,0,0,0.0,450,0.0,0.0,0.0,0.0,15,0,0,0.0,0.0,2022-08-14T15:30:00Z,0,6,0,0,0,0,2,0,49396,0,2,2,0.0,0,-2468,4221,6689,45,False,0,3
2,2,0,0,0,0,0.0,450,0.0,0.0,0.0,0.0,29,0,0,0.0,0.0,2022-08-20T11:30:00Z,0,20,0,0,0,0,3,0,49381,0,0,1,0.0,0,-3709,4922,8631,45,True,0,3
3,3,0,0,0,0,0.0,450,0.0,0.0,0.0,0.0,38,0,0,0.0,0.0,2022-08-28T15:30:00Z,0,16,0,0,0,0,4,0,51455,0,2,0,0.0,0,-2187,6860,9047,44,False,0,3
4,4,0,0,0,0,0.0,450,0.0,0.0,0.0,0.0,47,0,0,0.0,0.0,2022-08-31T18:45:00Z,0,19,0,0,0,0,5,0,57324,0,1,1,0.0,0,1652,9257,7605,44,False,0,3
5,5,0,0,0,0,0.0,450,0.0,0.0,0.0,0.0,59,0,0,0.0,0.0,2022-09-03T14:00:00Z,0,9,0,0,0,0,6,0,58085,0,1,2,0.0,0,-1246,5944,7190,44,True,0,3
6,6,0,0,0,0,0.0,450,0.0,0.0,0.0,0.0,79,0,0,0.0,0.0,2022-09-17T16:30:00Z,0,10,0,0,0,0,8,0,54457,0,2,6,0.0,0,-1563,394,1957,44,True,0,3
7,7,0,0,0,0,0.0,450,0.0,0.0,0.0,0.0,81,0,0,0.0,0.0,2022-10-01T11:30:00Z,0,1,0,0,0,0,9,0,53315,0,1,3,0.0,0,-2109,885,2994,44,False,0,3
8,8,0,0,0,0,0.0,450,0.0,0.0,0.0,0.0,93,0,0,0.0,0.0,2022-10-08T16:30:00Z,0,5,0,0,0,0,10,0,51138,0,1,0,0.0,0,-2405,730,3135,44,False,0,3
9,9,0,0,0,0,0.0,450,0.0,0.0,0.0,0.0,109,0,0,0.0,0.0,2022-10-15T16:30:00Z,0,8,0,0,0,0,11,0,62414,0,0,2,0.0,0,8308,11929,3621,43,True,0,3
10,10,0,0,0,0,0.0,450,0.0,0.0,0.0,0.0,119,0,0,0.0,0.0,2022-10-19T19:15:00Z,0,14,0,0,0,0,12,0,81363,0,0,2,0.0,0,3997,8487,4490,43,False,0,3
11,11,0,0,0,0,0.0,450,0.0,0.0,0.0,0.0,128,0,0,0.0,0.0,2022-10-23T15:30:00Z,0,15,0,0,0,0,13,0,75725,0,2,1,0.0,0,7190,11333,4143,43,True,0,3
12,12,0,0,0,0,0.0,450,0.0,0.0,0.0,0.0,132,0,0,0.0,0.0,2022-10-29T14:00:00Z,0,3,0,0,0,0,14,0,78111,0,3,2,0.0,0,1508,8843,7335,43,False,0,3
13,13,0,0,0,0,0.0,450,0.0,0.0,0.0,0.0,148,0,0,0.0,0.0,2022-11-06T16:30:00Z,0,12,0,0,0,0,15,0,75613,0,2,1,0.0,0,-3033,5035,8068,43,True,0,3
14,14,0,0,0,0,0.0,450,0.0,0.0,0.0,0.0,158,0,0,0.0,0.0,2022-11-12T15:00:00Z,0,11,0,0,0,0,16,0,72067,0,3,4,0.0,0,-3712,1283,4995,43,True,0,3
15,15,0,0,0,0,0.0,450,0.0,0.0,0.0,0.0,163,0,0,0.0,0.0,2022-12-26T12:30:00Z,0,4,0,0,0,0,17,0,66880,0,2,2,0.0,0,-5781,2243,8024,43,False,0,3
16,16,0,0,6,0,0.3,450,0.0,0.0,0.0,0.23,178,0,0,0.6,5.2,2023-01-01T14:00:00Z,10,2,0,0,0,0,18,0,65536,0,2,0,0.0,1,-1502,510,2012,43,True,0,3
17,17,0,0,5,0,0.4,450,0.0,0.03,0.03,0.24,185,0,0,0.6,4.4,2023-01-04T20:00:00Z,24,7,0,0,0,0,19,0,64133,0,4,0,1.0,1,-1496,236,1732,43,False,0,3
18,18,0,0,11,0,13.3,450,0.02,0.02,0.0,1.57,199,2,0,2.8,12.4,2023-01-15T16:30:00Z,75,1,0,0,0,0,20,0,62651,1,2,0,2.0,1,-1618,449,2067,43,True,1,3
19,19,0,0,0,0,0.0,450,0.0,0.0,0.0,0.0,68,0,0,0.0,0.0,2023-01-19T20:00:00Z,0,13,0,0,0,0,20,0,62651,0,2,4,0.0,0,-1618,449,2067,43,False,0,3
20,20,0,0,0,0,0.0,450,0.0,0.0,0.0,0.0,204,0,0,0.0,0.0,2023-01-23T20:15:00Z,0,9,0,0,0,0,21,0,61416,0,1,0,0.0,0,-1323,281,1604,43,False,0,3
21,21,0,0,0,0,0.0,450,0.0,0.0,0.0,0.0,219,0,0,0.0,0.0,2023-02-05T16:30:00Z,0,13,0,0,0,0,22,0,59354,0,0,1,0.0,0,-2133,238,2371,43,True,0,3
22,22,0,0,1,0,0.8,450,0.0,0.0,0.0,0.31,226,1,0,0.2,1.0,2023-02-11T15:00:00Z,25,10,0,0,0,0,23,0,58221,0,1,4,0.0,1,-1203,181,1384,42,False,0,3
23,23,0,0,3,0,0.0,450,0.0,0.0,0.0,0.0,239,0,0,0.2,2.0,2023-02-19T16:30:00Z,1,19,0,0,0,0,24,0,58374,0,0,2,0.0,1,-34,748,782,42,True,0,3
24,24,0,0,0,0,0.0,450,0.0,0.0,0.0,0.0,249,0,0,0.0,0.0,2023-02-26T13:30:00Z,0,6,0,0,0,0,25,0,59531,0,0,2,0.0,0,70,1229,1159,42,True,0,3
25,25,0,0,0,0,0.0,450,0.0,0.0,0.0,0.0,260,0,0,0.0,0.0,2023-03-04T15:00:00Z,0,20,0,0,0,0,26,0,58265,0,0,1,0.0,0,-436,481,917,42,False,0,3
26,26,0,0,3,0,0.1,450,0.0,0.0,0.0,0.0,269,0,0,0.0,0.0,2023-03-11T15:00:00Z,1,16,0,0,0,0,27,0,57831,0,1,3,0.0,1,-531,398,929,42,True,0,3
27,27,0,0,-1,0,0.3,450,0.01,0.04,0.03,0.86,279,1,0,0.0,0.0,2023-03-18T15:00:00Z,4,17,0,0,0,0,28,0,57567,0,3,3,1.0,1,-386,307,693,42,False,0,3
28,28,0,0,0,0,0.0,450,0.0,0.0,0.0,0.0,286,0,0,0.0,0.0,2023-04-03T19:00:00Z,0,8,0,0,0,0,29,0,57231,0,1,1,0.0,0,-404,292,696,42,False,0,3
29,29,0,0,3,0,0.0,450,0.0,0.0,0.0,0.23,299,0,0,0.0,0.0,2023-04-08T14:00:00Z,2,5,0,0,0,0,30,0,57130,0,1,2,0.0,1,-181,230,411,42,True,0,3
30,30,0,0,0,0,0.0,450,0.0,0.0,0.0,0.0,308,0,0,0.0,0.0,2023-04-15T14:15:00Z,0,3,0,0,0,0,31,0,57285,0,3,2,0.0,0,52,455,403,42,True,0,3
31,31,0,0,5,0,0.3,450,0.0,0.0,0.0,1.75,320,5,0,0.2,1.6,2023-04-23T13:00:00Z,22,15,0,0,0,0,32,0,57292,1,1,6,0.0,1,-107,311,418,42,False,0,3
32,32,0,0,0,0,0.0,450,0.0,0.0,0.0,0.0,325,0,0,0.0,0.0,2023-04-27T19:15:00Z,0,14,0,0,0,0,33,0,57180,0,2,2,0.0,0,-94,239,333,42,True,0,3
33,33,0,0,4,0,0.5,450,0.0,0.0,0.0,0.38,338,1,0,0.4,3.8,2023-04-30T15:30:00Z,24,12,0,0,0,0,34,0,57140,0,3,4,0.0,1,-101,334,435,42,False,0,3
34,34,0,0,0,0,0.0,450,0.0,0.0,0.0,0.0,348,0,0,0.0,0.0,2023-05-06T14:00:00Z,0,7,0,0,0,0,35,0,57327,0,0,1,0.0,0,102,589,487,42,True,0,3
35,35,0,0,0,0,0.0,450,0.0,0.0,0.0,0.0,352,0,0,0.0,0.0,2023-05-13T14:00:00Z,0,2,0,0,0,0,36,0,57326,0,1,2,0.0,0,-77,318,395,42,False,0,3
36,36,0,0,0,0,0.0,450,0.0,0.0,0.0,0.0,368,0,0,0.0,0.0,2023-05-20T11:30:00Z,0,4,0,0,0,0,37,0,57431,0,3,1,0.0,0,20,462,442,42,True,0,3
