,Unnamed: 0,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position
0,0,0,3.0,0.0,0.0,0,4,0,0.0,3.0,13.2,0.0,0.0,291,0.0,0.0,10,0.0,0,0,1.5,291.0,1.4,1.0,2017-08-13T12:30:00Z,13 Aug 13:30,0.0,0.0,7,0.0,0.0,17,0,0.0,0,0,0.0,0,1,0,39018,0.0,0.0,0.0,2,0,0.0,1,0,0,0,45,True,0.0,0,,,,,,2
1,1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,291,0.0,0.0,18,0.0,0,0,0.0,802.0,0.0,0.0,2017-08-20T12:30:00Z,20 Aug 13:30,0.0,0.0,0,0.0,0.0,8,0,0.0,0,0,0.0,0,2,0,30662,0.0,0.0,0.0,0,1,0.0,0,-9335,308,9643,45,False,0.0,0,,,,,,2
2,2,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,291,0.0,0.0,26,0.0,0,0,0.0,1318.0,0.0,0.0,2017-08-26T14:00:00Z,26 Aug 15:00,0.0,0.0,0,0.0,0.0,20,0,0.0,0,0,0.0,0,3,0,21807,0.0,0.0,0.0,0,3,0.0,0,-8890,63,8953,44,True,0.0,0,,,,,,2
3,3,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,291,0.0,0.0,39,0.0,0,0,0.0,1849.0,0.0,0.0,2017-09-10T15:00:00Z,10 Sep 16:00,0.0,0.0,0,0.0,0.0,16,0,0.0,0,0,0.0,0,4,0,14746,0.0,0.0,0.0,1,0,0.0,0,-7084,45,7129,44,False,0.0,0,,,,,,2
4,4,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,291,0.0,0.0,45,0.0,0,0,0.0,2393.0,0.0,0.0,2017-09-16T14:00:00Z,16 Sep 15:00,0.0,0.0,0,0.0,0.0,15,0,0.0,0,0,0.0,0,5,0,12078,0.0,0.0,0.0,1,2,0.0,0,-2677,17,2694,44,True,0.0,0,,,,,,2
5,5,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,291,0.0,0.0,59,0.0,0,0,0.0,2939.0,0.0,0.0,2017-09-24T15:00:00Z,24 Sep 16:00,0.0,0.0,0,0.0,0.0,3,0,0.0,0,0,0.0,0,6,0,9744,0.0,0.0,0.0,0,1,0.0,0,-2452,40,2492,43,False,0.0,0,,,,,,2
6,6,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,291,0.0,0.0,70,0.0,0,0,0.0,3489.0,0.0,0.0,2017-10-01T15:30:00Z,01 Oct 16:30,0.0,0.0,0,0.0,0.0,10,0,0.0,0,0,0.0,0,7,0,8451,0.0,0.0,0.0,1,1,0.0,0,-1300,21,1321,43,True,0.0,0,,,,,,2
7,7,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,291,0.0,0.0,77,0.0,0,0,0.0,4043.0,0.0,0.0,2017-10-15T15:00:00Z,15 Oct 16:00,0.0,0.0,0,0.0,0.0,14,0,0.0,0,0,0.0,0,8,0,7370,0.0,0.0,0.0,2,2,0.0,0,-1086,26,1112,43,False,0.0,0,,,,,,2
8,8,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,291,0.0,0.0,85,0.0,0,0,0.0,4600.0,0.0,0.0,2017-10-21T14:00:00Z,21 Oct 15:00,0.0,0.0,0,0.0,0.0,6,0,0.0,0,0,0.0,0,9,0,6820,0.0,0.0,0.0,0,1,0.0,0,-552,8,560,43,True,0.0,0,,,,,,2
9,9,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,291,0.0,0.0,94,0.0,0,0,0.0,5159.0,0.0,0.0,2017-10-30T20:00:00Z,30 Oct 20:00,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0,0.0,0,10,0,6278,0.0,0.0,0.0,0,1,0.0,0,-542,16,558,43,False,0.0,0,,,,,,2
10,10,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,291,0.0,0.0,104,0.0,0,0,0.0,5722.0,0.0,0.0,2017-11-04T15:00:00Z,04 Nov 15:00,0.0,0.0,0,0.0,0.0,2,0,0.0,0,0,0.0,0,11,0,5913,0.0,0.0,0.0,1,0,0.0,0,-372,12,384,42,True,0.0,0,,,,,,2
11,11,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,291,0.0,0.0,118,0.0,0,0,0.0,6288.0,0.0,0.0,2017-11-18T17:30:00Z,18 Nov 17:30,0.0,0.0,0,0.0,0.0,12,0,0.0,0,0,0.0,0,12,0,5784,0.0,0.0,0.0,1,4,0.0,0,-136,249,385,42,False,0.0,0,,,,,,2
12,12,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,291,0.0,0.0,125,0.0,0,0,0.0,6857.0,0.0,0.0,2017-11-25T15:00:00Z,25 Nov 15:00,0.0,0.0,0,0.0,0.0,18,0,0.0,0,0,0.0,0,13,0,5804,0.0,0.0,0.0,3,0,0.0,0,12,223,211,42,True,0.0,0,,,,,,2
