,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position,player
0,0,0,0,0,0.0,674,0.0,0.0,0.0,0.0,169,0,0,0.0,0.0,2022-12-27T20:00:00Z,0,16,0,0,0,0,17,0,0,0,0,3,0.0,0,0,0,0,40,True,0,2,534
1,0,0,0,0,0.0,674,0.0,0.0,0.0,0.0,180,0,0,0.0,0.0,2022-12-31T12:30:00Z,0,20,0,0,0,0,18,0,155,0,1,0,0.0,0,71,85,14,40,False,0,2,534
2,0,0,0,0,0.0,674,0.0,0.0,0.0,0.0,189,0,0,0.0,0.0,2023-01-03T20:00:00Z,0,3,0,0,0,0,19,0,279,0,0,3,0.0,0,40,63,23,40,True,0,2,534
3,0,0,0,0,0.0,674,0.0,0.0,0.0,0.0,196,0,0,0.0,0.0,2023-01-14T12:30:00Z,0,13,0,0,0,0,20,0,545,0,1,2,0.0,0,86,153,67,40,True,0,2,534
4,0,0,0,0,0.0,674,0.0,0.0,0.0,0.0,63,0,0,0.0,0.0,2023-01-18T20:00:00Z,0,7,0,0,0,0,20,0,545,0,1,1,0.0,0,86,153,67,40,False,0,2,534
5,0,0,0,0,0.0,674,0.0,0.0,0.0,0.0,201,0,0,0.0,0.0,2023-01-22T16:30:00Z,0,1,0,0,0,0,21,0,676,0,2,3,0.0,0,-4,71,75,40,False,0,2,534
6,0,0,0,0,0.0,674,0.0,0.0,0.0,0.0,216,0,0,0.0,0.0,2023-02-04T15:00:00Z,0,7,0,0,0,0,22,0,901,0,1,2,0.0,0,-14,75,89,40,True,0,2,534
7,0,0,0,0,0.0,674,0.0,0.0,0.0,0.0,76,0,0,0.0,0.0,2023-02-08T20:00:00Z,0,11,0,0,0,0,22,0,901,0,2,2,0.0,0,-14,75,89,40,True,0,2,534
8,0,0,0,0,0.0,674,0.0,0.0,0.0,0.0,225,0,0,0.0,0.0,2023-02-12T14:00:00Z,0,11,0,0,0,0,23,0,1042,0,2,0,0.0,0,1,59,58,40,False,0,2,534
9,0,0,0,0,0.0,674,0.0,0.0,0.0,0.0,236,0,0,0.0,0.0,2023-02-19T14:00:00Z,0,10,0,0,0,0,24,0,1147,0,0,3,0.0,0,2,59,57,40,True,0,2,534
10,0,0,0,0,0.0,674,0.0,0.0,0.0,0.0,256,0,0,0.0,0.0,2023-03-05T16:30:00Z,0,12,0,0,0,0,26,0,1364,0,0,7,0.0,0,-8,49,57,40,False,0,2,534
11,0,0,0,0,0.0,674,0.0,0.0,0.0,0.0,267,0,0,0.0,0.0,2023-03-12T14:00:00Z,0,17,0,0,0,0,27,0,1523,0,0,0,0.0,0,21,72,51,40,True,0,2,534
12,0,0,0,0,0.0,674,0.0,0.0,0.0,0.0,288,0,0,0.0,0.0,2023-04-02T15:30:00Z,0,15,0,0,0,0,29,0,1734,0,0,2,0.0,0,0,50,50,40,False,0,2,534
13,0,0,0,0,0.0,674,0.0,0.0,0.0,0.0,247,0,0,0.0,0.0,2023-04-05T19:00:00Z,0,4,0,0,0,0,29,0,1734,0,0,1,0.0,0,0,50,50,40,True,0,2,534
14,0,0,0,0,0.0,674,0.0,0.0,0.0,0.0,297,0,0,0.0,0.0,2023-04-08T11:30:00Z,0,8,0,0,0,0,30,0,1806,0,0,2,0.0,0,-7,40,47,40,True,0,2,534
15,0,0,0,0,0.0,674,0.0,0.0,0.0,0.0,306,0,0,0.0,0.0,2023-04-16T15:30:00Z,0,16,0,0,0,0,31,0,1893,0,2,0,0.0,0,9,53,44,40,False,0,2,534
16,0,0,0,0,0.0,674,0.0,0.0,0.0,0.0,325,0,0,0.0,0.0,2023-04-27T19:15:00Z,0,18,0,0,0,0,33,0,2018,0,2,2,0.0,0,13,40,27,40,False,0,2,534
17,0,0,0,0,0.0,674,0.0,0.0,0.0,0.0,339,0,0,0.0,0.0,2023-04-30T13:00:00Z,0,2,0,0,0,0,34,0,2077,0,0,1,0.0,0,-6,47,53,40,True,0,2,534
18,0,0,0,0,0.0,674,0.0,0.0,0.0,0.0,274,0,0,0.0,0.0,2023-05-04T19:00:00Z,0,5,0,0,0,0,34,0,2077,0,0,1,0.0,0,-6,47,53,40,False,0,2,534
19,0,0,0,0,0.0,674,0.0,0.0,0.0,0.0,349,0,0,0.0,0.0,2023-05-07T18:00:00Z,0,19,0,0,0,0,35,0,2188,0,0,1,0.0,0,25,76,51,40,False,0,2,534
20,0,0,0,0,0.0,674,0.0,0.0,0.0,0.0,359,0,0,0.0,0.0,2023-05-13T14:00:00Z,0,20,0,0,0,0,36,0,2273,0,0,2,0.0,0,17,57,40,40,True,0,2,534
21,0,0,0,0,0.0,674,0.0,0.0,0.0,0.0,361,0,0,0.0,0.0,2023-05-20T14:00:00Z,0,3,0,0,0,0,37,0,2373,0,1,0,0.0,0,23,70,47,40,False,0,2,534
22,0,0,0,0,0.0,674,0.0,0.0,0.0,0.0,319,0,0,0.0,0.0,2023-05-25T19:00:00Z,0,6,0,0,0,0,37,0,2373,0,1,4,0.0,0,23,70,47,40,True,0,2,534
23,0,0,0,0,0.0,674,0.0,0.0,0.0,0.0,379,0,0,0.0,0.0,2023-05-28T15:30:00Z,0,9,0,0,0,0,38,0,2458,0,1,2,0.0,0,20,59,39,40,True,0,2,534
24,0,0,5,0,11.8,534,0.00,0.11,0.11,0.18,19,0,0,3.5,6.2,2023-08-20T15:30:00Z,14,7,0,0,0,0,2,0,9388,0,1,3,17.0,1,-761,468,1229,50,True,0,2,534
25,0,0,2,0,0.8,534,0.01,0.01,0.00,0.36,24,0,0,0.2,1.6,2023-08-26T16:30:00Z,6,5,0,0,0,0,3,0,8310,0,3,1,0.0,1,-1342,185,1527,50,False,0,2,534
26,0,0,2,0,0.6,534,0.00,0.00,0.00,0.27,38,1,0,0.2,1.0,2023-09-01T19:00:00Z,19,12,0,0,0,0,4,0,7625,0,2,1,0.0,1,-893,411,1304,49,False,0,2,534
27,0,0,0,0,0.0,534,0.00,0.00,0.00,0.00,49,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,13,0,0,0,0,5,0,6940,0,3,1,0.0,0,-888,204,1092,49,True,0,2,534
28,0,0,3,0,0.4,534,0.00,0.04,0.04,0.73,57,1,0,1.4,2.6,2023-09-24T13:00:00Z,16,11,0,0,0,0,6,0,6563,0,1,3,11.0,1,-443,184,627,48,False,0,2,534
29,0,0,3,0,0.1,534,0.00,0.00,0.00,0.05,69,0,0,0.2,0.0,2023-09-30T14:00:00Z,1,17,0,0,0,0,7,0,6305,0,0,2,2.0,1,-313,243,556,48,True,0,2,534
30,0,0,0,0,0.0,534,0.00,0.00,0.00,0.00,79,0,0,0.0,0.0,2023-10-08T13:00:00Z,0,15,0,0,0,0,8,0,6124,0,2,2,0.0,0,-240,187,427,48,True,0,2,534
31,0,0,4,0,10.4,534,0.02,0.02,0.00,0.00,81,0,0,1.3,2.6,2023-10-22T15:30:00Z,1,2,0,0,0,0,9,0,5953,0,1,4,0.0,1,-231,142,373,48,False,0,2,534
32,0,0,0,0,0.0,534,0.00,0.00,0.00,0.00,99,0,0,0.0,0.0,2023-10-29T13:00:00Z,0,9,0,0,0,0,10,0,5904,0,1,0,0.0,0,-81,247,328,47,True,0,2,534
33,0,0,7,0,2.3,534,0.02,0.07,0.05,0.37,101,1,0,1.7,3.2,2023-11-04T15:00:00Z,26,4,0,0,0,0,11,0,5978,0,2,3,11.0,1,36,330,294,47,False,0,2,534
34,0,0,0,0,0.0,534,0.00,0.00,0.00,0.00,119,0,0,0.0,0.0,2023-11-12T14:00:00Z,0,16,0,0,0,0,12,0,5816,0,2,3,0.0,0,-181,142,323,47,True,0,2,534
35,0,0,0,0,0.0,534,0.00,0.00,0.00,0.00,122,0,0,0.0,0.0,2023-11-25T15:00:00Z,0,6,0,0,0,0,13,0,5687,0,2,1,0.0,0,-155,150,305,47,False,0,2,534
36,0,0,6,0,14.6,534,0.13,0.13,0.00,0.00,140,0,0,2.3,4.8,2023-12-03T14:00:00Z,1,8,0,0,0,0,14,0,5593,0,1,1,4.0,1,-120,105,225,47,True,0,2,534
37,0,0,3,0,0.0,534,0.00,0.00,0.00,0.12,148,0,0,0.5,5.0,2023-12-07T20:15:00Z,2,18,0,0,0,0,15,0,5515,0,2,1,0.0,1,-85,65,150,47,False,0,2,534
38,0,0,3,0,4.3,534,0.01,0.01,0.00,1.12,155,3,0,1.0,1.6,2023-12-10T14:00:00Z,45,10,0,0,0,0,16,0,5426,1,0,5,4.0,1,-111,40,151,47,False,0,2,534
39,0,0,3,0,1.2,534,0.01,0.01,0.00,0.02,170,0,0,0.4,3.2,2023-12-17T14:00:00Z,20,20,0,0,0,0,17,0,5337,0,0,3,0.0,1,-113,62,175,47,True,0,2,534
40,0,0,2,0,0.6,534,0.00,0.00,0.00,0.21,179,0,0,0.1,0.2,2023-12-23T12:30:00Z,2,14,0,0,0,0,18,0,5288,0,0,2,0.0,1,-71,83,154,46,True,0,2,534
41,0,0,0,0,0.0,534,0.00,0.00,0.00,0.00,181,0,0,0.0,0.0,2023-12-28T20:15:00Z,0,1,0,0,0,0,19,0,5334,0,2,0,0.0,0,15,144,129,46,False,0,2,534
42,0,0,8,1,2.0,534,0.02,0.04,0.02,2.48,199,0,0,1.9,8.0,2024-01-02T19:30:00Z,90,5,0,0,0,0,20,0,5288,1,0,0,9.0,3,-56,104,160,46,True,0,2,534
