,Unnamed: 0,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position
0,0,0,58.0,0.0,0.0,0,15,0,5.0,43.0,0.4,1.0,0.0,484,0.0,0.0,8,1.0,4,0,3.1,484.0,21.0,0.0,2016-08-14T15:00:00Z,14 Aug 16:00,0.0,0.0,90,0.0,0.0,9,0,0.0,0,0,7.0,0,1,0,32839,1.0,2.0,0.0,4,3,10.0,0,0,0,0,45,True,0.0,0,,,,,,2
1,1,0,53.0,0.0,0.0,0,26,1,11.0,39.0,0.7,1.0,0.0,484,0.0,0.0,13,1.0,0,0,3.3,1009.0,30.2,0.0,2016-08-20T16:30:00Z,20 Aug 17:30,0.0,0.0,90,0.0,0.0,8,0,0.0,0,0,6.0,0,2,0,33127,0.0,1.0,0.0,0,0,2.0,5,-2474,919,3393,45,False,0.0,1,,,,,,2
2,2,0,44.0,0.0,0.0,0,20,0,11.0,40.0,0.4,0.0,0.0,484,0.0,0.0,28,0.0,1,0,2.4,1549.0,23.2,0.0,2016-08-27T14:00:00Z,27 Aug 15:00,0.0,0.0,90,0.0,0.0,18,0,0.0,0,0,3.0,0,3,0,51615,0.0,1.0,0.0,3,1,0.0,2,14818,19798,4980,45,False,0.0,0,,,,,,2
3,3,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,484,0.0,0.0,31,0.0,0,0,0.0,2099.0,0.0,0.0,2016-09-10T14:00:00Z,10 Sep 15:00,0.0,0.0,0,0.0,0.0,13,0,0.0,0,0,0.0,0,4,0,56292,0.0,0.0,0.0,1,2,0.0,0,2133,14766,12633,45,True,0.0,0,,,,,,2
4,4,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,484,0.0,0.0,43,0.0,0,0,0.0,2680.0,0.0,0.0,2016-09-17T14:00:00Z,17 Sep 15:00,0.0,0.0,0,0.0,0.0,7,0,0.0,0,0,0.0,0,5,0,48066,0.0,0.0,0.0,4,1,0.0,0,-8828,1156,9984,45,False,0.0,0,,,,,,2
5,5,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,484,0.0,0.0,51,0.0,0,0,0.0,3264.0,0.0,0.0,2016-09-24T16:30:00Z,24 Sep 17:30,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0,0.0,0,6,0,40028,0.0,0.0,0.0,0,3,0.0,0,-8405,615,9020,45,True,0.0,0,,,,,,2
6,6,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,484,0.0,0.0,61,0.0,0,0,0.0,3850.0,0.0,0.0,2016-10-02T15:30:00Z,02 Oct 16:30,0.0,0.0,0,0.0,0.0,3,0,0.0,0,0,0.0,0,7,0,35164,0.0,0.0,0.0,1,0,0.0,0,-5067,483,5550,44,False,0.0,0,,,,,,2
7,7,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,484,0.0,0.0,71,0.0,0,0,0.0,4439.0,0.0,0.0,2016-10-15T14:00:00Z,15 Oct 15:00,0.0,0.0,0,0.0,0.0,16,0,0.0,0,0,0.0,0,8,0,31094,0.0,0.0,0.0,2,3,0.0,0,-4263,256,4519,43,True,0.0,0,,,,,,2
8,8,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,484,0.0,0.0,81,0.0,0,0,0.0,5031.0,0.0,0.0,2016-10-22T14:00:00Z,22 Oct 15:00,0.0,0.0,0,0.0,0.0,12,0,0.0,0,0,0.0,0,9,0,28183,0.0,0.0,0.0,0,0,0.0,0,-3031,266,3297,43,True,0.0,0,,,,,,2
9,9,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,484,0.0,0.0,97,0.0,0,0,0.0,5625.0,0.0,0.0,2016-10-29T11:30:00Z,29 Oct 12:30,0.0,0.0,0,0.0,0.0,15,0,0.0,0,0,0.0,0,10,0,26570,0.0,0.0,0.0,4,1,0.0,0,-1736,281,2017,42,False,0.0,0,,,,,,2
10,10,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,484,0.0,0.0,101,0.0,0,0,0.0,6223.0,0.0,0.0,2016-11-06T12:00:00Z,06 Nov 12:00,0.0,0.0,0,0.0,0.0,17,0,0.0,0,0,0.0,0,11,0,25470,0.0,0.0,0.0,1,1,0.0,0,-1226,376,1602,42,True,0.0,0,,,,,,2
11,11,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,484,0.0,0.0,113,0.0,0,0,0.0,6822.0,0.0,0.0,2016-11-19T12:30:00Z,19 Nov 12:30,0.0,0.0,0,0.0,0.0,11,0,0.0,0,0,0.0,0,12,0,24776,0.0,0.0,0.0,1,1,0.0,0,-864,381,1245,42,False,0.0,0,,,,,,2
12,12,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,484,0.0,0.0,121,0.0,0,0,0.0,7423.0,0.0,0.0,2016-11-27T14:15:00Z,27 Nov 14:15,0.0,0.0,0,0.0,0.0,2,0,0.0,0,0,0.0,0,13,0,24399,0.0,0.0,0.0,1,3,0.0,0,-492,378,870,41,True,0.0,0,,,,,,2
13,13,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,484,0.0,0.0,140,0.0,0,0,0.0,8027.0,0.0,0.0,2016-12-03T17:30:00Z,03 Dec 17:30,0.0,0.0,0,0.0,0.0,20,0,0.0,0,0,0.0,0,14,0,24151,0.0,0.0,0.0,5,1,0.0,0,-381,479,860,41,False,0.0,0,,,,,,2
