,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position,player
0,0,0,12,0,0.0,597,67,2,0,1.9,19.0,2020-11-01T19:15:00Z,90,17,0,0,0,0,7,2,0,1,2,0.0,1,0,0,0,45,False,0,,,,,,1,231
1,0,0,0,0,0.0,597,70,0,0,0.0,0.0,2020-11-06T17:30:00Z,0,4,0,0,0,0,8,0,1558,0,0,0.0,0,1024,1203,179,45,True,0,,,,,,1,231
2,0,0,0,0,0.0,597,79,0,0,0.0,0.0,2020-11-21T15:00:00Z,0,2,0,0,0,0,9,0,1291,2,1,0.0,0,-327,146,473,45,False,0,,,,,,1,231
3,0,0,0,0,0.0,597,90,0,0,0.0,0.0,2020-11-28T12:30:00Z,0,11,0,0,0,0,10,0,1764,1,1,0.0,0,250,523,273,44,True,0,,,,,,1,231
4,0,0,0,0,0.0,597,100,0,0,0.0,0.0,2020-12-07T20:00:00Z,0,16,0,0,0,0,11,0,2069,2,1,0.0,0,179,493,314,44,True,0,,,,,,1,231
5,0,0,0,0,0.0,597,114,0,0,0.0,0.0,2020-12-13T19:15:00Z,0,9,0,0,0,0,12,0,2051,0,3,0.0,0,-41,153,194,44,False,0,,,,,,1,231
6,0,2,29,1,0.0,597,121,0,0,3.7,37.0,2020-12-16T20:00:00Z,90,8,0,0,0,0,13,4,2024,0,0,0.0,9,-90,71,161,44,False,0,,,,,,1,231
7,0,0,16,0,0.0,597,129,1,0,1.3,12.6,2020-12-20T12:00:00Z,90,15,0,0,0,0,14,2,16321,1,1,0.0,2,13606,14023,417,44,True,0,,,,,,1,231
8,0,0,14,0,0.0,597,147,2,0,2.1,21.2,2020-12-27T14:15:00Z,90,19,0,0,0,0,15,2,26981,2,2,0.0,1,10053,12414,2361,44,False,0,,,,,,1,231
9,0,0,13,0,0.0,597,149,1,0,2.0,19.6,2020-12-29T18:00:00Z,90,1,0,0,0,0,16,2,33161,1,0,0.0,2,6047,8919,2872,44,True,0,,,,,,1,231
10,0,0,18,0,0.0,597,159,3,0,1.8,18.0,2021-01-02T17:30:00Z,90,20,0,0,0,0,17,2,45818,3,3,0.0,1,12160,16449,4289,44,True,0,,,,,,1,231
