,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position,player
0,0,0,16,0,0.0,417,5,3,0,3.1,31.2,2020-09-13T13:00:00Z,90,9,0,0,0,0,1,4,43295,3,0,0.0,2,0,0,0,45,True,0,,,,,,1,293
1,0,0,14,0,0.0,417,12,5,0,1.4,14.0,2020-09-19T11:30:00Z,90,7,0,0,0,0,2,2,52526,2,5,0.0,0,1313,8778,7465,45,False,0,,,,,,1,293
2,0,0,23,0,0.0,417,27,3,0,4.7,46.6,2020-09-26T16:30:00Z,90,5,0,0,0,0,3,7,48344,3,3,0.0,3,-5507,3358,8865,45,True,0,,,,,,1,293
3,0,0,20,0,0.0,417,37,2,0,3.9,39.2,2020-10-04T11:00:00Z,90,16,0,0,0,0,4,6,50768,0,2,0.0,3,285,5033,4748,45,False,0,,,,,,1,293
4,0,2,32,1,0.0,417,48,0,0,2.9,28.8,2020-10-19T16:30:00Z,90,4,0,0,0,0,5,4,55362,0,0,0.0,9,2299,8210,5911,45,True,0,,,,,,1,293
5,0,2,16,0,0.0,417,51,1,0,2.0,20.2,2020-10-26T17:30:00Z,90,3,0,0,0,0,6,3,62391,1,1,0.0,5,5820,9979,4159,45,False,0,,,,,,1,293
6,0,0,15,0,0.0,417,61,2,0,1.5,14.6,2020-11-02T17:30:00Z,90,8,0,0,0,0,7,2,76088,0,2,0.0,1,10158,13478,3320,45,False,0,,,,,,1,293
7,0,0,16,0,0.0,417,77,1,0,3.0,30.2,2020-11-08T12:00:00Z,90,17,0,0,0,0,8,4,74000,1,0,0.0,3,-1423,5229,6652,45,True,0,,,,,,1,293
8,0,0,20,0,0.0,417,84,1,0,4.3,43.4,2020-11-21T20:00:00Z,90,13,0,0,0,0,9,6,74924,0,1,0.0,4,145,5446,5301,45,False,0,,,,,,1,293
9,0,3,33,1,0.0,417,97,0,0,4.0,39.8,2020-11-28T20:00:00Z,90,15,0,0,0,0,10,6,97761,0,1,0.0,11,15649,19188,3539,45,True,0,,,,,,1,293
10,0,0,12,0,0.0,417,107,5,0,1.4,14.2,2020-12-06T12:00:00Z,90,6,0,0,0,0,11,2,147390,5,1,0.0,0,40177,46848,6671,45,True,0,,,,,,1,293
11,0,0,17,0,0.0,417,116,2,0,2.6,26.4,2020-12-12T15:00:00Z,90,14,0,0,0,0,12,4,134553,1,2,0.0,2,-1546,11623,13169,45,False,0,,,,,,1,293
12,0,0,21,0,0.0,417,128,1,0,5.2,51.6,2020-12-15T20:00:00Z,90,12,0,0,0,0,13,6,129400,1,1,0.0,4,-5619,6131,11750,45,False,0,,,,,,1,293
13,0,0,24,0,0.0,417,138,3,0,5.2,51.6,2020-12-20T19:15:00Z,90,2,0,0,0,0,14,7,142726,3,0,0.0,3,11607,16839,5232,45,True,0,,,,,,1,293
14,0,0,10,0,0.0,417,144,1,0,0.9,9.4,2020-12-27T16:30:00Z,90,11,0,0,0,0,15,1,153983,1,1,0.0,2,9530,18489,8959,45,False,0,,,,,,1,293
15,0,0,13,0,0.0,417,158,5,0,1.0,9.8,2020-12-29T18:00:00Z,90,10,0,0,0,0,16,2,185527,5,0,0.0,0,30310,37663,7353,45,True,0,,,,,,1,293
