,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position
0,0,0,0,15,1,12.1,276,0.01,0.03,0.02,2.73,5,0,0,2.1,8.0,2023-08-12T14:00:00Z,90,9,0,0,0,0,1,0,25104,1,1,0,1.0,3,0,0,0,45,False,0,3
1,1,0,0,14,0,18.3,276,0.05,0.05,0.0,3.8,13,3,0,3.3,11.0,2023-08-19T14:00:00Z,90,4,0,0,0,0,2,0,72725,1,3,0,4.0,2,26374,35175,8801,45,True,0,3
2,2,0,0,2,0,0.5,276,0.0,0.02,0.02,2.32,21,1,0,0.6,1.6,2023-08-26T14:00:00Z,70,1,0,0,0,0,3,0,68209,1,2,2,4.0,1,-3930,8399,12329,45,False,1,3
3,3,0,0,0,0,0.0,276,0.0,0.0,0.0,0.0,39,0,0,0.0,0.0,2023-09-02T14:00:00Z,0,13,0,0,0,0,4,0,58765,0,1,5,0.0,0,-9961,2709,12670,45,False,0,3
4,4,0,0,0,0,0.0,276,0.0,0.0,0.0,0.0,44,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,12,0,0,0,0,5,0,46222,0,0,1,0.0,0,-12848,390,13238,45,True,0,3
5,5,0,0,0,0,0.0,276,0.0,0.0,0.0,0.0,56,0,0,0.0,0.0,2023-09-23T14:00:00Z,0,8,0,0,0,0,6,0,39552,0,0,0,0.0,0,-6982,88,7070,45,False,0,3
6,6,0,0,-1,0,1.8,276,0.0,0.58,0.58,0.04,64,0,0,2.6,7.0,2023-10-02T19:00:00Z,15,7,0,0,0,0,7,0,34962,0,2,0,17.0,1,-4556,288,4844,44,True,0,3
7,7,0,0,0,0,0.0,276,0.0,0.0,0.0,0.0,76,0,0,0.0,0.0,2023-10-07T14:00:00Z,0,17,0,0,0,0,8,0,35053,0,1,3,0.0,0,-473,1616,2089,44,True,0,3
8,8,0,0,3,0,1.8,276,0.01,0.03,0.02,1.3,90,2,0,0.5,2.2,2023-10-23T19:00:00Z,71,18,0,0,0,0,9,0,34115,1,0,2,1.0,2,-983,720,1703,44,False,0,3
9,9,0,0,3,0,0.2,276,0.0,0.0,0.0,0.32,94,0,0,1.0,9.4,2023-10-29T14:00:00Z,1,5,0,0,0,0,10,0,34970,0,1,1,0.0,1,690,2428,1738,44,False,0,3
10,10,0,0,3,0,0.5,276,0.0,0.0,0.0,0.36,104,1,0,0.2,1.2,2023-11-04T12:30:00Z,14,14,0,0,0,0,11,0,36560,0,1,0,0.0,1,1332,2789,1457,44,True,0,3
11,11,0,0,0,0,0.0,276,0.0,0.0,0.0,0.0,112,0,0,0.0,0.0,2023-11-12T14:00:00Z,0,2,0,0,0,0,12,0,35702,0,1,3,0.0,0,-753,1178,1931,44,False,0,3
12,12,0,0,4,0,0.0,276,0.0,0.0,0.0,0.02,124,0,0,0.1,1.0,2023-11-27T20:00:00Z,1,20,0,0,0,0,13,0,35056,0,2,3,0.0,1,-714,966,1680,44,True,0,3
13,13,0,0,0,0,0.0,276,0.0,0.0,0.0,0.0,136,0,0,0.0,0.0,2023-12-03T14:00:00Z,0,11,0,0,0,0,14,0,34823,0,3,4,0.0,0,-414,891,1305,44,False,0,3
14,14,0,0,1,0,0.2,276,0.0,0.02,0.02,0.07,145,0,0,0.0,0.0,2023-12-06T19:30:00Z,11,16,0,0,0,0,15,0,34606,0,0,5,3.0,1,-293,755,1048,44,True,0,3
15,15,0,0,0,0,0.0,276,0.0,0.0,0.0,0.0,155,0,0,0.0,0.0,2023-12-10T14:00:00Z,0,19,0,0,0,0,16,0,33869,0,0,5,0.0,0,-745,542,1287,44,True,0,3
16,16,0,0,3,0,14.1,276,0.24,0.24,0.0,1.57,168,1,0,1.9,4.8,2023-12-16T15:00:00Z,14,15,0,0,0,0,17,0,32387,0,0,3,0.0,1,-1396,427,1823,44,False,0,3
17,17,0,0,0,0,0.0,276,0.0,0.0,0.0,0.0,173,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,6,0,0,0,0,18,0,32279,0,2,0,0.0,0,-480,1015,1495,43,True,0,3
18,18,0,0,2,0,0.5,276,0.0,0.0,0.0,0.06,182,1,0,0.0,0.0,2023-12-26T15:00:00Z,7,3,0,0,0,0,19,0,35067,0,0,3,0.0,1,2332,3497,1165,43,False,0,3
19,19,0,0,2,0,1.9,358,0.01,0.01,0.0,0.13,196,0,0,0.5,1.0,2023-12-30T15:00:00Z,22,17,0,0,0,0,20,0,43996,0,0,2,2.0,1,1823,4635,2812,43,True,0,3
20,20,0,0,0,0,0.0,358,0.0,0.0,0.0,0.0,187,0,0,0.0,0.0,2023-12-27T20:15:00Z,0,9,0,0,0,0,19,0,42353,0,3,1,0.0,0,6374,7167,793,43,False,0,3
21,21,0,1,30,0,45.1,358,0.16,0.47,0.31,1.82,167,2,1,12.3,48.0,2023-12-16T15:00:00Z,90,8,0,0,0,0,17,0,33660,1,2,2,30.0,8,-725,1013,1738,43,True,0,3
22,22,0,0,0,0,0.0,358,0.0,0.0,0.0,0.0,156,0,0,0.0,0.0,2023-12-10T14:00:00Z,0,12,0,0,0,0,16,0,34351,0,2,1,0.0,0,1277,2334,1057,43,False,0,3
23,23,0,0,11,1,3.3,358,0.02,0.02,0.0,1.4,141,0,0,0.8,3.0,2023-12-06T20:15:00Z,67,2,0,0,0,0,15,0,32904,1,0,1,2.0,5,-100,1092,1192,43,False,1,3
24,24,0,0,7,0,12.1,358,0.11,0.11,0.0,0.11,137,1,0,2.0,4.2,2023-12-03T16:30:00Z,17,18,0,0,0,0,14,0,32890,0,3,3,4.0,1,-1013,851,1864,43,True,0,3
25,25,0,0,0,0,0.0,358,0.0,0.0,0.0,0.0,126,0,0,0.0,0.0,2023-11-25T12:30:00Z,0,11,0,0,0,0,13,0,33722,0,1,1,0.0,0,-951,1318,2269,43,True,0,3
26,26,0,0,0,0,0.0,358,0.0,0.0,0.0,0.0,115,0,0,0.0,0.0,2023-11-12T16:30:00Z,0,7,0,0,0,0,12,0,34433,0,4,4,0.0,0,-2310,913,3223,43,False,0,3
27,27,0,0,3,0,0.8,358,0.08,0.08,0.0,0.45,106,1,0,0.4,1.0,2023-11-04T15:00:00Z,19,3,0,0,0,0,11,0,36729,0,1,6,2.0,1,-1051,2106,3157,43,True,0,3
28,28,0,0,0,0,0.0,358,0.0,0.0,0.0,0.0,98,0,0,0.0,0.0,2023-10-29T15:30:00Z,0,14,0,0,0,0,10,0,37713,0,3,0,0.0,0,344,3863,3519,43,False,0,3
29,29,0,0,0,0,0.0,358,0.0,0.0,0.0,0.0,86,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,5,0,0,0,0,9,0,37485,0,1,2,0.0,0,6861,9649,2788,43,True,0,3
30,30,0,0,23,1,2.8,358,0.01,0.01,0.0,0.35,71,0,0,0.7,2.4,2023-10-08T15:30:00Z,67,1,0,0,0,0,8,0,29755,1,0,1,2.0,6,809,4045,3236,43,False,0,3
31,31,0,0,0,0,0.0,358,0.0,0.0,0.0,0.0,70,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,20,0,0,0,0,7,0,28316,0,1,2,0.0,0,-3598,538,4136,44,False,0,3
32,32,0,0,0,0,0.0,358,0.0,0.0,0.0,0.0,59,0,0,0.0,0.0,2023-09-23T14:00:00Z,0,16,0,0,0,0,6,0,31849,0,0,2,0.0,0,-5338,594,5932,44,True,0,3
33,33,0,0,3,0,0.3,358,0.0,0.0,0.0,0.0,49,0,0,0.1,0.2,2023-09-16T14:00:00Z,1,19,0,0,0,0,5,0,36871,0,3,1,0.0,1,-7939,722,8661,45,False,0,3
34,34,0,0,2,0,0.8,358,0.01,0.01,0.0,0.0,39,0,0,0.3,0.0,2023-09-02T14:00:00Z,1,10,0,0,0,0,4,0,43673,0,1,5,2.0,1,-10741,825,11566,45,True,0,3
35,35,0,0,0,0,0.0,358,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,2023-08-27T13:00:00Z,0,17,0,0,0,0,3,0,53597,0,2,1,0.0,0,-11277,3764,15041,45,False,0,3
36,36,0,0,0,0,0.0,358,0.0,0.0,0.0,0.0,16,0,0,0.0,0.0,2023-08-19T19:00:00Z,0,15,0,0,0,0,2,0,64137,0,0,1,0.0,0,17713,24989,7276,45,True,0,3
