,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position,player
0,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2022-08-07T13:00:00Z,0,10,0,0,0,0,1,0,1296,0,2,2,0.0,0,0,0,0,50,False,0,3,113
1,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,13,0,0,0.0,0.0,2022-08-13T16:30:00Z,0,14,0,0,0,0,2,0,1290,0,0,4,0.0,0,-149,104,253,50,True,0,3,113
2,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,24,0,0,0.0,0.0,2022-08-20T14:00:00Z,0,9,0,0,0,0,3,0,1244,0,2,3,0.0,0,-125,186,311,50,False,0,3,113
3,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,33,0,0,0.0,0.0,2022-08-27T14:00:00Z,0,8,0,0,0,0,4,0,1170,0,1,1,0.0,0,-133,129,262,50,True,0,3,113
4,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,43,0,0,0.0,0.0,2022-08-30T18:30:00Z,0,7,0,0,0,0,5,0,1094,0,1,1,0.0,0,-111,91,202,50,False,0,3,113
5,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,52,0,0,0.0,0.0,2022-09-03T14:00:00Z,0,11,0,0,0,0,6,0,1066,0,2,5,0.0,0,-64,88,152,50,True,0,3,113
6,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,72,0,0,0.0,0.0,2022-09-18T11:00:00Z,0,1,0,0,0,0,8,0,3958,0,3,0,0.0,0,1453,1742,289,50,True,0,3,113
7,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,82,0,0,0.0,0.0,2022-10-01T14:00:00Z,0,3,0,0,0,0,9,0,6071,0,0,0,0.0,0,2331,3339,1008,50,False,0,3,113
8,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,98,0,0,0.0,0.0,2022-10-08T14:00:00Z,0,15,0,0,0,0,10,0,5911,0,1,5,0.0,0,-209,1509,1718,50,False,0,3,113
9,0,0,5,0,0.5,82,0.01,0.01,0.0,0.39,102,0,0,0.2,1.4,2022-10-14T19:00:00Z,10,5,0,0,0,0,11,0,6618,0,0,2,0.0,1,362,1447,1085,50,True,0,3,113
10,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,113,0,0,0.0,0.0,2022-10-19T18:30:00Z,0,6,0,0,0,0,12,0,9629,0,0,0,0.0,0,1499,2561,1062,50,True,0,3,113
11,0,0,2,0,12.2,82,0.01,0.01,0.0,0.64,121,1,0,1.4,1.4,2022-10-23T13:00:00Z,45,2,0,0,0,0,13,0,9035,0,0,4,0.0,1,413,1946,1533,50,False,0,3,113
12,0,0,3,0,0.3,82,0.02,0.02,0.0,0.06,133,0,0,0.3,0.2,2022-10-29T14:00:00Z,7,20,0,0,0,0,14,0,10034,0,1,1,2.0,1,642,2031,1389,50,True,0,3,113
13,0,0,2,0,0.5,82,0.0,0.07,0.07,0.57,146,1,0,0.9,4.0,2022-11-05T15:00:00Z,9,16,0,0,0,0,15,0,12063,0,2,2,4.0,1,1514,3252,1738,50,False,0,3,113
14,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,155,0,0,0.0,0.0,2022-11-12T12:30:00Z,0,13,0,0,0,0,16,0,10774,0,2,1,0.0,0,-1226,834,2060,50,False,0,3,113
15,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,163,0,0,0.0,0.0,2022-12-26T12:30:00Z,0,18,0,0,0,0,17,0,12510,0,2,2,0.0,0,1163,3888,2725,50,True,0,3,113
16,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,179,0,0,0.0,0.0,2022-12-30T19:45:00Z,0,19,0,0,0,0,18,0,12520,0,2,0,0.0,0,-177,938,1115,50,False,0,3,113
17,0,0,2,0,0.0,82,0.0,0.0,0.0,0.13,183,0,0,0.0,0.0,2023-01-02T17:30:00Z,2,12,0,0,0,0,19,0,12622,0,1,3,0.0,1,-60,1117,1177,50,True,0,3,113
18,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,192,0,0,0.0,0.0,2023-01-14T17:30:00Z,0,3,0,0,0,0,20,0,16523,0,0,2,0.0,0,3331,5274,1943,50,True,0,3,113
19,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,205,0,0,0.0,0.0,2023-01-22T14:00:00Z,0,11,0,0,0,0,21,0,17417,0,0,0,0.0,0,729,3150,2421,50,False,0,3,113
20,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,212,0,0,0.0,0.0,2023-02-04T15:00:00Z,0,17,0,0,0,0,22,0,14798,0,0,3,0.0,0,-2749,1232,3981,50,True,0,3,113
21,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,221,0,0,0.0,0.0,2023-02-11T15:00:00Z,0,1,0,0,0,0,23,0,12368,0,1,1,0.0,0,-2444,0,2444,50,False,0,3,113
22,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,232,0,0,0.0,0.0,2023-02-18T15:00:00Z,0,7,0,0,0,0,24,0,11127,0,1,1,0.0,0,-1277,0,1277,50,True,0,3,113
23,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,253,0,0,0.0,0.0,2023-03-06T20:00:00Z,0,9,0,0,0,0,26,0,9806,0,2,3,0.0,0,-553,0,553,50,True,0,3,113
24,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,263,0,0,0.0,0.0,2023-03-11T15:00:00Z,0,8,0,0,0,0,27,0,9427,0,0,1,0.0,0,-379,0,379,50,False,0,3,113
25,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,69,0,0,0.0,0.0,2023-03-15T19:30:00Z,0,17,0,0,0,0,27,0,9427,0,2,0,0.0,0,-379,0,379,50,False,0,3,113
26,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,273,0,0,0.0,0.0,2023-03-18T15:00:00Z,0,10,0,0,0,0,28,0,9175,0,1,1,0.0,0,-240,0,240,50,True,0,3,113
27,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,283,0,0,0.0,0.0,2023-04-01T14:00:00Z,0,5,0,0,0,0,29,0,8980,0,3,3,0.0,0,-205,0,205,50,False,0,3,113
28,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,247,0,0,0.0,0.0,2023-04-05T19:00:00Z,0,14,0,0,0,0,29,0,8980,0,0,1,0.0,0,-205,0,205,50,False,0,3,113
29,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,292,0,0,0.0,0.0,2023-04-08T14:00:00Z,0,15,0,0,0,0,30,0,8825,0,2,1,0.0,0,-161,0,161,50,True,0,3,113
30,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,310,0,0,0.0,0.0,2023-04-15T14:00:00Z,0,20,0,0,0,0,31,0,8700,0,0,2,0.0,0,-128,0,128,50,False,0,3,113
31,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,313,0,0,0.0,0.0,2023-04-22T14:00:00Z,0,2,0,0,0,0,32,0,8605,0,1,1,0.0,0,-91,0,91,50,True,0,3,113
32,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,328,0,0,0.0,0.0,2023-04-26T18:45:00Z,0,6,0,0,0,0,33,0,8539,0,2,0,0.0,0,-70,0,70,50,False,0,3,113
33,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,333,0,0,0.0,0.0,2023-04-29T14:00:00Z,0,16,0,0,0,0,34,0,8479,0,1,2,0.0,0,-62,0,62,50,True,0,3,113
34,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,344,0,0,0.0,0.0,2023-05-06T16:30:00Z,0,12,0,0,0,0,35,0,8381,0,0,1,0.0,0,-93,0,93,50,False,0,3,113
35,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,353,0,0,0.0,0.0,2023-05-14T13:00:00Z,0,19,0,0,0,0,36,0,8315,0,0,2,0.0,0,-70,0,70,50,True,0,3,113
36,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,368,0,0,0.0,0.0,2023-05-20T11:30:00Z,0,18,0,0,0,0,37,0,8271,0,3,1,0.0,0,-45,0,45,50,False,0,3,113
37,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,373,0,0,0.0,0.0,2023-05-28T15:30:00Z,0,13,0,0,0,0,38,0,8233,0,0,1,0.0,0,-35,0,35,50,True,0,3,113
38,0,0,0,0,0.0,113,0.00,0.00,0.00,0.00,12,0,0,0.0,0.0,2023-08-21T19:00:00Z,0,8,0,0,0,0,2,0,388156,0,1,0,0.0,0,-90113,5826,95939,50,False,0,3,113
39,0,0,0,0,0.0,113,0.00,0.00,0.00,0.00,21,0,0,0.0,0.0,2023-08-26T14:00:00Z,0,10,0,0,0,0,3,0,301218,0,2,2,0.0,0,-93015,2180,95195,49,True,0,3,113
40,0,0,0,0,0.0,113,0.00,0.00,0.00,0.00,31,0,0,0.0,0.0,2023-09-03T15:30:00Z,0,14,0,0,0,0,4,0,257903,0,1,3,0.0,0,-47615,1602,49217,48,True,0,3,113
