,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position,player
0,0,0,3,0,0.8,673,245,0,0,0.1,0.2,2021-02-21T19:00:00Z,1,14,0,0,0,0,25,0,0,1,3,0.0,1,0,0,0,45,True,0,,,,,,4,521
1,0,0,0,0,0.0,673,249,0,0,0.0,0.0,2021-02-28T16:30:00Z,0,5,0,0,0,0,26,0,118,0,0,0.0,0,87,112,25,45,False,0,,,,,,4,521
2,0,0,0,0,0.0,673,281,0,0,0.0,0.0,2021-03-03T20:15:00Z,0,6,0,0,0,0,26,0,118,0,0,0.0,0,87,112,25,45,False,0,,,,,,4,521
3,0,0,0,0,0.0,673,264,0,0,0.0,0.0,2021-03-07T16:30:00Z,0,12,0,0,0,0,27,0,161,2,0,0.0,0,30,69,39,45,False,0,,,,,,4,521
4,0,0,0,0,0.0,673,275,0,0,0.0,0.0,2021-03-14T19:15:00Z,0,19,0,0,0,0,28,0,186,0,1,0.0,0,6,61,55,45,True,0,,,,,,4,521
5,0,0,0,0,0.0,673,295,0,0,0.0,0.0,2021-04-04T18:30:00Z,0,3,0,0,0,0,30,0,190,1,2,0.0,0,-3,22,25,45,True,0,,,,,,4,521
6,0,0,0,0,0.0,673,306,0,0,0.0,0.0,2021-04-11T15:30:00Z,0,17,0,0,0,0,31,0,192,3,1,0.0,0,-5,21,26,45,False,0,,,,,,4,521
7,0,0,0,0,0.0,673,315,0,0,0.0,0.0,2021-04-18T15:00:00Z,0,4,0,0,0,0,32,0,204,1,3,0.0,0,8,31,23,45,True,0,,,,,,4,521
8,0,0,0,0,0.0,673,322,0,0,0.0,0.0,2021-04-25T13:00:00Z,0,10,0,0,0,0,33,0,199,0,0,0.0,0,-14,12,26,45,False,0,,,,,,4,521
9,0,0,0,0,0.0,673,340,0,0,0.0,0.0,2021-05-09T13:05:00Z,0,2,0,0,0,0,35,0,228,3,1,0.0,0,-5,35,40,44,False,0,,,,,,4,521
