,Unnamed: 0,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position
0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,137,0.0,0.0,3,0.0,0,0,0.0,137.0,0.0,0.0,2018-08-11T14:00:00Z,11 Aug 15:00,0.0,0.0,0,0.0,0.0,9,0,0.0,0,0,0.0,0,1,0,12383,0.0,0.0,0.0,2,0,0.0,0,0,0,0,45,False,0.0,0,,,,,,1
1,1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,137,0.0,0.0,15,0.0,0,0,0.0,662.0,0.0,0.0,2018-08-20T19:00:00Z,20 Aug 20:00,0.0,0.0,0,0.0,0.0,12,0,0.0,0,0,0.0,0,2,0,11333,0.0,0.0,0.0,2,0,0.0,0,-1698,61,1759,45,True,0.0,0,,,,,,1
2,2,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,137,0.0,0.0,29,0.0,0,0,0.0,1189.0,0.0,0.0,2018-08-26T12:30:00Z,26 Aug 13:30,0.0,0.0,0,0.0,0.0,18,0,0.0,0,0,0.0,0,3,0,10149,0.0,0.0,0.0,1,2,0.0,0,-1523,208,1731,44,False,0.0,0,,,,,,1
3,3,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,137,0.0,0.0,35,0.0,0,0,0.0,1720.0,0.0,0.0,2018-09-01T14:00:00Z,01 Sep 15:00,0.0,0.0,0,0.0,0.0,16,0,0.0,0,0,0.0,0,4,0,9620,0.0,0.0,0.0,2,0,0.0,0,-891,291,1182,44,True,0.0,0,,,,,,1
4,4,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,137,0.0,0.0,44,0.0,0,0,0.0,2257.0,0.0,0.0,2018-09-15T14:00:00Z,15 Sep 15:00,0.0,0.0,0,0.0,0.0,10,0,0.0,0,0,0.0,0,5,0,8794,0.0,0.0,0.0,1,0,0.0,0,-938,118,1056,44,False,0.0,0,,,,,,1
5,5,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,137,0.0,0.0,55,0.0,0,0,0.0,2794.0,0.0,0.0,2018-09-22T14:00:00Z,22 Sep 15:00,0.0,0.0,0,0.0,0.0,15,0,0.0,0,0,0.0,0,6,0,8251,0.0,0.0,0.0,0,0,0.0,0,-610,81,691,43,True,0.0,0,,,,,,1
6,6,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,137,0.0,0.0,62,0.0,0,0,0.0,3332.0,0.0,0.0,2018-10-01T19:00:00Z,01 Oct 20:00,0.0,0.0,0,0.0,0.0,2,0,0.0,0,0,0.0,0,7,0,8121,0.0,0.0,0.0,1,2,0.0,0,-312,186,498,43,False,0.0,0,,,,,,1
7,7,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,137,0.0,0.0,73,0.0,0,0,0.0,3871.0,0.0,0.0,2018-10-06T14:00:00Z,06 Oct 15:00,0.0,0.0,0,0.0,0.0,20,0,0.0,0,0,0.0,0,8,0,8084,0.0,0.0,0.0,1,0,0.0,0,-173,221,394,43,True,0.0,0,,,,,,1
8,8,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,137,0.0,0.0,85,0.0,0,0,0.0,4413.0,0.0,0.0,2018-10-21T15:00:00Z,21 Oct 16:00,0.0,0.0,0,0.0,0.0,8,0,0.0,0,0,0.0,0,9,0,7927,0.0,0.0,0.0,0,2,0.0,0,-313,171,484,43,False,0.0,0,,,,,,1
9,9,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,137,0.0,0.0,93,0.0,0,0,0.0,4959.0,0.0,0.0,2018-10-28T13:30:00Z,28 Oct 13:30,0.0,0.0,0,0.0,0.0,1,0,0.0,0,0,0.0,0,10,0,7767,0.0,0.0,0.0,2,2,0.0,0,-195,93,288,43,True,0.0,0,,,,,,1
