,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position
0,0,0,0,0,0,0.0,660,0.0,0.0,0.0,0.0,25,0,0,0.0,0.0,2023-08-27T13:00:00Z,0,2,0,0,0,0,3,0,240,0,3,1,0.0,0,1,20,19,50,True,0,3
1,1,0,0,0,0,0.0,660,0.0,0.0,0.0,0.0,34,0,0,0.0,0.0,2023-09-02T14:00:00Z,0,18,0,0,0,0,4,0,362,0,5,2,0.0,0,-14,21,35,50,True,0,3
2,2,0,0,0,0,0.0,660,0.0,0.0,0.0,0.0,47,0,0,0.0,0.0,2023-09-18T18:45:00Z,0,16,0,0,0,0,5,0,557,0,1,1,0.0,0,-8,29,37,50,False,0,3
3,3,0,0,0,0,0.0,660,0.0,0.0,0.0,0.0,54,0,0,0.0,0.0,2023-09-23T19:00:00Z,0,14,0,0,0,0,6,0,581,0,1,0,0.0,0,-7,21,28,50,True,0,3
4,4,0,0,5,0,11.7,660,0.24,0.32,0.08,1.27,66,1,0,2.5,6.2,2023-09-30T14:00:00Z,23,15,0,0,0,0,7,0,602,0,0,2,7.0,1,5,34,29,50,False,0,3
5,5,0,0,0,0,0.0,660,0.0,0.0,0.0,0.0,15,0,0,0.0,0.0,2023-10-03T18:30:00Z,0,12,0,0,0,0,7,0,602,0,2,1,0.0,0,5,34,29,50,False,0,3
6,6,0,0,29,0,12.4,660,0.47,0.65,0.18,1.58,73,4,1,9.0,42.4,2023-10-07T14:00:00Z,78,7,0,0,0,0,8,0,672,1,4,1,35.0,6,0,33,33,50,True,1,3
7,7,0,0,2,0,0.3,660,0.0,0.03,0.03,2.53,83,1,0,0.0,0.0,2023-10-21T14:00:00Z,45,4,0,0,0,0,9,0,1155,1,0,3,1.0,1,325,420,95,50,False,0,3
8,8,0,0,0,0,0.0,660,0.0,0.0,0.0,0.0,93,0,0,0.0,0.0,2023-10-28T14:00:00Z,0,3,0,0,0,0,10,0,1103,0,1,2,0.0,0,-67,119,186,50,False,0,3
9,9,0,0,6,0,10.8,660,0.01,0.02,0.01,0.35,102,1,0,3.7,7.0,2023-11-04T15:00:00Z,12,8,0,0,0,0,11,0,1086,0,2,0,19.0,1,-58,70,128,50,True,0,3
10,10,0,0,2,0,12.3,660,0.02,0.02,0.0,0.0,111,0,0,1.7,2.4,2023-11-11T15:00:00Z,2,1,0,0,0,0,12,0,1045,0,1,3,2.0,1,-77,19,96,50,False,0,3
11,11,0,0,0,0,0.0,660,0.0,0.0,0.0,0.0,122,0,0,0.0,0.0,2023-11-25T15:00:00Z,0,19,0,0,0,0,13,0,1055,0,2,1,0.0,0,-29,34,63,50,True,0,3
12,12,0,0,0,0,0.0,660,0.0,0.0,0.0,0.0,134,0,0,0.0,0.0,2023-12-02T15:00:00Z,0,17,0,0,0,0,14,0,1062,0,0,5,0.0,0,-21,31,52,50,True,0,3
13,13,0,0,3,0,0.0,660,0.0,0.0,0.0,0.0,149,0,0,0.0,0.0,2023-12-05T19:30:00Z,1,20,0,0,0,0,15,0,1080,0,0,1,0.0,1,-18,26,44,50,False,0,3
14,14,0,0,20,0,1.5,660,0.02,0.13,0.11,1.61,152,1,1,5.8,36.4,2023-12-09T15:00:00Z,77,5,0,0,0,0,16,0,1117,1,1,1,20.0,6,-6,41,47,50,False,1,3
15,15,0,0,16,0,23.5,660,0.09,0.12,0.03,1.07,164,2,0,4.7,12.2,2023-12-16T17:30:00Z,86,9,0,0,0,0,17,0,1469,1,2,0,11.0,2,276,353,77,50,True,0,3
16,16,1,3,38,1,22.3,660,0.01,0.04,0.03,1.18,173,0,1,9.2,62.8,2023-12-23T15:00:00Z,79,10,0,0,0,0,18,0,1425,1,2,0,7.0,14,-81,116,197,50,False,0,3
17,17,0,0,13,0,16.7,660,0.31,0.33,0.02,1.69,185,2,0,3.8,12.4,2023-12-26T17:30:00Z,90,11,0,0,0,0,19,0,3566,1,2,0,9.0,2,1962,2225,263,50,True,0,3
18,18,0,0,0,0,0.0,225,0.0,0.0,0.0,0.0,192,0,0,0.0,0.0,2023-12-30T15:00:00Z,0,4,0,0,0,0,20,0,184784,0,1,3,0.0,0,-22994,230,23224,54,True,0,3
19,19,0,0,0,0,0.0,225,0.0,0.0,0.0,0.0,186,0,0,0.0,0.0,2023-12-27T19:30:00Z,0,7,0,0,0,0,19,0,207252,0,1,2,0.0,0,-42106,214,42320,54,False,0,3
20,20,0,0,0,0,0.0,225,0.0,0.0,0.0,0.0,172,0,0,0.0,0.0,2023-12-21T20:00:00Z,0,5,0,0,0,0,18,0,244749,0,1,1,0.0,0,-83546,406,83952,54,True,0,3
21,21,0,0,0,0,0.0,225,0.0,0.0,0.0,0.0,167,0,0,0.0,0.0,2023-12-16T15:00:00Z,0,13,0,0,0,0,17,0,323384,0,2,2,0.0,0,-112974,2733,115707,55,False,0,3
22,22,0,0,4,0,4.3,225,0.0,0.0,0.0,0.29,153,0,0,1.6,12.0,2023-12-09T12:30:00Z,45,11,0,0,0,0,16,0,442733,1,2,1,0.0,1,-36008,19977,55985,55,True,0,3
23,23,0,0,0,0,37.3,225,0.07,0.23,0.16,1.74,143,2,0,6.6,7.4,2023-12-06T19:30:00Z,90,3,0,0,0,0,15,0,481639,1,2,0,21.0,1,43032,56928,13896,55,True,1,3
24,24,0,3,28,0,4.5,225,0.03,0.65,0.62,1.07,140,1,1,7.1,35.2,2023-12-03T14:00:00Z,86,19,0,0,0,0,14,0,434095,1,1,1,31.0,9,-40368,14792,55160,55,False,0,3
25,25,0,0,1,0,15.3,225,0.05,0.33,0.28,0.37,125,1,0,4.2,2.8,2023-11-25T15:00:00Z,79,12,0,0,0,0,13,0,486759,1,1,2,24.0,2,97580,118563,20983,55,False,0,3
26,26,0,0,24,0,13.7,225,0.06,1.01,0.95,1.36,116,2,1,13.8,37.4,2023-11-11T15:00:00Z,82,9,0,0,0,0,12,0,374434,1,3,2,87.0,6,927,35363,34436,55,True,0,3
27,27,0,0,5,1,10.7,225,0.01,0.01,0.0,0.76,102,0,0,2.2,7.0,2023-11-04T15:00:00Z,85,6,0,0,0,0,11,0,372480,1,2,0,4.0,1,19220,56865,37645,55,False,1,3
