assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,554,0,0,69,0,0,0,0.0,3752,0.0,0,2017-10-01T13:15:00Z,01 Oct 14:15,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0.0,0,0,0,0,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,554,0,0,72,0,0,0,0.0,4306,0.0,0,2017-10-14T14:00:00Z,14 Oct 15:00,0,0,0,0,0,20,0,0,0,0,0,0,8,0,4206,0,0,0,1,1,0.0,0,3047,3539,492,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,554,0,0,84,0,0,0,0.0,4863,0.0,0,2017-10-21T14:00:00Z,21 Oct 15:00,0,0,0,0,0,11,0,0,0,0,0,0,9,0,5191,0,0,0,0,3,0.0,0,676,955,279,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,554,0,0,94,0,0,0,0.0,5422,0.0,0,2017-10-30T20:00:00Z,30 Oct 20:00,0,0,0,0,0,13,0,0,0,0,0,0,10,0,5922,0,0,0,0,1,0.0,0,469,787,318,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,554,0,0,105,0,0,0,0.0,5985,0.0,0,2017-11-04T15:00:00Z,04 Nov 15:00,0,0,0,0,0,14,0,0,0,0,0,0,11,0,6395,0,0,0,1,0,0.0,0,259,497,238,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,554,0,0,114,0,0,0,0.0,6551,0.0,0,2017-11-18T15:00:00Z,18 Nov 15:00,0,0,0,0,0,16,0,0,0,0,0,0,12,0,7019,0,0,0,0,2,0.0,0,335,581,246,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,554,0,0,130,0,0,0,0.0,7120,0.0,0,2017-11-26T14:00:00Z,26 Nov 14:00,0,0,0,0,0,1,0,0,0,0,0,0,13,0,7468,0,0,0,1,0,0.0,0,311,508,197,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,554,0,0,136,0,0,0,0.0,7690,0.0,0,2017-11-29T19:45:00Z,29 Nov 19:45,0,0,0,0,0,2,0,0,0,0,0,0,14,0,7740,0,0,0,2,1,0.0,0,164,328,164,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,554,0,0,146,0,0,0,0.0,8261,0.0,0,2017-12-02T15:00:00Z,02 Dec 15:00,0,0,0,0,0,9,0,0,0,0,0,0,15,0,8056,0,0,0,0,1,0.0,0,195,368,173,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,554,0,0,151,0,0,0,0.0,8835,0.0,0,2017-12-09T15:00:00Z,09 Dec 15:00,0,0,0,0,0,18,0,0,0,0,0,0,16,0,8323,0,0,0,0,1,0.0,0,101,333,232,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,554,0,0,161,0,0,0,0.0,9412,0.0,0,2017-12-12T19:45:00Z,12 Dec 19:45,0,0,0,0,0,15,0,0,0,0,0,0,17,0,8606,0,0,0,0,1,0.0,0,193,362,169,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,554,0,0,173,0,0,0,0.0,9990,0.0,0,2017-12-16T15:00:00Z,16 Dec 15:00,0,0,0,0,0,3,0,0,0,0,0,0,18,0,8850,0,0,0,0,0,0.0,0,142,343,201,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,554,0,0,183,0,0,0,0.0,10570,0.0,0,2017-12-23T17:30:00Z,23 Dec 17:30,0,0,0,0,0,17,0,0,0,0,0,0,19,0,9263,0,0,0,3,0,0.0,0,224,479,255,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,554,0,0,196,0,0,0,0.0,11155,0.0,0,2017-12-26T15:00:00Z,26 Dec 15:00,0,0,0,0,0,12,0,0,0,0,0,0,20,0,9555,0,0,0,2,2,0.0,0,168,335,167,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,554,0,0,204,0,0,0,0.0,11687,0.0,0,2017-12-30T15:00:00Z,30 Dec 15:00,0,0,0,0,0,8,0,0,0,0,0,0,21,0,10071,0,0,0,0,0,0.0,0,391,668,277,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,554,0,0,213,0,0,0,0.0,12321,0.0,0,2018-01-01T15:00:00Z,01 Jan 15:00,0,0,0,0,0,10,0,0,0,0,0,0,22,0,10447,0,0,0,2,1,0.0,0,321,605,284,40,True,0,0
