assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
0,0,0,0,0.0,658,173,0,0,0.0,0.0,2021-12-18T17:30:00Z,0,1,0,0,0,0,18,0,0,4,1,0.0,0,0,0,0,45,True,0,,,,,
0,0,0,0,0.0,658,206,0,0,0.0,0.0,2022-01-02T14:00:00Z,0,5,0,0,0,0,21,0,296,1,3,0.0,0,39,92,53,45,True,0,,,,,
0,0,0,0,0.0,658,219,0,0,0.0,0.0,2022-01-16T14:00:00Z,0,19,0,0,0,0,22,0,414,3,2,0.0,0,55,115,60,45,False,0,,,,,
0,0,0,0,0.0,658,226,0,0,0.0,0.0,2022-01-22T15:00:00Z,0,14,0,0,0,0,23,0,450,1,0,0.0,0,45,98,53,45,True,0,,,,,
0,0,0,0,0.0,658,231,0,0,0.0,0.0,2022-02-09T20:00:00Z,0,2,0,0,0,0,24,0,541,3,3,0.0,0,38,86,48,45,False,0,,,,,
0,0,0,0,0.0,658,244,0,0,0.0,0.0,2022-02-12T15:00:00Z,0,8,0,0,0,0,25,0,604,0,3,0.0,0,41,93,52,45,False,0,,,,,
0,0,0,0,0.0,658,255,0,0,0.0,0.0,2022-02-20T14:00:00Z,0,13,0,0,0,0,26,0,717,4,2,0.0,0,61,137,76,45,True,0,,,,,
0,0,0,0,0.0,658,184,0,0,0.0,0.0,2022-02-23T19:45:00Z,0,11,0,0,0,0,26,0,717,0,6,0.0,0,61,137,76,45,False,0,,,,,
0,0,0,0,0.0,658,267,0,0,0.0,0.0,2022-02-26T12:30:00Z,0,17,0,0,0,0,27,0,753,4,0,0.0,0,28,97,69,45,True,0,,,,,
0,0,0,0,0.0,658,273,0,0,0.0,0.0,2022-03-05T12:30:00Z,0,9,0,0,0,0,28,0,774,0,1,0.0,0,12,76,64,45,False,0,,,,,
0,0,0,0,0.0,658,196,0,0,0.0,0.0,2022-03-10T19:45:00Z,0,2,0,0,0,0,28,0,774,3,0,0.0,0,12,76,64,45,True,0,,,,,
0,0,0,0,0.0,658,287,0,0,0.0,0.0,2022-03-13T14:00:00Z,0,15,0,0,0,0,29,0,815,1,2,0.0,0,19,104,85,45,True,0,,,,,
0,0,0,0,0.0,658,300,0,0,0.0,0.0,2022-03-18T20:00:00Z,0,20,0,0,0,0,30,0,891,3,2,0.0,0,31,84,53,45,False,0,,,,,
0,0,0,0,0.0,658,305,0,0,0.0,0.0,2022-04-02T14:00:00Z,0,16,0,0,0,0,31,0,910,1,1,0.0,0,11,74,63,45,True,0,,,,,
0,0,0,0,0.0,658,320,0,0,0.0,0.0,2022-04-09T14:00:00Z,0,18,0,0,0,0,32,0,922,3,0,0.0,0,-11,33,44,45,False,0,,,,,
0,0,0,0,0.0,658,336,0,0,0.0,0.0,2022-04-25T19:00:00Z,0,7,0,0,0,0,34,0,1006,0,0,0.0,0,17,51,34,45,False,0,,,,,
