assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
0,0,0,0,0.0,481,4,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,16,0,0,0,0,1,0,153135,1,3,0.0,0,0,0,0,40,True,0,,,,,
0,0,0,0,0.0,481,14,0,0,0.0,0.0,2021-08-21T14:00:00Z,0,10,0,0,0,0,2,0,177071,2,2,0.0,0,4443,8736,4293,40,False,0,,,,,
0,0,0,0,0.0,481,22,0,0,0.0,0.0,2021-08-28T14:00:00Z,0,4,0,0,0,0,3,0,199118,2,0,0.0,0,14563,21153,6590,40,False,0,,,,,
0,0,0,0,0.0,481,35,0,0,0.0,0.0,2021-09-13T19:00:00Z,0,5,0,0,0,0,4,0,266045,1,3,0.0,0,53527,82304,28777,40,True,0,,,,,
0,0,9,0,0.0,481,41,3,0,1.0,10.4,2021-09-18T16:30:00Z,90,2,0,0,0,0,5,1,277894,0,3,0.0,1,11391,21842,10451,40,False,0,,,,,
0,0,0,0,0.0,481,55,0,0,0.0,0.0,2021-09-25T14:00:00Z,0,15,0,0,0,0,6,0,305777,0,2,0.0,0,21909,32952,11043,40,True,0,,,,,
0,0,0,0,0.0,481,67,0,0,0.0,0.0,2021-10-02T11:30:00Z,0,13,0,0,0,0,7,0,297579,1,1,0.0,0,-6498,6083,12581,40,False,0,,,,,
0,0,0,0,0.0,481,74,0,0,0.0,0.0,2021-10-17T13:00:00Z,0,19,0,0,0,0,8,0,291458,1,0,0.0,0,-7529,4110,11639,40,True,0,,,,,
0,0,0,0,0.0,481,86,0,0,0.0,0.0,2021-10-23T14:00:00Z,0,18,0,0,0,0,9,0,288300,5,2,0.0,0,-3773,2742,6515,40,True,0,,,,,
0,0,0,0,0.0,481,100,0,0,0.0,0.0,2021-11-01T20:00:00Z,0,20,0,0,0,0,10,0,284923,1,2,0.0,0,-4276,2641,6917,40,False,0,,,,,
0,0,0,0,0.0,481,106,0,0,0.0,0.0,2021-11-07T14:00:00Z,0,17,0,0,0,0,11,0,283585,0,0,0.0,0,-2313,2487,4800,40,True,0,,,,,
0,0,0,0,0.0,481,115,0,0,0.0,0.0,2021-11-21T14:00:00Z,0,12,0,0,0,0,12,0,277214,0,3,0.0,0,-6938,2630,9568,40,False,0,,,,,
0,0,0,0,0.0,481,122,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,3,0,0,0,0,13,0,274634,0,1,0.0,0,-2988,1288,4276,40,False,0,,,,,
0,0,0,0,0.0,481,132,0,0,0.0,0.0,2021-12-01T20:15:00Z,0,11,0,0,0,0,14,0,273711,4,1,0.0,0,-1245,1464,2709,40,True,0,,,,,
0,0,0,0,0.0,481,142,0,0,0.0,0.0,2021-12-06T20:00:00Z,0,1,0,0,0,0,15,0,273742,1,2,0.0,0,-334,2664,2998,40,True,0,,,,,
0,0,0,0,0.0,481,156,0,0,0.0,0.0,2021-12-12T16:30:00Z,0,7,0,0,0,0,16,0,272873,1,3,0.0,0,-1335,2873,4208,40,False,0,,,,,
0,0,0,0,0.0,481,168,0,0,0.0,0.0,2021-12-16T19:45:00Z,0,6,0,0,0,0,17,0,270012,1,1,0.0,0,-2608,1714,4322,40,False,0,,,,,
0,0,0,0,0.0,481,205,0,0,0.0,0.0,2022-01-02T14:00:00Z,0,4,0,0,0,0,21,0,257498,3,2,0.0,0,-4856,2436,7292,40,True,0,,,,,
0,0,0,0,0.0,481,217,0,0,0.0,0.0,2022-01-15T15:00:00Z,0,15,0,0,0,0,22,0,246844,1,2,0.0,0,-8868,2140,11008,40,False,0,,,,,
0,0,0,0,0.0,481,225,0,0,0.0,0.0,2022-01-22T12:30:00Z,0,2,0,0,0,0,23,0,246111,1,0,0.0,0,-5353,631,5984,40,True,0,,,,,
0,0,0,0,0.0,481,239,0,0,0.0,0.0,2022-02-08T19:45:00Z,0,14,0,0,0,0,24,0,241313,1,3,0.0,0,-5126,1005,6131,40,False,0,,,,,
0,0,0,0,0.0,481,244,0,0,0.0,0.0,2022-02-12T15:00:00Z,0,10,0,0,0,0,25,0,235482,0,3,0.0,0,-5677,546,6223,40,True,0,,,,,
0,0,0,0,0.0,481,258,0,0,0.0,0.0,2022-02-19T15:00:00Z,0,16,0,0,0,0,26,0,229104,0,2,0.0,0,-4975,535,5510,40,False,0,,,,,
0,0,0,0,0.0,481,266,0,0,0.0,0.0,2022-02-26T17:30:00Z,0,12,0,0,0,0,27,0,225586,1,0,0.0,0,-2984,402,3386,40,True,0,,,,,
0,0,0,0,0.0,481,278,0,0,0.0,0.0,2022-03-07T20:00:00Z,0,17,0,0,0,0,28,0,221848,0,5,0.0,0,-5534,406,5940,40,False,0,,,,,
0,0,0,0,0.0,481,286,0,0,0.0,0.0,2022-03-13T14:00:00Z,0,20,0,0,0,0,29,0,219614,1,0,0.0,0,-2815,683,3498,40,True,0,,,,,
0,3,34,1,0.0,481,195,0,0,4.3,42.6,2022-03-17T19:45:00Z,90,14,0,0,0,0,29,6,219614,0,1,0.0,11,-2815,683,3498,40,True,0,,,,,
0,0,0,0,0.0,481,309,0,0,0.0,0.0,2022-04-03T13:00:00Z,0,19,0,0,0,0,31,0,225576,1,2,0.0,0,4781,7673,2892,40,False,0,,,,,
