assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,563,129,0,0,0.0,0.0,2019-11-23T15:00:00Z,0,5,0,0,0,0,13,0,0,3,0,0.0,0,0,0,0,45,True,0
0,0,0,0,0.0,563,138,0,0,0.0,0.0,2019-11-30T17:30:00Z,0,16,0,0,0,0,14,0,103,1,2,0.0,0,51,74,23,45,False,0
0,0,0,0,0.0,563,143,0,0,0.0,0.0,2019-12-04T19:30:00Z,0,9,0,0,0,0,15,0,152,0,2,0.0,0,23,46,23,45,False,0
0,0,0,0,0.0,563,159,0,0,0.0,0.0,2019-12-07T15:00:00Z,0,7,0,0,0,0,16,0,173,0,0,0.0,0,4,39,35,45,True,0
0,0,0,0,0.0,563,166,0,0,0.0,0.0,2019-12-14T12:30:00Z,0,10,0,0,0,0,17,0,221,0,2,0.0,0,10,43,33,45,False,0
0,0,0,0,0.0,563,179,0,0,0.0,0.0,2019-12-22T14:00:00Z,0,12,0,0,0,0,18,0,266,0,2,0.0,0,-1,39,40,45,True,0
0,0,0,0,0.0,563,188,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,15,0,0,0,0,19,0,355,1,1,0.0,0,49,74,25,45,False,0
0,0,0,0,0.0,563,199,0,0,0.0,0.0,2019-12-28T15:00:00Z,0,2,0,0,0,0,20,0,414,0,3,0.0,0,46,88,42,45,True,0
0,0,0,0,0.0,563,209,0,0,0.0,0.0,2020-01-01T15:00:00Z,0,20,0,0,0,0,21,0,422,1,2,0.0,0,-1,85,86,45,True,0
0,0,0,0,0.0,563,212,0,0,0.0,0.0,2020-01-12T14:00:00Z,0,3,0,0,0,0,22,0,445,3,0,0.0,0,-9,50,59,45,False,0
0,0,0,0,0.0,563,229,0,0,0.0,0.0,2020-01-18T12:30:00Z,0,17,0,0,0,0,23,0,513,0,0,0.0,0,21,71,50,45,True,0
0,0,0,0,0.0,563,231,0,0,0.0,0.0,2020-01-21T19:30:00Z,0,2,0,0,0,0,24,0,583,1,2,0.0,0,37,78,41,45,False,0
0,0,0,0,0.0,563,249,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,8,0,0,0,0,25,0,606,3,2,0.0,0,0,55,55,45,True,0
0,0,0,0,0.0,563,253,0,0,0.0,0.0,2020-02-08T17:30:00Z,0,4,0,0,0,0,26,0,631,1,1,0.0,0,21,45,24,45,False,0
0,0,0,0,0.0,563,267,0,0,0.0,0.0,2020-02-23T14:00:00Z,0,12,0,0,0,0,27,0,659,0,3,0.0,0,0,52,52,45,False,0
0,0,0,0,0.0,563,279,0,0,0.0,0.0,2020-02-29T17:30:00Z,0,10,0,0,0,0,28,0,870,0,3,0.0,0,53,94,41,45,True,0
