assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
0,17.0,0.0,0.0,0,4,0,0.0,8.0,15.9,1.0,0.0,302,0.0,0.0,10,1.0,2,0,2.9,302.0,8.6,0.0,2017-08-13T12:30:00Z,13 Aug 13:30,0.0,0.0,90,0.0,0.0,17,0,0.0,0,0,5.0,0,1,0,56097,3.0,0.0,0.0,2,0,4.0,2,0,0,0,55,True,0.0,0,,,,,
0,27.0,0.0,1.0,0,1,0,1.0,18.0,12.6,2.0,0.0,302,0.0,0.0,18,0.0,1,0,4.2,813.0,2.8,1.0,2017-08-20T12:30:00Z,20 Aug 13:30,0.0,0.0,79,1.0,0.0,8,0,0.0,0,0,2.0,0,2,0,57981,2.0,0.0,2.0,0,1,27.0,2,-4826,4128,8954,55,False,0.0,0,,,,,
1,25.0,1.0,0.0,0,15,1,1.0,16.0,26.0,1.0,0.0,302,0.0,0.0,26,3.0,0,0,7.7,1329.0,20.8,2.0,2017-08-26T14:00:00Z,26 Aug 15:00,0.0,0.0,90,0.0,0.0,20,0,0.0,0,0,4.0,0,3,0,52147,3.0,0.0,1.0,0,3,30.0,5,-7612,4053,11665,55,True,0.0,0,,,,,
0,29.0,0.0,1.0,0,3,1,2.0,25.0,34.0,0.0,0.0,302,0.0,0.0,39,2.0,0,0,7.5,1860.0,14.6,3.0,2017-09-10T15:00:00Z,10 Sep 16:00,0.0,0.0,90,0.0,0.0,16,0,0.0,0,0,7.0,0,4,0,56817,3.0,0.0,1.0,1,0,26.0,2,1614,9906,8292,55,False,0.0,0,,,,,
0,16.0,0.0,0.0,0,2,0,2.0,9.0,14.4,2.0,0.0,302,0.0,0.0,45,2.0,1,0,6.0,2404.0,17.6,1.0,2017-09-16T14:00:00Z,16 Sep 15:00,0.0,0.0,85,1.0,0.0,15,0,0.0,0,0,4.0,0,5,0,58746,6.0,0.0,0.0,1,2,28.0,2,794,8327,7533,55,True,0.0,0,,,,,
0,41.0,0.0,0.0,0,8,0,2.0,32.0,27.9,0.0,0.0,302,0.0,0.0,59,0.0,1,0,4.8,2950.0,7.8,2.0,2017-09-24T15:00:00Z,24 Sep 16:00,0.0,0.0,90,0.0,0.0,3,0,0.0,0,0,4.0,0,6,0,62337,2.0,0.0,2.0,0,1,12.0,2,2139,11198,9059,55,False,0.0,0,,,,,
0,19.0,0.0,0.0,0,-1,0,0.0,15.0,2.7,1.0,0.0,302,0.0,0.0,70,1.0,1,0,0.3,3500.0,0.0,0.0,2017-10-01T15:30:00Z,01 Oct 16:30,0.0,0.0,90,0.0,0.0,10,0,0.0,0,0,1.0,0,7,0,56374,3.0,0.0,1.0,1,1,1.0,1,-6768,3927,10695,55,True,0.0,1,,,,,
0,14.0,0.0,0.0,2,28,0,3.0,10.0,1.9,1.0,0.0,302,0.0,0.0,77,3.0,1,1,7.7,4054.0,37.4,0.0,2017-10-15T15:00:00Z,15 Oct 16:00,0.0,0.0,62,0.0,0.0,14,0,0.0,0,0,2.0,0,8,0,53348,3.0,1.0,0.0,2,2,38.0,8,-3833,3655,7488,54,False,0.0,0,,,,,
0,8.0,0.0,0.0,0,6,1,1.0,6.0,11.7,0.0,0.0,302,0.0,0.0,85,0.0,0,0,1.8,4611.0,4.6,1.0,2017-10-21T14:00:00Z,21 Oct 15:00,0.0,0.0,65,0.0,0.0,6,0,0.0,0,0,3.0,0,9,0,64100,4.0,1.0,0.0,0,1,2.0,2,9932,13649,3717,54,True,0.0,0,,,,,
0,31.0,0.0,0.0,0,11,0,1.0,25.0,26.0,0.0,0.0,302,0.0,0.0,94,0.0,1,0,4.6,5170.0,13.4,2.0,2017-10-30T20:00:00Z,30 Oct 20:00,0.0,0.0,75,1.0,0.0,4,0,0.0,0,0,3.0,0,10,0,64771,1.0,0.0,0.0,0,1,7.0,2,-92,7288,7380,54,False,0.0,0,,,,,
