assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,23.0,0.0,0.0,0,6,0,3.0,16.0,0.1,0.0,0.0,278,0.0,0.0,6,0.0,1,0,1.7,278.0,10.4,0.0,2016-08-13T14:00:00Z,13 Aug 15:00,0.0,0.0,90,0.0,0.0,14,0,0.0,0,0,0.0,0,1,0,17473,0.0,0.0,1.0,1,1,6.0,2,0,0,0,45,True,0.0,0
0,37.0,0.0,0.0,0,16,0,5.0,33.0,0.3,1.0,0.0,278,0.0,0.0,19,1.0,1,0,1.8,803.0,18.0,0.0,2016-08-21T12:30:00Z,21 Aug 13:30,0.0,0.0,90,0.0,0.0,15,0,0.0,0,0,0.0,0,2,0,19289,0.0,2.0,0.0,2,1,0.0,2,-310,531,841,45,False,0.0,0
0,42.0,0.0,0.0,3,35,1,12.0,40.0,0.3,0.0,0.0,278,0.0,0.0,30,0.0,0,0,3.8,1343.0,38.0,0.0,2016-08-28T12:30:00Z,28 Aug 13:30,0.0,0.0,90,0.0,0.0,19,0,0.0,0,0,3.0,0,3,0,20082,0.0,2.0,0.0,0,0,0.0,9,-64,1239,1303,45,False,0.0,0
0,73.0,0.0,0.0,0,15,0,4.0,68.0,1.5,0.0,0.0,278,0.0,0.0,36,0.0,2,0,3.5,1893.0,26.8,0.0,2016-09-10T14:00:00Z,10 Sep 15:00,0.0,0.0,90,0.0,0.0,5,0,0.0,0,0,5.0,0,4,0,55276,0.0,0.0,0.0,2,1,7.0,1,28359,35961,7602,45,True,0.0,0
0,51.0,0.0,0.0,0,19,0,11.0,45.0,0.2,0.0,0.0,278,0.0,0.0,42,0.0,3,0,2.7,2474.0,27.0,0.0,2016-09-17T16:30:00Z,17 Sep 17:30,0.0,0.0,90,0.0,0.0,6,0,0.0,0,0,8.0,0,5,0,62352,0.0,1.0,0.0,1,3,0.0,1,4979,9470,4491,45,False,0.0,0
0,42.0,0.0,0.0,2,28,0,7.0,38.0,0.3,0.0,0.0,278,0.0,0.0,55,0.0,2,1,7.1,3058.0,54.0,0.0,2016-09-24T14:00:00Z,24 Sep 15:00,0.0,0.0,90,0.0,0.0,17,0,0.0,0,0,3.0,0,6,0,76024,0.0,0.0,0.0,2,1,17.0,9,11370,18057,6687,45,True,0.0,0
0,57.0,0.0,0.0,0,17,0,9.0,52.0,0.6,0.0,0.0,278,0.0,0.0,70,0.0,1,0,2.6,3644.0,25.0,0.0,2016-10-01T14:00:00Z,01 Oct 15:00,0.0,0.0,90,0.0,0.0,20,0,0.0,0,0,3.0,0,7,0,148222,0.0,0.0,0.0,1,1,0.0,2,65227,71088,5861,46,False,0.0,0
0,52.0,0.0,0.0,0,14,0,11.0,46.0,0.5,0.0,0.0,278,0.0,0.0,77,1.0,1,0,2.4,4233.0,22.4,0.0,2016-10-16T12:30:00Z,16 Oct 13:30,0.0,0.0,90,0.0,0.0,18,0,0.0,0,0,6.0,0,8,0,161466,1.0,0.0,1.0,1,0,1.0,2,10270,16056,5786,46,True,0.0,0
0,17.0,0.0,0.0,0,24,1,8.0,11.0,0.6,2.0,0.0,278,0.0,0.0,81,0.0,0,0,1.5,4825.0,14.8,0.0,2016-10-22T14:00:00Z,22 Oct 15:00,0.0,0.0,90,0.0,0.0,1,0,0.0,0,0,2.0,0,9,0,160354,0.0,0.0,0.0,0,0,0.0,6,-2173,5664,7837,46,False,0.0,0
0,23.0,0.0,0.0,0,20,1,7.0,20.0,0.1,0.0,0.0,278,0.0,0.0,94,1.0,0,0,2.0,5419.0,19.4,0.0,2016-10-29T14:00:00Z,29 Oct 15:00,0.0,0.0,90,0.0,0.0,2,0,0.0,0,0,2.0,0,10,0,167647,0.0,0.0,0.0,0,2,0.0,6,6037,9143,3106,46,True,0.0,0
0,18.0,0.0,0.0,0,11,0,10.0,15.0,0.1,0.0,0.0,278,0.0,0.0,108,0.0,1,0,1.5,6017.0,15.2,0.0,2016-11-05T15:00:00Z,05 Nov 15:00,0.0,0.0,90,0.0,0.0,10,0,0.0,0,0,2.0,0,11,0,204928,0.0,0.0,0.0,1,1,0.0,2,33556,39228,5672,46,False,0.0,0
0,55.0,0.0,0.0,0,20,0,15.0,48.0,0.6,2.0,0.0,278,0.0,0.0,114,0.0,1,0,3.1,6616.0,30.4,0.0,2016-11-20T16:00:00Z,20 Nov 16:00,0.0,0.0,90,0.0,0.0,4,0,0.0,0,0,4.0,0,12,0,272708,0.0,0.0,0.0,1,0,0.0,2,62081,69280,7199,47,True,0.0,0
0,64.0,0.0,0.0,0,12,0,4.0,53.0,0.3,0.0,0.0,278,0.0,0.0,125,0.0,2,0,1.5,7217.0,10.8,0.0,2016-11-26T15:00:00Z,26 Nov 15:00,0.0,0.0,90,0.0,0.0,8,0,0.0,0,0,2.0,0,13,0,289982,0.0,0.0,0.0,2,2,4.0,1,15385,20788,5403,47,False,0.0,0
0,80.0,0.0,0.0,2,31,1,5.0,72.0,11.8,0.0,0.0,278,0.0,0.0,135,0.0,0,0,3.6,7821.0,21.8,1.0,2016-12-05T20:00:00Z,05 Dec 20:00,0.0,0.0,90,0.0,0.0,7,0,0.0,0,0,5.0,0,14,0,315656,1.0,2.0,0.0,0,1,2.0,8,23531,30163,6632,48,True,0.0,0
0,48.0,0.0,0.0,0,12,0,10.0,38.0,0.8,0.0,0.0,278,0.0,0.0,150,1.0,1,0,2.3,8426.0,18.2,0.0,2016-12-11T14:15:00Z,11 Dec 14:15,0.0,0.0,90,0.0,0.0,13,0,0.0,0,0,5.0,0,15,0,336675,1.0,0.0,0.0,0,1,4.0,2,18319,25911,7592,48,False,0.0,0
0,51.0,0.0,0.0,0,4,0,1.0,40.0,0.3,0.0,0.0,278,0.0,0.0,158,1.0,3,0,3.3,9036.0,9.6,0.0,2016-12-14T19:45:00Z,14 Dec 19:45,0.0,0.0,90,0.0,0.0,9,0,0.0,0,0,5.0,0,16,0,343083,1.0,0.0,0.0,3,0,23.0,0,4945,11812,6867,48,True,0.0,1
0,42.0,0.0,0.0,2,29,1,15.0,30.0,0.2,0.0,0.0,278,0.0,0.0,165,0.0,0,0,4.5,9650.0,36.6,0.0,2016-12-17T15:00:00Z,17 Dec 15:00,0.0,0.0,90,0.0,0.0,16,0,0.0,0,0,2.0,0,17,0,348220,1.0,2.0,1.0,0,3,8.0,8,3768,14618,10850,48,True,0.0,0
0,37.0,0.0,0.0,0,11,0,6.0,24.0,0.2,0.0,0.0,278,0.0,0.0,172,0.0,1,0,1.4,10266.0,14.2,0.0,2016-12-26T15:00:00Z,26 Dec 15:00,0.0,0.0,90,0.0,0.0,3,0,0.0,0,0,6.0,0,18,0,383085,0.0,0.0,0.0,0,1,0.0,2,31188,36713,5525,49,False,0.0,0
0,30.0,0.0,0.0,0,16,0,13.0,24.0,0.1,0.0,0.0,278,0.0,0.0,187,0.0,2,0,3.3,10884.0,30.6,0.0,2016-12-31T15:00:00Z,31 Dec 15:00,0.0,0.0,90,0.0,0.0,11,0,0.0,0,0,2.0,0,19,0,382281,0.0,0.0,0.0,1,2,2.0,1,-2378,10456,12834,49,False,0.0,0
