assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,14.0,0.0,0.0,0,3,0,0.0,12.0,3.3,0.0,0.0,256,0.0,0.0,2,0.0,0,0,0.4,256.0,0.4,0.0,2017-08-12T16:30:00Z,12 Aug 17:30,0.0,0.0,7,0.0,0.0,3,0,0.0,0,0,0.0,0,1,0,91243,0.0,0.0,0.0,2,0,0.0,1,0,0,0,80,False,0.0,0
0,18.0,0.0,0.0,0,10,0,0.0,17.0,3.8,2.0,0.0,256,0.0,0.0,20,0.0,0,0,1.9,767.0,7.4,0.0,2017-08-21T19:00:00Z,21 Aug 20:00,0.0,0.0,21,0.0,0.0,7,0,0.0,0,0,2.0,0,2,0,75610,0.0,3.0,1.0,1,1,8.0,1,-23777,2670,26447,79,True,0.0,0
0,36.0,0.0,0.0,0,11,0,1.0,29.0,21.3,2.0,0.0,256,0.0,0.0,21,1.0,1,0,6.2,1283.0,12.0,1.0,2017-08-26T11:30:00Z,26 Aug 12:30,0.0,0.0,65,0.0,0.0,2,0,0.0,0,0,4.0,0,3,0,56939,4.0,1.0,0.0,2,1,29.0,2,-20521,2523,23044,78,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,256,0.0,0.0,35,0.0,0,0,0.0,1814.0,0.0,0.0,2017-09-09T11:30:00Z,09 Sep 12:30,0.0,0.0,0,0.0,0.0,10,0,0.0,0,0,0.0,0,4,0,51623,0.0,0.0,0.0,0,5,0.0,0,-8121,4590,12711,78,True,0.0,0
0,25.0,0.0,0.0,0,4,0,1.0,24.0,14.8,0.0,0.0,256,0.0,0.0,47,0.0,0,0,2.3,2358.0,8.4,1.0,2017-09-16T14:00:00Z,16 Sep 15:00,0.0,0.0,25,0.0,0.0,18,0,0.0,0,0,1.0,0,5,0,44073,0.0,0.0,0.0,6,0,0.0,1,-8314,1557,9871,77,False,0.0,0
0,22.0,0.0,0.0,0,2,0,0.0,21.0,12.8,0.0,0.0,256,0.0,0.0,54,0.0,0,0,2.0,2904.0,3.6,1.0,2017-09-23T14:00:00Z,23 Sep 15:00,0.0,0.0,29,0.0,0.0,6,0,0.0,0,0,1.0,0,6,0,37877,2.0,0.0,0.0,0,5,4.0,1,-6935,1124,8059,76,True,0.0,0
0,15.0,0.0,0.0,0,5,0,0.0,12.0,11.8,0.0,0.0,256,0.0,0.0,62,0.0,0,0,1.9,3454.0,5.0,1.0,2017-09-30T16:30:00Z,30 Sep 17:30,0.0,0.0,14,0.0,0.0,5,0,0.0,0,0,1.0,0,7,0,33715,1.0,1.0,0.0,1,0,2.0,1,-4731,677,5408,76,False,0.0,0
0,23.0,0.0,0.0,0,21,0,0.0,20.0,2.9,0.0,0.0,256,0.0,0.0,76,0.0,0,1,5.6,4008.0,33.8,0.0,2017-10-14T14:00:00Z,14 Oct 15:00,0.0,0.0,27,0.0,0.0,15,0,0.0,0,0,1.0,0,8,0,32238,0.0,0.0,0.0,2,7,19.0,6,-2184,810,2994,75,True,0.0,0
1,58.0,0.0,2.0,0,22,1,0.0,53.0,19.5,5.0,0.0,256,0.0,0.0,84,0.0,0,0,6.3,4565.0,12.4,1.0,2017-10-21T14:00:00Z,21 Oct 15:00,0.0,0.0,90,0.0,0.0,4,0,0.0,0,0,3.0,0,9,0,32737,1.0,1.0,1.0,0,3,31.0,6,96,1250,1154,75,True,0.0,0
0,58.0,0.0,0.0,0,11,0,0.0,52.0,32.9,1.0,0.0,256,0.0,0.0,100,0.0,1,0,5.0,5124.0,8.8,1.0,2017-10-28T14:00:00Z,28 Oct 15:00,0.0,0.0,60,0.0,0.0,19,0,0.0,0,0,5.0,0,10,0,33891,2.0,0.0,0.0,3,2,8.0,2,529,2113,1584,75,False,0.0,0
