assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
0,0,4,0,0.9,458,5,0,0,0.4,3.4,2021-08-14T14:00:00Z,28,20,0,0,0,0,1,0,7397,0,1,0.0,1,0,0,0,50,True,0,,,,,
0,0,4,0,0.1,458,20,1,0,0.1,1.0,2021-08-23T19:00:00Z,9,19,0,0,0,0,2,0,7290,1,4,0.0,1,-973,332,1305,50,False,0,,,,,
0,0,0,0,0.0,458,26,0,0,0.0,0.0,2021-08-28T14:00:00Z,0,15,0,0,0,0,3,0,6574,2,1,0.0,0,-1000,324,1324,49,False,0,,,,,
0,0,0,0,0.0,458,37,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,12,0,0,0,0,4,0,6007,1,0,0.0,0,-904,681,1585,49,True,0,,,,,
0,0,11,0,3.8,458,42,2,0,1.7,6.4,2021-09-19T13:00:00Z,74,4,0,0,0,0,5,0,5694,1,2,7.0,2,-522,340,862,49,False,0,,,,,
0,0,16,0,25.8,458,57,2,0,4.4,6.8,2021-09-25T14:00:00Z,61,5,0,0,0,0,6,0,5645,2,2,11.0,2,-209,378,587,48,True,0,,,,,
0,0,6,0,0.3,458,64,2,0,0.6,6.0,2021-10-03T13:00:00Z,30,7,0,0,0,0,7,0,5902,2,2,0.0,1,96,594,498,48,False,0,,,,,
0,0,11,0,2.5,458,75,2,0,0.9,6.2,2021-10-16T14:00:00Z,90,13,0,0,0,0,8,0,6063,2,4,0.0,2,5,618,613,48,True,0,,,,,
0,0,8,0,1.3,458,82,1,0,2.6,17.2,2021-10-24T13:00:00Z,90,3,0,0,0,0,9,0,6756,2,1,7.0,2,534,1073,539,48,False,0,,,,,
0,0,10,0,3.3,458,93,2,0,1.0,6.8,2021-10-30T11:30:00Z,90,1,0,0,0,0,10,0,7177,2,0,0.0,2,224,1114,890,48,True,0,,,,,
1,1,21,0,21.8,458,107,1,0,5.6,31.0,2021-11-07T14:00:00Z,90,10,0,0,0,0,11,0,7085,1,1,3.0,6,-211,456,667,48,False,0,,,,,
0,0,5,0,1.4,458,113,3,0,0.8,7.0,2021-11-20T12:30:00Z,74,6,0,0,0,0,12,0,9406,3,0,0.0,2,1914,2672,758,48,True,0,,,,,
0,0,12,0,12.9,458,127,2,0,3.2,19.0,2021-11-28T14:00:00Z,90,18,0,0,0,0,13,0,11222,2,4,0.0,2,1694,2767,1073,48,True,0,,,,,
0,0,5,0,1.1,458,139,2,0,0.8,4.8,2021-12-01T19:30:00Z,45,16,0,0,0,0,14,0,12989,2,2,2.0,1,1631,2543,912,48,False,0,,,,,
0,0,0,0,0.0,458,141,0,0,0.0,0.0,2021-12-05T16:30:00Z,0,2,0,0,0,0,15,0,12470,1,2,0.0,0,-514,1005,1519,48,False,0,,,,,
0,0,10,1,2.1,458,157,0,0,0.8,6.2,2021-12-12T14:00:00Z,84,14,0,0,0,0,16,0,11418,0,4,0.0,3,-1038,376,1414,48,True,0,,,,,
0,0,0,0,0.0,458,185,0,0,0.0,0.0,2021-12-26T15:00:00Z,0,12,0,0,0,0,19,0,9451,3,6,0.0,0,-521,202,723,48,False,0,,,,,
0,0,10,1,1.3,458,197,0,0,1.0,7.4,2021-12-28T20:00:00Z,90,11,0,0,0,0,20,0,9251,0,1,1.0,3,-274,111,385,48,True,0,,,,,
0,0,3,0,0.1,458,166,2,0,0.0,0.2,2022-01-19T19:30:00Z,2,17,0,0,0,0,22,0,8511,3,2,0.0,1,-669,313,982,48,True,0,,,,,
0,0,4,0,0.9,458,227,1,0,0.3,1.8,2022-01-23T14:00:00Z,12,4,0,0,0,0,23,0,8243,1,1,0.0,1,-413,62,475,48,True,0,,,,,
0,0,3,0,1.9,458,237,1,0,1.2,3.2,2022-02-10T19:45:00Z,59,11,0,0,0,0,24,0,8039,0,2,7.0,1,-259,54,313,48,False,0,,,,,
0,0,0,0,0.0,458,245,0,0,0.0,0.0,2022-02-13T16:30:00Z,0,19,0,0,0,0,25,0,7853,2,2,0.0,0,-200,62,262,48,True,0,,,,,
0,0,0,0,0.0,458,260,0,0,0.0,0.0,2022-02-20T16:30:00Z,0,20,0,0,0,0,26,0,7630,1,2,0.0,0,-194,31,225,48,False,0,,,,,
