assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,51.0,0.0,0.0,0,19,0,3.0,50.0,29.7,1.0,0.0,33,0.0,0.0,9,1.0,3,0,4.6,33.0,16.2,2.0,2016-08-14T12:30:00Z,14 Aug 13:30,0.0,0.0,90,0.0,1.0,11,0,0.0,0,0,4.0,0,1,0,160092,0.0,1.0,0.0,3,1,0.0,1,0,0,0,50,True,0.0,0
0,40.0,0.0,0.0,0,14,0,7.0,33.0,25.5,0.0,0.0,33,0.0,0.0,20,1.0,1,0,4.5,558.0,19.8,2.0,2016-08-21T15:00:00Z,21 Aug 16:00,0.0,0.0,90,0.0,1.0,20,0,0.0,0,0,4.0,0,2,0,153657,2.0,0.0,0.0,0,1,0.0,2,-8596,897,9493,50,False,0.0,0
0,33.0,0.0,0.0,0,6,0,2.0,25.0,6.7,0.0,0.0,33,0.0,0.0,22,1.0,1,0,2.0,1098.0,5.8,0.0,2016-08-27T14:00:00Z,27 Aug 15:00,0.0,0.0,90,0.0,1.0,5,0,1.0,0,0,3.0,0,3,0,139863,0.0,0.0,1.0,1,1,7.0,2,-14404,654,15058,50,False,0.0,0
0,35.0,0.0,0.0,2,33,1,6.0,29.0,16.5,4.0,0.0,33,0.0,0.0,32,0.0,0,0,3.8,1648.0,17.8,1.0,2016-09-10T14:00:00Z,10 Sep 15:00,0.0,0.0,90,0.0,1.0,19,0,0.0,0,0,3.0,0,4,0,127721,1.0,1.0,0.0,0,1,4.0,8,-12604,1273,13877,50,True,0.0,0
0,34.0,0.0,0.0,0,9,0,2.0,23.0,6.2,0.0,0.0,33,0.0,0.0,45,0.0,4,0,2.0,2229.0,10.2,0.0,2016-09-17T14:00:00Z,17 Sep 15:00,0.0,0.0,90,0.0,0.0,10,0,0.0,0,0,7.0,0,5,0,124828,4.0,2.0,0.0,0,4,4.0,0,-3564,1660,5224,50,False,0.0,0
0,43.0,0.0,0.0,0,21,1,5.0,36.0,17.1,1.0,0.0,33,0.0,0.0,52,1.0,0,0,3.7,2813.0,12.8,1.0,2016-09-24T14:00:00Z,24 Sep 15:00,0.0,0.0,90,0.0,1.0,6,0,0.0,0,0,5.0,0,6,0,116330,2.0,0.0,1.0,0,1,7.0,5,-8798,1318,10116,49,True,0.0,1
0,36.0,0.0,0.0,0,16,0,3.0,30.0,3.1,0.0,0.0,33,0.0,0.0,69,0.0,2,0,1.5,3399.0,12.0,0.0,2016-10-01T14:00:00Z,01 Oct 15:00,0.0,0.0,90,0.0,0.0,18,0,0.0,0,0,2.0,0,7,0,116624,1.0,3.0,0.0,2,2,0.0,1,-276,4025,4301,49,False,0.0,0
1,49.0,0.0,0.0,2,42,0,6.0,42.0,24.2,2.0,0.0,33,0.0,0.0,72,0.0,1,1,13.1,3988.0,67.4,2.0,2016-10-15T14:00:00Z,15 Oct 15:00,0.0,0.0,90,0.0,0.0,7,0,0.0,0,0,9.0,0,8,0,114787,1.0,1.0,0.0,1,6,39.0,13,-2334,2179,4513,49,True,0.0,0
0,34.0,0.0,0.0,0,25,1,6.0,26.0,12.3,0.0,0.0,33,0.0,0.0,82,0.0,0,0,6.4,4580.0,18.6,1.0,2016-10-22T11:30:00Z,22 Oct 12:30,0.0,0.0,90,0.0,0.0,17,0,0.0,0,0,5.0,0,9,0,169027,0.0,0.0,0.0,0,0,33.0,6,49220,51820,2600,49,True,0.0,0
0,53.0,1.0,0.0,0,21,0,7.0,47.0,32.3,1.0,0.0,33,0.0,0.0,94,0.0,2,0,6.0,5174.0,19.2,2.0,2016-10-29T14:00:00Z,29 Oct 15:00,0.0,0.0,90,0.0,1.0,12,0,0.0,0,0,8.0,0,10,0,225558,1.0,0.0,0.0,0,2,8.0,1,53030,55319,2289,50,False,0.0,0
