assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,18.0,0.0,0.0,0,1,0,1.0,14.0,8.3,0.0,0.0,122,0.0,0.0,2,1.0,1,0,1.7,122.0,0.0,0.0,2016-08-13T14:00:00Z,13 Aug 15:00,0.0,0.0,90,0.0,0.0,19,0,0.0,0,0,0.0,0,1,0,43933,1.0,0.0,3.0,1,0,13.0,2,0,0,0,60,True,0.0,0
0,20.0,0.0,0.0,0,6,0,6.0,13.0,4.0,0.0,0.0,122,0.0,0.0,16,1.0,1,0,3.3,647.0,18.0,0.0,2016-08-20T14:00:00Z,20 Aug 15:00,0.0,0.0,90,0.0,0.0,17,0,0.0,0,0,1.0,0,2,0,39373,2.0,0.0,0.0,0,1,11.0,2,-6573,1085,7658,60,False,0.0,0
0,17.0,0.0,0.0,0,5,0,1.0,14.0,7.3,1.0,0.0,122,0.0,0.0,22,1.0,1,0,2.0,1187.0,0.2,0.0,2016-08-27T14:00:00Z,27 Aug 15:00,0.0,0.0,65,0.0,1.0,2,0,0.0,0,0,1.0,0,3,0,34011,1.0,0.0,1.0,1,1,12.0,2,-6300,3383,9683,59,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,122,0.0,0.0,36,0.0,0,0,0.0,1737.0,0.0,0.0,2016-09-10T14:00:00Z,10 Sep 15:00,0.0,0.0,0,0.0,0.0,12,0,0.0,0,0,0.0,0,4,0,27786,0.0,0.0,0.0,2,1,0.0,0,-6770,1273,8043,58,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,122,0.0,0.0,47,0.0,0,0,0.0,2318.0,0.0,0.0,2016-09-18T13:15:00Z,18 Sep 14:15,0.0,0.0,0,0.0,0.0,14,0,0.0,0,0,0.0,0,5,0,21007,0.0,0.0,0.0,1,4,0.0,0,-6864,214,7078,58,True,0.0,0
0,6.0,0.0,0.0,0,2,0,0.0,5.0,2.0,0.0,0.0,122,0.0,0.0,57,0.0,0,0,0.6,2902.0,0.0,0.0,2016-09-24T14:00:00Z,24 Sep 15:00,0.0,0.0,18,0.0,0.0,15,0,0.0,0,0,0.0,0,6,0,18487,0.0,0.0,1.0,3,2,6.0,1,-2666,678,3344,57,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,122,0.0,0.0,62,0.0,0,0,0.0,3488.0,0.0,0.0,2016-09-30T19:00:00Z,30 Sep 20:00,0.0,0.0,0,0.0,0.0,6,0,0.0,0,0,0.0,0,7,0,17565,0.0,0.0,0.0,1,1,0.0,0,-1054,603,1657,57,False,0.0,0
0,4.0,0.0,1.0,0,-3,0,0.0,4.0,0.3,0.0,0.0,122,0.0,0.0,74,2.0,0,0,3.5,4077.0,1.2,0.0,2016-10-15T16:30:00Z,15 Oct 17:30,0.0,0.0,21,0.0,0.0,20,0,0.0,0,0,0.0,0,8,0,16567,1.0,0.0,0.0,1,0,33.0,1,-1150,406,1556,56,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,122,0.0,0.0,86,0.0,0,0,0.0,4669.0,0.0,0.0,2016-10-22T14:00:00Z,22 Oct 15:00,0.0,0.0,0,0.0,0.0,8,0,0.0,0,0,0.0,0,9,0,16325,0.0,0.0,0.0,1,3,0.0,0,-354,516,870,56,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,122,0.0,0.0,91,0.0,0,0,0.0,5263.0,0.0,0.0,2016-10-29T16:30:00Z,29 Oct 17:30,0.0,0.0,0,0.0,0.0,9,0,0.0,0,0,0.0,0,10,0,15809,0.0,0.0,0.0,4,2,0.0,0,-589,232,821,56,True,0.0,0
0,9.0,0.0,0.0,0,26,0,1.0,7.0,7.8,0.0,0.0,122,0.0,0.0,103,2.0,1,1,5.9,5861.0,34.4,0.0,2016-11-05T15:00:00Z,05 Nov 15:00,0.0,0.0,32,0.0,1.0,3,0,0.0,0,0,0.0,0,11,0,15267,0.0,0.0,0.0,2,3,17.0,5,-623,320,943,56,False,0.0,0
0,11.0,0.0,0.0,0,20,0,3.0,8.0,3.8,0.0,0.0,122,0.0,1.0,111,2.0,1,1,5.5,6460.0,30.2,0.0,2016-11-19T15:00:00Z,19 Nov 15:00,0.0,0.0,45,1.0,0.0,10,0,0.0,0,0,0.0,0,12,0,16690,1.0,0.0,0.0,2,1,21.0,4,1157,1833,676,56,True,0.0,1
