assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,23.0,0.0,0.0,0,13,0,9.0,14.0,0.2,0.0,0.0,408,0.0,0.0,7,0.0,1,0,2.0,408.0,16.2,0.0,2016-08-13T14:00:00Z,13 Aug 15:00,0.0,0.0,90,0.0,0.0,13,0,0.0,0,0,4.0,0,1,0,19870,0.0,1.0,0.0,1,1,4.0,2,0,0,0,45,False,0.0,0
0,29.0,0.0,0.0,0,13,0,13.0,25.0,0.6,0.0,0.0,408,0.0,0.0,17,0.0,2,0,2.4,933.0,23.4,0.0,2016-08-20T14:00:00Z,20 Aug 15:00,0.0,0.0,90,0.0,0.0,4,0,0.0,0,0,3.0,0,2,0,21010,0.0,0.0,0.0,2,1,0.0,1,-396,640,1036,45,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,408,0.0,0.0,28,0.0,0,0,0.0,1473.0,0.0,0.0,2016-08-27T14:00:00Z,27 Aug 15:00,0.0,0.0,0,0.0,0.0,1,0,0.0,0,0,0.0,0,3,0,20564,0.0,0.0,0.0,3,1,0.0,0,-956,694,1650,45,True,0.0,0
0,22.0,0.0,0.0,0,8,0,2.0,20.0,0.3,0.0,0.0,408,0.0,0.0,38,2.0,2,0,1.0,2023.0,9.4,0.0,2016-09-10T14:00:00Z,10 Sep 15:00,0.0,0.0,90,0.0,0.0,20,0,0.0,0,0,2.0,0,4,0,17359,0.0,3.0,0.0,4,2,0.0,0,-3274,106,3380,45,False,0.0,1
0,17.0,0.0,0.0,0,13,0,8.0,12.0,24.4,0.0,0.0,408,0.0,0.0,50,1.0,1,0,4.6,2604.0,18.0,2.0,2016-09-18T11:00:00Z,18 Sep 12:00,0.0,0.0,90,0.0,1.0,11,0,0.0,0,0,3.0,0,5,0,16620,0.0,0.0,0.0,1,3,4.0,2,-795,124,919,45,True,0.0,0
0,29.0,0.0,0.0,0,4,0,2.0,23.0,0.4,0.0,0.0,408,0.0,0.0,60,0.0,1,0,0.9,3188.0,8.2,0.0,2016-09-26T19:00:00Z,26 Sep 20:00,0.0,0.0,45,0.0,0.0,3,0,0.0,0,0,2.0,0,6,0,17030,0.0,0.0,0.0,0,2,0.0,1,310,1403,1093,45,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,408,0.0,0.0,69,0.0,0,0,0.0,3774.0,0.0,0.0,2016-10-01T14:00:00Z,01 Oct 15:00,0.0,0.0,0,0.0,0.0,2,0,0.0,0,0,0.0,0,7,0,16533,0.0,0.0,0.0,2,2,0.0,0,-570,478,1048,45,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,408,0.0,0.0,77,0.0,0,0,0.0,4363.0,0.0,0.0,2016-10-16T12:30:00Z,16 Oct 13:30,0.0,0.0,0,0.0,0.0,12,0,0.0,0,0,0.0,0,8,0,14285,0.0,0.0,0.0,1,0,0.0,0,-2254,18,2272,45,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,408,0.0,0.0,89,0.0,0,0,0.0,4955.0,0.0,0.0,2016-10-22T14:00:00Z,22 Oct 15:00,0.0,0.0,0,0.0,0.0,16,0,0.0,0,0,0.0,0,9,0,12851,0.0,0.0,0.0,0,0,0.0,0,-1438,12,1450,44,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,408,0.0,0.0,99,0.0,0,0,0.0,5549.0,0.0,0.0,2016-10-29T14:00:00Z,29 Oct 15:00,0.0,0.0,0,0.0,0.0,7,0,0.0,0,0,0.0,0,10,0,11758,0.0,0.0,0.0,0,1,0.0,0,-1094,9,1103,44,True,0.0,0
