assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,302,0,0,7,0,0,0,0.0,302,0.0,0,2016-08-13T14:00:00Z,13 Aug 15:00,0,0,0,0,0,18,0,0,0,0,0,0,1,0,5171,0,0,0,1,1,0.0,0,0,0,0,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,302,0,0,11,0,0,0,0.0,827,0.0,0,2016-08-19T19:00:00Z,19 Aug 20:00,0,0,0,0,0,11,0,0,0,0,0,0,2,0,4818,0,0,0,0,2,0.0,0,-758,29,787,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,302,0,0,26,0,0,0,0.0,1367,0.0,0,2016-08-27T14:00:00Z,27 Aug 15:00,0,0,0,0,0,15,0,0,0,0,0,0,3,0,4426,0,0,0,1,1,0.0,0,-597,169,766,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,302,0,0,31,0,0,0,0.0,1917,0.0,0,2016-09-10T14:00:00Z,10 Sep 15:00,0,0,0,0,0,1,0,0,0,0,0,0,4,0,4024,0,0,0,1,2,0.0,0,-527,71,598,44,False,0,0
0,4,0,0,0,3,0,0,3,0.2,0,0,302,0,0,48,0,0,0,0.0,2498,0.2,0,2016-09-18T13:15:00Z,18 Sep 14:15,0,0,10,0,0,16,0,0,0,0,2,0,5,0,3970,0,0,0,0,1,0.0,1,-114,170,284,44,True,0,0
0,2,0,0,0,3,0,0,1,0.1,0,0,302,0,0,59,0,0,0,0.0,3082,0.0,0,2016-09-25T15:00:00Z,25 Sep 16:00,0,0,2,0,0,20,0,0,0,0,0,0,6,0,4317,0,0,0,3,0,0.0,1,226,643,417,43,False,0,0
0,27,0,0,0,22,1,2,23,11.7,0,0,302,0,0,64,0,0,0,2.3,3668,7.6,0,2016-10-02T13:15:00Z,02 Oct 14:15,0,0,64,0,2,8,0,0,0,0,4,0,7,0,5347,1,1,1,0,0,4.0,6,839,1277,438,43,False,0,0
0,57,0,0,0,9,0,4,47,18.4,0,0,302,0,0,78,2,1,0,3.7,4257,8.8,1,2016-10-16T15:00:00Z,16 Oct 16:00,0,0,90,0,1,3,0,0,0,0,1,0,8,0,12949,2,0,1,1,3,10.0,2,6906,7760,854,43,True,0,0
0,18,0,0,0,10,0,5,13,1.6,0,0,302,0,0,88,0,1,0,0.9,4849,7.6,0,2016-10-23T12:30:00Z,23 Oct 13:30,0,0,90,1,0,10,0,0,0,0,3,0,9,0,16308,0,1,0,1,1,0.0,2,2998,4015,1017,43,False,0,0
0,58,0,0,0,22,0,7,53,29.2,0,0,302,0,0,95,2,2,0,5.4,5443,25.2,2,2016-10-30T16:00:00Z,30 Oct 16:00,0,0,90,0,1,4,0,0,0,0,6,0,10,0,18836,0,2,0,2,0,0.0,1,2246,3182,936,43,True,0,0
