assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,51.0,0.0,0.0,0,9,0,2.0,35.0,3.5,0.0,0.0,301,0.0,0.0,7,1.0,1,0,3.0,301.0,12.6,0.0,2016-08-13T14:00:00Z,13 Aug 15:00,0.0,0.0,78,0.0,0.0,18,0,0.0,0,0,7.0,0,1,0,33568,1.0,1.0,0.0,1,1,14.0,2,0,0,0,50,True,0.0,0
0,56.0,0.0,0.0,0,16,0,2.0,44.0,23.4,0.0,0.0,301,0.0,0.0,11,0.0,2,0,4.5,826.0,19.2,1.0,2016-08-19T19:00:00Z,19 Aug 20:00,0.0,0.0,90,0.0,2.0,11,0,0.0,0,0,8.0,0,2,0,39802,2.0,2.0,0.0,0,2,2.0,1,-583,1811,2394,50,False,0.0,0
0,37.0,0.0,0.0,0,11,0,4.0,29.0,16.9,0.0,0.0,301,0.0,0.0,26,0.0,1,0,4.0,1366.0,16.4,1.0,2016-08-27T14:00:00Z,27 Aug 15:00,0.0,0.0,90,1.0,1.0,15,0,0.0,0,0,4.0,0,3,0,41332,1.0,0.0,0.0,1,1,7.0,2,-999,2560,3559,50,True,0.0,0
0,43.0,0.0,0.0,0,22,0,11.0,31.0,16.9,1.0,0.0,301,0.0,0.0,31,0.0,2,0,5.1,1916.0,34.4,1.0,2016-09-10T14:00:00Z,10 Sep 15:00,0.0,0.0,90,0.0,1.0,1,0,0.0,0,0,4.0,0,4,0,38862,1.0,3.0,0.0,1,2,0.0,1,-3605,924,4529,50,False,0.0,0
0,52.0,0.0,0.0,3,34,1,3.0,43.0,36.7,0.0,0.0,301,0.0,0.0,48,1.0,0,0,6.9,2497.0,25.8,2.0,2016-09-18T13:15:00Z,18 Sep 14:15,0.0,0.0,90,0.0,3.0,16,0,0.0,0,0,7.0,0,5,0,38686,1.0,3.0,0.0,0,1,6.0,9,-819,1410,2229,50,True,0.0,0
0,36.0,1.0,0.0,2,34,1,5.0,27.0,23.9,1.0,0.0,301,0.0,0.0,59,0.0,0,0,4.7,3081.0,16.6,2.0,2016-09-25T15:00:00Z,25 Sep 16:00,0.0,0.0,88,0.0,0.0,20,0,0.0,0,0,6.0,0,6,0,44472,1.0,3.0,1.0,3,0,6.0,8,4304,7291,2987,50,False,0.0,0
0,20.0,0.0,0.0,0,5,0,0.0,17.0,14.7,0.0,0.0,301,0.0,0.0,64,0.0,0,0,2.0,3667.0,5.2,1.0,2016-10-02T13:15:00Z,02 Oct 14:15,0.0,0.0,26,0.0,1.0,8,0,0.0,0,0,1.0,0,7,0,80656,0.0,0.0,0.0,0,0,0.0,1,31479,34849,3370,50,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301,0.0,0.0,78,0.0,0,0,0.0,4256.0,0.0,0.0,2016-10-16T15:00:00Z,16 Oct 16:00,0.0,0.0,0,0.0,0.0,3,0,0.0,0,0,0.0,0,8,0,71257,0.0,0.0,0.0,1,3,0.0,0,-10893,6203,17096,50,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301,0.0,0.0,88,0.0,0,0,0.0,4848.0,0.0,0.0,2016-10-23T12:30:00Z,23 Oct 13:30,0.0,0.0,0,0.0,0.0,10,0,0.0,0,0,0.0,0,9,0,56781,0.0,0.0,0.0,1,1,0.0,0,-14554,234,14788,50,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301,0.0,0.0,95,0.0,0,0,0.0,5442.0,0.0,0.0,2016-10-30T16:00:00Z,30 Oct 16:00,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0,0.0,0,10,0,50542,0.0,0.0,0.0,2,0,0.0,0,-6317,139,6456,49,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301,0.0,0.0,105,0.0,0,0,0.0,6040.0,0.0,0.0,2016-11-06T14:15:00Z,06 Nov 14:15,0.0,0.0,0,0.0,0.0,7,0,0.0,0,0,0.0,0,11,0,44958,0.0,0.0,0.0,1,2,0.0,0,-5626,282,5908,49,False,0.0,0
0,34.0,0.0,0.0,0,22,1,7.0,24.0,15.1,2.0,0.0,301,0.0,0.0,115,2.0,0,0,3.2,6639.0,15.6,1.0,2016-11-19T15:00:00Z,19 Nov 15:00,0.0,0.0,90,0.0,1.0,9,0,0.0,0,0,3.0,0,12,0,42720,0.0,0.0,1.0,0,0,1.0,5,-2331,778,3109,49,True,0.0,1
0,34.0,1.0,0.0,2,33,1,2.0,26.0,43.9,1.0,0.0,301,0.0,0.0,128,0.0,0,0,6.8,7240.0,21.6,3.0,2016-11-27T16:30:00Z,27 Nov 16:30,0.0,0.0,90,0.0,3.0,6,0,0.0,0,0,3.0,0,13,0,50732,3.0,2.0,0.0,0,1,2.0,8,7601,8115,514,49,True,0.0,0
0,40.0,0.0,0.0,0,17,0,5.0,25.0,38.8,0.0,0.0,301,0.0,0.0,132,1.0,3,0,6.8,7844.0,26.6,2.0,2016-12-03T15:00:00Z,03 Dec 15:00,0.0,0.0,90,0.0,4.0,5,0,0.0,0,0,8.0,0,14,0,86570,3.0,3.0,1.0,0,3,3.0,1,34784,35614,830,49,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301,0.0,0.0,150,0.0,0,0,0.0,8449.0,0.0,0.0,2016-12-11T14:15:00Z,11 Dec 14:15,0.0,0.0,0,0.0,0.0,12,0,0.0,0,0,0.0,0,15,0,103088,0.0,0.0,0.0,0,1,0.0,0,15535,17592,2057,50,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301,0.0,0.0,159,0.0,0,0,0.0,9059.0,0.0,0.0,2016-12-14T20:00:00Z,14 Dec 20:00,0.0,0.0,0,0.0,0.0,14,0,0.0,0,0,0.0,0,16,0,98989,0.0,0.0,0.0,0,0,0.0,0,-4322,2614,6936,50,False,0.0,0
0,37.0,0.0,0.0,0,17,0,7.0,31.0,28.0,0.0,0.0,301,0.0,0.0,161,0.0,1,0,6.3,9673.0,30.6,2.0,2016-12-18T13:30:00Z,18 Dec 13:30,0.0,0.0,90,0.0,1.0,2,0,0.0,0,0,0.0,0,17,0,85548,1.0,1.0,0.0,3,1,4.0,2,-13555,850,14405,50,False,0.0,0
0,37.0,0.0,0.0,0,16,0,3.0,21.0,0.8,1.0,0.0,301,0.0,0.0,178,0.0,4,0,2.5,10289.0,14.6,0.0,2016-12-28T19:45:00Z,28 Dec 19:45,0.0,0.0,90,0.0,0.0,17,0,0.0,0,0,9.0,0,18,0,81391,1.0,3.0,0.0,4,1,10.0,0,-4387,1230,5617,49,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301,0.0,0.0,188,0.0,0,0,0.0,10907.0,0.0,0.0,2016-12-31T15:00:00Z,31 Dec 15:00,0.0,0.0,0,0.0,0.0,19,0,0.0,0,0,0.0,0,19,0,81414,0.0,0.0,0.0,2,1,0.0,0,-178,3325,3503,49,True,0.0,0
0,1.0,0.0,0.0,0,2,0,0.0,1.0,0.0,0.0,0.0,301,0.0,0.0,193,0.0,0,0,0.0,11529.0,0.0,0.0,2017-01-02T15:00:00Z,02 Jan 15:00,0.0,0.0,5,0.0,0.0,6,0,0.0,0,0,0.0,0,20,0,73182,1.0,0.0,0.0,0,3,0.0,1,-8327,1522,9849,49,False,0.0,0
0,31.0,0.0,0.0,0,21,0,7.0,24.0,54.8,0.0,0.0,301,0.0,0.0,201,0.0,1,0,8.7,12153.0,29.8,4.0,2017-01-14T15:00:00Z,14 Jan 15:00,0.0,0.0,90,0.0,3.0,3,0,0.0,0,0,4.0,0,21,0,63619,0.0,1.0,0.0,0,1,2.0,2,-9722,3424,13146,48,False,0.0,0
1,52.0,0.0,0.0,3,40,1,4.0,36.0,41.3,1.0,0.0,301,0.0,0.0,218,2.0,0,0,9.8,12784.0,36.6,3.0,2017-01-22T12:00:00Z,22 Jan 12:00,0.0,0.0,90,0.0,2.0,8,0,0.0,0,0,7.0,0,22,0,62600,0.0,3.0,1.0,0,3,20.0,12,-1242,2432,3674,48,True,0.0,0
