assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,43,0.0,0.0,9,0.0,0,0,0.0,43.0,0.0,0.0,2016-08-14T12:30:00Z,14 Aug 13:30,0.0,0.0,0,0.0,0.0,11,0,0.0,0,0,0.0,0,1,0,8026,0.0,0.0,0.0,3,1,0.0,0,0,0,0,50,True,0.0,0
0,4.0,0.0,0.0,0,4,0,0.0,3.0,10.6,0.0,0.0,43,0.0,0.0,20,0.0,0,0,1.5,568.0,2.4,1.0,2016-08-21T15:00:00Z,21 Aug 16:00,0.0,0.0,5,0.0,0.0,20,0,0.0,0,0,1.0,0,2,0,7544,0.0,0.0,0.0,0,1,2.0,1,-827,40,867,50,False,0.0,0
0,9.0,0.0,0.0,0,2,0,0.0,8.0,0.7,0.0,0.0,43,0.0,0.0,22,1.0,1,0,0.0,1108.0,0.0,0.0,2016-08-27T14:00:00Z,27 Aug 15:00,0.0,0.0,32,0.0,0.0,5,0,0.0,0,0,0.0,0,3,0,6884,0.0,0.0,0.0,1,1,0.0,1,-797,60,857,49,False,0.0,0
0,13.0,0.0,0.0,0,3,0,0.0,12.0,2.8,1.0,0.0,43,0.0,0.0,32,1.0,0,0,0.5,1658.0,0.8,0.0,2016-09-10T14:00:00Z,10 Sep 15:00,0.0,0.0,17,0.0,0.0,19,0,0.0,0,0,2.0,0,4,0,6214,1.0,1.0,1.0,0,1,1.0,1,-776,59,835,49,True,0.0,0
0,15.0,0.0,0.0,0,4,0,0.0,14.0,11.8,0.0,0.0,43,0.0,0.0,45,0.0,0,0,1.5,2239.0,3.0,1.0,2016-09-17T14:00:00Z,17 Sep 15:00,0.0,0.0,23,0.0,0.0,10,0,0.0,0,0,0.0,0,5,0,5780,0.0,0.0,0.0,0,4,0.0,1,-480,28,508,48,False,0.0,0
0,10.0,0.0,0.0,0,1,0,1.0,8.0,1.1,0.0,0.0,43,0.0,0.0,52,1.0,0,0,0.8,2823.0,5.0,0.0,2016-09-24T14:00:00Z,24 Sep 15:00,0.0,0.0,15,1.0,0.0,6,0,0.0,0,0,1.0,0,6,0,5318,0.0,0.0,0.0,0,1,2.0,1,-498,36,534,48,True,0.0,0
0,4.0,0.0,0.0,0,2,0,0.0,3.0,0.5,0.0,0.0,43,0.0,0.0,69,1.0,0,0,0.2,3409.0,1.2,0.0,2016-10-01T14:00:00Z,01 Oct 15:00,0.0,0.0,17,0.0,0.0,18,0,0.0,0,0,0.0,0,7,0,5100,0.0,0.0,0.0,2,2,0.0,1,-240,32,272,48,False,0.0,0
0,7.0,0.0,0.0,0,21,0,0.0,6.0,0.7,0.0,0.0,43,0.0,0.0,72,0.0,0,1,5.1,3998.0,33.2,0.0,2016-10-15T14:00:00Z,15 Oct 15:00,0.0,0.0,12,0.0,0.0,7,0,0.0,0,0,3.0,0,8,0,4994,1.0,0.0,0.0,1,6,17.0,6,-188,38,226,47,True,0.0,0
0,38.0,0.0,0.0,0,12,1,4.0,31.0,13.9,1.0,0.0,43,0.0,0.0,82,0.0,0,0,3.1,4590.0,14.6,1.0,2016-10-22T11:30:00Z,22 Oct 12:30,0.0,0.0,90,0.0,0.0,17,0,0.0,0,0,5.0,0,9,0,5288,2.0,1.0,0.0,0,0,2.0,2,164,337,173,47,True,0.0,1
0,13.0,0.0,0.0,0,4,0,1.0,12.0,1.6,0.0,0.0,43,0.0,0.0,94,1.0,0,0,1.0,5184.0,6.8,0.0,2016-10-29T14:00:00Z,29 Oct 15:00,0.0,0.0,18,0.0,0.0,12,0,0.0,0,0,2.0,0,10,0,5510,0.0,1.0,0.0,0,2,2.0,1,155,349,194,47,False,0.0,0
0,79.0,1.0,0.0,1,35,0,3.0,73.0,34.2,4.0,0.0,43,0.0,0.0,102,3.0,2,1,15.5,5782.0,50.0,2.0,2016-11-05T15:00:00Z,05 Nov 15:00,0.0,0.0,90,0.0,1.0,15,0,0.0,0,0,10.0,0,11,0,5831,4.0,0.0,2.0,2,1,71.0,8,255,597,342,47,True,0.0,0
