assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,76.0,0.0,0.0,0,8,0,1.0,66.0,19.6,1.0,0.0,179,0.0,0.0,4,1.0,2,0,3.9,179.0,7.4,1.0,2016-08-13T11:30:00Z,13 Aug 12:30,0.0,0.0,90,0.0,0.0,7,0,0.0,0,0,8.0,0,1,0,340174,3.0,0.0,2.0,1,2,12.0,2,0,0,0,55,False,0.0,0
0,73.0,0.0,0.0,0,25,1,4.0,59.0,16.4,0.0,0.0,179,0.0,0.0,13,2.0,0,0,6.9,704.0,20.2,1.0,2016-08-20T16:30:00Z,20 Aug 17:30,0.0,0.0,90,0.0,0.0,1,0,0.0,0,0,14.0,0,2,0,338113,2.0,6.0,0.0,0,0,32.0,3,-26572,4183,30755,55,True,0.0,0
1,64.0,1.0,0.0,2,29,0,6.0,54.0,27.8,0.0,0.0,179,0.0,0.0,25,1.0,1,0,7.2,1244.0,33.0,2.0,2016-08-27T14:00:00Z,27 Aug 15:00,0.0,0.0,90,1.0,0.0,16,0,0.0,0,0,11.0,0,3,0,338978,0.0,1.0,1.0,1,2,11.0,7,-13041,13300,26341,55,True,0.0,0
0,55.0,0.0,0.0,0,11,0,3.0,38.0,4.1,1.0,0.0,179,0.0,0.0,34,1.0,4,0,4.4,1794.0,13.6,0.0,2016-09-10T16:30:00Z,10 Sep 17:30,0.0,0.0,90,0.0,0.0,9,0,0.0,0,0,12.0,0,4,0,355589,2.0,1.0,0.0,1,4,26.0,2,1668,24961,23293,55,False,0.0,0
0,76.0,0.0,0.0,0,9,1,0.0,59.0,3.8,0.0,0.0,179,0.0,0.0,44,1.0,0,0,1.9,2375.0,5.4,0.0,2016-09-17T14:00:00Z,17 Sep 15:00,0.0,0.0,78,0.0,0.0,3,0,0.0,0,0,7.0,0,5,0,340065,2.0,1.0,0.0,0,3,10.0,3,-19590,6457,26047,55,True,0.0,0
0,59.0,0.0,0.0,0,19,0,5.0,40.0,2.8,1.0,0.0,179,0.0,0.0,54,0.0,4,0,3.9,2959.0,17.8,0.0,2016-09-24T11:30:00Z,24 Sep 12:30,0.0,0.0,90,0.0,0.0,11,0,0.0,0,0,12.0,0,6,0,315135,0.0,3.0,0.0,1,4,18.0,2,-28176,4899,33075,54,False,0.0,0
0,65.0,0.0,0.0,0,14,1,3.0,54.0,13.3,1.0,0.0,179,0.0,0.0,64,4.0,0,0,4.8,3545.0,22.0,1.0,2016-10-02T13:15:00Z,02 Oct 14:15,0.0,0.0,90,0.0,0.0,13,0,0.0,0,0,8.0,0,7,0,299356,2.0,3.0,1.0,0,0,13.0,3,-17957,4551,22508,54,True,0.0,0
0,102.0,0.0,0.0,0,23,0,4.0,87.0,18.6,3.0,0.0,179,0.0,0.0,73,2.0,3,0,5.1,4134.0,24.6,1.0,2016-10-15T11:30:00Z,15 Oct 12:30,0.0,0.0,90,0.0,0.0,4,0,0.0,0,0,16.0,0,8,0,271280,2.0,3.0,0.0,0,3,8.0,2,-29141,1474,30615,54,False,0.0,0
0,57.0,0.0,0.0,0,16,0,5.0,47.0,14.8,3.0,0.0,179,0.0,0.0,86,2.0,1,0,4.0,4726.0,15.4,2.0,2016-10-22T14:00:00Z,22 Oct 15:00,0.0,0.0,90,0.0,0.0,5,0,0.0,0,0,10.0,0,9,0,257478,2.0,0.0,0.0,1,3,10.0,2,-14652,1715,16367,54,True,0.0,0
0,44.0,0.0,0.0,0,22,0,10.0,32.0,4.2,1.0,0.0,179,0.0,0.0,98,4.0,1,0,3.3,5320.0,26.6,0.0,2016-10-29T14:00:00Z,29 Oct 15:00,0.0,0.0,90,0.0,0.0,17,0,0.0,0,0,8.0,0,10,0,246894,0.0,5.0,0.0,1,1,2.0,2,-11331,1215,12546,53,False,0.0,0
