assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,35,0,0,0,7,0,3,29,0.7,1,0,172,0,0,4,3,2,0,0.4,172,3.6,0,2016-08-13T11:30:00Z,13 Aug 12:30,0,0,82,0,0,7,0,0,0,0,3,0,1,0,96498,0,0,0,1,2,0.0,0,0,0,0,50,False,0,1
0,39,0,0,0,27,1,15,22,1.8,0,0,172,0,0,13,1,0,0,3.0,697,28.4,0,2016-08-20T16:30:00Z,20 Aug 17:30,0,0,90,0,0,1,0,0,0,0,8,0,2,0,90476,1,1,0,0,0,0.0,6,-9215,498,9713,50,True,0,0
0,28,0,0,0,9,0,10,18,2.1,1,0,172,0,0,25,1,1,0,2.3,1237,18.8,0,2016-08-27T14:00:00Z,27 Aug 15:00,0,0,90,0,0,16,0,0,0,0,2,0,3,0,92635,1,1,0,1,2,2.0,1,-884,4398,5282,50,True,0,1
0,17,0,0,0,6,0,2,10,1.4,0,0,172,0,0,34,0,2,0,0.7,1787,5.8,0,2016-09-10T16:30:00Z,10 Sep 17:30,0,0,33,0,0,9,0,0,0,0,2,0,4,0,86285,0,1,0,1,4,0.0,0,-7680,1279,8959,50,False,0,0
0,64,0,0,1,25,1,6,49,13.9,0,0,172,0,0,44,0,0,0,2.9,2368,15.0,1,2016-09-17T14:00:00Z,17 Sep 15:00,0,0,90,1,0,3,0,0,0,0,10,0,5,0,74725,1,0,0,0,3,0.0,7,-11714,155,11869,50,True,0,0
0,22,0,0,0,5,0,5,16,0.8,0,0,172,0,0,54,4,4,0,0.9,2952,8.0,0,2016-09-24T11:30:00Z,24 Sep 12:30,0,0,90,0,0,11,0,0,0,0,2,0,6,0,73786,0,2,0,1,4,0.0,-1,-1852,2253,4105,50,False,0,1
0,29,0,0,0,26,1,12,22,1.0,0,0,172,0,0,64,0,0,0,2.3,3538,22.4,0,2016-10-02T13:15:00Z,02 Oct 14:15,0,0,90,0,0,13,0,0,0,0,7,0,7,0,70852,0,0,0,0,0,0.0,6,-3279,832,4111,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,172,0,0,73,0,0,0,0.0,4127,0.0,0,2016-10-15T11:30:00Z,15 Oct 12:30,0,0,0,0,0,4,0,0,0,0,0,0,8,0,69852,0,0,0,0,3,0.0,0,-1692,1226,2918,50,False,0,0
0,36,0,0,0,16,0,6,26,15.8,0,0,172,0,0,86,1,1,0,4.0,4719,24.6,1,2016-10-22T14:00:00Z,22 Oct 15:00,0,0,90,0,1,5,0,0,0,0,6,0,9,0,67784,0,1,0,1,3,0.0,2,-2327,843,3170,50,True,0,0
0,22,0,0,0,9,0,14,14,1.1,0,0,172,0,0,98,1,1,0,1.9,5313,17.4,0,2016-10-29T14:00:00Z,29 Oct 15:00,0,0,90,0,0,17,0,0,0,0,2,0,10,0,65796,0,0,0,1,1,0.0,1,-2138,276,2414,50,False,0,1
0,62,0,0,0,14,0,7,44,2.3,0,0,172,0,0,106,0,2,0,1.7,5911,14.6,0,2016-11-06T16:30:00Z,06 Nov 16:30,0,0,90,0,0,19,0,0,0,0,9,0,11,0,67043,0,0,0,2,1,0.0,1,948,2988,2040,49,True,0,0
