assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
0,11.0,0.0,0.0,0,3,0,0.0,4.0,0.3,0.0,0.0,301,0.0,0.0,10,1.0,2,0,2.3,301.0,1.2,0.0,2017-08-13T12:30:00Z,13 Aug 13:30,0.0,0.0,75,1.0,0.0,17,0,0.0,0,0,1.0,0,1,0,102404,0.0,0.0,1.0,2,0,21.0,2,0,0,0,65,True,0.0,0,,,,,
0,7.0,0.0,0.0,0,1,0,2.0,5.0,1.5,0.0,0.0,301,0.0,0.0,18,1.0,1,0,2.0,812.0,0.0,0.0,2017-08-20T12:30:00Z,20 Aug 13:30,0.0,0.0,51,1.0,0.0,8,0,0.0,0,0,0.0,0,2,0,108842,1.0,0.0,0.0,0,1,18.0,1,-4921,8624,13545,65,False,0.0,0,,,,,
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301,0.0,0.0,26,0.0,0,0,0.0,1328.0,0.0,0.0,2017-08-26T14:00:00Z,26 Aug 15:00,0.0,0.0,0,0.0,0.0,20,0,0.0,0,0,0.0,0,3,0,77758,0.0,0.0,0.0,0,3,0.0,0,-32036,1929,33965,64,True,0.0,0,,,,,
0,3.0,0.0,0.0,0,-1,0,1.0,0.0,0.0,0.0,0.0,301,0.0,0.0,39,1.0,0,0,0.0,1859.0,0.0,0.0,2017-09-10T15:00:00Z,10 Sep 16:00,0.0,0.0,12,0.0,0.0,16,0,0.0,0,0,1.0,0,4,0,53931,0.0,0.0,0.0,1,0,0.0,0,-24165,325,24490,63,False,0.0,1,,,,,
0,3.0,0.0,0.0,0,2,0,0.0,2.0,10.3,0.0,0.0,301,0.0,0.0,45,1.0,0,0,1.3,2403.0,1.0,1.0,2017-09-16T14:00:00Z,16 Sep 15:00,0.0,0.0,12,1.0,0.0,15,0,0.0,0,0,0.0,0,5,0,46936,0.0,0.0,0.0,1,2,2.0,1,-7457,660,8117,63,True,0.0,0,,,,,
0,1.0,0.0,0.0,0,3,0,0.0,1.0,0.3,0.0,0.0,301,0.0,0.0,59,0.0,0,0,2.2,2949.0,3.0,0.0,2017-09-24T15:00:00Z,24 Sep 16:00,0.0,0.0,19,0.0,0.0,3,0,0.0,0,0,0.0,0,6,0,41416,0.0,0.0,0.0,0,1,19.0,1,-5913,950,6863,62,False,0.0,0,,,,,
0,2.0,0.0,0.0,0,-2,0,0.0,1.0,1.0,0.0,0.0,301,0.0,0.0,70,2.0,0,0,0.0,3499.0,0.0,0.0,2017-10-01T15:30:00Z,01 Oct 16:30,0.0,0.0,11,1.0,0.0,10,0,0.0,0,0,2.0,0,7,0,37317,2.0,0.0,0.0,1,1,0.0,1,-4337,495,4832,62,True,0.0,0,,,,,
0,7.0,0.0,0.0,0,3,0,0.0,6.0,16.8,0.0,0.0,301,0.0,0.0,77,0.0,1,0,4.1,4053.0,2.2,1.0,2017-10-15T15:00:00Z,15 Oct 16:00,0.0,0.0,22,0.0,0.0,14,0,0.0,0,0,0.0,0,8,0,35125,1.0,0.0,0.0,2,2,22.0,1,-2454,531,2985,61,False,0.0,0,,,,,
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301,0.0,0.0,85,0.0,0,0,0.0,4610.0,0.0,0.0,2017-10-21T14:00:00Z,21 Oct 15:00,0.0,0.0,0,0.0,0.0,6,0,0.0,0,0,0.0,0,9,0,32943,0.0,0.0,0.0,0,1,0.0,0,-2259,125,2384,61,True,0.0,0,,,,,
0,3.0,0.0,0.0,0,3,0,0.0,2.0,1.3,0.0,0.0,301,0.0,0.0,94,0.0,0,0,2.1,5169.0,3.0,0.0,2017-10-30T20:00:00Z,30 Oct 20:00,0.0,0.0,7,0.0,0.0,4,0,0.0,0,0,0.0,0,10,0,30795,0.0,0.0,0.0,0,1,17.0,1,-2240,191,2431,61,False,0.0,0,,,,,
0,27.0,0.0,0.0,0,7,0,1.0,24.0,47.3,1.0,0.0,301,0.0,0.0,104,2.0,1,0,11.3,5732.0,9.2,4.0,2017-11-04T15:00:00Z,04 Nov 15:00,0.0,0.0,90,2.0,0.0,2,0,0.0,0,0,3.0,0,11,0,30506,2.0,1.0,1.0,1,0,56.0,2,-468,392,860,61,True,0.0,0,,,,,
0,20.0,0.0,0.0,1,28,0,1.0,17.0,7.0,0.0,0.0,301,0.0,0.0,118,1.0,4,1,6.1,6298.0,32.6,0.0,2017-11-18T17:30:00Z,18 Nov 17:30,0.0,0.0,76,1.0,0.0,12,0,0.0,0,0,0.0,0,12,0,30283,0.0,0.0,0.0,1,4,21.0,7,-446,358,804,61,False,0.0,0,,,,,
0,22.0,0.0,0.0,0,4,0,1.0,20.0,7.5,1.0,0.0,301,0.0,0.0,125,0.0,3,0,1.8,6867.0,2.8,0.0,2017-11-25T15:00:00Z,25 Nov 15:00,0.0,0.0,90,1.0,0.0,18,0,0.0,0,0,3.0,0,13,0,36546,3.0,0.0,0.0,3,0,8.0,2,5800,6702,902,61,True,0.0,0,,,,,
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301,0.0,0.0,134,0.0,0,0,0.0,7437.0,0.0,0.0,2017-11-28T20:00:00Z,28 Nov 20:00,0.0,0.0,0,0.0,0.0,19,0,0.0,0,0,0.0,0,14,0,37164,0.0,0.0,0.0,2,2,0.0,0,409,2091,1682,61,False,0.0,0,,,,,
0,17.0,0.0,0.0,0,29,0,2.0,14.0,15.1,0.0,0.0,301,0.0,0.0,144,0.0,3,1,7.1,8008.0,38.4,1.0,2017-12-02T12:30:00Z,02 Dec 12:30,0.0,0.0,90,1.0,0.0,5,0,0.0,0,0,1.0,0,15,0,35012,2.0,0.0,0.0,1,3,17.0,6,-2251,436,2687,61,False,0.0,0,,,,,
1,25.0,1.0,0.0,3,48,0,1.0,16.0,12.9,3.0,0.0,301,0.0,0.0,156,1.0,3,1,10.3,8582.0,53.8,1.0,2017-12-09T17:30:00Z,09 Dec 17:30,0.0,0.0,90,0.0,0.0,9,0,0.0,0,0,4.0,0,16,0,40400,2.0,3.0,2.0,3,2,36.0,12,4854,6173,1319,61,True,0.0,0,,,,,
