assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,38.0,0.0,0.0,0,15,0,6.0,28.0,21.3,1.0,0.0,321,0.0,0.0,6,0.0,1,0,3.8,321.0,16.6,2.0,2016-08-13T14:00:00Z,13 Aug 15:00,0.0,0.0,90,0.0,0.0,12,0,0.0,0,0,5.0,0,1,0,185596,2.0,1.0,0.0,1,1,0.0,2,0,0,0,45,False,0.0,0
0,49.0,0.0,0.0,0,12,0,3.0,37.0,15.7,0.0,0.0,321,0.0,0.0,14,2.0,4,0,3.1,846.0,10.8,1.0,2016-08-20T11:30:00Z,20 Aug 12:30,0.0,0.0,90,0.0,1.0,10,0,0.0,0,0,4.0,0,2,0,183580,0.0,1.0,0.0,4,1,4.0,0,-7133,2596,9729,45,True,0.0,0
0,36.0,0.0,0.0,0,5,0,3.0,28.0,2.8,0.0,0.0,321,0.0,0.0,23,1.0,1,0,1.7,1386.0,13.8,0.0,2016-08-27T14:00:00Z,27 Aug 15:00,0.0,0.0,90,0.0,0.0,6,0,0.0,0,0,3.0,0,3,0,168011,1.0,0.0,0.0,0,1,0.0,1,-16656,1673,18329,45,False,0.0,1
0,30.0,0.0,0.0,0,11,0,6.0,23.0,6.9,0.0,0.0,321,0.0,0.0,37,2.0,4,0,2.2,1936.0,15.4,0.0,2016-09-10T14:00:00Z,10 Sep 15:00,0.0,0.0,90,0.0,1.0,17,0,0.0,0,0,4.0,0,4,0,150421,0.0,0.0,0.0,4,0,0.0,0,-18071,4898,22969,45,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,321,0.0,0.0,47,0.0,0,0,0.0,2517.0,0.0,0.0,2016-09-18T13:15:00Z,18 Sep 14:15,0.0,0.0,0,0.0,0.0,5,0,0.0,0,0,0.0,0,5,0,140536,0.0,0.0,0.0,1,4,0.0,0,-10011,1401,11412,45,False,0.0,0
0,44.0,0.0,0.0,0,14,0,5.0,29.0,5.4,0.0,0.0,321,0.0,0.0,56,0.0,1,0,2.4,3101.0,16.8,0.0,2016-09-24T14:00:00Z,24 Sep 15:00,0.0,0.0,90,0.0,1.0,19,0,0.0,0,0,5.0,0,6,0,123610,0.0,2.0,0.0,1,1,2.0,2,-17078,1940,19018,44,True,0.0,0
0,32.0,0.0,0.0,0,14,0,9.0,25.0,2.5,0.0,0.0,321,0.0,0.0,65,2.0,1,0,2.0,3687.0,17.0,0.0,2016-10-02T11:00:00Z,02 Oct 12:00,0.0,0.0,90,0.0,0.0,11,0,0.0,0,0,4.0,0,7,0,117342,1.0,2.0,0.0,1,1,0.0,2,-6393,1279,7672,44,False,0.0,0
0,47.0,0.0,0.0,2,30,1,6.0,36.0,17.4,1.0,0.0,321,0.0,0.0,79,1.0,0,0,4.9,4276.0,30.0,1.0,2016-10-15T14:00:00Z,15 Oct 15:00,0.0,0.0,90,0.0,1.0,15,0,0.0,0,0,5.0,0,8,0,118893,0.0,2.0,0.0,0,2,2.0,8,1299,6766,5467,44,True,0.0,0
0,40.0,0.0,0.0,0,27,1,6.0,32.0,2.3,0.0,0.0,321,0.0,0.0,85,0.0,0,0,2.3,4868.0,20.2,0.0,2016-10-22T14:00:00Z,22 Oct 15:00,0.0,0.0,90,0.0,0.0,7,0,0.0,0,0,2.0,0,9,0,144283,0.0,1.0,0.0,2,0,0.0,6,24489,26930,2441,44,False,0.0,0
0,32.0,0.0,0.0,0,5,0,1.0,18.0,0.6,0.0,0.0,321,0.0,0.0,96,2.0,1,0,0.5,5462.0,3.6,0.0,2016-10-31T20:00:00Z,31 Oct 20:00,0.0,0.0,90,0.0,0.0,16,0,0.0,0,0,8.0,0,10,0,165011,1.0,2.0,1.0,1,3,1.0,1,19962,21673,1711,44,True,0.0,1
0,32.0,0.0,0.0,0,9,0,5.0,25.0,5.4,0.0,0.0,321,0.0,0.0,110,3.0,1,0,1.5,6060.0,9.2,0.0,2016-11-05T15:00:00Z,05 Nov 15:00,0.0,0.0,90,0.0,1.0,20,0,0.0,0,0,8.0,0,11,0,172080,1.0,0.0,0.0,1,1,0.0,2,6402,10739,4337,45,False,0.0,0
0,40.0,0.0,0.0,0,24,0,6.0,31.0,13.0,2.0,0.0,321,0.0,0.0,116,4.0,1,0,4.1,6659.0,24.0,1.0,2016-11-19T15:00:00Z,19 Nov 15:00,0.0,0.0,90,1.0,0.0,2,0,0.0,0,0,9.0,0,12,0,187138,0.0,6.0,0.0,1,0,4.0,2,13963,17634,3671,45,True,0.0,0
0,34.0,0.0,0.0,0,22,1,2.0,22.0,15.7,0.0,0.0,321,0.0,0.0,130,2.0,0,0,2.3,7260.0,6.4,1.0,2016-11-27T12:00:00Z,27 Nov 12:00,0.0,0.0,90,0.0,1.0,18,0,0.0,0,0,10.0,0,13,0,185446,1.0,1.0,1.0,1,0,1.0,6,-1897,2425,4322,45,False,0.0,0
0,55.0,0.0,0.0,0,27,1,4.0,47.0,4.3,0.0,0.0,321,0.0,0.0,136,0.0,0,0,1.7,7864.0,12.4,0.0,2016-12-03T15:00:00Z,03 Dec 15:00,0.0,0.0,90,0.0,0.0,3,0,0.0,0,0,6.0,0,14,0,197301,1.0,1.0,0.0,0,2,0.0,6,11220,13496,2276,45,True,0.0,0
