assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,19.0,0.0,0.0,0,20,0,0.0,15.0,0.0,0.0,0.0,474,1.0,0.0,3,0.0,2,0,5.0,474.0,49.8,0.0,2018-08-11T14:00:00Z,11 Aug 15:00,0.0,0.0,90,0.0,0.0,7,0,0.0,0,0,10.0,0,1,7,13175,0.0,0.0,0.0,2,0,0.0,3,0,0,0,45,True,0.0,0
0,28.0,0.0,0.0,2,27,0,3.0,16.0,0.0,0.0,0.0,474,0.0,1.0,19,0.0,3,0,6.5,999.0,65.4,0.0,2018-08-18T14:00:00Z,18 Aug 15:00,0.0,0.0,90,0.0,0.0,17,0,0.0,0,0,11.0,0,2,8,15721,0.0,1.0,0.0,1,3,0.0,5,-156,772,928,45,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,474,0.0,0.0,23,0.0,0,0,0.0,1526.0,0.0,0.0,2018-08-26T15:00:00Z,26 Aug 16:00,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0,0.0,0,3,0,22278,0.0,0.0,0.0,2,4,0.0,0,3939,6417,2478,45,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,474,0.0,0.0,31,0.0,0,0,0.0,2057.0,0.0,0.0,2018-09-01T14:00:00Z,01 Sep 15:00,0.0,0.0,0,0.0,0.0,3,0,0.0,0,0,0.0,0,4,0,20896,0.0,0.0,0.0,2,2,0.0,0,-1599,1268,2867,45,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,474,0.0,0.0,45,0.0,0,0,0.0,2594.0,0.0,0.0,2018-09-15T14:00:00Z,15 Sep 15:00,0.0,0.0,0,0.0,0.0,13,0,0.0,0,0,0.0,0,5,0,18577,0.0,0.0,0.0,0,3,0.0,0,-2623,268,2891,45,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,474,0.0,0.0,56,0.0,0,0,0.0,3131.0,0.0,0.0,2018-09-22T11:30:00Z,22 Sep 12:30,0.0,0.0,0,0.0,0.0,18,0,0.0,0,0,0.0,0,6,0,17296,0.0,0.0,0.0,1,1,0.0,0,-1458,124,1582,45,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,474,0.0,0.0,65,0.0,0,0,0.0,3669.0,0.0,0.0,2018-09-29T14:00:00Z,29 Sep 15:00,0.0,0.0,0,0.0,0.0,8,0,0.0,0,0,0.0,0,7,0,16363,0.0,0.0,0.0,0,3,0.0,0,-1055,120,1175,44,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,474,0.0,0.0,74,0.0,0,0,0.0,4208.0,0.0,0.0,2018-10-07T11:00:00Z,07 Oct 12:00,0.0,0.0,0,0.0,0.0,1,0,0.0,0,0,0.0,0,8,0,15741,0.0,0.0,0.0,5,1,0.0,0,-731,127,858,44,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,474,0.0,0.0,83,0.0,0,0,0.0,4750.0,0.0,0.0,2018-10-20T14:00:00Z,20 Oct 15:00,0.0,0.0,0,0.0,0.0,5,0,0.0,0,0,0.0,0,9,0,15157,0.0,0.0,0.0,2,4,0.0,0,-713,189,902,44,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,474,0.0,0.0,94,0.0,0,0,0.0,5296.0,0.0,0.0,2018-10-27T14:00:00Z,27 Oct 15:00,0.0,0.0,0,0.0,0.0,2,0,0.0,0,0,0.0,0,10,0,14657,0.0,0.0,0.0,3,0,0.0,0,-563,94,657,44,True,0.0,0
