assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
1,40.0,1.0,0.0,0,23,0,1.0,34.0,24.1,0.0,0.0,485,0.0,0.0,8,0.0,3,0,5.6,485.0,22.4,2.0,2016-08-14T15:00:00Z,14 Aug 16:00,0.0,0.0,87,0.0,0.0,1,0,0.0,0,0,4.0,0,1,0,140125,2.0,0.0,0.0,4,3,9.0,5,0,0,0,80,False,0.0,0
0,88.0,0.0,0.0,0,15,0,0.0,79.0,42.3,0.0,0.0,485,0.0,0.0,12,0.0,2,0,6.4,1010.0,13.6,3.0,2016-08-20T14:00:00Z,20 Aug 15:00,0.0,0.0,90,0.0,0.0,3,0,0.0,0,0,4.0,0,2,0,139739,0.0,1.0,1.0,0,2,8.0,2,-8115,5348,13463,80,False,0.0,0
0,47.0,0.0,0.0,0,8,0,3.0,34.0,14.6,0.0,0.0,485,0.0,1.0,27,0.0,1,0,4.4,1550.0,10.6,1.0,2016-08-27T11:30:00Z,27 Aug 12:30,0.0,0.0,90,0.0,0.0,17,0,0.0,0,0,6.0,0,3,0,121337,4.0,1.0,1.0,1,1,19.0,2,-21366,2707,24073,79,False,0.0,0
1,44.0,0.0,0.0,0,26,0,1.0,37.0,36.8,2.0,0.0,485,0.0,0.0,34,0.0,1,0,7.7,2100.0,29.8,3.0,2016-09-10T16:30:00Z,10 Sep 17:30,0.0,0.0,75,0.0,0.0,8,0,0.0,0,0,10.0,0,4,0,103650,2.0,1.0,1.0,1,4,10.0,5,-19301,1214,20515,79,True,0.0,0
0,49.0,0.0,0.0,0,17,0,3.0,41.0,9.9,0.0,0.0,485,0.0,0.0,41,0.0,1,0,4.5,2681.0,18.2,0.0,2016-09-16T19:00:00Z,16 Sep 20:00,0.0,0.0,89,1.0,0.0,4,0,0.0,0,0,7.0,0,5,0,94821,1.0,3.0,0.0,2,1,17.0,2,-9563,768,10331,78,False,0.0,0
0,66.0,0.0,2.0,0,10,0,1.0,61.0,12.8,0.0,0.0,485,0.0,0.0,53,0.0,1,0,7.2,3265.0,15.8,0.0,2016-09-24T14:00:00Z,24 Sep 15:00,0.0,0.0,90,0.0,0.0,7,0,0.0,0,0,8.0,0,6,0,85023,0.0,1.0,0.0,1,5,43.0,2,-10508,1067,11575,78,True,0.0,0
0,46.0,0.0,0.0,0,14,0,0.0,40.0,37.4,2.0,0.0,485,0.0,0.0,67,2.0,1,0,5.7,3851.0,9.4,3.0,2016-10-01T11:30:00Z,01 Oct 12:30,0.0,0.0,84,0.0,0.0,16,0,0.0,0,0,4.0,0,7,0,76447,0.0,0.0,0.0,2,1,10.0,2,-8961,290,9251,77,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,485,0.0,0.0,75,0.0,0,0,0.0,4440.0,0.0,0.0,2016-10-17T19:00:00Z,17 Oct 20:00,0.0,0.0,0,0.0,0.0,11,0,0.0,0,0,0.0,0,8,0,65761,0.0,0.0,0.0,0,0,0.0,0,-11182,222,11404,76,True,0.0,0
0,5.0,1.0,0.0,0,6,0,0.0,4.0,10.6,0.0,0.0,485,0.0,0.0,87,0.0,1,0,1.4,5032.0,0.4,1.0,2016-10-22T16:30:00Z,22 Oct 17:30,0.0,0.0,12,0.0,0.0,19,0,0.0,0,0,0.0,0,9,0,61313,0.0,0.0,1.0,1,2,3.0,1,-4529,134,4663,76,True,0.0,0
0,9.0,0.0,0.0,0,3,0,0.0,8.0,1.7,0.0,0.0,485,0.0,0.0,91,0.0,0,0,0.1,5626.0,0.0,0.0,2016-10-29T16:30:00Z,29 Oct 17:30,0.0,0.0,15,0.0,0.0,5,0,0.0,0,0,1.0,0,10,0,59264,0.0,0.0,0.0,4,2,0.0,1,-2186,250,2436,76,False,0.0,0
0,18.0,0.0,0.0,0,20,0,0.0,16.0,23.3,0.0,0.0,485,0.0,0.0,107,2.0,1,1,7.9,6224.0,36.4,2.0,2016-11-06T14:15:00Z,06 Nov 14:15,0.0,0.0,28,0.0,0.0,18,0,0.0,0,0,2.0,0,11,0,56812,0.0,1.0,0.0,1,6,19.0,5,-2557,243,2800,76,True,0.0,1
0,50.0,0.0,0.0,0,19,1,4.0,45.0,32.6,0.0,0.0,485,0.0,0.0,115,0.0,0,0,6.3,6823.0,15.2,2.0,2016-11-19T15:00:00Z,19 Nov 15:00,0.0,0.0,90,0.0,1.0,13,0,0.0,0,0,6.0,0,12,0,56389,3.0,2.0,1.0,0,0,15.0,3,-723,928,1651,75,False,0.0,0
0,50.0,0.0,0.0,0,15,1,2.0,47.0,7.7,1.0,0.0,485,0.0,0.0,126,2.0,0,0,4.2,7424.0,7.8,0.0,2016-11-26T15:00:00Z,26 Nov 15:00,0.0,0.0,90,0.0,0.0,15,0,0.0,0,0,6.0,0,13,0,56155,1.0,2.0,2.0,0,2,26.0,3,-366,667,1033,75,True,0.0,0
0,50.0,0.0,0.0,0,16,0,3.0,44.0,8.0,1.0,0.0,485,0.0,0.0,131,0.0,4,0,1.9,8028.0,9.4,0.0,2016-12-04T13:30:00Z,04 Dec 13:30,0.0,0.0,90,0.0,0.0,2,0,0.0,0,0,9.0,0,14,0,58331,1.0,1.0,0.0,3,4,2.0,2,2016,2960,944,75,False,0.0,0
0,37.0,0.0,0.0,0,10,0,0.0,32.0,20.7,1.0,0.0,485,0.0,0.0,146,0.0,2,0,8.6,8633.0,3.0,1.0,2016-12-11T16:30:00Z,11 Dec 16:30,0.0,0.0,90,1.0,1.0,20,0,0.0,0,0,7.0,0,15,0,57313,2.0,0.0,2.0,2,2,62.0,2,-1155,646,1801,75,True,0.0,0
0,44.0,0.0,0.0,0,14,1,2.0,40.0,17.6,0.0,0.0,485,0.0,0.0,158,2.0,0,0,2.9,9243.0,7.0,1.0,2016-12-14T19:45:00Z,14 Dec 19:45,0.0,0.0,86,0.0,0.0,12,0,0.0,0,0,4.0,0,16,0,56230,1.0,1.0,0.0,3,0,4.0,3,-1130,193,1323,75,False,0.0,0
0,67.0,0.0,0.0,0,13,1,2.0,64.0,9.7,0.0,0.0,485,0.0,0.0,163,0.0,0,0,2.1,9857.0,6.0,0.0,2016-12-19T20:00:00Z,19 Dec 20:00,0.0,0.0,90,0.0,0.0,6,0,0.0,0,0,6.0,0,17,0,55019,0.0,0.0,2.0,1,0,5.0,3,-1289,144,1433,75,False,0.0,0
0,67.0,0.0,0.0,0,8,0,0.0,59.0,27.8,0.0,0.0,485,0.0,0.0,176,0.0,1,0,5.5,10473.0,9.0,2.0,2016-12-27T17:15:00Z,27 Dec 17:15,0.0,0.0,90,0.0,0.0,14,0,0.0,0,0,4.0,0,18,0,54268,5.0,0.0,0.0,1,4,18.0,2,-882,194,1076,75,True,0.0,0
0,38.0,0.0,0.0,3,36,1,4.0,31.0,3.2,0.0,0.0,485,0.0,0.0,186,0.0,0,1,6.6,11091.0,40.4,0.0,2016-12-31T17:30:00Z,31 Dec 17:30,0.0,0.0,90,0.0,0.0,10,0,0.0,0,0,7.0,0,19,0,53565,0.0,1.0,1.0,0,1,22.0,11,-773,125,898,75,True,1.0,0
0,52.0,0.0,0.0,0,9,0,2.0,44.0,19.5,0.0,0.0,485,0.0,0.0,197,0.0,1,0,3.5,11713.0,6.8,1.0,2017-01-02T15:00:00Z,02 Jan 15:00,0.0,0.0,72,0.0,0.0,15,0,0.0,0,0,6.0,0,20,0,55282,5.0,0.0,0.0,2,2,9.0,2,1527,2044,517,75,False,0.0,0
0,34.0,0.0,0.0,0,11,0,2.0,29.0,2.2,0.0,0.0,485,0.0,0.0,205,0.0,1,0,4.9,12337.0,6.0,0.0,2017-01-15T16:00:00Z,15 Jan 16:00,0.0,0.0,90,0.0,0.0,11,0,0.0,0,0,10.0,0,21,0,55837,1.0,1.0,1.0,1,1,41.0,1,-38,1901,1939,75,False,0.0,1
1,61.0,0.0,0.0,0,21,0,2.0,53.0,27.6,1.0,0.0,485,0.0,0.0,215,2.0,3,0,5.2,12968.0,22.2,1.0,2017-01-21T12:30:00Z,21 Jan 12:30,0.0,0.0,90,0.0,1.0,16,0,0.0,0,0,2.0,0,22,0,55547,2.0,1.0,0.0,3,2,2.0,5,-536,759,1295,75,True,0.0,0
